,BE_NL,NL_BE,BE_FR,FR_BE,BE_GB,GB_BE,BE_DE_LU,DE_LU_BE,BE_NL_net_export,BE_FR_net_export,BE_GB_net_export,BE_DE_LU_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,1097.375,956.9499999999999,706.7750000000001,117.0,252.0,0.0,299.975,-1097.375,250.17499999999984,-135.0,-299.975,-1282.1750000000002
2026-01-01 01:00:00+00:00,0.0,1833.725,1539.125,530.6,80.0,242.0,130.05,0.0,-1833.725,1008.525,-162.0,130.05,-857.1499999999999
2026-01-01 02:00:00+00:00,0.0,1730.025,1495.0,452.65,117.0,142.0,167.475,0.0,-1730.025,1042.35,-25.0,167.475,-545.2000000000002
2026-01-01 03:00:00+00:00,0.0,1025.05,1238.275,247.375,244.0,133.0,48.375,427.1,-1025.05,990.9000000000001,111.0,-378.725,-301.8749999999999
2026-01-01 04:00:00+00:00,0.0,1448.225,2191.875,47.025,94.0,322.0,0.0,1000.0,-1448.225,2144.85,-228.0,-1000.0,-531.375
2026-01-01 05:00:00+00:00,0.0,294.225,1109.05,0.0,49.0,541.0,0.0,1000.0,-294.225,1109.05,-492.0,-1000.0,-677.1750000000001
2026-01-01 06:00:00+00:00,0.0,94.0,882.1,0.0,117.0,399.0,0.0,920.825,-94.0,882.1,-282.0,-920.825,-414.725
2026-01-01 07:00:00+00:00,0.0,62.2,117.7,532.325,372.0,329.0,73.7,250.0,-62.2,-414.62500000000006,43.0,-176.3,-610.125
2026-01-01 08:00:00+00:00,0.0,132.375,78.25,715.925,434.0,220.0,122.42500000000001,6.7,-132.375,-637.675,214.0,115.72500000000001,-440.32499999999993
2026-01-01 09:00:00+00:00,0.0,458.95000000000005,289.325,1228.5,668.0,172.0,277.575,48.8,-458.95000000000005,-939.175,496.0,228.77499999999998,-673.35
2026-01-01 10:00:00+00:00,0.0,67.425,61.475,892.8000000000001,817.0,172.0,27.5,596.1,-67.425,-831.325,645.0,-568.6,-822.35
2026-01-01 11:00:00+00:00,0.0,0.0,311.0,1395.675,1032.0,0.0,0.0,1000.0,0.0,-1084.675,1032.0,-1000.0,-1052.675
2026-01-01 12:00:00+00:00,0.0,328.825,430.5,1849.6,1032.0,0.0,0.0,763.975,-328.825,-1419.1,1032.0,-763.975,-1479.9
2026-01-01 13:00:00+00:00,0.0,663.275,480.85,2403.475,1017.0,0.0,100.9,52.025,-663.275,-1922.625,1017.0,48.87500000000001,-1520.025
2026-01-01 14:00:00+00:00,0.0,816.45,1080.875,2137.425,995.0,0.0,0.0,877.125,-816.45,-1056.5500000000002,995.0,-877.125,-1755.1250000000002
2026-01-01 15:00:00+00:00,0.0,1953.85,1732.05,2424.3500000000004,918.0,0.0,55.475,0.0,-1953.85,-692.3000000000004,918.0,55.475,-1672.6750000000006
2026-01-01 16:00:00+00:00,0.0,3209.975,3156.575,1788.525,1012.0,0.0,52.075,88.7,-3209.975,1368.0499999999997,1012.0,-36.625,-866.5500000000002
2026-01-01 17:00:00+00:00,0.0,991.075,826.175,1868.15,1012.0,0.0,154.225,0.0,-991.075,-1041.9750000000001,1012.0,154.225,-866.8250000000002
2026-01-01 18:00:00+00:00,0.0,984.4999999999999,853.3,1390.925,1012.0,0.0,28.05,188.525,-984.4999999999999,-537.625,1012.0,-160.475,-670.6
2026-01-01 19:00:00+00:00,0.0,2194.825,2088.625,1407.175,843.0,0.0,211.45,0.0,-2194.825,681.45,843.0,211.45,-458.9249999999998
2026-01-01 20:00:00+00:00,0.0,1292.7,1086.025,1897.3000000000002,782.0,0.0,557.5,0.0,-1292.7,-811.2750000000001,782.0,557.5,-764.4750000000004
2026-01-01 21:00:00+00:00,0.0,2133.95,1658.9,1316.125,522.0,119.0,730.3,0.0,-2133.95,342.7750000000001,403.0,730.3,-657.8749999999998
2026-01-01 22:00:00+00:00,0.0,2120.975,1410.375,538.7,136.0,367.0,810.6,0.0,-2120.975,871.675,-231.0,810.6,-669.6999999999999
2026-01-01 23:00:00+00:00,0.0,2672.375,3147.7,0.0,55.0,59.0,0.0,1000.0,-2672.375,3147.7,-4.0,-1000.0,-528.6750000000002
2026-01-02 00:00:00+00:00,0.0,2662.7250000000004,3064.7,0.0,409.0,50.0,0.0,1000.0,-2662.7250000000004,3064.7,359.0,-1000.0,-239.02500000000055
