,RS_BG,BG_RS,RO_BG,BG_RO,BG_GR,GR_BG,BG_MK,MK_BG,BG_GR_net_export,BG_MK_net_export,BG_RO_net_export,BG_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,276.0,1322.175,382.475,0.0,277.925,50.0,0.0,-277.925,50.0,-939.6999999999999,276.0,-891.625
2026-01-01 01:00:00+00:00,0.0,281.0,1647.15,403.32500000000005,115.55000000000001,63.425,49.0,0.0,52.125000000000014,49.0,-1243.825,281.0,-861.7
2026-01-01 02:00:00+00:00,0.0,263.0,1801.425,385.425,249.675,2.75,49.0,0.0,246.925,49.0,-1416.0,263.0,-857.075
2026-01-01 03:00:00+00:00,0.0,231.0,1950.8,381.575,512.6,2.75,49.0,0.0,509.85,49.0,-1569.225,231.0,-779.3749999999999
2026-01-01 04:00:00+00:00,0.0,207.0,1888.125,380.375,519.475,2.75,49.0,0.0,516.725,49.0,-1507.75,207.0,-735.025
2026-01-01 05:00:00+00:00,0.0,166.0,2036.725,380.325,830.625,2.75,29.0,0.0,827.875,29.0,-1656.3999999999999,166.0,-633.5249999999999
2026-01-01 06:00:00+00:00,26.0,165.0,1515.4,370.45,661.1,2.75,24.0,0.0,658.35,24.0,-1144.95,139.0,-323.6
2026-01-01 07:00:00+00:00,20.0,207.0,29.525,1046.825,84.175,317.725,2.0,0.0,-233.55,2.0,1017.3000000000001,187.0,972.75
2026-01-01 08:00:00+00:00,25.0,259.0,0.0,1800.375,0.0,656.525,0.0,0.0,-656.525,0.0,1800.375,234.0,1377.85
2026-01-01 09:00:00+00:00,25.0,263.0,2.0,1781.0,0.0,808.0,0.0,0.0,-808.0,0.0,1779.0,238.0,1209.0
2026-01-01 10:00:00+00:00,0.0,256.0,0.175,785.47499975,0.0,706.1,0.0,0.0,-706.1,0.0,785.2999997500001,256.0,335.1999997500001
2026-01-01 11:00:00+00:00,5.0,294.0,3.0,541.45,0.0,440.425,0.0,0.0,-440.425,0.0,538.45,289.0,387.02500000000003
2026-01-01 12:00:00+00:00,5.0,234.0,366.2,405.025,61.65,66.89999999999999,0.0,0.0,-5.249999999999993,0.0,38.82499999999999,229.0,262.575
2026-01-01 13:00:00+00:00,0.0,245.0,1305.025,355.1,614.95,2.75,2.0,0.0,612.2,2.0,-949.9250000000001,245.0,-90.72500000000002
2026-01-01 14:00:00+00:00,0.0,155.0,2339.2,355.25,1340.175,2.75,22.0,0.0,1337.425,22.0,-1983.9499999999998,155.0,-469.52499999999986
2026-01-01 15:00:00+00:00,0.0,146.0,1934.1999999999998,355.5,1328.075,2.75,30.0,0.0,1325.325,30.0,-1578.6999999999998,146.0,-77.37499999999977
2026-01-01 16:00:00+00:00,0.0,146.0,1737.97499975,355.15,1408.8,2.75,32.0,0.0,1406.05,32.0,-1382.8249997500002,146.0,201.22500024999977
2026-01-01 17:00:00+00:00,0.0,146.0,1853.0,405.325,1404.925,2.75,35.0,0.0,1402.175,35.0,-1447.675,146.0,135.5
2026-01-01 18:00:00+00:00,0.0,146.0,2215.9,405.3,1406.725,2.75,39.0,0.0,1403.975,39.0,-1810.6000000000001,146.0,-221.62500000000023
2026-01-01 19:00:00+00:00,0.0,156.0,2556.725,405.0,1407.575,2.75,37.0,0.0,1404.825,37.0,-2151.725,156.0,-553.8999999999999
2026-01-01 20:00:00+00:00,0.0,171.0,2606.45,405.0,1411.0,2.75,36.0,0.0,1408.25,36.0,-2201.45,171.0,-586.1999999999998
