,FR_CH,CH_FR,CH_AT,AT_CH,CH_DE_LU,DE_LU_CH,CH_IT_NORD,IT_NORD_CH,CH_AT_net_export,CH_DE_LU_net_export,CH_FR_net_export,CH_IT_NORD_net_export,Net Export
2026-01-01 00:00:00+00:00,3200.0,0.0,0.0,899.5,0.0,800.0,967.0,146.0,-899.5,-800.0,-3200.0,821.0,-4078.5
2026-01-01 01:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,927.0,125.0,-900.0,-800.0,-3200.0,802.0,-4098.0
2026-01-01 02:00:00+00:00,3200.0,0.0,0.0,899.1,0.0,800.0,1089.0,95.0,-899.1,-800.0,-3200.0,994.0,-3905.1000000000004
2026-01-01 03:00:00+00:00,3200.0,0.0,0.0,899.1,0.0,800.0,1005.0,118.75,-899.1,-800.0,-3200.0,886.25,-4012.8500000000004
2026-01-01 04:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1213.0,234.5,-900.0,-800.0,-3200.0,978.5,-3921.5
2026-01-01 05:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1204.0,112.75,-900.0,-800.0,-3200.0,1091.25,-3808.75
2026-01-01 06:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1396.0,44.0,-900.0,-800.0,-3200.0,1352.0,-3548.0
2026-01-01 07:00:00+00:00,3200.0,0.0,0.0,900.0,0.0,800.0,1391.0,279.25,-900.0,-800.0,-3200.0,1111.75,-3788.25
2026-01-01 08:00:00+00:00,3200.0,0.0,0.0,899.5,0.0,800.0,1354.0,90.0,-899.5,-800.0,-3200.0,1264.0,-3635.5
2026-01-01 09:00:00+00:00,3200.0,0.0,0.0,750.0,0.0,800.0,1156.0,230.5,-750.0,-800.0,-3200.0,925.5,-3824.5
2026-01-01 10:00:00+00:00,3200.0,0.0,0.0,750.0,0.0,800.0,1208.0,0.0,-750.0,-800.0,-3200.0,1208.0,-3542.0
2026-01-01 11:00:00+00:00,3200.0,0.0,0.0,750.0,0.0,800.0,1264.0,0.0,-750.0,-800.0,-3200.0,1264.0,-3486.0
2026-01-01 12:00:00+00:00,3200.0,0.0,0.0,749.9,0.0,800.0,1124.0,141.0,-749.9,-800.0,-3200.0,983.0,-3766.8999999999996
2026-01-01 13:00:00+00:00,3200.0,0.0,0.0,748.7,0.0,800.0,1166.0,163.5,-748.7,-800.0,-3200.0,1002.5,-3746.2
2026-01-01 14:00:00+00:00,3200.0,0.0,0.0,850.0,0.0,800.0,1274.0,40.5,-850.0,-800.0,-3200.0,1233.5,-3616.5
2026-01-01 15:00:00+00:00,3200.0,0.0,23.0,850.0,0.0,799.1,1519.0,40.75,-827.0,-799.1,-3200.0,1478.25,-3347.8500000000004
2026-01-01 16:00:00+00:00,3200.0,0.0,35.0,850.0,0.0,799.9,1594.0,0.0,-815.0,-799.9,-3200.0,1594.0,-3220.8999999999996
2026-01-01 17:00:00+00:00,3200.0,0.0,89.0,850.0,0.0,799.6,1638.0,0.0,-761.0,-799.6,-3200.0,1638.0,-3122.6000000000004
2026-01-01 18:00:00+00:00,3200.0,0.0,0.0,850.0,0.0,800.0,1638.0,0.0,-850.0,-800.0,-3200.0,1638.0,-3212.0
2026-01-01 19:00:00+00:00,3200.0,0.0,0.0,850.0,0.0,800.0,1628.0,10.5,-850.0,-800.0,-3200.0,1617.5,-3232.5
2026-01-01 20:00:00+00:00,3200.0,0.0,0.0,850.0,0.0,800.0,1542.0,24.5,-850.0,-800.0,-3200.0,1517.5,-3332.5
2026-01-01 21:00:00+00:00,3200.0,0.0,0.0,850.0,0.0,800.0,1204.0,151.5,-850.0,-800.0,-3200.0,1052.5,-3797.5
2026-01-01 22:00:00+00:00,3200.0,0.0,0.0,849.9,0.0,800.0,1090.0,355.0,-849.9,-800.0,-3200.0,735.0,-4114.9
2026-01-01 23:00:00+00:00,3200.0,0.0,0.0,1000.0,0.0,799.983,1105.0,117.5,-1000.0,-799.983,-3200.0,987.5,-4012.483
2026-01-02 00:00:00+00:00,3200.0,0.0,0.0,999.2,0.0,800.0,716.0,326.0,-999.2,-800.0,-3200.0,390.0,-4609.2
2026-01-02 01:00:00+00:00,3200.0,0.0,0.0,999.8,0.0,799.973,675.0,547.0,-999.8,-799.973,-3200.0,128.0,-4871.773
2026-01-02 02:00:00+00:00,3200.0,0.0,0.0,999.6,0.0,799.965,739.0,558.25,-999.6,-799.965,-3200.0,180.75,-4818.8150000000005
2026-01-02 03:00:00+00:00,3200.0,0.0,0.0,999.5,0.0,800.0,705.0,683.5,-999.5,-800.0,-3200.0,21.5,-4978.0
2026-01-02 04:00:00+00:00,3200.0,0.0,0.0,999.7,0.0,799.971,755.0,353.25,-999.7,-799.971,-3200.0,401.75,-4597.921
2026-01-02 05:00:00+00:00,3200.0,0.0,0.0,999.2,0.0,799.951,1358.0,153.5,-999.2,-799.951,-3200.0,1204.5,-3794.651
2026-01-02 06:00:00+00:00,3200.0,0.0,0.0,1000.0,0.0,800.0,1784.0,122.0,-1000.0,-800.0,-3200.0,1662.0,-3338.0
2026-01-02 07:00:00+00:00,3200.0,0.0,0.0,1000.0,0.0,799.988,1841.0,165.0,-1000.0,-799.988,-3200.0,1676.0,-3323.9880000000003
2026-01-02 08:00:00+00:00,3200.0,0.0,0.0,1000.0,0.0,799.966,1733.0,165.0,-1000.0,-799.966,-3200.0,1568.0,-3431.9660000000003
2026-01-02 09:00:00+00:00,3200.0,0.0,0.0,999.1,0.0,800.0,1056.0,90.0,-999.1,-800.0,-3200.0,966.0,-4033.1000000000004
2026-01-02 10:00:00+00:00,3200.0,0.0,0.0,999.1,0.0,800.0,1103.0,290.0,-999.1,-800.0,-3200.0,813.0,-4186.1
2026-01-02 11:00:00+00:00,3200.0,0.0,0.0,999.6,0.0,799.973,726.0,290.0,-999.6,-799.973,-3200.0,436.0,-4563.573
2026-01-02 12:00:00+00:00,3200.0,0.0,0.0,999.3,0.0,799.984,711.0,441.0,-999.3,-799.984,-3200.0,270.0,-4729.284
2026-01-02 13:00:00+00:00,3200.0,0.0,0.0,999.4,0.0,799.975,859.0,147.0,-999.4,-799.975,-3200.0,712.0,-4287.375
2026-01-02 14:00:00+00:00,3199.0,0.0,0.0,999.4,0.0,799.956,1093.0,82.25,-999.4,-799.956,-3199.0,1010.75,-3987.6059999999998
2026-01-02 15:00:00+00:00,3202.0,2.0,0.0,999.5,0.0,799.97,1591.0,21.0,-999.5,-799.97,-3200.0,1570.0,-3429.4700000000003
2026-01-02 16:00:00+00:00,3203.0,3.0,0.0,1000.0,0.0,800.0,2286.0,0.0,-1000.0,-800.0,-3200.0,2286.0,-2714.0
2026-01-02 17:00:00+00:00,3128.0,3.0,0.0,999.0,0.0,799.951,2218.0,24.0,-999.0,-799.951,-3125.0,2194.0,-2729.951
2026-01-02 18:00:00+00:00,3128.0,3.0,0.0,1000.0,0.0,799.972,2406.0,100.0,-1000.0,-799.972,-3125.0,2306.0,-2618.9719999999998
2026-01-02 19:00:00+00:00,3203.0,3.0,0.0,1000.0,0.0,799.996,2069.0,20.0,-1000.0,-799.996,-3200.0,2049.0,-2950.996
2026-01-02 20:00:00+00:00,3202.0,2.0,0.0,1000.0,0.0,798.975,1816.0,231.5,-1000.0,-798.975,-3200.0,1584.5,-3414.4750000000004
2026-01-02 21:00:00+00:00,3200.0,0.0,0.0,999.2,0.0,800.0,1302.0,215.5,-999.2,-800.0,-3200.0,1086.5,-3912.7
2026-01-02 22:00:00+00:00,3200.0,0.0,0.0,999.8,0.0,799.957,949.0,58.5,-999.8,-799.957,-3200.0,890.5,-4109.257
2026-01-02 23:00:00+00:00,3200.0,0.0,0.0,999.1,0.0,799.979,1072.25,577.0,-999.1,-799.979,-3200.0,495.25,-4503.829
2026-01-03 00:00:00+00:00,3200.0,0.0,0.0,999.3,0.0,800.0,788.0,831.0,-999.3,-800.0,-3200.0,-43.0,-5042.3
2026-01-03 01:00:00+00:00,3200.0,0.0,0.3,999.2,0.0,800.0,656.0,586.0,-998.9000000000001,-800.0,-3200.0,70.0,-4928.9
2026-01-03 02:00:00+00:00,3200.0,0.0,0.0,999.6,0.0,800.0,647.0,577.0,-999.6,-800.0,-3200.0,70.0,-4929.6
2026-01-03 03:00:00+00:00,3200.0,0.0,0.0,999.1,0.0,799.994,865.0,577.0,-999.1,-799.994,-3200.0,288.0,-4711.094
2026-01-03 04:00:00+00:00,3200.0,0.0,0.8,999.7,0.0,799.978,879.0,552.0,-998.9000000000001,-799.978,-3200.0,327.0,-4671.878000000001
2026-01-03 05:00:00+00:00,3200.0,0.0,0.0,1000.0,0.0,799.968,1097.0,20.75,-1000.0,-799.968,-3200.0,1076.25,-3923.718
2026-01-03 06:00:00+00:00,3200.0,0.0,0.0,999.1,0.0,799.964,1524.0,10.5,-999.1,-799.964,-3200.0,1513.5,-3485.5640000000003
2026-01-03 07:00:00+00:00,3200.0,0.0,0.0,999.7,0.0,799.964,1641.0,45.0,-999.7,-799.964,-3200.0,1596.0,-3403.6640000000007
2026-01-03 08:00:00+00:00,3200.0,0.0,0.0,999.5,0.0,799.956,1457.0,33.0,-999.5,-799.956,-3200.0,1424.0,-3575.456
2026-01-03 09:00:00+00:00,3200.0,0.0,0.0,999.7,0.0,800.0,1546.0,472.0,-999.7,-800.0,-3200.0,1074.0,-3925.7
2026-01-03 10:00:00+00:00,3200.0,0.0,0.0,999.1,0.0,800.0,1221.75,540.0,-999.1,-800.0,-3200.0,681.75,-4317.35
2026-01-03 11:00:00+00:00,3200.0,0.0,0.0,990.7,0.0,799.974,1130.0,822.0,-990.7,-799.974,-3200.0,308.0,-4682.674
