,AT_CZ,CZ_AT,CZ_DE_LU,DE_LU_CZ,CZ_PL,PL_CZ,CZ_SK,SK_CZ,CZ_AT_net_export,CZ_DE_LU_net_export,CZ_PL_net_export,CZ_SK_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,1894.1000000000001,0.0,2919.475,1521.675,0.0,0.0,0.0,1894.1000000000001,-2919.475,1521.675,0.0,496.3000000000002
2026-01-01 01:00:00+00:00,0.0,457.125,492.55,1483.475,1519.175,310.525,0.0,0.0,457.125,-990.925,1208.65,0.0,674.8500000000001
2026-01-01 02:00:00+00:00,0.0,4402.825,0.0,4441.775,1014.6,327.525,0.0,0.0,4402.825,-4441.775,687.075,0.0,648.1250000000002
2026-01-01 03:00:00+00:00,0.0,2929.8250000000003,0.0,3152.3500000000004,1119.9,256.075,0.0,0.0,2929.8250000000003,-3152.3500000000004,863.825,0.0,641.3
2026-01-01 04:00:00+00:00,0.0,4452.325,0.0,4703.925,753.3,0.0,0.0,0.0,4452.325,-4703.925,753.3,0.0,501.6999999999996
2026-01-01 05:00:00+00:00,0.0,5319.825,0.0,3928.875,627.4,1306.625,0.0,0.0,5319.825,-3928.875,-679.225,0.0,711.7249999999998
2026-01-01 06:00:00+00:00,0.0,2832.4,0.0,3755.55,1407.475,0.0,0.0,0.0,2832.4,-3755.55,1407.475,0.0,484.3249999999998
2026-01-01 07:00:00+00:00,0.0,3336.3500000000004,0.0,2325.5,0.0,1568.55,0.0,0.0,3336.3500000000004,-2325.5,-1568.55,0.0,-557.6999999999996
2026-01-01 08:00:00+00:00,0.0,2629.825,0.0,2779.9,0.0,991.275,0.0,0.0,2629.825,-2779.9,-991.275,0.0,-1141.3500000000004
2026-01-01 09:00:00+00:00,0.0,3968.075,0.0,3309.8999999999996,0.0,1978.825,0.0,0.0,3968.075,-3309.8999999999996,-1978.825,0.0,-1320.6499999999999
2026-01-01 10:00:00+00:00,0.0,4068.45,0.0,4537.275,0.0,879.575,0.0,0.0,4068.45,-4537.275,-879.575,0.0,-1348.3999999999999
2026-01-01 11:00:00+00:00,0.0,2753.8500000000004,21.5,2362.425,0.0,1761.725,0.0,0.0,2753.8500000000004,-2340.925,-1761.725,0.0,-1348.7999999999997
2026-01-01 12:00:00+00:00,0.0,2823.65,0.0,2192.75,0.0,1986.675,0.0,0.0,2823.65,-2192.75,-1986.675,0.0,-1355.7749999999999
2026-01-01 13:00:00+00:00,0.0,1337.05,0.0,285.45,146.075,1554.25,0.0,0.0,1337.05,-285.45,-1408.175,0.0,-356.57500000000005
2026-01-01 14:00:00+00:00,0.0,707.475,67.4,0.0,0.0,476.725,0.0,0.0,707.475,67.4,-476.725,0.0,298.15
2026-01-01 15:00:00+00:00,0.0,3113.2,0.0,2567.1499999999996,1326.375,1666.225,0.0,0.0,3113.2,-2567.1499999999996,-339.8499999999999,0.0,206.20000000000027
2026-01-01 16:00:00+00:00,0.0,1209.675,0.0,1390.55,167.325,5.425,0.0,0.0,1209.675,-1390.55,161.89999999999998,0.0,-18.975000000000023
2026-01-01 17:00:00+00:00,0.0,4088.2,0.0,2281.0,8.825,1835.375,0.0,0.0,4088.2,-2281.0,-1826.55,0.0,-19.350000000000136
2026-01-01 18:00:00+00:00,0.0,3039.5,0.0,1168.05,0.0,1780.9250000000002,0.0,0.0,3039.5,-1168.05,-1780.9250000000002,0.0,90.52499999999986
2026-01-01 19:00:00+00:00,0.0,3993.7,0.0,3848.625,1382.175,1161.175,0.0,0.0,3993.7,-3848.625,221.0,0.0,366.0749999999998
2026-01-01 20:00:00+00:00,0.0,0.0,0.0,5160.2,5610.675,0.0,0.0,0.0,0.0,-5160.2,5610.675,0.0,450.47500000000036
2026-01-01 21:00:00+00:00,0.0,6075.0,0.0,3899.0,0.0,1828.65,0.0,0.0,6075.0,-3899.0,-1828.65,0.0,347.3499999999999
2026-01-01 22:00:00+00:00,0.0,4776.575,0.0,2534.7,0.0,1928.525,0.0,0.0,4776.575,-2534.7,-1928.525,0.0,313.3499999999999
2026-01-01 23:00:00+00:00,0.0,2136.75,0.0,1239.6,0.0,903.35,609.275,0.0,2136.75,-1239.6,-903.35,609.275,603.075
2026-01-02 00:00:00+00:00,0.0,2127.1,0.0,1242.825,0.0,939.225,568.775,0.0,2127.1,-1242.825,-939.225,568.775,513.8249999999998
2026-01-02 01:00:00+00:00,0.0,2107.225,0.0,1224.15,0.0,912.025,599.725,0.0,2107.225,-1224.15,-912.025,599.725,570.7749999999999
2026-01-02 02:00:00+00:00,0.0,1997.575,0.0,1209.05,0.0,940.1500000000001,493.77500000000003,0.0,1997.575,-1209.05,-940.1500000000001,493.77500000000003,342.15000000000003
2026-01-02 03:00:00+00:00,0.0,2010.225,0.0,1201.25,0.0,953.175,500.4,0.0,2010.225,-1201.25,-953.175,500.4,356.19999999999993
2026-01-02 04:00:00+00:00,0.0,1982.525,0.0,1227.35,0.0,869.925,542.75,0.0,1982.525,-1227.35,-869.925,542.75,428.0000000000002
2026-01-02 05:00:00+00:00,0.0,1985.35,0.0,1158.375,0.0,943.8,522.425,0.0,1985.35,-1158.375,-943.8,522.425,405.5999999999999
2026-01-02 06:00:00+00:00,0.0,1905.725,0.0,1176.95,0.0,740.3,637.45,0.0,1905.725,-1176.95,-740.3,637.45,625.925
2026-01-02 07:00:00+00:00,0.0,1709.6,0.0,1203.35,0.0,692.225,535.15,0.0,1709.6,-1203.35,-692.225,535.15,349.17499999999995
2026-01-02 08:00:00+00:00,0.0,1483.825,0.0,1343.45,0.0,631.325,448.025,0.0,1483.825,-1343.45,-631.325,448.025,-42.92500000000007
2026-01-02 09:00:00+00:00,0.0,1716.225,0.0,1553.4,0.0,780.875,466.95,0.0,1716.225,-1553.4,-780.875,466.95,-151.1000000000002
2026-01-02 10:00:00+00:00,0.0,1609.25,0.0,1559.65,0.0,781.875,471.5,0.0,1609.25,-1559.65,-781.875,471.5,-260.7750000000001
2026-01-02 11:00:00+00:00,0.0,1563.325,0.0,1577.15,0.0,698.425,487.7,0.0,1563.325,-1577.15,-698.425,487.7,-224.55
2026-01-02 12:00:00+00:00,0.0,1263.15,0.0,1421.6,0.0,509.6,434.92499999999995,0.0,1263.15,-1421.6,-509.6,434.92499999999995,-233.1249999999999
2026-01-02 13:00:00+00:00,0.0,1450.375,0.0,1478.55,0.0,459.9,618.675,0.0,1450.375,-1478.55,-459.9,618.675,130.60000000000002
2026-01-02 14:00:00+00:00,0.0,1422.0,0.0,1385.15,0.0,460.5,607.25,0.0,1422.0,-1385.15,-460.5,607.25,183.5999999999999
