,BE_DE_LU,DE_LU_BE,NL_DE_LU,DE_LU_NL,FR_DE_LU,DE_LU_FR,CH_DE_LU,DE_LU_CH,AT_DE_LU,DE_LU_AT,CZ_DE_LU,DE_LU_CZ,NO_2_DE_LU,DE_LU_NO_2,PL_DE_LU,DE_LU_PL,DK_1_DE_LU,DE_LU_DK_1,SE_4_DE_LU,DE_LU_SE_4,DK_2_DE_LU,DE_LU_DK_2,DE_LU_AT_net_export,DE_LU_BE_net_export,DE_LU_CH_net_export,DE_LU_CZ_net_export,DE_LU_DK_1_net_export,DE_LU_DK_2_net_export,DE_LU_FR_net_export,DE_LU_NO_2_net_export,DE_LU_NL_net_export,DE_LU_PL_net_export,DE_LU_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,299.975,232.25,1576.325,0.0,5743.1,0.0,800.0,0.0,2923.875,0.0,2919.475,0.0,1349.5,0.0,0.0,356.0,93.5,154.25,0.0,589.775,0.0,2923.875,299.975,800.0,2919.475,-262.5,-589.775,5743.1,1349.5,1344.075,0.0,-154.25,14373.475000000002
2026-01-01 01:00:00+00:00,130.05,0.0,0.0,3737.8,0.0,3744.6499999999996,0.0,800.0,0.0,4886.2,492.55,1483.475,0.0,1289.5,0.0,0.0,0.0,1119.75,151.25,0.0,394.075,0.0,4886.2,-130.05,800.0,990.925,1119.75,-394.075,3744.6499999999996,1289.5,3737.8,0.0,-151.25,15893.45
2026-01-01 02:00:00+00:00,167.475,0.0,0.0,5547.425,0.0,1852.95,0.0,800.0,0.0,1463.775,0.0,4441.775,0.0,1115.0,0.0,0.0,0.0,1939.25,0.0,52.25,50.15,299.54999999999995,1463.775,-167.475,800.0,4441.775,1939.25,249.39999999999995,1852.95,1115.0,5547.425,0.0,52.25,17294.350000000002
2026-01-01 03:00:00+00:00,48.375,427.1,0.0,4999.025,0.0,1884.25,0.0,800.0,0.0,2869.075,0.0,3152.3500000000004,0.0,1045.5,235.175,0.0,0.0,2380.0,0.0,104.5,0.0,719.175,2869.075,378.725,800.0,3152.3500000000004,2380.0,719.175,1884.25,1045.5,4999.025,-235.175,104.5,18097.425
2026-01-01 04:00:00+00:00,0.0,1000.0,0.0,4913.075,0.0,1641.225,0.0,800.0,0.0,1734.575,0.0,4703.925,0.0,1181.25,1026.75,0.0,0.0,2470.0,0.0,209.0,0.0,748.25,1734.575,1000.0,800.0,4703.925,2470.0,748.25,1641.225,1181.25,4913.075,-1026.75,209.0,18374.55
2026-01-01 05:00:00+00:00,0.0,1000.0,0.0,1924.625,0.0,5772.25,0.0,800.0,0.0,1291.675,0.0,3928.875,0.0,1399.0,0.0,0.0,0.0,2500.0,0.0,209.0,0.0,740.25,1291.675,1000.0,800.0,3928.875,2500.0,740.25,5772.25,1399.0,1924.625,0.0,209.0,19565.675
2026-01-01 06:00:00+00:00,0.0,920.825,0.0,3992.9,0.0,3875.625,0.0,800.0,0.0,1268.225,0.0,3755.55,0.0,1399.0,0.0,0.0,0.0,2500.0,0.0,209.0,0.0,739.75,1268.225,920.825,800.0,3755.55,2500.0,739.75,3875.625,1399.0,3992.9,0.0,209.0,19460.875
2026-01-01 07:00:00+00:00,73.7,250.0,0.0,1959.2,0.0,6650.775000000001,0.0,800.0,0.0,2358.125,0.0,2325.5,0.0,1399.0,0.0,0.0,0.0,2500.0,0.0,209.0,0.0,749.0,2358.125,176.3,800.0,2325.5,2500.0,749.0,6650.775000000001,1399.0,1959.2,0.0,209.0,19126.9
2026-01-01 08:00:00+00:00,122.42500000000001,6.7,0.0,2155.225,0.0,6316.924999999999,0.0,800.0,0.0,2339.325,0.0,2779.9,0.0,1131.25,425.975,0.0,0.0,2500.0,0.0,209.0,0.0,759.75,2339.325,-115.72500000000001,800.0,2779.9,2500.0,759.75,6316.924999999999,1131.25,2155.225,-425.975,209.0,18449.675
2026-01-01 09:00:00+00:00,277.575,48.8,0.0,4142.875,0.0,4302.725,0.0,800.0,0.0,1181.9,0.0,3309.8999999999996,0.0,982.0,893.425,1207.275,0.0,2500.0,0.0,209.0,0.0,755.75,1181.9,-228.77499999999998,800.0,3309.8999999999996,2500.0,755.75,4302.725,982.0,4142.875,313.85000000000014,209.0,18269.225
