,DK_1_DK_2,DK_2_DK_1,SE_4_DK_2,DK_2_SE_4,DK_2_DE_LU,DE_LU_DK_2,DK_2_DE_LU_net_export,DK_2_DK_1_net_export,DK_2_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,600.0,1282.0,0.0,589.775,0.0,589.775,600.0,-1282.0,-92.22499999999991
2026-01-01 01:00:00+00:00,0.0,555.75,1150.0,0.0,394.075,0.0,394.075,555.75,-1150.0,-200.17499999999995
2026-01-01 02:00:00+00:00,2.75,297.25,500.5,0.0,50.15,299.54999999999995,-249.39999999999995,294.5,-500.5,-455.4
2026-01-01 03:00:00+00:00,386.25,0.0,0.0,325.0,0.0,719.175,-719.175,-386.25,325.0,-780.425
2026-01-01 04:00:00+00:00,345.5,0.0,0.0,202.75,0.0,748.25,-748.25,-345.5,202.75,-891.0
2026-01-01 05:00:00+00:00,291.25,0.0,0.0,142.25,0.0,740.25,-740.25,-291.25,142.25,-889.25
2026-01-01 06:00:00+00:00,164.0,0.0,57.25,0.0,0.0,739.75,-739.75,-164.0,-57.25,-961.0
2026-01-01 07:00:00+00:00,93.75,0.0,224.25,0.0,0.0,749.0,-749.0,-93.75,-224.25,-1067.0
2026-01-01 08:00:00+00:00,101.75,0.0,270.5,0.0,0.0,759.75,-759.75,-101.75,-270.5,-1132.0
2026-01-01 09:00:00+00:00,180.0,0.0,45.75,72.25,0.0,755.75,-755.75,-180.0,26.5,-909.25
2026-01-01 10:00:00+00:00,168.0,0.0,0.0,316.75,0.0,755.0,-755.0,-168.0,316.75,-606.25
2026-01-01 11:00:00+00:00,217.0,0.0,0.0,395.0,0.0,759.5,-759.5,-217.0,395.0,-581.5
2026-01-01 12:00:00+00:00,316.5,0.0,0.0,544.25,0.0,760.5,-760.5,-316.5,544.25,-532.75
2026-01-01 13:00:00+00:00,324.5,0.0,0.0,629.75,0.0,757.5,-757.5,-324.5,629.75,-452.25
2026-01-01 14:00:00+00:00,0.0,459.0,140.0,26.75,0.0,751.5,-751.5,459.0,-113.25,-405.75
2026-01-01 15:00:00+00:00,0.0,510.0,135.75,0.0,0.0,753.0,-753.0,510.0,-135.75,-378.75
2026-01-01 16:00:00+00:00,0.0,600.0,239.5,0.0,0.0,757.5,-757.5,600.0,-239.5,-397.0
2026-01-01 17:00:00+00:00,0.0,600.0,295.25,0.0,0.0,727.725,-727.725,600.0,-295.25,-422.975
2026-01-01 18:00:00+00:00,0.0,600.0,250.25,0.0,0.0,729.025,-729.025,600.0,-250.25,-379.275
2026-01-01 19:00:00+00:00,0.0,540.0,147.5,0.0,0.0,739.25,-739.25,540.0,-147.5,-346.75
2026-01-01 20:00:00+00:00,0.0,550.0,132.75,0.0,0.0,741.25,-741.25,550.0,-132.75,-324.0
2026-01-01 21:00:00+00:00,0.0,600.0,206.0,0.0,0.0,743.5,-743.5,600.0,-206.0,-349.5
2026-01-01 22:00:00+00:00,0.0,600.0,223.5,0.0,0.0,742.75,-742.75,600.0,-223.5,-366.25
2026-01-01 23:00:00+00:00,0.0,600.0,17.25,0.0,0.0,737.75,-737.75,600.0,-17.25,-155.0
2026-01-02 00:00:00+00:00,0.0,600.0,0.0,55.5,0.0,752.5,-752.5,600.0,55.5,-97.0
2026-01-02 01:00:00+00:00,0.0,600.0,0.0,50.0,0.0,772.0,-772.0,600.0,50.0,-122.0
2026-01-02 02:00:00+00:00,0.0,600.0,0.0,34.25,0.0,778.75,-778.75,600.0,34.25,-144.5
2026-01-02 03:00:00+00:00,0.0,600.0,0.0,26.75,0.0,761.5,-761.5,600.0,26.75,-134.75
2026-01-02 04:00:00+00:00,0.0,600.0,13.75,80.25,0.0,725.625,-725.625,600.0,66.5,-59.125
2026-01-02 05:00:00+00:00,0.0,600.0,393.5,15.75,5.075,405.85,-400.77500000000003,600.0,-377.75,-178.52500000000003
2026-01-02 06:00:00+00:00,0.0,600.0,1141.25,0.0,302.45,0.0,302.45,600.0,-1141.25,-238.79999999999995
2026-01-02 07:00:00+00:00,0.0,585.0,1152.0,0.0,278.05,0.0,278.05,585.0,-1152.0,-288.95000000000005
2026-01-02 08:00:00+00:00,0.0,585.0,1152.0,0.0,190.675,0.0,190.675,585.0,-1152.0,-376.32500000000005
2026-01-02 09:00:00+00:00,0.0,589.0,1021.0,0.0,0.0,25.125,-25.125,589.0,-1021.0,-457.125
2026-01-02 10:00:00+00:00,0.0,589.0,1107.25,0.0,96.8,9.275,87.52499999999999,589.0,-1107.25,-430.725
2026-01-02 11:00:00+00:00,0.0,589.0,1152.0,0.0,200.825,0.0,200.825,589.0,-1152.0,-362.17499999999995
2026-01-02 12:00:00+00:00,0.0,589.0,1152.0,0.0,345.475,0.0,345.475,589.0,-1152.0,-217.52499999999998
2026-01-02 13:00:00+00:00,0.0,593.75,1152.0,0.0,315.575,0.0,315.575,593.75,-1152.0,-242.67499999999995
2026-01-02 14:00:00+00:00,0.0,500.75,1279.0,0.0,666.925,0.0,666.925,500.75,-1279.0,-111.32500000000005
2026-01-02 15:00:00+00:00,0.0,412.5,1230.5,0.0,666.4,0.0,666.4,412.5,-1230.5,-151.5999999999999
2026-01-02 16:00:00+00:00,0.0,368.25,1282.0,0.0,689.75,0.0,689.75,368.25,-1282.0,-224.0
2026-01-02 17:00:00+00:00,0.0,326.5,1247.0,0.0,701.5,0.0,701.5,326.5,-1247.0,-219.0
