,LV_EE,EE_LV,EE_FI,FI_EE,EE_FI_net_export,EE_LV_net_export,Net Export
2026-01-01 00:00:00+00:00,190.625,0.0,0.0,575.75,-575.75,-190.625,-766.375
2026-01-01 01:00:00+00:00,296.575,0.0,0.0,436.0,-436.0,-296.575,-732.575
2026-01-01 02:00:00+00:00,279.45,0.0,0.0,441.75,-441.75,-279.45,-721.2
2026-01-01 03:00:00+00:00,406.65,0.0,0.0,301.0,-301.0,-406.65,-707.65
2026-01-01 04:00:00+00:00,483.775,0.0,0.0,235.5,-235.5,-483.775,-719.275
2026-01-01 05:00:00+00:00,516.7,0.0,0.0,216.25,-216.25,-516.7,-732.95
2026-01-01 06:00:00+00:00,530.525,0.0,0.0,219.5,-219.5,-530.525,-750.025
2026-01-01 07:00:00+00:00,432.125,0.0,0.0,305.75,-305.75,-432.125,-737.875
2026-01-01 08:00:00+00:00,414.725,0.0,0.0,312.0,-312.0,-414.725,-726.725
2026-01-01 09:00:00+00:00,428.0,0.0,0.0,290.5,-290.5,-428.0,-718.5
2026-01-01 10:00:00+00:00,459.45000000000005,0.0,0.0,256.0,-256.0,-459.45000000000005,-715.45
2026-01-01 11:00:00+00:00,416.375,0.0,0.0,288.5,-288.5,-416.375,-704.875
2026-01-01 12:00:00+00:00,272.7,0.0,0.0,428.75,-428.75,-272.7,-701.45
2026-01-01 13:00:00+00:00,332.75,0.0,0.0,346.25,-346.25,-332.75,-679.0
2026-01-01 14:00:00+00:00,303.45,0.0,0.0,361.25,-361.25,-303.45,-664.7
2026-01-01 15:00:00+00:00,299.575,0.0,0.0,323.0,-323.0,-299.575,-622.575
2026-01-01 16:00:00+00:00,291.45,0.0,0.0,299.5,-299.5,-291.45,-590.95
2026-01-01 17:00:00+00:00,237.075,0.0,0.0,326.25,-326.25,-237.075,-563.325
2026-01-01 18:00:00+00:00,128.725,0.0,0.0,411.75,-411.75,-128.725,-540.475
2026-01-01 19:00:00+00:00,160.89999999999998,0.0,0.0,363.0,-363.0,-160.89999999999998,-523.9
2026-01-01 20:00:00+00:00,221.825,0.0,0.0,256.5,-256.5,-221.825,-478.325
