,SE_3_FI,FI_SE_3,EE_FI,FI_EE,FI_NO_4,NO_4_FI,FI_SE_1,SE_1_FI,FI_EE_net_export,FI_NO_4_net_export,FI_SE_1_net_export,FI_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,1200.0,0.0,0.0,575.75,1748.5,144.25,0.0,3511.75,575.75,1604.25,-3511.75,-1200.0,-2531.75
2026-01-01 01:00:00+00:00,1200.0,0.0,0.0,436.0,470.0,420.75,0.0,1954.5,436.0,49.25,-1954.5,-1200.0,-2669.25
2026-01-01 02:00:00+00:00,1200.0,0.0,0.0,441.75,1480.0,646.25,0.0,2735.75,441.75,833.75,-2735.75,-1200.0,-2660.25
2026-01-01 03:00:00+00:00,1200.0,0.0,0.0,301.0,0.0,991.5,0.0,911.5,301.0,-991.5,-911.5,-1200.0,-2802.0
2026-01-01 04:00:00+00:00,1200.0,0.0,0.0,235.5,0.0,963.5,0.0,935.0,235.5,-963.5,-935.0,-1200.0,-2863.0
2026-01-01 05:00:00+00:00,1200.0,0.0,0.0,216.25,658.25,437.75,0.0,2121.25,216.25,220.5,-2121.25,-1200.0,-2884.5
2026-01-01 06:00:00+00:00,1200.0,0.0,0.0,219.5,603.0,345.75,0.0,2158.5,219.5,257.25,-2158.5,-1200.0,-2881.75
2026-01-01 07:00:00+00:00,1200.0,0.0,0.0,305.75,1802.75,0.0,0.0,3710.0,305.75,1802.75,-3710.0,-1200.0,-2801.5
2026-01-01 08:00:00+00:00,1200.0,0.0,0.0,312.0,0.0,198.25,0.0,1713.75,312.0,-198.25,-1713.75,-1200.0,-2800.0
2026-01-01 09:00:00+00:00,1200.0,0.0,0.0,290.5,1122.75,168.5,0.0,2878.5,290.5,954.25,-2878.5,-1200.0,-2833.75
2026-01-01 10:00:00+00:00,1200.0,0.0,0.0,256.0,1072.5,146.25,0.0,2862.5,256.0,926.25,-2862.5,-1200.0,-2880.25
2026-01-01 11:00:00+00:00,1200.0,0.0,0.0,288.5,1005.25,158.0,0.0,2788.0,288.5,847.25,-2788.0,-1200.0,-2852.25
2026-01-01 12:00:00+00:00,1200.0,0.0,0.0,428.75,1057.0,281.25,0.0,2718.25,428.75,775.75,-2718.25,-1200.0,-2713.75
2026-01-01 13:00:00+00:00,1200.0,0.0,0.0,346.25,588.5,151.75,0.0,2374.5,346.25,436.75,-2374.5,-1200.0,-2791.5
2026-01-01 14:00:00+00:00,1200.0,0.0,0.0,361.25,1736.0,68.25,0.0,3605.25,361.25,1667.75,-3605.25,-1200.0,-2776.25
2026-01-01 15:00:00+00:00,1200.0,0.0,0.0,323.0,597.0,59.5,0.0,2470.25,323.0,537.5,-2470.25,-1200.0,-2809.75
2026-01-01 16:00:00+00:00,1200.0,0.0,0.0,299.5,130.75,0.0,0.0,2055.75,299.5,130.75,-2055.75,-1200.0,-2825.5
2026-01-01 17:00:00+00:00,1200.0,0.0,0.0,326.25,1009.25,80.75,0.0,2872.0,326.25,928.5,-2872.0,-1200.0,-2817.25
2026-01-01 18:00:00+00:00,1200.0,0.0,0.0,411.75,513.25,244.5,0.0,2220.0,411.75,268.75,-2220.0,-1200.0,-2739.5
2026-01-01 19:00:00+00:00,1200.0,0.0,0.0,363.0,0.0,137.5,0.0,1814.5,363.0,-137.5,-1814.5,-1200.0,-2789.0
