,BE_FR,FR_BE,FR_CH,CH_FR,FR_DE_LU,DE_LU_FR,FR_ES,ES_FR,FR_GB,GB_FR,FR_IT_NORD,IT_NORD_FR,FR_BE_net_export,FR_CH_net_export,FR_DE_LU_net_export,FR_ES_net_export,FR_GB_net_export,FR_IT_NORD_net_export,Net Export
2026-01-01 00:00:00+00:00,956.9499999999999,706.7750000000001,3200.0,0.0,0.0,5743.1,1900.0,0.0,236.0,2223.0,2829.0,0.0,-250.17499999999984,3200.0,-5743.1,1900.0,-1987.0,2829.0,-51.27500000000009
2026-01-01 01:00:00+00:00,1539.125,530.6,3200.0,0.0,0.0,3744.6499999999996,1900.0,0.0,236.0,2915.0,2829.0,0.0,-1008.525,3200.0,-3744.6499999999996,1900.0,-2679.0,2829.0,496.8250000000003
2026-01-01 02:00:00+00:00,1495.0,452.65,3200.0,0.0,0.0,1852.95,1900.0,0.0,236.0,2309.0,2829.0,0.0,-1042.35,3200.0,-1852.95,1900.0,-2073.0,2829.0,2960.7
2026-01-01 03:00:00+00:00,1238.275,247.375,3200.0,0.0,0.0,1884.25,1900.0,0.0,236.0,2680.0,2829.0,0.0,-990.9000000000001,3200.0,-1884.25,1900.0,-2444.0,2829.0,2609.85
2026-01-01 04:00:00+00:00,2191.875,47.025,3200.0,0.0,0.0,1641.225,1900.0,0.0,236.0,3214.0,2829.0,0.0,-2144.85,3200.0,-1641.225,1900.0,-2978.0,2829.0,1164.9250000000002
2026-01-01 05:00:00+00:00,1109.05,0.0,3200.0,0.0,0.0,5772.25,1900.0,0.0,307.0,3417.0,2829.0,0.0,-1109.05,3200.0,-5772.25,1900.0,-3110.0,2829.0,-2062.3
2026-01-01 06:00:00+00:00,882.1,0.0,3200.0,0.0,0.0,3875.625,1900.0,0.0,307.0,2793.0,2829.0,0.0,-882.1,3200.0,-3875.625,1900.0,-2486.0,2829.0,685.2750000000001
2026-01-01 07:00:00+00:00,117.7,532.325,3200.0,0.0,0.0,6650.775000000001,1900.0,0.0,350.0,1968.0,2829.0,0.0,414.62500000000006,3200.0,-6650.775000000001,1900.0,-1618.0,2829.0,74.84999999999945
2026-01-01 08:00:00+00:00,78.25,715.925,3200.0,0.0,0.0,6316.924999999999,1900.0,0.0,583.0,801.0,2831.5,0.0,637.675,3200.0,-6316.924999999999,1900.0,-218.0,2831.5,2034.250000000001
2026-01-01 09:00:00+00:00,289.325,1228.5,3200.0,0.0,0.0,4302.725,1900.0,0.0,1272.0,141.0,2174.25,0.0,939.175,3200.0,-4302.725,1900.0,1131.0,2174.25,5041.7
2026-01-01 10:00:00+00:00,61.475,892.8000000000001,3200.0,0.0,0.0,5887.825,1900.0,0.0,1943.0,0.0,2763.5,0.0,831.325,3200.0,-5887.825,1900.0,1943.0,2763.5,4750.0
2026-01-01 11:00:00+00:00,311.0,1395.675,3200.0,0.0,0.0,1592.375,1900.0,0.0,1800.0,0.0,2280.75,0.0,1084.675,3200.0,-1592.375,1900.0,1800.0,2280.75,8673.05
2026-01-01 12:00:00+00:00,430.5,1849.6,3200.0,0.0,0.0,3948.025,1900.0,0.0,2821.0,0.0,2835.75,0.0,1419.1,3200.0,-3948.025,1900.0,2821.0,2835.75,8227.825
2026-01-01 13:00:00+00:00,480.85,2403.475,3200.0,0.0,0.0,2201.05,1900.0,0.0,3140.0,0.0,2996.0,0.0,1922.625,3200.0,-2201.05,1900.0,3140.0,2996.0,10957.575
2026-01-01 14:00:00+00:00,1080.875,2137.425,3200.0,0.0,0.0,3384.2,1900.0,0.0,3048.0,0.0,3051.0,0.0,1056.5500000000002,3200.0,-3384.2,1900.0,3048.0,3051.0,8871.35
2026-01-01 15:00:00+00:00,1732.05,2424.3500000000004,3200.0,0.0,0.0,2004.125,1843.15,0.0,3527.0,0.0,3051.0,0.0,692.3000000000004,3200.0,-2004.125,1843.15,3527.0,3051.0,10309.325
2026-01-01 16:00:00+00:00,3156.575,1788.525,3200.0,0.0,0.0,0.0,1900.0,0.0,3528.0,0.0,3051.0,0.0,-1368.0499999999997,3200.0,0.0,1900.0,3528.0,3051.0,10310.95
2026-01-01 17:00:00+00:00,826.175,1868.15,3200.0,0.0,0.0,6039.25,1900.0,0.0,3528.0,0.0,3076.75,0.0,1041.9750000000001,3200.0,-6039.25,1900.0,3528.0,3076.75,6707.475
2026-01-01 18:00:00+00:00,853.3,1390.925,3200.0,0.0,0.0,6026.475,1900.0,0.0,3528.0,0.0,3107.0,0.0,537.625,3200.0,-6026.475,1900.0,3528.0,3107.0,6246.15
2026-01-01 19:00:00+00:00,2088.625,1407.175,3200.0,0.0,0.0,2148.125,1900.0,0.0,3363.0,0.0,3107.0,0.0,-681.45,3200.0,-2148.125,1900.0,3363.0,3107.0,8740.425
2026-01-01 20:00:00+00:00,1086.025,1897.3000000000002,3200.0,0.0,0.0,4388.65,1900.0,0.0,2779.0,0.0,3051.0,0.0,811.2750000000001,3200.0,-4388.65,1900.0,2779.0,3051.0,7352.625
2026-01-01 21:00:00+00:00,1658.9,1316.125,3200.0,0.0,0.0,2208.8,1900.0,0.0,1674.0,165.0,2968.0,0.0,-342.7750000000001,3200.0,-2208.8,1900.0,1509.0,2968.0,7025.424999999999
2026-01-01 22:00:00+00:00,1410.375,538.7,3200.0,0.0,0.0,2026.3,1900.0,0.0,1322.0,425.0,2896.0,0.0,-871.675,3200.0,-2026.3,1900.0,897.0,2896.0,5995.025
2026-01-01 23:00:00+00:00,3147.7,0.0,3200.0,0.0,0.0,7997.15,1900.0,0.0,1419.0,263.0,3035.0,0.0,-3147.7,3200.0,-7997.15,1900.0,1156.0,3035.0,-1853.8499999999995
2026-01-02 00:00:00+00:00,3064.7,0.0,3200.0,0.0,0.0,8037.3,1900.0,0.0,1936.0,107.0,3035.0,0.0,-3064.7,3200.0,-8037.3,1900.0,1829.0,3035.0,-1138.0
2026-01-02 01:00:00+00:00,2823.7,0.0,3200.0,0.0,0.0,8177.25,1900.0,0.0,1902.0,121.0,3035.0,0.0,-2823.7,3200.0,-8177.25,1900.0,1781.0,3035.0,-1084.9499999999998
2026-01-02 02:00:00+00:00,2824.7,0.0,3200.0,0.0,0.0,8235.65,1900.0,0.0,1370.0,226.0,3001.0,0.0,-2824.7,3200.0,-8235.65,1900.0,1144.0,3001.0,-1815.3499999999995
2026-01-02 03:00:00+00:00,2752.375,0.0,3200.0,0.0,0.0,8172.275,1900.0,0.0,1075.0,525.0,3075.0,0.0,-2752.375,3200.0,-8172.275,1900.0,550.0,3075.0,-2199.6499999999996
2026-01-02 04:00:00+00:00,2570.9249999999997,0.0,3200.0,0.0,0.0,8144.125,1900.0,0.0,848.0,884.0,3075.0,0.0,-2570.9249999999997,3200.0,-8144.125,1900.0,-36.0,3075.0,-2576.0499999999993
2026-01-02 05:00:00+00:00,2704.3,0.0,3200.0,0.0,0.0,8086.8,1900.0,0.0,675.0,1279.0,3075.0,0.0,-2704.3,3200.0,-8086.8,1900.0,-604.0,3075.0,-3220.1000000000004
