,BG_GR,GR_BG,GR_MK,GR_IT_SUD,IT_SUD_GR,MK_GR,GR_BG_net_export,GR_MK_net_export,GR_IT_SUD_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,277.925,464.0,500.0,0.0,0.0,277.925,464.0,500.0,1241.925
2026-01-01 01:00:00+00:00,115.55000000000001,63.425,457.0,500.0,0.0,0.0,-52.125000000000014,457.0,500.0,904.875
2026-01-01 02:00:00+00:00,249.675,2.75,463.0,500.0,0.0,0.0,-246.925,463.0,500.0,716.075
2026-01-01 03:00:00+00:00,512.6,2.75,429.0,500.0,0.0,0.0,-509.85,429.0,500.0,419.15
2026-01-01 04:00:00+00:00,519.475,2.75,393.0,500.0,0.0,0.0,-516.725,393.0,500.0,376.275
2026-01-01 05:00:00+00:00,830.625,2.75,352.0,500.0,0.0,0.0,-827.875,352.0,500.0,24.125
2026-01-01 06:00:00+00:00,661.1,2.75,321.0,500.0,0.0,0.0,-658.35,321.0,500.0,162.64999999999998
2026-01-01 07:00:00+00:00,84.175,317.725,326.0,500.0,0.0,0.0,233.55,326.0,500.0,1059.55
2026-01-01 08:00:00+00:00,0.0,656.525,316.0,500.0,0.0,5.0,656.525,311.0,500.0,1467.525
2026-01-01 09:00:00+00:00,0.0,808.0,324.0,500.0,0.0,5.0,808.0,319.0,500.0,1627.0
2026-01-01 10:00:00+00:00,0.0,706.1,301.0,500.0,0.0,5.0,706.1,296.0,500.0,1502.1
2026-01-01 11:00:00+00:00,0.0,440.425,313.0,500.0,0.0,5.0,440.425,308.0,500.0,1248.425
2026-01-01 12:00:00+00:00,61.65,66.89999999999999,382.0,500.0,0.0,5.0,5.249999999999993,377.0,500.0,882.25
2026-01-01 13:00:00+00:00,614.95,2.75,445.0,500.0,0.0,0.0,-612.2,445.0,500.0,332.79999999999995
2026-01-01 14:00:00+00:00,1340.175,2.75,443.0,500.0,0.0,0.0,-1337.425,443.0,500.0,-394.42499999999995
2026-01-01 15:00:00+00:00,1328.075,2.75,402.0,0.0,249.0,0.0,-1325.325,402.0,-249.0,-1172.325
2026-01-01 16:00:00+00:00,1408.8,2.75,405.0,0.0,273.0,0.0,-1406.05,405.0,-273.0,-1274.05
2026-01-01 17:00:00+00:00,1404.925,2.75,394.0,0.0,169.0,0.0,-1402.175,394.0,-169.0,-1177.175
2026-01-01 18:00:00+00:00,1406.725,2.75,384.0,0.0,321.0,0.0,-1403.975,384.0,-321.0,-1340.975
2026-01-01 19:00:00+00:00,1407.575,2.75,411.0,0.0,500.0,0.0,-1404.825,411.0,-500.0,-1493.825
2026-01-01 20:00:00+00:00,1411.0,2.75,441.0,0.0,235.0,0.0,-1408.25,441.0,-235.0,-1202.25
2026-01-01 21:00:00+00:00,1209.275,2.75,470.0,0.0,26.0,0.0,-1206.525,470.0,-26.0,-762.5250000000001
2026-01-01 22:00:00+00:00,1411.0,2.75,448.0,500.0,0.0,0.0,-1408.25,448.0,500.0,-460.25
2026-01-01 23:00:00+00:00,1248.2,0.0,300.0,500.0,0.0,80.0,-1248.2,220.0,500.0,-528.2
2026-01-02 00:00:00+00:00,1297.9,0.0,281.0,500.0,0.0,90.0,-1297.9,191.0,500.0,-606.9000000000001
2026-01-02 01:00:00+00:00,1191.575,0.0,202.0,500.0,0.0,90.0,-1191.575,112.0,500.0,-579.575
2026-01-02 02:00:00+00:00,1073.025,0.0,170.0,500.0,0.0,90.0,-1073.025,80.0,500.0,-493.0250000000001
2026-01-02 03:00:00+00:00,979.475,0.0,146.0,500.0,0.0,90.0,-979.475,56.0,500.0,-423.475
2026-01-02 04:00:00+00:00,1074.375,0.0,137.0,500.0,0.0,90.0,-1074.375,47.0,500.0,-527.375
2026-01-02 05:00:00+00:00,1085.625,0.0,120.0,391.0,0.0,0.0,-1085.625,120.0,391.0,-574.625
2026-01-02 06:00:00+00:00,761.225,0.0,130.0,500.0,0.0,0.0,-761.225,130.0,500.0,-131.22500000000002
2026-01-02 07:00:00+00:00,346.05,0.0,354.0,500.0,0.0,0.0,-346.05,354.0,500.0,507.95
2026-01-02 08:00:00+00:00,0.0,108.675,397.0,500.0,0.0,0.0,108.675,397.0,500.0,1005.675
2026-01-02 09:00:00+00:00,0.0,490.375,439.0,500.0,0.0,0.0,490.375,439.0,500.0,1429.375
2026-01-02 10:00:00+00:00,0.0,1007.0,433.0,92.0,0.0,0.0,1007.0,433.0,92.0,1532.0
2026-01-02 11:00:00+00:00,0.0,1036.775,425.0,0.0,256.0,0.0,1036.775,425.0,-256.0,1205.775
2026-01-02 12:00:00+00:00,0.0,1046.025,418.0,0.0,500.0,0.0,1046.025,418.0,-500.0,964.0250000000001
2026-01-02 13:00:00+00:00,0.0,672.8,419.0,0.0,229.0,0.0,672.8,419.0,-229.0,862.8
