,HU_HR,HR_HU,SI_HR,HR_SI,RS_HR,HR_RS,BA_HR,HR_BA,HR_BA_net_export,HR_HU_net_export,HR_RS_net_export,HR_SI_net_export,Net Export
2026-01-01 00:00:00+00:00,1017.575,823.9,1529.3,47.0,0.0,461.0,0.0,500.0,500.0,-193.67500000000007,461.0,-1482.3,-714.975
2026-01-01 01:00:00+00:00,668.2750000000001,1801.725,2800.525,47.0,0.0,461.0,0.0,500.0,500.0,1133.4499999999998,461.0,-2753.525,-659.0750000000003
2026-01-01 02:00:00+00:00,1252.825,0.0,351.0,46.0,0.0,461.0,0.0,500.0,500.0,-1252.825,461.0,-305.0,-596.825
2026-01-01 03:00:00+00:00,525.9,1369.5749999999998,2245.625,47.0,0.0,300.0,0.0,500.0,500.0,843.6749999999998,300.0,-2198.625,-554.9500000000003
2026-01-01 04:00:00+00:00,712.5,851.5,1449.05,49.0,0.0,321.0,0.0,500.0,500.0,139.0,321.0,-1400.05,-440.04999999999995
2026-01-01 05:00:00+00:00,660.9,831.4,1409.8,53.0,0.0,316.0,0.0,409.0,409.0,170.5,316.0,-1356.8,-461.29999999999995
2026-01-01 06:00:00+00:00,725.625,122.375,708.575,52.0,0.0,361.0,0.0,411.0,411.0,-603.25,361.0,-656.575,-487.82500000000005
2026-01-01 07:00:00+00:00,509.525,284.35,1059.65,50.0,0.0,271.0,0.0,413.0,413.0,-225.17499999999995,271.0,-1009.6500000000001,-550.825
2026-01-01 08:00:00+00:00,1094.65,0.0,428.625,69.3,0.0,296.0,0.0,500.0,500.0,-1094.65,296.0,-359.325,-657.9750000000001
2026-01-01 09:00:00+00:00,1170.0,0.0,351.0,126.275,0.0,329.0,0.0,500.0,500.0,-1170.0,329.0,-224.725,-565.725
2026-01-01 10:00:00+00:00,1139.35,0.0,351.0,43.0,0.0,357.0,0.0,500.0,500.0,-1139.35,357.0,-308.0,-590.3499999999999
2026-01-01 11:00:00+00:00,1049.225,0.0,351.0,42.0,0.0,361.0,0.0,470.0,470.0,-1049.225,361.0,-309.0,-527.2249999999999
2026-01-01 12:00:00+00:00,838.925,0.0,449.25,41.0,0.0,306.0,0.0,500.0,500.0,-838.925,306.0,-408.25,-441.17499999999995
2026-01-01 13:00:00+00:00,611.0,688.65,1253.7,43.0,0.0,256.0,0.0,500.0,500.0,77.64999999999998,256.0,-1210.7,-377.05000000000007
2026-01-01 14:00:00+00:00,139.125,976.9,1366.275,45.0,0.0,166.0,0.0,439.0,439.0,837.775,166.0,-1321.275,121.5
2026-01-01 15:00:00+00:00,231.15,0.0,351.0,48.0,0.0,315.0,0.0,350.0,350.0,-231.15,315.0,-303.0,130.85000000000002
2026-01-01 16:00:00+00:00,342.225,0.0,351.0,52.0,0.0,314.0,0.0,350.0,350.0,-342.225,314.0,-299.0,22.774999999999977
2026-01-01 17:00:00+00:00,261.525,0.0,351.0,54.0,0.0,315.0,0.0,339.0,339.0,-261.525,315.0,-297.0,95.47500000000002
2026-01-01 18:00:00+00:00,205.75,0.0,351.0,51.0,0.0,318.0,0.0,339.0,339.0,-205.75,318.0,-300.0,151.25
2026-01-01 19:00:00+00:00,98.9,0.0,628.25,50.0,0.0,359.0,0.0,440.0,440.0,-98.9,359.0,-578.25,121.85000000000002
2026-01-01 20:00:00+00:00,0.0,0.0,895.0500000000001,48.0,0.0,401.0,0.0,499.0,499.0,0.0,401.0,-847.0500000000001,52.94999999999993
2026-01-01 21:00:00+00:00,0.0,0.0,761.175,48.0,0.0,286.0,0.0,499.0,499.0,0.0,286.0,-713.175,71.82500000000005
2026-01-01 22:00:00+00:00,0.0,0.0,849.7,48.0,0.0,361.0,0.0,499.0,499.0,0.0,361.0,-801.7,58.299999999999955
2026-01-01 23:00:00+00:00,21.85,12.35,758.075,47.0,0.0,345.0,0.0,485.0,485.0,-9.500000000000002,345.0,-711.075,109.42499999999995
2026-01-02 00:00:00+00:00,0.0,108.175,643.5999999999999,47.0,0.0,256.0,0.0,471.0,471.0,108.175,256.0,-596.5999999999999,238.57500000000005
2026-01-02 01:00:00+00:00,0.0,261.825,529.225,46.0,0.0,148.0,0.0,407.0,407.0,261.825,148.0,-483.225,333.6
2026-01-02 02:00:00+00:00,0.0,298.35,503.675,46.0,0.0,134.0,0.0,394.0,394.0,298.35,134.0,-457.675,368.675
2026-01-02 03:00:00+00:00,0.0,284.0,508.8,47.0,0.0,107.0,0.0,424.0,424.0,284.0,107.0,-461.8,353.2
2026-01-02 04:00:00+00:00,0.0,259.025,589.8,49.0,0.0,136.0,0.0,385.0,385.0,259.025,136.0,-540.8,239.22500000000002
2026-01-02 05:00:00+00:00,0.0,230.575,598.15,59.0,0.0,51.0,0.0,387.0,387.0,230.575,51.0,-539.15,129.42500000000007
2026-01-02 06:00:00+00:00,0.0,99.19999999999999,704.1,62.0,0.0,79.0,0.0,333.0,333.0,99.19999999999999,79.0,-642.1,-130.90000000000003
2026-01-02 07:00:00+00:00,15.0,33.625,620.95,59.0,42.0,21.0,5.0,251.0,246.0,18.625,-21.0,-561.95,-318.32500000000005
2026-01-02 08:00:00+00:00,225.0,0.0,610.35,59.0,68.0,183.0,0.0,256.0,256.0,-225.0,115.0,-551.35,-405.35
2026-01-02 09:00:00+00:00,540.0,0.0,530.525,58.0,62.0,178.0,0.0,275.0,275.0,-540.0,116.0,-472.525,-621.525
2026-01-02 10:00:00+00:00,562.425,0.0,537.8,58.0,73.0,176.0,3.0,263.0,260.0,-562.425,103.0,-479.79999999999995,-679.2249999999999
2026-01-02 11:00:00+00:00,490.0,0.0,652.25,58.0,70.0,203.0,0.0,277.0,277.0,-490.0,133.0,-594.25,-674.25
2026-01-02 12:00:00+00:00,351.05,0.0,739.05,56.0,43.0,178.0,0.0,280.0,280.0,-351.05,135.0,-683.05,-619.0999999999999
2026-01-02 13:00:00+00:00,26.175,2.85,722.7,57.0,20.0,77.0,0.0,319.0,319.0,-23.325,57.0,-665.7,-313.02500000000003
2026-01-02 14:00:00+00:00,0.0,236.2,769.475,57.0,25.0,66.0,0.0,173.0,173.0,236.2,41.0,-712.475,-262.27500000000003
2026-01-02 15:00:00+00:00,0.0,266.47499999999997,944.25,61.0,0.0,101.0,0.0,266.0,266.0,266.47499999999997,101.0,-883.25,-249.7750000000001
2026-01-02 16:00:00+00:00,0.0,223.95,983.55,61.0,0.0,91.0,0.0,276.0,276.0,223.95,91.0,-922.55,-331.5999999999999
2026-01-02 17:00:00+00:00,0.0,165.75,947.4,61.0,0.0,99.0,0.0,296.0,296.0,165.75,99.0,-886.4,-325.65
2026-01-02 18:00:00+00:00,0.0,139.975,939.125,60.0,0.0,92.0,0.0,303.0,303.0,139.975,92.0,-879.125,-344.15
2026-01-02 19:00:00+00:00,0.0,98.975,924.55,59.0,0.0,106.0,0.0,269.0,269.0,98.975,106.0,-865.55,-391.57499999999993
2026-01-02 20:00:00+00:00,21.2,3.85,853.45,57.0,0.0,156.0,0.0,231.0,231.0,-17.349999999999998,156.0,-796.45,-426.80000000000007
2026-01-02 21:00:00+00:00,163.55,0.0,807.125,56.0,0.0,220.0,0.0,388.0,388.0,-163.55,220.0,-751.125,-306.675
2026-01-02 22:00:00+00:00,399.1,0.0,727.8,55.0,0.0,331.0,0.0,433.0,433.0,-399.1,331.0,-672.8,-307.9
2026-01-02 23:00:00+00:00,358.025,0.0,663.9,61.0,0.0,375.0,0.0,448.0,448.0,-358.025,375.0,-602.9,-137.92499999999995
2026-01-03 00:00:00+00:00,325.95,0.0,419.95,59.0,0.0,286.0,0.0,383.0,383.0,-325.95,286.0,-360.95,-17.899999999999977
2026-01-03 01:00:00+00:00,240.25,0.0,350.0,67.85,0.0,189.0,0.0,378.0,378.0,-240.25,189.0,-282.15,44.60000000000002
2026-01-03 02:00:00+00:00,208.25,0.0,350.0,123.35,0.0,207.0,0.0,339.0,339.0,-208.25,207.0,-226.65,111.1
2026-01-03 03:00:00+00:00,238.825,0.0,350.575,95.5,0.0,154.0,0.0,342.0,342.0,-238.825,154.0,-255.075,2.1000000000000227
2026-01-03 04:00:00+00:00,320.5,0.0,441.6,68.0,0.0,157.0,0.0,378.0,378.0,-320.5,157.0,-373.6,-159.10000000000002
2026-01-03 05:00:00+00:00,482.05,0.0,586.35,80.0,0.0,270.0,0.0,334.0,334.0,-482.05,270.0,-506.35,-384.40000000000003
2026-01-03 06:00:00+00:00,487.40000000000003,0.0,732.35,81.0,0.0,253.0,0.0,318.0,318.0,-487.40000000000003,253.0,-651.35,-567.75
2026-01-03 07:00:00+00:00,627.475,0.0,672.65,79.0,0.0,258.0,0.0,276.0,276.0,-627.475,258.0,-593.65,-687.125
2026-01-03 08:00:00+00:00,698.025,0.0,578.0,78.0,88.0,245.0,2.0,241.0,239.0,-698.025,157.0,-500.0,-802.025
2026-01-03 09:00:00+00:00,748.575,0.0,538.65,74.0,83.0,256.0,0.0,249.0,249.0,-748.575,173.0,-464.65,-791.225
2026-01-03 10:00:00+00:00,857.5,0.0,639.9,73.0,52.0,286.0,0.0,329.0,329.0,-857.5,234.0,-566.9,-861.4
2026-01-03 11:00:00+00:00,824.525,0.0,665.825,72.0,67.0,306.0,0.0,304.0,304.0,-824.525,239.0,-593.825,-875.35
2026-01-03 12:00:00+00:00,764.55,0.0,750.475,70.0,32.0,306.0,0.0,288.0,288.0,-764.55,274.0,-680.475,-883.025
2026-01-03 13:00:00+00:00,548.325,0.0,851.55,71.0,0.0,276.0,0.0,344.0,344.0,-548.325,276.0,-780.55,-708.875
2026-01-03 14:00:00+00:00,348.3,0.0,975.375,73.0,0.0,335.0,0.0,287.0,287.0,-348.3,335.0,-902.375,-628.675
2026-01-03 15:00:00+00:00,156.25,0.0,971.125,78.0,0.0,208.0,0.0,296.0,296.0,-156.25,208.0,-893.125,-545.375
2026-01-03 16:00:00+00:00,232.60000000000002,0.0,970.625,80.0,0.0,200.0,0.0,301.0,301.0,-232.60000000000002,200.0,-890.625,-622.225
2026-01-03 17:00:00+00:00,232.625,0.0,914.475,79.0,0.0,200.0,0.0,281.0,281.0,-232.625,200.0,-835.475,-587.1
2026-01-03 18:00:00+00:00,182.02499999999998,0.0,901.475,77.0,0.0,195.0,0.0,260.0,260.0,-182.02499999999998,195.0,-824.475,-551.5
2026-01-03 19:00:00+00:00,181.375,0.0,924.925,73.0,0.0,230.0,0.0,324.0,324.0,-181.375,230.0,-851.925,-479.29999999999995
2026-01-03 20:00:00+00:00,243.8,0.0,924.3,68.0,0.0,179.0,0.0,339.0,339.0,-243.8,179.0,-856.3,-582.0999999999999
2026-01-03 21:00:00+00:00,246.75,0.0,913.325,66.0,0.0,259.0,0.0,310.0,310.0,-246.75,259.0,-847.325,-525.075
2026-01-03 22:00:00+00:00,314.65,0.0,728.875,65.0,0.0,300.0,0.0,325.0,325.0,-314.65,300.0,-663.875,-353.525
2026-01-03 23:00:00+00:00,325.4,0.0,747.125,64.0,0.0,265.0,0.0,343.0,343.0,-325.4,265.0,-683.125,-400.525
2026-01-04 00:00:00+00:00,312.6,0.0,587.95,63.0,0.0,233.0,0.0,314.0,314.0,-312.6,233.0,-524.95,-290.55000000000007
2026-01-04 01:00:00+00:00,276.925,0.0,485.475,62.0,0.0,213.0,0.0,265.0,265.0,-276.925,213.0,-423.475,-222.40000000000003
2026-01-04 02:00:00+00:00,113.69999999999999,0.0,522.15,60.0,0.0,191.0,0.0,183.0,183.0,-113.69999999999999,191.0,-462.15,-201.84999999999997
2026-01-04 03:00:00+00:00,229.325,0.0,416.75,60.0,0.0,163.0,0.0,194.0,194.0,-229.325,163.0,-356.75,-229.075
2026-01-04 04:00:00+00:00,167.075,0.0,490.55,61.0,0.0,191.0,0.0,195.0,195.0,-167.075,191.0,-429.55,-210.625
2026-01-04 05:00:00+00:00,141.775,0.0,584.725,66.0,0.0,175.0,0.0,288.0,288.0,-141.775,175.0,-518.725,-197.5
2026-01-04 06:00:00+00:00,12.825,22.75,494.175,66.0,0.0,151.0,0.0,218.0,218.0,9.925,151.0,-428.175,-49.25
2026-01-04 07:00:00+00:00,67.75,11.125,384.175,84.975,0.0,167.0,0.0,137.0,137.0,-56.625,167.0,-299.20000000000005,-51.825000000000045
2026-01-04 08:00:00+00:00,288.675,0.0,350.0,145.975,0.0,151.0,0.0,184.0,184.0,-288.675,151.0,-204.025,-157.70000000000002
2026-01-04 09:00:00+00:00,425.1,0.0,350.0,75.0,0.0,151.0,0.0,254.0,254.0,-425.1,151.0,-275.0,-295.1
2026-01-04 10:00:00+00:00,458.375,0.0,426.9,57.0,0.0,205.0,0.0,256.0,256.0,-458.375,205.0,-369.9,-367.275
2026-01-04 11:00:00+00:00,418.42499999999995,0.0,377.8,57.0,0.0,221.0,0.0,204.0,204.0,-418.42499999999995,221.0,-320.8,-314.22499999999997
2026-01-04 12:00:00+00:00,258.025,0.0,419.325,57.0,0.0,221.0,0.0,225.0,225.0,-258.025,221.0,-362.325,-174.34999999999997
2026-01-04 13:00:00+00:00,108.325,0.0,597.65,56.0,0.0,201.0,0.0,305.0,305.0,-108.325,201.0,-541.65,-143.97499999999997
2026-01-04 14:00:00+00:00,0.0,297.7,456.175,57.0,0.0,176.0,0.0,264.0,264.0,297.7,176.0,-399.175,338.52500000000003
2026-01-04 15:00:00+00:00,0.0,446.4,530.125,61.0,0.0,151.0,0.0,211.0,211.0,446.4,151.0,-469.125,339.275
2026-01-04 16:00:00+00:00,0.0,328.475,439.85,63.0,0.0,207.0,0.0,194.0,194.0,328.475,207.0,-376.85,352.625
2026-01-04 17:00:00+00:00,0.0,270.8,443.225,64.0,0.0,206.0,0.0,247.0,247.0,270.8,206.0,-379.225,344.57499999999993
2026-01-04 18:00:00+00:00,0.0,215.05,376.6,63.0,0.0,204.0,0.0,205.0,205.0,215.05,204.0,-313.6,310.44999999999993
2026-01-04 19:00:00+00:00,0.0,237.675,384.225,62.0,0.0,151.0,0.0,139.0,139.0,237.675,151.0,-322.225,205.44999999999993
2026-01-04 20:00:00+00:00,0.0,146.8,434.375,61.0,0.0,191.0,0.0,127.0,127.0,146.8,191.0,-373.375,91.42500000000001
2026-01-04 21:00:00+00:00,0.0,107.025,377.75,62.7,0.0,211.0,0.0,127.0,127.0,107.025,211.0,-315.05,129.97499999999997
2026-01-04 22:00:00+00:00,32.45,0.4,378.875,84.275,0.0,211.0,0.0,132.0,132.0,-32.050000000000004,211.0,-294.6,16.349999999999966
2026-01-04 23:00:00+00:00,51.65,0.0,523.425,62.0,0.0,351.0,0.0,90.0,90.0,-51.65,351.0,-461.42499999999995,-72.07499999999993
2026-01-05 00:00:00+00:00,42.3,0.0,410.0,60.0,0.0,351.0,0.0,90.0,90.0,-42.3,351.0,-350.0,48.69999999999999
2026-01-05 01:00:00+00:00,0.0,121.7,350.0,114.625,0.0,121.0,0.0,90.0,90.0,121.7,121.0,-235.375,97.32499999999999
2026-01-05 02:00:00+00:00,0.0,165.54999999999998,350.0,204.475,0.0,1.0,0.0,77.0,77.0,165.54999999999998,1.0,-145.525,98.02499999999998
2026-01-05 03:00:00+00:00,0.0,81.7,350.0,249.85,0.0,1.0,0.0,62.0,62.0,81.7,1.0,-100.15,44.54999999999998
2026-01-05 04:00:00+00:00,0.0,66.5,365.425,116.27499999999999,13.0,39.0,0.0,91.0,91.0,66.5,26.0,-249.15000000000003,-65.65000000000003
2026-01-05 05:00:00+00:00,42.099999999999994,4.425,547.025,105.0,0.0,39.0,0.0,80.0,80.0,-37.675,39.0,-442.025,-360.7
2026-01-05 06:00:00+00:00,0.0,113.75,699.5,123.0,0.0,1.0,30.0,80.0,50.0,113.75,1.0,-576.5,-411.75
2026-01-05 07:00:00+00:00,0.0,130.7,840.85,123.0,0.0,133.0,30.0,80.0,50.0,130.7,133.0,-717.85,-404.15000000000003
2026-01-05 08:00:00+00:00,0.0,53.0,878.075,123.0,0.0,140.0,30.0,80.0,50.0,53.0,140.0,-755.075,-512.075
2026-01-05 09:00:00+00:00,123.75,0.0,957.7,120.0,0.0,232.0,30.0,80.0,50.0,-123.75,232.0,-837.7,-679.45
2026-01-05 10:00:00+00:00,258.6,0.0,1079.975,120.0,0.0,209.0,30.0,80.0,50.0,-258.6,209.0,-959.9749999999999,-959.5749999999999
2026-01-05 11:00:00+00:00,295.65,0.0,1078.15,116.0,0.0,206.0,30.0,80.0,50.0,-295.65,206.0,-962.1500000000001,-1001.8000000000001
2026-01-05 12:00:00+00:00,234.5,0.0,1102.625,112.0,0.0,239.0,30.0,80.0,50.0,-234.5,239.0,-990.625,-936.125
2026-01-05 13:00:00+00:00,16.75,52.0,885.4,105.0,0.0,114.0,30.0,80.0,50.0,35.25,114.0,-780.4,-581.15
2026-01-05 14:00:00+00:00,0.0,297.975,745.75,102.0,0.0,39.0,30.0,81.0,51.0,297.975,39.0,-643.75,-255.77499999999998
2026-01-05 15:00:00+00:00,0.0,370.04999999999995,841.075,102.0,0.0,24.0,30.0,81.0,51.0,370.04999999999995,24.0,-739.075,-294.0250000000001
2026-01-05 16:00:00+00:00,0.0,307.0,813.325,105.0,0.0,37.0,30.0,81.0,51.0,307.0,37.0,-708.325,-313.32500000000005
2026-01-05 17:00:00+00:00,0.0,319.975,806.7,102.0,0.0,39.0,30.0,81.0,51.0,319.975,39.0,-704.7,-294.725
2026-01-05 18:00:00+00:00,0.0,274.425,833.1,100.0,0.0,139.0,30.0,80.0,50.0,274.425,139.0,-733.1,-269.675
2026-01-05 19:00:00+00:00,0.0,290.85,820.55,90.0,0.0,139.0,30.0,80.0,50.0,290.85,139.0,-730.55,-250.69999999999993
2026-01-05 20:00:00+00:00,139.5,0.0,863.975,83.0,0.0,101.0,30.0,80.0,50.0,-139.5,101.0,-780.975,-769.475
2026-01-05 21:00:00+00:00,161.02499999999998,0.0,747.025,79.0,0.0,101.0,0.0,80.0,80.0,-161.02499999999998,101.0,-668.025,-648.05
2026-01-05 22:00:00+00:00,165.125,0.0,518.15,78.0,0.0,101.0,0.0,80.0,80.0,-165.125,101.0,-440.15,-424.275
2026-01-05 23:00:00+00:00,204.5,0.0,350.0,195.775,0.0,155.0,0.0,164.0,164.0,-204.5,155.0,-154.225,-39.724999999999994
2026-01-06 00:00:00+00:00,88.575,0.0,350.0,235.425,0.0,141.0,0.0,164.0,164.0,-88.575,141.0,-114.57499999999999,101.85000000000002
2026-01-06 01:00:00+00:00,72.05000000000001,0.0,350.0,425.45,0.0,41.0,0.0,164.0,164.0,-72.05000000000001,41.0,75.44999999999999,208.39999999999998
2026-01-06 02:00:00+00:00,0.15,21.525,350.0,411.85,0.0,41.0,0.0,164.0,164.0,21.375,41.0,61.85000000000002,288.225
2026-01-06 03:00:00+00:00,0.0,105.575,350.0,353.9,0.0,41.0,0.0,150.0,150.0,105.575,41.0,3.8999999999999773,300.47499999999997
2026-01-06 04:00:00+00:00,0.0,154.72500000000002,350.0,297.85,0.0,41.0,0.0,145.0,145.0,154.72500000000002,41.0,-52.14999999999998,288.57500000000005
2026-01-06 05:00:00+00:00,0.0,343.95000000000005,350.0,224.2,0.0,41.0,95.0,40.0,-55.0,343.95000000000005,41.0,-125.80000000000001,204.15000000000003
2026-01-06 06:00:00+00:00,0.0,476.375,368.925,150.675,0.0,41.0,80.0,38.0,-42.0,476.375,41.0,-218.25,257.125
2026-01-06 07:00:00+00:00,0.0,379.9,416.35,132.0,0.0,51.0,80.0,64.0,-16.0,379.9,51.0,-284.35,130.54999999999995
2026-01-06 08:00:00+00:00,0.0,251.375,525.825,126.0,0.0,152.0,80.0,64.0,-16.0,251.375,152.0,-399.82500000000005,-12.450000000000045
2026-01-06 09:00:00+00:00,0.0,143.15,551.125,124.0,0.0,152.0,80.0,64.0,-16.0,143.15,152.0,-427.125,-147.97500000000002
2026-01-06 10:00:00+00:00,0.0,17.475,605.9,123.0,0.0,152.0,34.0,64.0,30.0,17.475,152.0,-482.9,-283.42499999999995
2026-01-06 11:00:00+00:00,0.0,55.375,616.55,122.0,0.0,152.0,57.0,64.0,7.0,55.375,152.0,-494.54999999999995,-280.17499999999995
