,IT_SUD_IT_CALA,IT_CALA_IT_SUD,IT_SICI_IT_CALA,IT_CALA_IT_SICI,IT_CALA_IT_SICI_net_export,IT_CALA_IT_SUD_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,998.25,0.0,513.25,513.25,998.25,1511.5
2026-01-01 01:00:00+00:00,0.0,785.75,0.0,775.25,775.25,785.75,1561.0
2026-01-01 02:00:00+00:00,0.0,785.25,0.0,747.5,747.5,785.25,1532.75
2026-01-01 03:00:00+00:00,0.0,797.0,0.0,728.75,728.75,797.0,1525.75
2026-01-01 04:00:00+00:00,0.0,791.0,0.0,726.5,726.5,791.0,1517.5
2026-01-01 05:00:00+00:00,0.0,723.0,0.0,748.75,748.75,723.0,1471.75
2026-01-01 06:00:00+00:00,0.0,926.0,0.0,557.75,557.75,926.0,1483.75
2026-01-01 07:00:00+00:00,0.0,988.75,0.0,604.75,604.75,988.75,1593.5
2026-01-01 08:00:00+00:00,0.0,296.25,0.0,514.75,514.75,296.25,811.0
2026-01-01 09:00:00+00:00,0.0,141.75,0.0,456.25,456.25,141.75,598.0
2026-01-01 10:00:00+00:00,0.0,187.5,0.0,392.0,392.0,187.5,579.5
2026-01-01 11:00:00+00:00,0.0,216.75,0.0,363.5,363.5,216.75,580.25
2026-01-01 12:00:00+00:00,0.0,277.75,0.0,290.75,290.75,277.75,568.5
2026-01-01 13:00:00+00:00,0.0,324.25,0.0,230.5,230.5,324.25,554.75
2026-01-01 14:00:00+00:00,0.0,564.75,0.0,391.25,391.25,564.75,956.0
2026-01-01 15:00:00+00:00,0.0,1166.0,0.0,324.25,324.25,1166.0,1490.25
2026-01-01 16:00:00+00:00,0.0,1240.5,0.0,177.75,177.75,1240.5,1418.25
2026-01-01 17:00:00+00:00,0.0,1288.25,0.0,189.25,189.25,1288.25,1477.5
2026-01-01 18:00:00+00:00,0.0,1486.5,0.0,191.0,191.0,1486.5,1677.5
2026-01-01 19:00:00+00:00,0.0,1362.25,0.0,149.75,149.75,1362.25,1512.0
2026-01-01 20:00:00+00:00,0.0,1326.25,31.25,18.25,-13.0,1326.25,1313.25
2026-01-01 21:00:00+00:00,0.0,945.0,35.5,296.75,261.25,945.0,1206.25
2026-01-01 22:00:00+00:00,0.0,181.75,0.0,533.75,533.75,181.75,715.5
2026-01-01 23:00:00+00:00,0.0,161.75,0.0,458.25,458.25,161.75,620.0
2026-01-02 00:00:00+00:00,0.0,349.25,0.0,326.75,326.75,349.25,676.0
2026-01-02 01:00:00+00:00,0.0,446.25,0.0,266.25,266.25,446.25,712.5
2026-01-02 02:00:00+00:00,0.0,473.75,0.0,259.5,259.5,473.75,733.25
2026-01-02 03:00:00+00:00,0.0,576.0,0.0,212.25,212.25,576.0,788.25
2026-01-02 04:00:00+00:00,0.0,625.75,0.0,186.5,186.5,625.75,812.25
2026-01-02 05:00:00+00:00,0.0,819.5,132.5,120.25,-12.25,819.5,807.25
2026-01-02 06:00:00+00:00,0.0,1010.75,297.75,89.75,-208.0,1010.75,802.75
2026-01-02 07:00:00+00:00,0.0,1322.5,374.25,0.0,-374.25,1322.5,948.25
2026-01-02 08:00:00+00:00,0.0,791.25,826.75,0.0,-826.75,791.25,-35.5
2026-01-02 09:00:00+00:00,0.0,643.25,658.0,0.0,-658.0,643.25,-14.75
2026-01-02 10:00:00+00:00,0.0,733.5,716.25,0.0,-716.25,733.5,17.25
2026-01-02 11:00:00+00:00,0.0,936.5,881.75,0.0,-881.75,936.5,54.75
2026-01-02 12:00:00+00:00,0.0,1108.75,964.25,0.0,-964.25,1108.75,144.5
2026-01-02 13:00:00+00:00,0.0,1009.5,852.0,0.0,-852.0,1009.5,157.5
2026-01-02 14:00:00+00:00,0.0,1177.25,644.0,0.0,-644.0,1177.25,533.25
2026-01-02 15:00:00+00:00,0.0,1599.75,381.5,0.0,-381.5,1599.75,1218.25
2026-01-02 16:00:00+00:00,0.0,1565.5,327.25,0.0,-327.25,1565.5,1238.25
2026-01-02 17:00:00+00:00,0.0,1407.75,184.25,0.0,-184.25,1407.75,1223.5
2026-01-02 18:00:00+00:00,0.0,1529.75,59.75,0.0,-59.75,1529.75,1470.0
2026-01-02 19:00:00+00:00,0.0,1025.5,36.75,326.0,289.25,1025.5,1314.75
2026-01-02 20:00:00+00:00,0.0,1236.75,124.5,240.5,116.0,1236.75,1352.75
2026-01-02 21:00:00+00:00,0.0,759.25,0.0,326.25,326.25,759.25,1085.5
2026-01-02 22:00:00+00:00,0.0,696.5,0.25,84.0,83.75,696.5,780.25
2026-01-02 23:00:00+00:00,0.0,107.75,72.25,0.0,-72.25,107.75,35.5
