,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CNOR_IT_NORD_net_export,IT_CNOR_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,2185.75,0.0,0.0,1640.5,-2185.75,1640.5,-545.25
2026-01-01 01:00:00+00:00,2381.75,0.0,0.0,1870.5,-2381.75,1870.5,-511.25
2026-01-01 02:00:00+00:00,2188.75,0.0,0.0,1727.0,-2188.75,1727.0,-461.75
2026-01-01 03:00:00+00:00,1793.25,0.0,0.0,1250.5,-1793.25,1250.5,-542.75
2026-01-01 04:00:00+00:00,1627.5,0.0,0.0,1105.5,-1627.5,1105.5,-522.0
2026-01-01 05:00:00+00:00,1769.5,0.0,0.0,1248.25,-1769.5,1248.25,-521.25
2026-01-01 06:00:00+00:00,1849.25,0.0,0.0,1288.0,-1849.25,1288.0,-561.25
2026-01-01 07:00:00+00:00,1257.25,0.0,0.0,656.75,-1257.25,656.75,-600.5
2026-01-01 08:00:00+00:00,795.0,0.0,0.0,342.25,-795.0,342.25,-452.75
2026-01-01 09:00:00+00:00,519.5,0.0,86.5,0.0,-519.5,-86.5,-606.0
2026-01-01 10:00:00+00:00,545.5,0.0,177.5,94.25,-545.5,-83.25,-628.75
2026-01-01 11:00:00+00:00,837.25,0.0,0.0,253.0,-837.25,253.0,-584.25
2026-01-01 12:00:00+00:00,79.25,60.25,573.5,0.0,-19.0,-573.5,-592.5
2026-01-01 13:00:00+00:00,257.5,20.25,405.5,0.0,-237.25,-405.5,-642.75
2026-01-01 14:00:00+00:00,975.25,0.0,0.0,387.5,-975.25,387.5,-587.75
2026-01-01 15:00:00+00:00,1695.75,0.0,0.0,1020.25,-1695.75,1020.25,-675.5
2026-01-01 16:00:00+00:00,2001.25,0.0,0.0,1338.5,-2001.25,1338.5,-662.75
2026-01-01 17:00:00+00:00,1837.0,0.0,0.0,1116.5,-1837.0,1116.5,-720.5
2026-01-01 18:00:00+00:00,1679.0,0.0,0.0,897.5,-1679.0,897.5,-781.5
2026-01-01 19:00:00+00:00,1722.75,0.0,0.0,1014.75,-1722.75,1014.75,-708.0
2026-01-01 20:00:00+00:00,1578.75,0.0,0.0,855.0,-1578.75,855.0,-723.75
2026-01-01 21:00:00+00:00,1191.25,0.0,0.0,416.0,-1191.25,416.0,-775.25
2026-01-01 22:00:00+00:00,644.25,0.0,10.5,68.75,-644.25,58.25,-586.0
2026-01-01 23:00:00+00:00,270.25,40.5,399.0,0.0,-229.75,-399.0,-628.75
2026-01-02 00:00:00+00:00,0.0,781.5,1243.25,0.0,781.5,-1243.25,-461.75
2026-01-02 01:00:00+00:00,0.0,1276.25,1731.5,0.0,1276.25,-1731.5,-455.25
2026-01-02 02:00:00+00:00,0.0,1509.0,1971.0,0.0,1509.0,-1971.0,-462.0
2026-01-02 03:00:00+00:00,0.0,1829.0,2303.75,0.0,1829.0,-2303.75,-474.75
2026-01-02 04:00:00+00:00,0.0,1738.0,2276.75,0.0,1738.0,-2276.75,-538.75
2026-01-02 05:00:00+00:00,0.0,1014.0,1727.5,0.0,1014.0,-1727.5,-713.5
2026-01-02 06:00:00+00:00,52.5,308.5,1105.25,0.0,256.0,-1105.25,-849.25
2026-01-02 07:00:00+00:00,0.0,364.25,1239.5,0.0,364.25,-1239.5,-875.25
2026-01-02 08:00:00+00:00,0.0,366.75,1293.0,0.0,366.75,-1293.0,-926.25
2026-01-02 09:00:00+00:00,0.0,847.5,1865.5,0.0,847.5,-1865.5,-1018.0
2026-01-02 10:00:00+00:00,0.0,1103.75,2157.75,0.0,1103.75,-2157.75,-1054.0
2026-01-02 11:00:00+00:00,0.0,1332.75,2233.0,0.0,1332.75,-2233.0,-900.25
2026-01-02 12:00:00+00:00,0.0,1502.25,2261.25,0.0,1502.25,-2261.25,-759.0
2026-01-02 13:00:00+00:00,0.0,997.75,1844.0,0.0,997.75,-1844.0,-846.25
2026-01-02 14:00:00+00:00,0.0,848.75,1711.75,0.0,848.75,-1711.75,-863.0
2026-01-02 15:00:00+00:00,107.5,32.0,1068.5,0.0,-75.5,-1068.5,-1144.0
2026-01-02 16:00:00+00:00,275.0,0.0,830.75,0.0,-275.0,-830.75,-1105.75
2026-01-02 17:00:00+00:00,359.5,0.0,826.5,0.0,-359.5,-826.5,-1186.0
2026-01-02 18:00:00+00:00,276.0,0.0,813.0,0.0,-276.0,-813.0,-1089.0
2026-01-02 19:00:00+00:00,301.75,2.5,813.0,0.0,-299.25,-813.0,-1112.25
2026-01-02 20:00:00+00:00,10.75,184.25,1184.75,0.0,173.5,-1184.75,-1011.25
2026-01-02 21:00:00+00:00,0.0,292.25,1178.75,0.0,292.25,-1178.75,-886.5
2026-01-02 22:00:00+00:00,0.0,972.5,1583.5,0.0,972.5,-1583.5,-611.0
2026-01-02 23:00:00+00:00,0.0,1226.5,1959.0,0.0,1226.5,-1959.0,-732.5
2026-01-03 00:00:00+00:00,0.0,2099.25,2700.5,0.0,2099.25,-2700.5,-601.25
2026-01-03 01:00:00+00:00,0.0,2684.5,3206.0,0.0,2684.5,-3206.0,-521.5
2026-01-03 02:00:00+00:00,0.0,2833.0,3334.75,0.0,2833.0,-3334.75,-501.75
2026-01-03 03:00:00+00:00,0.0,2693.75,3203.0,0.0,2693.75,-3203.0,-509.25
2026-01-03 04:00:00+00:00,0.0,2554.5,3086.25,0.0,2554.5,-3086.25,-531.75
2026-01-03 05:00:00+00:00,0.0,1934.75,2596.75,0.0,1934.75,-2596.75,-662.0
