,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_SARD_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,518.75,0.0,-518.75,-518.75
2026-01-01 01:00:00+00:00,719.25,0.0,-719.25,-719.25
2026-01-01 02:00:00+00:00,720.0,0.0,-720.0,-720.0
2026-01-01 03:00:00+00:00,306.75,0.0,-306.75,-306.75
2026-01-01 04:00:00+00:00,215.25,0.0,-215.25,-215.25
2026-01-01 05:00:00+00:00,238.75,0.0,-238.75,-238.75
2026-01-01 06:00:00+00:00,305.0,0.0,-305.0,-305.0
2026-01-01 07:00:00+00:00,267.25,0.0,-267.25,-267.25
2026-01-01 08:00:00+00:00,80.0,0.0,-80.0,-80.0
2026-01-01 09:00:00+00:00,0.0,85.0,85.0,85.0
2026-01-01 10:00:00+00:00,122.0,74.25,-47.75,-47.75
2026-01-01 11:00:00+00:00,418.0,0.0,-418.0,-418.0
2026-01-01 12:00:00+00:00,0.0,193.75,193.75,193.75
2026-01-01 13:00:00+00:00,0.0,147.5,147.5,147.5
2026-01-01 14:00:00+00:00,39.75,5.0,-34.75,-34.75
2026-01-01 15:00:00+00:00,272.25,0.0,-272.25,-272.25
2026-01-01 16:00:00+00:00,430.5,0.0,-430.5,-430.5
2026-01-01 17:00:00+00:00,476.5,0.0,-476.5,-476.5
2026-01-01 18:00:00+00:00,501.5,0.0,-501.5,-501.5
2026-01-01 19:00:00+00:00,471.0,0.0,-471.0,-471.0
2026-01-01 20:00:00+00:00,352.5,0.0,-352.5,-352.5
2026-01-01 21:00:00+00:00,241.5,0.0,-241.5,-241.5
2026-01-01 22:00:00+00:00,134.75,0.0,-134.75,-134.75
2026-01-01 23:00:00+00:00,0.0,77.5,77.5,77.5
2026-01-02 00:00:00+00:00,0.0,189.25,189.25,189.25
2026-01-02 01:00:00+00:00,0.0,263.0,263.0,263.0
2026-01-02 02:00:00+00:00,0.0,266.25,266.25,266.25
2026-01-02 03:00:00+00:00,0.0,276.5,276.5,276.5
2026-01-02 04:00:00+00:00,0.0,221.25,221.25,221.25
2026-01-02 05:00:00+00:00,0.0,145.5,145.5,145.5
2026-01-02 06:00:00+00:00,4.25,18.0,13.75,13.75
2026-01-02 07:00:00+00:00,8.75,9.5,0.75,0.75
2026-01-02 08:00:00+00:00,0.0,148.25,148.25,148.25
2026-01-02 09:00:00+00:00,0.0,336.75,336.75,336.75
2026-01-02 10:00:00+00:00,0.0,447.75,447.75,447.75
2026-01-02 11:00:00+00:00,0.0,500.0,500.0,500.0
2026-01-02 12:00:00+00:00,0.0,500.0,500.0,500.0
2026-01-02 13:00:00+00:00,0.0,500.0,500.0,500.0
2026-01-02 14:00:00+00:00,0.0,460.0,460.0,460.0
2026-01-02 15:00:00+00:00,0.0,248.75,248.75,248.75
2026-01-02 16:00:00+00:00,0.0,160.0,160.0,160.0
2026-01-02 17:00:00+00:00,0.0,500.0,500.0,500.0
2026-01-02 18:00:00+00:00,0.0,404.25,404.25,404.25
2026-01-02 19:00:00+00:00,0.0,478.75,478.75,478.75
2026-01-02 20:00:00+00:00,0.0,145.5,145.5,145.5
2026-01-02 21:00:00+00:00,0.0,242.75,242.75,242.75
2026-01-02 22:00:00+00:00,0.0,339.75,339.75,339.75
2026-01-02 23:00:00+00:00,0.0,452.0,452.0,452.0
2026-01-03 00:00:00+00:00,0.0,495.25,495.25,495.25
2026-01-03 01:00:00+00:00,0.0,500.0,500.0,500.0
2026-01-03 02:00:00+00:00,0.0,435.5,435.5,435.5
2026-01-03 03:00:00+00:00,0.0,402.25,402.25,402.25
