,IT_SICI_IT_CALA,IT_CALA_IT_SICI,IT_SICI_IT_CALA_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,513.25,-513.25,-513.25
2026-01-01 01:00:00+00:00,0.0,775.25,-775.25,-775.25
2026-01-01 02:00:00+00:00,0.0,747.5,-747.5,-747.5
2026-01-01 03:00:00+00:00,0.0,728.75,-728.75,-728.75
2026-01-01 04:00:00+00:00,0.0,726.5,-726.5,-726.5
2026-01-01 05:00:00+00:00,0.0,748.75,-748.75,-748.75
2026-01-01 06:00:00+00:00,0.0,557.75,-557.75,-557.75
2026-01-01 07:00:00+00:00,0.0,604.75,-604.75,-604.75
2026-01-01 08:00:00+00:00,0.0,514.75,-514.75,-514.75
2026-01-01 09:00:00+00:00,0.0,456.25,-456.25,-456.25
2026-01-01 10:00:00+00:00,0.0,392.0,-392.0,-392.0
2026-01-01 11:00:00+00:00,0.0,363.5,-363.5,-363.5
2026-01-01 12:00:00+00:00,0.0,290.75,-290.75,-290.75
2026-01-01 13:00:00+00:00,0.0,230.5,-230.5,-230.5
2026-01-01 14:00:00+00:00,0.0,391.25,-391.25,-391.25
2026-01-01 15:00:00+00:00,0.0,324.25,-324.25,-324.25
2026-01-01 16:00:00+00:00,0.0,177.75,-177.75,-177.75
2026-01-01 17:00:00+00:00,0.0,189.25,-189.25,-189.25
2026-01-01 18:00:00+00:00,0.0,191.0,-191.0,-191.0
2026-01-01 19:00:00+00:00,0.0,149.75,-149.75,-149.75
2026-01-01 20:00:00+00:00,31.25,18.25,13.0,13.0
2026-01-01 21:00:00+00:00,35.5,296.75,-261.25,-261.25
2026-01-01 22:00:00+00:00,0.0,533.75,-533.75,-533.75
2026-01-01 23:00:00+00:00,0.0,458.25,-458.25,-458.25
2026-01-02 00:00:00+00:00,0.0,326.75,-326.75,-326.75
2026-01-02 01:00:00+00:00,0.0,266.25,-266.25,-266.25
2026-01-02 02:00:00+00:00,0.0,259.5,-259.5,-259.5
2026-01-02 03:00:00+00:00,0.0,212.25,-212.25,-212.25
2026-01-02 04:00:00+00:00,0.0,186.5,-186.5,-186.5
2026-01-02 05:00:00+00:00,132.5,120.25,12.25,12.25
2026-01-02 06:00:00+00:00,297.75,89.75,208.0,208.0
2026-01-02 07:00:00+00:00,374.25,0.0,374.25,374.25
2026-01-02 08:00:00+00:00,826.75,0.0,826.75,826.75
2026-01-02 09:00:00+00:00,658.0,0.0,658.0,658.0
2026-01-02 10:00:00+00:00,716.25,0.0,716.25,716.25
2026-01-02 11:00:00+00:00,881.75,0.0,881.75,881.75
2026-01-02 12:00:00+00:00,964.25,0.0,964.25,964.25
2026-01-02 13:00:00+00:00,852.0,0.0,852.0,852.0
2026-01-02 14:00:00+00:00,644.0,0.0,644.0,644.0
2026-01-02 15:00:00+00:00,381.5,0.0,381.5,381.5
2026-01-02 16:00:00+00:00,327.25,0.0,327.25,327.25
2026-01-02 17:00:00+00:00,184.25,0.0,184.25,184.25
2026-01-02 18:00:00+00:00,59.75,0.0,59.75,59.75
2026-01-02 19:00:00+00:00,36.75,326.0,-289.25,-289.25
2026-01-02 20:00:00+00:00,124.5,240.5,-116.0,-116.0
2026-01-02 21:00:00+00:00,0.0,326.25,-326.25,-326.25
2026-01-02 22:00:00+00:00,0.25,84.0,-83.75,-83.75
2026-01-02 23:00:00+00:00,72.25,0.0,72.25,72.25
2026-01-03 00:00:00+00:00,143.5,0.0,143.5,143.5
2026-01-03 01:00:00+00:00,166.75,0.0,166.75,166.75
2026-01-03 02:00:00+00:00,211.0,0.0,211.0,211.0
2026-01-03 03:00:00+00:00,168.25,0.0,168.25,168.25
2026-01-03 04:00:00+00:00,77.75,0.0,77.75,77.75
2026-01-03 05:00:00+00:00,53.75,37.25,16.5,16.5
2026-01-03 06:00:00+00:00,260.5,81.25,179.25,179.25
2026-01-03 07:00:00+00:00,588.25,0.0,588.25,588.25
2026-01-03 08:00:00+00:00,464.0,0.0,464.0,464.0
2026-01-03 09:00:00+00:00,317.25,0.0,317.25,317.25
2026-01-03 10:00:00+00:00,403.25,0.0,403.25,403.25
2026-01-03 11:00:00+00:00,476.75,0.0,476.75,476.75
2026-01-03 12:00:00+00:00,433.5,0.0,433.5,433.5
2026-01-03 13:00:00+00:00,282.25,0.0,282.25,282.25
2026-01-03 14:00:00+00:00,14.5,36.5,-22.0,-22.0
2026-01-03 15:00:00+00:00,172.25,153.5,18.75,18.75
2026-01-03 16:00:00+00:00,174.75,0.0,174.75,174.75
2026-01-03 17:00:00+00:00,112.5,0.0,112.5,112.5
2026-01-03 18:00:00+00:00,93.0,0.0,93.0,93.0
2026-01-03 19:00:00+00:00,181.5,0.0,181.5,181.5
2026-01-03 20:00:00+00:00,239.0,130.75,108.25,108.25
2026-01-03 21:00:00+00:00,169.25,44.25,125.0,125.0
2026-01-03 22:00:00+00:00,122.75,0.0,122.75,122.75
2026-01-03 23:00:00+00:00,211.75,0.0,211.75,211.75
2026-01-04 00:00:00+00:00,370.0,0.0,370.0,370.0
2026-01-04 01:00:00+00:00,481.5,0.0,481.5,481.5
2026-01-04 02:00:00+00:00,535.0,0.0,535.0,535.0
2026-01-04 03:00:00+00:00,562.0,0.0,562.0,562.0
2026-01-04 04:00:00+00:00,522.75,0.0,522.75,522.75
2026-01-04 05:00:00+00:00,452.25,0.0,452.25,452.25
2026-01-04 06:00:00+00:00,355.5,0.0,355.5,355.5
2026-01-04 07:00:00+00:00,398.0,0.0,398.0,398.0
2026-01-04 08:00:00+00:00,341.5,0.0,341.5,341.5
2026-01-04 09:00:00+00:00,377.75,0.0,377.75,377.75
2026-01-04 10:00:00+00:00,404.25,0.0,404.25,404.25
2026-01-04 11:00:00+00:00,395.5,0.0,395.5,395.5
2026-01-04 12:00:00+00:00,364.25,0.0,364.25,364.25
2026-01-04 13:00:00+00:00,296.25,0.0,296.25,296.25
2026-01-04 14:00:00+00:00,303.25,0.0,303.25,303.25
2026-01-04 15:00:00+00:00,247.75,79.25,168.5,168.5
2026-01-04 16:00:00+00:00,274.75,0.0,274.75,274.75
2026-01-04 17:00:00+00:00,288.0,0.0,288.0,288.0
2026-01-04 18:00:00+00:00,240.75,0.0,240.75,240.75
2026-01-04 19:00:00+00:00,261.5,0.0,261.5,261.5
2026-01-04 20:00:00+00:00,258.0,42.0,216.0,216.0
2026-01-04 21:00:00+00:00,242.75,34.25,208.5,208.5
2026-01-04 22:00:00+00:00,81.5,5.25,76.25,76.25
2026-01-04 23:00:00+00:00,119.0,0.0,119.0,119.0
2026-01-05 00:00:00+00:00,201.25,0.0,201.25,201.25
2026-01-05 01:00:00+00:00,214.5,0.0,214.5,214.5
2026-01-05 02:00:00+00:00,165.0,0.0,165.0,165.0
2026-01-05 03:00:00+00:00,54.0,0.0,54.0,54.0
2026-01-05 04:00:00+00:00,0.0,55.25,-55.25,-55.25
