,GR_IT_SUD,IT_SUD_GR,IT_SUD_IT_CSUD,IT_CSUD_IT_SUD,IT_SUD_IT_CALA,IT_CALA_IT_SUD,IT_SUD_IT_CSUD_net_export,IT_SUD_IT_CALA_net_export,IT_SUD_GR_net_export,Net Export
2026-01-01 00:00:00+00:00,500.0,0.0,1777.25,0.0,0.0,998.25,1777.25,-998.25,-500.0,279.0
2026-01-01 01:00:00+00:00,500.0,0.0,1555.75,0.0,0.0,785.75,1555.75,-785.75,-500.0,270.0
2026-01-01 02:00:00+00:00,500.0,0.0,1468.25,0.0,0.0,785.25,1468.25,-785.25,-500.0,183.0
2026-01-01 03:00:00+00:00,500.0,0.0,1341.0,0.0,0.0,797.0,1341.0,-797.0,-500.0,44.0
2026-01-01 04:00:00+00:00,500.0,0.0,1366.5,0.0,0.0,791.0,1366.5,-791.0,-500.0,75.5
2026-01-01 05:00:00+00:00,500.0,0.0,1478.5,0.0,0.0,723.0,1478.5,-723.0,-500.0,255.5
2026-01-01 06:00:00+00:00,500.0,0.0,1786.0,0.0,0.0,926.0,1786.0,-926.0,-500.0,360.0
2026-01-01 07:00:00+00:00,500.0,0.0,2139.5,0.0,0.0,988.75,2139.5,-988.75,-500.0,650.75
2026-01-01 08:00:00+00:00,500.0,0.0,1963.0,0.0,0.0,296.25,1963.0,-296.25,-500.0,1166.75
2026-01-01 09:00:00+00:00,500.0,0.0,2173.25,0.0,0.0,141.75,2173.25,-141.75,-500.0,1531.5
2026-01-01 10:00:00+00:00,500.0,0.0,2349.0,0.0,0.0,187.5,2349.0,-187.5,-500.0,1661.5
2026-01-01 11:00:00+00:00,500.0,0.0,2440.75,0.0,0.0,216.75,2440.75,-216.75,-500.0,1724.0
2026-01-01 12:00:00+00:00,500.0,0.0,2515.0,0.0,0.0,277.75,2515.0,-277.75,-500.0,1737.25
2026-01-01 13:00:00+00:00,500.0,0.0,2333.75,0.0,0.0,324.25,2333.75,-324.25,-500.0,1509.5
2026-01-01 14:00:00+00:00,500.0,0.0,1835.5,0.0,0.0,564.75,1835.5,-564.75,-500.0,770.75
2026-01-01 15:00:00+00:00,0.0,249.0,1530.0,0.0,0.0,1166.0,1530.0,-1166.0,249.0,613.0
2026-01-01 16:00:00+00:00,0.0,273.0,1675.75,0.0,0.0,1240.5,1675.75,-1240.5,273.0,708.25
2026-01-01 17:00:00+00:00,0.0,169.0,2011.5,0.0,0.0,1288.25,2011.5,-1288.25,169.0,892.25
2026-01-01 18:00:00+00:00,0.0,321.0,2222.25,0.0,0.0,1486.5,2222.25,-1486.5,321.0,1056.75
2026-01-01 19:00:00+00:00,0.0,500.0,2020.0,0.0,0.0,1362.25,2020.0,-1362.25,500.0,1157.75
2026-01-01 20:00:00+00:00,0.0,235.0,2385.25,0.0,0.0,1326.25,2385.25,-1326.25,235.0,1294.0
2026-01-01 21:00:00+00:00,0.0,26.0,2408.0,0.0,0.0,945.0,2408.0,-945.0,26.0,1489.0
2026-01-01 22:00:00+00:00,500.0,0.0,2132.75,0.0,0.0,181.75,2132.75,-181.75,-500.0,1451.0
2026-01-01 23:00:00+00:00,500.0,0.0,2013.25,0.0,0.0,161.75,2013.25,-161.75,-500.0,1351.5
2026-01-02 00:00:00+00:00,500.0,0.0,2297.75,0.0,0.0,349.25,2297.75,-349.25,-500.0,1448.5
2026-01-02 01:00:00+00:00,500.0,0.0,2492.5,0.0,0.0,446.25,2492.5,-446.25,-500.0,1546.25
2026-01-02 02:00:00+00:00,500.0,0.0,2637.75,0.0,0.0,473.75,2637.75,-473.75,-500.0,1664.0
2026-01-02 03:00:00+00:00,500.0,0.0,2848.5,0.0,0.0,576.0,2848.5,-576.0,-500.0,1772.5
2026-01-02 04:00:00+00:00,500.0,0.0,2981.0,0.0,0.0,625.75,2981.0,-625.75,-500.0,1855.25
