,PL_LT,LT_PL,LT_LV,LV_LT,LT_SE_4,SE_4_LT,LT_LV_net_export,LT_PL_net_export,LT_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,145.55,0.0,709.575,0.0,0.0,700.0,709.575,-145.55,-700.0,-135.9749999999999
2026-01-01 01:00:00+00:00,62.75,0.0,809.175,0.0,0.0,700.0,809.175,-62.75,-700.0,46.424999999999955
2026-01-01 02:00:00+00:00,0.0,73.55,786.0,0.0,0.0,700.0,786.0,73.55,-700.0,159.54999999999995
2026-01-01 03:00:00+00:00,0.0,124.325,742.0,0.0,0.0,700.0,742.0,124.325,-700.0,166.32500000000005
2026-01-01 04:00:00+00:00,0.0,148.8,733.0,0.0,0.0,700.0,733.0,148.8,-700.0,181.79999999999995
2026-01-01 05:00:00+00:00,139.675,0.0,771.0,0.0,0.0,700.0,771.0,-139.675,-700.0,-68.67499999999995
2026-01-01 06:00:00+00:00,159.0,0.0,802.0,0.0,0.0,700.0,802.0,-159.0,-700.0,-57.0
2026-01-01 07:00:00+00:00,159.0,0.0,793.0,0.0,0.0,700.0,793.0,-159.0,-700.0,-66.0
2026-01-01 08:00:00+00:00,160.0,0.0,799.0,0.0,0.0,700.0,799.0,-160.0,-700.0,-61.0
2026-01-01 09:00:00+00:00,160.0,0.0,791.0,0.0,0.0,700.0,791.0,-160.0,-700.0,-69.0
2026-01-01 10:00:00+00:00,161.0,0.0,823.0,0.0,0.0,700.0,823.0,-161.0,-700.0,-38.0
2026-01-01 11:00:00+00:00,161.0,0.0,803.0,0.0,0.0,700.0,803.0,-161.0,-700.0,-58.0
2026-01-01 12:00:00+00:00,121.25,0.0,686.0,0.0,0.0,700.0,686.0,-121.25,-700.0,-135.25
2026-01-01 13:00:00+00:00,14.975,78.675,790.0,0.0,0.0,700.0,790.0,63.699999999999996,-700.0,153.70000000000005
2026-01-01 14:00:00+00:00,0.0,153.95,807.0,0.0,0.0,700.0,807.0,153.95,-700.0,260.95000000000005
2026-01-01 15:00:00+00:00,0.0,207.0,801.0,0.0,0.0,700.0,801.0,207.0,-700.0,308.0
2026-01-01 16:00:00+00:00,0.0,207.0,800.0,0.0,0.0,699.5,800.0,207.0,-699.5,307.5
2026-01-01 17:00:00+00:00,0.0,206.0,819.0,0.0,0.0,700.0,819.0,206.0,-700.0,325.0
2026-01-01 18:00:00+00:00,0.0,204.0,810.7,0.0,0.0,700.0,810.7,204.0,-700.0,314.70000000000005
2026-01-01 19:00:00+00:00,23.950000000000003,65.8,826.2,0.0,0.0,626.5,826.2,41.849999999999994,-626.5,241.55000000000007
2026-01-01 20:00:00+00:00,48.675000000000004,74.5,849.7,0.0,0.0,700.0,849.7,25.824999999999996,-700.0,175.5250000000001
2026-01-01 21:00:00+00:00,158.0,0.0,792.425,0.0,0.0,700.0,792.425,-158.0,-700.0,-65.57500000000005
2026-01-01 22:00:00+00:00,156.0,0.0,756.5,0.0,0.0,700.0,756.5,-156.0,-700.0,-99.5
