,LT_LV,LV_LT,LV_EE,EE_LV,LV_EE_net_export,LV_LT_net_export,Net Export
2026-01-01 00:00:00+00:00,709.575,0.0,190.625,0.0,190.625,-709.575,-518.95
2026-01-01 01:00:00+00:00,809.175,0.0,296.575,0.0,296.575,-809.175,-512.5999999999999
2026-01-01 02:00:00+00:00,786.0,0.0,279.45,0.0,279.45,-786.0,-506.55
2026-01-01 03:00:00+00:00,742.0,0.0,406.65,0.0,406.65,-742.0,-335.35
2026-01-01 04:00:00+00:00,733.0,0.0,483.775,0.0,483.775,-733.0,-249.22500000000002
2026-01-01 05:00:00+00:00,771.0,0.0,516.7,0.0,516.7,-771.0,-254.29999999999995
2026-01-01 06:00:00+00:00,802.0,0.0,530.525,0.0,530.525,-802.0,-271.475
2026-01-01 07:00:00+00:00,793.0,0.0,432.125,0.0,432.125,-793.0,-360.875
2026-01-01 08:00:00+00:00,799.0,0.0,414.725,0.0,414.725,-799.0,-384.275
2026-01-01 09:00:00+00:00,791.0,0.0,428.0,0.0,428.0,-791.0,-363.0
2026-01-01 10:00:00+00:00,823.0,0.0,459.45000000000005,0.0,459.45000000000005,-823.0,-363.54999999999995
2026-01-01 11:00:00+00:00,803.0,0.0,416.375,0.0,416.375,-803.0,-386.625
2026-01-01 12:00:00+00:00,686.0,0.0,272.7,0.0,272.7,-686.0,-413.3
2026-01-01 13:00:00+00:00,790.0,0.0,332.75,0.0,332.75,-790.0,-457.25
2026-01-01 14:00:00+00:00,807.0,0.0,303.45,0.0,303.45,-807.0,-503.55
2026-01-01 15:00:00+00:00,801.0,0.0,299.575,0.0,299.575,-801.0,-501.425
2026-01-01 16:00:00+00:00,800.0,0.0,291.45,0.0,291.45,-800.0,-508.55
2026-01-01 17:00:00+00:00,819.0,0.0,237.075,0.0,237.075,-819.0,-581.925
2026-01-01 18:00:00+00:00,810.7,0.0,128.725,0.0,128.725,-810.7,-681.975
2026-01-01 19:00:00+00:00,826.2,0.0,160.89999999999998,0.0,160.89999999999998,-826.2,-665.3000000000001
2026-01-01 20:00:00+00:00,849.7,0.0,221.825,0.0,221.825,-849.7,-627.875
2026-01-01 21:00:00+00:00,792.425,0.0,204.025,0.0,204.025,-792.425,-588.4
2026-01-01 22:00:00+00:00,756.5,0.0,175.4,0.0,175.4,-756.5,-581.1
2026-01-01 23:00:00+00:00,452.97499999999997,0.0,69.475,0.0,69.475,-452.97499999999997,-383.5
2026-01-02 00:00:00+00:00,581.025,0.0,280.75,0.0,280.75,-581.025,-300.275
2026-01-02 01:00:00+00:00,431.125,0.0,194.3,0.0,194.3,-431.125,-236.825
2026-01-02 02:00:00+00:00,535.075,0.0,280.425,0.0,280.425,-535.075,-254.65000000000003
2026-01-02 03:00:00+00:00,713.0999999999999,0.0,432.25,0.0,432.25,-713.0999999999999,-280.8499999999999
2026-01-02 04:00:00+00:00,484.275,0.0,165.225,25.9,139.325,-484.275,-344.95
2026-01-02 05:00:00+00:00,104.925,0.0,0.0,322.3,-322.3,-104.925,-427.225
2026-01-02 06:00:00+00:00,155.975,0.0,0.0,341.475,-341.475,-155.975,-497.45000000000005
2026-01-02 07:00:00+00:00,227.75,0.0,0.0,305.25,-305.25,-227.75,-533.0
2026-01-02 08:00:00+00:00,280.8,0.0,0.0,262.225,-262.225,-280.8,-543.0250000000001
2026-01-02 09:00:00+00:00,314.45,0.0,0.0,225.9,-225.9,-314.45,-540.35
2026-01-02 10:00:00+00:00,335.35,0.0,0.0,192.9,-192.9,-335.35,-528.25
2026-01-02 11:00:00+00:00,537.575,0.0,4.824999999999999,4.7,0.12499999999999911,-537.575,-537.45
2026-01-02 12:00:00+00:00,381.45,0.0,0.0,170.3,-170.3,-381.45,-551.75
2026-01-02 13:00:00+00:00,403.675,0.0,0.0,161.925,-161.925,-403.675,-565.6
2026-01-02 14:00:00+00:00,317.875,0.0,0.0,137.175,-137.175,-317.875,-455.05
2026-01-02 15:00:00+00:00,209.2,0.0,0.0,152.425,-152.425,-209.2,-361.625
2026-01-02 16:00:00+00:00,184.8,0.0,0.0,158.25,-158.25,-184.8,-343.05
2026-01-02 17:00:00+00:00,139.825,0.0,0.0,172.375,-172.375,-139.825,-312.2
2026-01-02 18:00:00+00:00,82.15,0.0,0.0,192.175,-192.175,-82.15,-274.32500000000005
2026-01-02 19:00:00+00:00,4.7,1.8250000000000002,0.0,226.35,-226.35,-2.875,-229.225
2026-01-02 20:00:00+00:00,0.0,87.4,0.0,262.175,-262.175,87.4,-174.775
2026-01-02 21:00:00+00:00,0.0,51.0,0.0,308.175,-308.175,51.0,-257.175
2026-01-02 22:00:00+00:00,48.95,0.0,0.0,286.625,-286.625,-48.95,-335.575
2026-01-02 23:00:00+00:00,45.725,37.5,0.0,294.375,-294.375,-8.225000000000001,-302.6
2026-01-03 00:00:00+00:00,0.0,58.0,0.0,343.7,-343.7,58.0,-285.7
2026-01-03 01:00:00+00:00,0.0,94.2,0.0,288.475,-288.475,94.2,-194.27500000000003
2026-01-03 02:00:00+00:00,0.0,121.1,0.0,314.225,-314.225,121.1,-193.12500000000003
2026-01-03 03:00:00+00:00,0.0,103.575,0.0,303.3,-303.3,103.575,-199.72500000000002
2026-01-03 04:00:00+00:00,46.575,9.4,0.0,289.15,-289.15,-37.175000000000004,-326.325
2026-01-03 05:00:00+00:00,18.675,15.85,0.0,258.775,-258.775,-2.825000000000001,-261.59999999999997
2026-01-03 06:00:00+00:00,115.95,0.0,0.0,197.175,-197.175,-115.95,-313.125
2026-01-03 07:00:00+00:00,208.8,0.0,0.0,135.7,-135.7,-208.8,-344.5
2026-01-03 08:00:00+00:00,33.95,0.0,0.0,124.075,-124.075,-33.95,-158.025
2026-01-03 09:00:00+00:00,0.1,3.25,0.0,87.225,-87.225,3.15,-84.07499999999999
2026-01-03 10:00:00+00:00,2.8,2.675,0.0,80.325,-80.325,-0.125,-80.45
2026-01-03 11:00:00+00:00,11.05,0.0,0.0,76.75,-76.75,-11.05,-87.8
2026-01-03 12:00:00+00:00,128.725,0.0,0.0,74.0,-74.0,-128.725,-202.725
2026-01-03 13:00:00+00:00,128.77499999999998,0.0,0.0,54.849999999999994,-54.849999999999994,-128.77499999999998,-183.62499999999997
2026-01-03 14:00:00+00:00,120.67500000000001,0.0,8.025,23.375,-15.35,-120.67500000000001,-136.025
2026-01-03 15:00:00+00:00,133.3,0.0,2.925,0.0,2.925,-133.3,-130.375
2026-01-03 16:00:00+00:00,121.4,0.0,0.0,7.175,-7.175,-121.4,-128.57500000000002
2026-01-03 17:00:00+00:00,422.525,0.0,0.0,28.8,-28.8,-422.525,-451.325
2026-01-03 18:00:00+00:00,460.2,0.0,0.0,60.55,-60.55,-460.2,-520.75
2026-01-03 19:00:00+00:00,427.5,0.0,0.0,70.525,-70.525,-427.5,-498.025
2026-01-03 20:00:00+00:00,293.675,0.0,0.0,154.95,-154.95,-293.675,-448.625
2026-01-03 21:00:00+00:00,318.775,0.0,0.0,176.95,-176.95,-318.775,-495.72499999999997
2026-01-03 22:00:00+00:00,256.25,0.0,0.0,191.975,-191.975,-256.25,-448.225
2026-01-03 23:00:00+00:00,246.54999999999998,0.0,0.0,45.775000000000006,-45.775000000000006,-246.54999999999998,-292.325
2026-01-04 00:00:00+00:00,79.95,0.0,0.0,199.4,-199.4,-79.95,-279.35
2026-01-04 01:00:00+00:00,44.575,0.0,0.0,228.5,-228.5,-44.575,-273.075
2026-01-04 02:00:00+00:00,7.925000000000001,0.0,0.0,263.9,-263.9,-7.925000000000001,-271.825
2026-01-04 03:00:00+00:00,0.0,0.0,0.0,301.35,-301.35,0.0,-301.35
2026-01-04 04:00:00+00:00,1.425,0.0,0.0,335.625,-335.625,-1.425,-337.05
2026-01-04 05:00:00+00:00,0.0,0.0,0.0,282.975,-282.975,0.0,-282.975
2026-01-04 06:00:00+00:00,28.225,0.0,0.0,302.85,-302.85,-28.225,-331.07500000000005
2026-01-04 07:00:00+00:00,73.35,0.0,0.0,285.9,-285.9,-73.35,-359.25
2026-01-04 08:00:00+00:00,85.65,0.0,0.0,270.55,-270.55,-85.65,-356.20000000000005
2026-01-04 09:00:00+00:00,104.25,0.0,0.0,246.825,-246.825,-104.25,-351.075
2026-01-04 10:00:00+00:00,95.475,0.0,0.0,240.65,-240.65,-95.475,-336.125
2026-01-04 11:00:00+00:00,0.0,49.325,0.0,217.225,-217.225,49.325,-167.89999999999998
2026-01-04 12:00:00+00:00,0.0,119.475,0.0,222.25,-222.25,119.475,-102.775
2026-01-04 13:00:00+00:00,0.0,133.925,0.0,260.375,-260.375,133.925,-126.44999999999999
2026-01-04 14:00:00+00:00,0.0,127.60000000000001,0.0,283.675,-283.675,127.60000000000001,-156.075
2026-01-04 15:00:00+00:00,0.0,85.8,0.0,267.25,-267.25,85.8,-181.45
2026-01-04 16:00:00+00:00,0.0,40.425,0.0,222.1,-222.1,40.425,-181.675
2026-01-04 17:00:00+00:00,44.5,0.0,0.0,106.95,-106.95,-44.5,-151.45
2026-01-04 18:00:00+00:00,124.375,0.0,0.0,3.625,-3.625,-124.375,-128.0
2026-01-04 19:00:00+00:00,120.675,0.0,38.975,0.0,38.975,-120.675,-81.69999999999999
2026-01-04 20:00:00+00:00,404.775,0.0,168.05,0.0,168.05,-404.775,-236.72499999999997
2026-01-04 21:00:00+00:00,532.2,0.0,340.875,0.0,340.875,-532.2,-191.32500000000005
2026-01-04 22:00:00+00:00,493.5,0.0,272.225,0.0,272.225,-493.5,-221.27499999999998
2026-01-04 23:00:00+00:00,639.15,0.0,279.5,0.0,279.5,-639.15,-359.65
2026-01-05 00:00:00+00:00,675.325,0.0,341.35,0.0,341.35,-675.325,-333.975
2026-01-05 01:00:00+00:00,677.875,0.0,327.3,0.0,327.3,-677.875,-350.575
2026-01-05 02:00:00+00:00,705.95,0.0,335.77500000000003,0.0,335.77500000000003,-705.95,-370.175
2026-01-05 03:00:00+00:00,622.85,0.0,260.475,0.0,260.475,-622.85,-362.375
2026-01-05 04:00:00+00:00,537.5,0.0,183.925,0.0,183.925,-537.5,-353.575
2026-01-05 05:00:00+00:00,555.95,0.0,523.05,0.0,523.05,-555.95,-32.90000000000009
2026-01-05 06:00:00+00:00,310.9,0.0,370.05,0.0,370.05,-310.9,59.150000000000034
2026-01-05 07:00:00+00:00,27.2,133.925,65.575,52.5,13.075000000000003,106.72500000000001,119.80000000000001
2026-01-05 08:00:00+00:00,0.0,350.225,0.0,253.825,-253.825,350.225,96.40000000000003
2026-01-05 09:00:00+00:00,0.0,378.075,0.0,279.0,-279.0,378.075,99.07499999999999
2026-01-05 10:00:00+00:00,0.0,310.625,0.0,252.95,-252.95,310.625,57.67500000000001
2026-01-05 11:00:00+00:00,0.0,348.0,0.0,288.875,-288.875,348.0,59.125
2026-01-05 12:00:00+00:00,0.0,424.175,0.0,280.45,-280.45,424.175,143.72500000000002
2026-01-05 13:00:00+00:00,0.0,404.35,0.0,286.775,-286.775,404.35,117.57500000000005
2026-01-05 14:00:00+00:00,0.0,438.5,0.0,301.2,-301.2,438.5,137.3
2026-01-05 15:00:00+00:00,0.0,468.05,0.0,322.57500000000005,-322.57500000000005,468.05,145.47499999999997
2026-01-05 16:00:00+00:00,148.3,133.425,249.95,60.35,189.6,-14.875,174.725
2026-01-05 17:00:00+00:00,144.925,86.75,304.25,25.675,278.575,-58.17500000000001,220.39999999999998
2026-01-05 18:00:00+00:00,0.0,653.95,0.0,402.05,-402.05,653.95,251.90000000000003
2026-01-05 19:00:00+00:00,0.0,637.45,0.0,383.65,-383.65,637.45,253.80000000000007
2026-01-05 20:00:00+00:00,0.0,297.875,0.0,185.0,-185.0,297.875,112.875
2026-01-05 21:00:00+00:00,0.0,300.85,0.0,187.225,-187.225,300.85,113.62500000000003
2026-01-05 22:00:00+00:00,0.0,93.375,16.275,10.525,5.749999999999998,93.375,99.125
2026-01-05 23:00:00+00:00,0.0,474.55,0.0,527.025,-527.025,474.55,-52.474999999999966
2026-01-06 00:00:00+00:00,0.0,421.625,0.0,463.375,-463.375,421.625,-41.75
2026-01-06 01:00:00+00:00,0.0,415.975,0.0,461.075,-461.075,415.975,-45.099999999999966
2026-01-06 02:00:00+00:00,0.0,410.4,0.0,458.8,-458.8,410.4,-48.400000000000034
2026-01-06 03:00:00+00:00,0.0,499.625,0.0,502.25,-502.25,499.625,-2.625
2026-01-06 04:00:00+00:00,0.0,269.1,0.0,350.375,-350.375,269.1,-81.27499999999998
2026-01-06 05:00:00+00:00,0.0,568.525,0.0,504.225,-504.225,568.525,64.29999999999995
2026-01-06 06:00:00+00:00,0.0,638.15,0.0,527.025,-527.025,638.15,111.125
2026-01-06 07:00:00+00:00,0.0,727.1999999999999,0.0,520.9,-520.9,727.1999999999999,206.29999999999995
2026-01-06 08:00:00+00:00,0.0,722.2,0.0,515.675,-515.675,722.2,206.5250000000001
2026-01-06 09:00:00+00:00,0.0,724.65,0.0,517.2,-517.2,724.65,207.44999999999993
2026-01-06 10:00:00+00:00,0.0,562.075,0.0,497.025,-497.025,562.075,65.05000000000007
2026-01-06 11:00:00+00:00,0.0,294.9,0.0,229.0,-229.0,294.9,65.89999999999998
2026-01-06 12:00:00+00:00,0.0,496.975,0.0,422.425,-422.425,496.975,74.55000000000001
2026-01-06 13:00:00+00:00,0.0,441.825,0.0,434.425,-434.425,441.825,7.399999999999977
2026-01-06 14:00:00+00:00,0.0,433.3,0.0,460.325,-460.325,433.3,-27.024999999999977
2026-01-06 15:00:00+00:00,0.0,510.25,0.0,461.475,-461.475,510.25,48.77499999999998
2026-01-06 16:00:00+00:00,0.0,461.125,0.0,393.275,-393.275,461.125,67.85000000000002
2026-01-06 17:00:00+00:00,0.0,635.825,0.0,532.0,-532.0,635.825,103.82500000000005
2026-01-06 18:00:00+00:00,0.0,669.95,0.0,532.0,-532.0,669.95,137.95000000000005
2026-01-06 19:00:00+00:00,0.0,657.05,0.0,520.15,-520.15,657.05,136.89999999999998
2026-01-06 20:00:00+00:00,0.0,382.7,0.0,532.0,-532.0,382.7,-149.3
2026-01-06 21:00:00+00:00,0.0,434.25,0.0,526.75,-526.75,434.25,-92.5
2026-01-06 22:00:00+00:00,0.0,430.125,0.0,523.75,-523.75,430.125,-93.625
2026-01-06 23:00:00+00:00,0.0,513.2,0.0,524.475,-524.475,513.2,-11.274999999999977
2026-01-07 00:00:00+00:00,0.0,543.8,0.0,533.0,-533.0,543.8,10.799999999999955
2026-01-07 01:00:00+00:00,0.0,496.45,0.0,493.175,-493.175,496.45,3.2749999999999773
2026-01-07 02:00:00+00:00,0.0,655.0,0.0,501.3,-501.3,655.0,153.7
2026-01-07 03:00:00+00:00,0.0,588.625,0.0,479.625,-479.625,588.625,109.0
2026-01-07 04:00:00+00:00,0.0,446.75,0.0,427.075,-427.075,446.75,19.67500000000001
2026-01-07 05:00:00+00:00,0.0,364.675,0.0,420.95,-420.95,364.675,-56.27499999999998
2026-01-07 06:00:00+00:00,0.0,389.17499999999995,0.0,423.775,-423.775,389.17499999999995,-34.60000000000002
2026-01-07 07:00:00+00:00,0.0,342.15,0.0,416.525,-416.525,342.15,-74.375
2026-01-07 08:00:00+00:00,0.0,384.325,0.0,417.15,-417.15,384.325,-32.82499999999999
2026-01-07 09:00:00+00:00,0.0,372.125,0.0,419.45,-419.45,372.125,-47.32499999999999
2026-01-07 10:00:00+00:00,0.0,491.95,0.0,438.07500000000005,-438.07500000000005,491.95,53.87499999999994
2026-01-07 11:00:00+00:00,0.0,543.75,0.0,409.7,-409.7,543.75,134.05
2026-01-07 12:00:00+00:00,0.0,638.1,0.0,439.075,-439.075,638.1,199.02500000000003
2026-01-07 13:00:00+00:00,0.0,697.125,0.0,421.525,-421.525,697.125,275.6
2026-01-07 14:00:00+00:00,0.0,674.775,0.0,444.775,-444.775,674.775,230.0
2026-01-07 15:00:00+00:00,0.0,616.675,0.0,466.075,-466.075,616.675,150.59999999999997
2026-01-07 16:00:00+00:00,0.0,604.025,0.0,433.375,-433.375,604.025,170.64999999999998
2026-01-07 17:00:00+00:00,0.0,403.075,0.0,464.075,-464.075,403.075,-61.0
2026-01-07 18:00:00+00:00,0.0,430.25,0.0,501.4,-501.4,430.25,-71.14999999999998
2026-01-07 19:00:00+00:00,0.0,400.775,0.0,516.1,-516.1,400.775,-115.32500000000005
2026-01-07 20:00:00+00:00,0.0,444.875,0.0,476.525,-476.525,444.875,-31.649999999999977
2026-01-07 21:00:00+00:00,0.0,540.075,0.0,510.0,-510.0,540.075,30.075000000000045
2026-01-07 22:00:00+00:00,0.0,682.9,0.0,590.1,-590.1,682.9,92.79999999999995
2026-01-07 23:00:00+00:00,0.0,619.25,0.0,481.3,-481.3,619.25,137.95
2026-01-08 00:00:00+00:00,0.0,648.575,0.0,498.525,-498.525,648.575,150.05000000000007
2026-01-08 01:00:00+00:00,0.0,603.675,0.0,460.275,-460.275,603.675,143.39999999999998
2026-01-08 02:00:00+00:00,0.0,589.725,0.0,445.4,-445.4,589.725,144.32500000000005
2026-01-08 03:00:00+00:00,0.0,572.5,0.0,467.9,-467.9,572.5,104.60000000000002
2026-01-08 04:00:00+00:00,0.0,563.05,0.0,462.22499999999997,-462.22499999999997,563.05,100.82499999999999
2026-01-08 05:00:00+00:00,0.0,354.775,0.0,372.7,-372.7,354.775,-17.92500000000001
2026-01-08 06:00:00+00:00,0.0,391.05,0.0,338.025,-338.025,391.05,53.025000000000034
2026-01-08 07:00:00+00:00,0.0,470.1,0.0,358.375,-358.375,470.1,111.72500000000002
2026-01-08 08:00:00+00:00,0.0,404.175,0.0,334.55,-334.55,404.175,69.625
2026-01-08 09:00:00+00:00,0.0,351.35,0.0,305.675,-305.675,351.35,45.67500000000001
2026-01-08 10:00:00+00:00,0.0,369.175,0.0,304.675,-304.675,369.175,64.5
2026-01-08 11:00:00+00:00,0.0,379.125,0.0,290.52500000000003,-290.52500000000003,379.125,88.59999999999997
2026-01-08 12:00:00+00:00,0.0,331.225,0.0,281.85,-281.85,331.225,49.375
2026-01-08 13:00:00+00:00,0.0,381.375,0.0,287.65,-287.65,381.375,93.72500000000002
2026-01-08 14:00:00+00:00,0.0,432.5,0.0,340.75,-340.75,432.5,91.75
2026-01-08 15:00:00+00:00,0.0,410.2,0.0,372.975,-372.975,410.2,37.224999999999966
2026-01-08 16:00:00+00:00,0.0,306.55,0.0,414.825,-414.825,306.55,-108.27499999999998
2026-01-08 17:00:00+00:00,0.0,272.4,0.0,399.32500000000005,-399.32500000000005,272.4,-126.92500000000007
2026-01-08 18:00:00+00:00,0.0,221.82500000000002,0.0,409.95,-409.95,221.82500000000002,-188.12499999999997
2026-01-08 19:00:00+00:00,0.0,333.55,0.0,456.925,-456.925,333.55,-123.375
2026-01-08 20:00:00+00:00,0.0,66.325,0.0,498.05,-498.05,66.325,-431.725
2026-01-08 21:00:00+00:00,0.0,157.0,0.0,506.65,-506.65,157.0,-349.65
2026-01-08 22:00:00+00:00,0.0,232.7,0.0,510.0,-510.0,232.7,-277.3
2026-01-08 23:00:00+00:00,0.0,349.75,0.0,594.575,-594.575,349.75,-244.82500000000005
2026-01-09 00:00:00+00:00,0.0,282.675,0.0,515.1,-515.1,282.675,-232.425
2026-01-09 01:00:00+00:00,0.0,100.225,0.0,336.075,-336.075,100.225,-235.85
2026-01-09 02:00:00+00:00,0.0,134.6,0.0,131.775,-131.775,134.6,2.8249999999999886
2026-01-09 03:00:00+00:00,0.0,168.225,0.0,214.925,-214.925,168.225,-46.70000000000002
2026-01-09 04:00:00+00:00,0.0,70.225,0.0,204.025,-204.025,70.225,-133.8
2026-01-09 05:00:00+00:00,12.450000000000001,18.575,0.0,87.425,-87.425,6.124999999999998,-81.3
2026-01-09 06:00:00+00:00,0.0,344.3,0.0,275.0,-275.0,344.3,69.30000000000001
2026-01-09 07:00:00+00:00,0.0,366.45,0.0,251.075,-251.075,366.45,115.375
2026-01-09 08:00:00+00:00,0.0,247.14999999999998,0.0,175.25,-175.25,247.14999999999998,71.89999999999998
2026-01-09 09:00:00+00:00,176.45,0.0,247.35,0.0,247.35,-176.45,70.9
2026-01-09 10:00:00+00:00,5.025,42.800000000000004,57.224999999999994,0.0,57.224999999999994,37.775000000000006,95.0
2026-01-09 11:00:00+00:00,33.225,0.0,143.875,0.0,143.875,-33.225,110.65
2026-01-09 12:00:00+00:00,0.0,52.85,13.225,0.0,13.225,52.85,66.075
2026-01-09 13:00:00+00:00,239.075,0.0,134.65,0.0,134.65,-239.075,-104.42499999999998
2026-01-09 14:00:00+00:00,187.025,0.0,18.675,40.2,-21.525000000000002,-187.025,-208.55
2026-01-09 15:00:00+00:00,0.0,102.55,0.0,294.825,-294.825,102.55,-192.27499999999998
2026-01-09 16:00:00+00:00,0.425,55.225,0.0,244.0,-244.0,54.800000000000004,-189.2
2026-01-09 17:00:00+00:00,37.225,20.45,0.0,325.175,-325.175,-16.775000000000002,-341.95
2026-01-09 18:00:00+00:00,148.35000000000002,0.0,0.0,178.35,-178.35,-148.35000000000002,-326.70000000000005
2026-01-09 19:00:00+00:00,124.1,0.0,0.0,121.15,-121.15,-124.1,-245.25
2026-01-09 20:00:00+00:00,496.77500000000003,0.0,103.89999999999999,0.0,103.89999999999999,-496.77500000000003,-392.87500000000006
2026-01-09 21:00:00+00:00,285.2,0.0,41.625,68.925,-27.299999999999997,-285.2,-312.5
2026-01-09 22:00:00+00:00,2.0,145.22500000000002,0.0,387.8,-387.8,143.22500000000002,-244.575
2026-01-09 23:00:00+00:00,0.0,318.25,0.0,567.55,-567.55,318.25,-249.29999999999995
2026-01-10 00:00:00+00:00,0.0,367.8,0.0,601.0,-601.0,367.8,-233.2
2026-01-10 01:00:00+00:00,0.0,368.225,0.0,600.0,-600.0,368.225,-231.77499999999998
2026-01-10 02:00:00+00:00,0.0,386.1,0.0,600.0,-600.0,386.1,-213.89999999999998
2026-01-10 03:00:00+00:00,0.0,358.675,0.0,600.0,-600.0,358.675,-241.325
2026-01-10 04:00:00+00:00,0.0,310.9,0.0,600.0,-600.0,310.9,-289.1
2026-01-10 05:00:00+00:00,0.0,364.675,0.0,602.0,-602.0,364.675,-237.325
2026-01-10 06:00:00+00:00,0.0,316.6,0.0,602.0,-602.0,316.6,-285.4
2026-01-10 07:00:00+00:00,0.0,300.85,0.0,602.0,-602.0,300.85,-301.15
2026-01-10 08:00:00+00:00,0.0,493.15,0.0,580.0,-580.0,493.15,-86.85000000000002
2026-01-10 09:00:00+00:00,0.0,566.125,0.0,577.325,-577.325,566.125,-11.200000000000045
2026-01-10 10:00:00+00:00,0.0,625.475,0.0,597.65,-597.65,625.475,27.825000000000045
2026-01-10 11:00:00+00:00,0.0,690.6,0.0,602.0,-602.0,690.6,88.60000000000002
2026-01-10 12:00:00+00:00,0.0,689.95,0.0,602.0,-602.0,689.95,87.95000000000005
2026-01-10 13:00:00+00:00,0.0,677.425,0.0,602.0,-602.0,677.425,75.42499999999995
2026-01-10 14:00:00+00:00,0.0,685.525,0.0,602.0,-602.0,685.525,83.52499999999998
2026-01-10 15:00:00+00:00,0.0,654.225,0.0,586.425,-586.425,654.225,67.80000000000007
2026-01-10 16:00:00+00:00,0.0,633.35,0.0,572.7,-572.7,633.35,60.64999999999998
2026-01-10 17:00:00+00:00,0.0,674.975,0.0,572.925,-572.925,674.975,102.05000000000007
2026-01-10 18:00:00+00:00,0.0,702.45,0.0,583.025,-583.025,702.45,119.42500000000007
2026-01-10 19:00:00+00:00,0.0,687.125,0.0,607.775,-607.775,687.125,79.35000000000002
2026-01-10 20:00:00+00:00,0.0,390.6,0.0,626.6,-626.6,390.6,-236.0
2026-01-10 21:00:00+00:00,0.0,446.075,0.0,642.0,-642.0,446.075,-195.925
2026-01-10 22:00:00+00:00,0.0,481.15,0.0,644.575,-644.575,481.15,-163.42500000000007
2026-01-10 23:00:00+00:00,0.0,574.05,0.0,634.0,-634.0,574.05,-59.950000000000045
2026-01-11 00:00:00+00:00,0.0,588.2,0.0,634.0,-634.0,588.2,-45.799999999999955
2026-01-11 01:00:00+00:00,0.0,573.4,0.0,616.975,-616.975,573.4,-43.575000000000045
2026-01-11 02:00:00+00:00,0.0,567.775,0.0,624.55,-624.55,567.775,-56.77499999999998
2026-01-11 03:00:00+00:00,0.0,568.1,0.0,628.125,-628.125,568.1,-60.02499999999998
2026-01-11 04:00:00+00:00,0.0,517.0,0.0,610.1,-610.1,517.0,-93.10000000000002
2026-01-11 05:00:00+00:00,0.0,708.325,0.0,581.15,-581.15,708.325,127.17500000000007
2026-01-11 06:00:00+00:00,0.0,583.825,0.0,509.67499999999995,-509.67499999999995,583.825,74.15000000000009
2026-01-11 07:00:00+00:00,0.0,629.3,0.0,488.025,-488.025,629.3,141.27499999999998
2026-01-11 08:00:00+00:00,0.0,639.425,0.0,434.575,-434.575,639.425,204.84999999999997
