,RS_ME,ME_RS,ME_BA,BA_ME,ME_IT_CSUD,IT_CSUD_ME,ME_BA_net_export,ME_RS_net_export,ME_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,162.0,0.0,5.0,246.0,110.0,67.0,-241.0,-162.0,43.0,-360.0
2026-01-01 01:00:00+00:00,200.0,0.0,12.0,246.0,109.0,32.0,-234.0,-200.0,77.0,-357.0
2026-01-01 02:00:00+00:00,202.0,0.0,1.0,251.0,140.0,20.0,-250.0,-202.0,120.0,-332.0
2026-01-01 03:00:00+00:00,207.0,0.0,1.0,251.0,180.0,0.0,-250.0,-207.0,180.0,-277.0
2026-01-01 04:00:00+00:00,200.0,0.0,1.0,247.0,180.0,0.0,-246.0,-200.0,180.0,-266.0
2026-01-01 05:00:00+00:00,200.0,0.0,1.0,241.0,165.0,0.0,-240.0,-200.0,165.0,-275.0
2026-01-01 06:00:00+00:00,198.0,0.0,26.0,181.0,180.0,40.0,-155.0,-198.0,140.0,-213.0
2026-01-01 07:00:00+00:00,195.0,0.0,12.0,166.0,169.0,10.0,-154.0,-195.0,159.0,-190.0
2026-01-01 08:00:00+00:00,179.0,0.0,2.0,218.0,162.0,7.0,-216.0,-179.0,155.0,-240.0
2026-01-01 09:00:00+00:00,228.0,0.0,1.0,200.0,162.0,0.0,-199.0,-228.0,162.0,-265.0
2026-01-01 10:00:00+00:00,221.0,0.0,1.0,227.0,164.0,0.0,-226.0,-221.0,164.0,-283.0
2026-01-01 11:00:00+00:00,204.0,0.0,1.0,227.0,162.0,1.0,-226.0,-204.0,161.0,-269.0
2026-01-01 12:00:00+00:00,194.0,0.0,1.0,227.0,162.0,0.0,-226.0,-194.0,162.0,-258.0
2026-01-01 13:00:00+00:00,194.0,0.0,1.0,215.0,162.0,0.0,-214.0,-194.0,162.0,-246.0
2026-01-01 14:00:00+00:00,206.0,0.0,1.0,211.0,134.0,67.0,-210.0,-206.0,67.0,-349.0
2026-01-01 15:00:00+00:00,154.0,0.0,1.0,166.0,142.0,36.0,-165.0,-154.0,106.0,-213.0
2026-01-01 16:00:00+00:00,112.0,0.0,1.0,157.0,106.0,37.0,-156.0,-112.0,69.0,-199.0
2026-01-01 17:00:00+00:00,113.0,0.0,1.0,161.0,106.0,33.0,-160.0,-113.0,73.0,-200.0
2026-01-01 18:00:00+00:00,93.0,0.0,1.0,157.0,102.0,45.0,-156.0,-93.0,57.0,-192.0
2026-01-01 19:00:00+00:00,121.0,0.0,1.0,153.0,132.0,58.0,-152.0,-121.0,74.0,-199.0
2026-01-01 20:00:00+00:00,178.0,0.0,20.0,202.0,109.0,88.0,-182.0,-178.0,21.0,-339.0
2026-01-01 21:00:00+00:00,190.0,0.0,22.0,227.0,110.0,90.0,-205.0,-190.0,20.0,-375.0
2026-01-01 22:00:00+00:00,218.0,0.0,12.0,227.0,128.0,80.0,-215.0,-218.0,48.0,-385.0
2026-01-01 23:00:00+00:00,75.0,0.0,1.0,301.0,80.0,10.0,-300.0,-75.0,70.0,-305.0
2026-01-02 00:00:00+00:00,75.0,0.0,1.0,301.0,80.0,10.0,-300.0,-75.0,70.0,-305.0
2026-01-02 01:00:00+00:00,75.0,14.0,8.0,249.0,80.0,10.0,-241.0,-61.0,70.0,-232.0
2026-01-02 02:00:00+00:00,75.0,36.0,15.0,248.0,80.0,10.0,-233.0,-39.0,70.0,-202.0
2026-01-02 03:00:00+00:00,75.0,36.0,5.0,237.0,80.0,10.0,-232.0,-39.0,70.0,-201.0
2026-01-02 04:00:00+00:00,75.0,36.0,4.0,234.0,80.0,10.0,-230.0,-39.0,70.0,-199.0
2026-01-02 05:00:00+00:00,75.0,34.0,21.0,266.0,80.0,10.0,-245.0,-41.0,70.0,-216.0
2026-01-02 06:00:00+00:00,75.0,34.0,21.0,217.0,80.0,10.0,-196.0,-41.0,70.0,-167.0
2026-01-02 07:00:00+00:00,75.0,25.0,11.0,215.0,80.0,10.0,-204.0,-50.0,70.0,-184.0
2026-01-02 08:00:00+00:00,75.0,19.0,1.0,246.0,80.0,10.0,-245.0,-56.0,70.0,-231.0
2026-01-02 09:00:00+00:00,75.0,16.0,1.0,256.0,80.0,10.0,-255.0,-59.0,70.0,-244.0
2026-01-02 10:00:00+00:00,75.0,13.0,1.0,244.0,80.0,10.0,-243.0,-62.0,70.0,-235.0
2026-01-02 11:00:00+00:00,75.0,5.0,1.0,255.0,80.0,10.0,-254.0,-70.0,70.0,-254.0
2026-01-02 12:00:00+00:00,25.0,5.0,15.0,242.0,30.0,10.0,-227.0,-20.0,20.0,-227.0
2026-01-02 13:00:00+00:00,25.0,5.0,12.0,240.0,30.0,10.0,-228.0,-20.0,20.0,-228.0
2026-01-02 14:00:00+00:00,25.0,0.0,21.0,122.0,30.0,10.0,-101.0,-25.0,20.0,-106.0
2026-01-02 15:00:00+00:00,25.0,0.0,1.0,163.0,30.0,10.0,-162.0,-25.0,20.0,-167.0
2026-01-02 16:00:00+00:00,25.0,7.0,1.0,156.0,80.0,10.0,-155.0,-18.0,70.0,-103.0
2026-01-02 17:00:00+00:00,25.0,7.0,1.0,154.0,80.0,10.0,-153.0,-18.0,70.0,-101.0
2026-01-02 18:00:00+00:00,25.0,7.0,1.0,150.0,80.0,10.0,-149.0,-18.0,70.0,-97.0
2026-01-02 19:00:00+00:00,75.0,15.0,1.0,195.0,80.0,10.0,-194.0,-60.0,70.0,-184.0
2026-01-02 20:00:00+00:00,75.0,0.0,1.0,170.0,80.0,10.0,-169.0,-75.0,70.0,-174.0
2026-01-02 21:00:00+00:00,75.0,0.0,1.0,278.0,80.0,10.0,-277.0,-75.0,70.0,-282.0
2026-01-02 22:00:00+00:00,75.0,0.0,1.0,301.0,80.0,10.0,-300.0,-75.0,70.0,-305.0
2026-01-02 23:00:00+00:00,210.0,50.0,16.0,275.0,236.0,30.0,-259.0,-160.0,206.0,-213.0
2026-01-03 00:00:00+00:00,195.0,39.0,48.0,236.0,231.0,30.0,-188.0,-156.0,201.0,-143.0
2026-01-03 01:00:00+00:00,149.0,14.0,48.0,215.0,252.0,30.0,-167.0,-135.0,222.0,-80.0
2026-01-03 02:00:00+00:00,169.0,17.0,48.0,194.0,280.0,30.0,-146.0,-152.0,250.0,-48.0
2026-01-03 03:00:00+00:00,149.0,12.0,48.0,185.0,266.0,30.0,-137.0,-137.0,236.0,-38.0
2026-01-03 04:00:00+00:00,154.0,12.0,48.0,195.0,276.0,30.0,-147.0,-142.0,246.0,-43.0
2026-01-03 05:00:00+00:00,145.0,9.0,28.0,228.0,276.0,30.0,-200.0,-136.0,246.0,-90.0
2026-01-03 06:00:00+00:00,164.0,31.0,36.0,225.0,273.0,30.0,-189.0,-133.0,243.0,-79.0
2026-01-03 07:00:00+00:00,194.0,28.0,38.0,215.0,263.0,30.0,-177.0,-166.0,233.0,-110.0
2026-01-03 08:00:00+00:00,195.0,36.0,39.0,275.0,256.0,30.0,-236.0,-159.0,226.0,-169.0
2026-01-03 09:00:00+00:00,195.0,54.0,39.0,270.0,242.0,30.0,-231.0,-141.0,212.0,-160.0
2026-01-03 10:00:00+00:00,195.0,1.0,39.0,262.0,212.0,30.0,-223.0,-194.0,182.0,-235.0
2026-01-03 11:00:00+00:00,196.0,0.0,39.0,252.0,222.0,30.0,-213.0,-196.0,192.0,-217.0
2026-01-03 12:00:00+00:00,176.0,23.0,39.0,260.0,219.0,45.0,-221.0,-153.0,174.0,-200.0
2026-01-03 13:00:00+00:00,191.0,15.0,39.0,243.0,238.0,45.0,-204.0,-176.0,193.0,-187.0
2026-01-03 14:00:00+00:00,125.0,52.0,42.0,118.0,60.0,95.0,-76.0,-73.0,-35.0,-184.0
2026-01-03 15:00:00+00:00,56.0,67.0,55.0,61.0,52.0,95.0,-6.0,11.0,-43.0,-38.0
2026-01-03 16:00:00+00:00,49.0,67.0,35.0,81.0,62.0,80.0,-46.0,18.0,-18.0,-46.0
2026-01-03 17:00:00+00:00,60.0,67.0,52.0,75.0,62.0,80.0,-23.0,7.0,-18.0,-34.0
2026-01-03 18:00:00+00:00,58.0,67.0,63.0,80.0,72.0,80.0,-17.0,9.0,-8.0,-16.0
2026-01-03 19:00:00+00:00,58.0,106.0,49.0,116.0,57.0,80.0,-67.0,48.0,-23.0,-42.0
2026-01-03 20:00:00+00:00,49.0,49.0,37.0,81.0,96.0,80.0,-44.0,0.0,16.0,-28.0
2026-01-03 21:00:00+00:00,124.0,14.0,47.0,192.0,211.0,105.0,-145.0,-110.0,106.0,-149.0
2026-01-03 22:00:00+00:00,163.0,0.0,24.0,187.0,236.0,80.0,-163.0,-163.0,156.0,-170.0
2026-01-03 23:00:00+00:00,167.0,24.0,0.0,103.0,202.0,45.0,-103.0,-143.0,157.0,-89.0
2026-01-04 00:00:00+00:00,161.0,29.0,0.0,105.0,217.0,45.0,-105.0,-132.0,172.0,-65.0
2026-01-04 01:00:00+00:00,151.0,29.0,0.0,76.0,236.0,0.0,-76.0,-122.0,236.0,38.0
2026-01-04 02:00:00+00:00,134.0,29.0,0.0,71.0,256.0,0.0,-71.0,-105.0,256.0,80.0
2026-01-04 03:00:00+00:00,133.0,33.0,19.0,71.0,265.0,0.0,-52.0,-100.0,265.0,113.0
2026-01-04 04:00:00+00:00,118.0,34.0,0.0,61.0,265.0,0.0,-61.0,-84.0,265.0,120.0
2026-01-04 05:00:00+00:00,135.0,34.0,12.0,66.0,246.0,0.0,-54.0,-101.0,246.0,91.0
2026-01-04 06:00:00+00:00,136.0,29.0,0.0,74.0,280.0,0.0,-74.0,-107.0,280.0,99.0
2026-01-04 07:00:00+00:00,130.0,53.0,25.0,78.0,222.0,0.0,-53.0,-77.0,222.0,92.0
2026-01-04 08:00:00+00:00,88.0,48.0,25.0,113.0,155.0,15.0,-88.0,-40.0,140.0,12.0
2026-01-04 09:00:00+00:00,79.0,34.0,12.0,111.0,106.0,6.0,-99.0,-45.0,100.0,-44.0
2026-01-04 10:00:00+00:00,89.0,34.0,0.0,113.0,95.0,1.0,-113.0,-55.0,94.0,-74.0
2026-01-04 11:00:00+00:00,78.0,34.0,10.0,111.0,95.0,9.0,-101.0,-44.0,86.0,-59.0
2026-01-04 12:00:00+00:00,97.0,34.0,2.0,101.0,128.0,25.0,-99.0,-63.0,103.0,-59.0
2026-01-04 13:00:00+00:00,77.0,34.0,25.0,78.0,122.0,33.0,-53.0,-43.0,89.0,-7.0
2026-01-04 14:00:00+00:00,60.0,39.0,25.0,63.0,73.0,45.0,-38.0,-21.0,28.0,-31.0
2026-01-04 15:00:00+00:00,41.0,111.0,25.0,113.0,100.0,38.0,-88.0,70.0,62.0,44.0
2026-01-04 16:00:00+00:00,80.0,101.0,10.0,97.0,100.0,31.0,-87.0,21.0,69.0,3.0
2026-01-04 17:00:00+00:00,63.0,101.0,17.0,101.0,100.0,47.0,-84.0,38.0,53.0,7.0
2026-01-04 18:00:00+00:00,63.0,123.0,17.0,101.0,100.0,74.0,-84.0,60.0,26.0,2.0
2026-01-04 19:00:00+00:00,92.0,144.0,26.0,101.0,108.0,40.0,-75.0,52.0,68.0,45.0
2026-01-04 20:00:00+00:00,85.0,125.0,19.0,108.0,108.0,25.0,-89.0,40.0,83.0,34.0
2026-01-04 21:00:00+00:00,109.0,137.0,0.0,121.0,83.0,18.0,-121.0,28.0,65.0,-28.0
2026-01-04 22:00:00+00:00,99.0,131.0,0.0,120.0,45.0,45.0,-120.0,32.0,0.0,-88.0
2026-01-04 23:00:00+00:00,52.0,144.0,67.0,23.0,124.0,30.0,44.0,92.0,94.0,230.0
2026-01-05 00:00:00+00:00,51.0,176.0,120.0,23.0,124.0,30.0,97.0,125.0,94.0,316.0
2026-01-05 01:00:00+00:00,81.0,186.0,124.0,23.0,124.0,30.0,101.0,105.0,94.0,300.0
2026-01-05 02:00:00+00:00,84.0,198.0,144.0,52.0,154.0,30.0,92.0,114.0,124.0,330.0
2026-01-05 03:00:00+00:00,85.0,173.0,131.0,53.0,154.0,30.0,78.0,88.0,124.0,290.0
2026-01-05 04:00:00+00:00,73.0,197.0,161.0,46.0,154.0,30.0,115.0,124.0,124.0,363.0
2026-01-05 05:00:00+00:00,29.0,192.0,106.0,13.0,64.0,40.0,93.0,163.0,24.0,280.0
2026-01-05 06:00:00+00:00,28.0,270.0,86.0,13.0,47.0,116.0,73.0,242.0,-69.0,246.0
2026-01-05 07:00:00+00:00,30.0,270.0,92.0,13.0,47.0,152.0,79.0,240.0,-105.0,214.0
2026-01-05 08:00:00+00:00,31.0,270.0,90.0,13.0,47.0,137.0,77.0,239.0,-90.0,226.0
2026-01-05 09:00:00+00:00,31.0,262.0,63.0,13.0,47.0,137.0,50.0,231.0,-90.0,191.0
2026-01-05 10:00:00+00:00,32.0,148.0,77.0,13.0,47.0,167.0,64.0,116.0,-120.0,60.0
2026-01-05 11:00:00+00:00,32.0,150.0,70.0,13.0,47.0,167.0,57.0,118.0,-120.0,55.0
2026-01-05 12:00:00+00:00,32.0,154.0,70.0,13.0,47.0,167.0,57.0,122.0,-120.0,59.0
2026-01-05 13:00:00+00:00,32.0,207.0,68.0,13.0,47.0,174.0,55.0,175.0,-127.0,103.0
2026-01-05 14:00:00+00:00,32.0,257.0,84.0,13.0,47.0,150.0,71.0,225.0,-103.0,193.0
2026-01-05 15:00:00+00:00,33.0,257.0,75.0,13.0,47.0,185.0,62.0,224.0,-138.0,148.0
2026-01-05 16:00:00+00:00,33.0,257.0,79.0,45.0,47.0,191.0,34.0,224.0,-144.0,114.0
2026-01-05 17:00:00+00:00,33.0,257.0,55.0,24.0,47.0,185.0,31.0,224.0,-138.0,117.0
2026-01-05 18:00:00+00:00,33.0,257.0,136.0,13.0,47.0,222.0,123.0,224.0,-175.0,172.0
2026-01-05 19:00:00+00:00,33.0,270.0,110.0,13.0,47.0,178.0,97.0,237.0,-131.0,203.0
2026-01-05 20:00:00+00:00,33.0,206.0,58.0,13.0,47.0,152.0,45.0,173.0,-105.0,113.0
2026-01-05 21:00:00+00:00,35.0,68.0,41.0,13.0,34.0,42.0,28.0,33.0,-8.0,53.0
2026-01-05 22:00:00+00:00,34.0,62.0,37.0,13.0,56.0,40.0,24.0,28.0,16.0,68.0
2026-01-05 23:00:00+00:00,50.0,171.0,105.0,133.0,205.0,78.0,-28.0,121.0,127.0,220.0
2026-01-06 00:00:00+00:00,38.0,196.0,114.0,133.0,205.0,70.0,-19.0,158.0,135.0,274.0
2026-01-06 01:00:00+00:00,38.0,205.0,97.0,133.0,205.0,70.0,-36.0,167.0,135.0,266.0
2026-01-06 02:00:00+00:00,53.0,185.0,77.0,133.0,205.0,70.0,-56.0,132.0,135.0,211.0
2026-01-06 03:00:00+00:00,60.0,189.0,77.0,133.0,205.0,70.0,-56.0,129.0,135.0,208.0
2026-01-06 04:00:00+00:00,35.0,195.0,72.0,133.0,205.0,70.0,-61.0,160.0,135.0,234.0
2026-01-06 05:00:00+00:00,52.0,174.0,124.0,13.0,52.0,10.0,111.0,122.0,42.0,275.0
2026-01-06 06:00:00+00:00,46.0,230.0,148.0,13.0,52.0,36.0,135.0,184.0,16.0,335.0
2026-01-06 07:00:00+00:00,45.0,268.0,169.0,13.0,52.0,61.0,156.0,223.0,-9.0,370.0
2026-01-06 08:00:00+00:00,42.0,250.0,183.0,18.0,52.0,86.0,165.0,208.0,-34.0,339.0
2026-01-06 09:00:00+00:00,42.0,225.0,209.0,18.0,52.0,58.0,191.0,183.0,-6.0,368.0
2026-01-06 10:00:00+00:00,42.0,215.0,162.0,18.0,52.0,61.0,144.0,173.0,-9.0,308.0
2026-01-06 11:00:00+00:00,42.0,212.0,154.0,18.0,52.0,50.0,136.0,170.0,2.0,308.0
2026-01-06 12:00:00+00:00,42.0,213.0,150.0,18.0,52.0,63.0,132.0,171.0,-11.0,292.0
2026-01-06 13:00:00+00:00,42.0,255.0,169.0,18.0,52.0,39.0,151.0,213.0,13.0,377.0
2026-01-06 14:00:00+00:00,110.0,254.0,130.0,18.0,54.0,36.0,112.0,144.0,18.0,274.0
2026-01-06 15:00:00+00:00,99.0,245.0,138.0,18.0,59.0,36.0,120.0,146.0,23.0,289.0
2026-01-06 16:00:00+00:00,110.0,225.0,149.0,18.0,68.0,36.0,131.0,115.0,32.0,278.0
2026-01-06 17:00:00+00:00,100.0,240.0,118.0,18.0,57.0,36.0,100.0,140.0,21.0,261.0
2026-01-06 18:00:00+00:00,95.0,239.0,129.0,18.0,69.0,36.0,111.0,144.0,33.0,288.0
2026-01-06 19:00:00+00:00,103.0,244.0,119.0,18.0,52.0,36.0,101.0,141.0,16.0,258.0
2026-01-06 20:00:00+00:00,103.0,218.0,148.0,18.0,5.0,106.0,130.0,115.0,-101.0,144.0
2026-01-06 21:00:00+00:00,102.0,179.0,165.0,18.0,5.0,80.0,147.0,77.0,-75.0,149.0
2026-01-06 22:00:00+00:00,101.0,155.0,150.0,18.0,5.0,80.0,132.0,54.0,-75.0,111.0
2026-01-06 23:00:00+00:00,80.0,90.0,72.0,120.0,353.0,0.0,-48.0,10.0,353.0,315.0
2026-01-07 00:00:00+00:00,78.0,128.0,72.0,115.0,357.0,0.0,-43.0,50.0,357.0,364.0
2026-01-07 01:00:00+00:00,78.0,169.0,74.0,115.0,353.0,0.0,-41.0,91.0,353.0,403.0
2026-01-07 02:00:00+00:00,77.0,189.0,79.0,115.0,365.0,0.0,-36.0,112.0,365.0,441.0
2026-01-07 03:00:00+00:00,76.0,189.0,79.0,115.0,365.0,0.0,-36.0,113.0,365.0,442.0
2026-01-07 04:00:00+00:00,77.0,179.0,78.0,98.0,365.0,0.0,-20.0,102.0,365.0,447.0
2026-01-07 05:00:00+00:00,79.0,283.0,103.0,13.0,108.0,0.0,90.0,204.0,108.0,402.0
2026-01-07 06:00:00+00:00,31.0,230.0,163.0,13.0,120.0,117.0,150.0,199.0,3.0,352.0
2026-01-07 07:00:00+00:00,32.0,245.0,163.0,13.0,105.0,114.0,150.0,213.0,-9.0,354.0
2026-01-07 08:00:00+00:00,33.0,255.0,163.0,13.0,105.0,144.0,150.0,222.0,-39.0,333.0
2026-01-07 09:00:00+00:00,33.0,237.0,163.0,13.0,120.0,120.0,150.0,204.0,0.0,354.0
2026-01-07 10:00:00+00:00,32.0,250.0,163.0,13.0,120.0,120.0,150.0,218.0,0.0,368.0
2026-01-07 11:00:00+00:00,32.0,252.0,163.0,13.0,120.0,120.0,150.0,220.0,0.0,370.0
2026-01-07 12:00:00+00:00,31.0,250.0,163.0,13.0,120.0,120.0,150.0,219.0,0.0,369.0
2026-01-07 13:00:00+00:00,32.0,250.0,163.0,13.0,137.0,120.0,150.0,218.0,17.0,385.0
2026-01-07 14:00:00+00:00,34.0,245.0,163.0,13.0,120.0,120.0,150.0,211.0,0.0,361.0
2026-01-07 15:00:00+00:00,33.0,250.0,163.0,13.0,120.0,135.0,150.0,217.0,-15.0,352.0
2026-01-07 16:00:00+00:00,41.0,245.0,163.0,13.0,120.0,135.0,150.0,204.0,-15.0,339.0
2026-01-07 17:00:00+00:00,35.0,228.0,163.0,13.0,105.0,110.0,150.0,193.0,-5.0,338.0
2026-01-07 18:00:00+00:00,35.0,228.0,165.0,15.0,105.0,110.0,150.0,193.0,-5.0,338.0
2026-01-07 19:00:00+00:00,35.0,255.0,163.0,13.0,105.0,110.0,150.0,220.0,-5.0,365.0
2026-01-07 20:00:00+00:00,84.0,202.0,112.0,13.0,109.0,45.0,99.0,118.0,64.0,281.0
2026-01-07 21:00:00+00:00,83.0,164.0,112.0,89.0,174.0,0.0,23.0,81.0,174.0,278.0
2026-01-07 22:00:00+00:00,83.0,66.0,112.0,101.0,314.0,0.0,11.0,-17.0,314.0,308.0
2026-01-07 23:00:00+00:00,102.0,69.0,37.0,68.0,319.0,0.0,-31.0,-33.0,319.0,255.0
2026-01-08 00:00:00+00:00,100.0,112.0,55.0,68.0,319.0,0.0,-13.0,12.0,319.0,318.0
2026-01-08 01:00:00+00:00,99.0,172.0,46.0,68.0,319.0,0.0,-22.0,73.0,319.0,370.0
2026-01-08 02:00:00+00:00,99.0,178.0,33.0,68.0,319.0,0.0,-35.0,79.0,319.0,363.0
2026-01-08 03:00:00+00:00,99.0,180.0,27.0,83.0,319.0,0.0,-56.0,81.0,319.0,344.0
2026-01-08 04:00:00+00:00,99.0,162.0,24.0,68.0,319.0,0.0,-44.0,63.0,319.0,338.0
2026-01-08 05:00:00+00:00,31.0,213.0,110.0,13.0,85.0,0.0,97.0,182.0,85.0,364.0
2026-01-08 06:00:00+00:00,32.0,215.0,163.0,13.0,97.0,67.0,150.0,183.0,30.0,363.0
2026-01-08 07:00:00+00:00,33.0,240.0,182.0,13.0,118.0,149.0,169.0,207.0,-31.0,345.0
2026-01-08 08:00:00+00:00,35.0,245.0,178.0,13.0,79.0,74.0,165.0,210.0,5.0,380.0
2026-01-08 09:00:00+00:00,32.0,245.0,177.0,13.0,132.0,171.0,164.0,213.0,-39.0,338.0
2026-01-08 10:00:00+00:00,59.0,245.0,181.0,13.0,132.0,140.0,168.0,186.0,-8.0,346.0
2026-01-08 11:00:00+00:00,54.0,245.0,175.0,13.0,142.0,174.0,162.0,191.0,-32.0,321.0
2026-01-08 12:00:00+00:00,38.0,245.0,196.0,13.0,67.0,182.0,183.0,207.0,-115.0,275.0
2026-01-08 13:00:00+00:00,31.0,245.0,188.0,13.0,67.0,215.0,175.0,214.0,-148.0,241.0
2026-01-08 14:00:00+00:00,32.0,245.0,178.0,13.0,99.0,232.0,165.0,213.0,-133.0,245.0
2026-01-08 15:00:00+00:00,33.0,245.0,198.0,13.0,99.0,255.0,185.0,212.0,-156.0,241.0
2026-01-08 16:00:00+00:00,33.0,245.0,198.0,13.0,99.0,212.0,185.0,212.0,-113.0,284.0
2026-01-08 17:00:00+00:00,35.0,245.0,200.0,13.0,99.0,225.0,187.0,210.0,-126.0,271.0
2026-01-08 18:00:00+00:00,34.0,245.0,190.0,13.0,99.0,180.0,177.0,211.0,-81.0,307.0
2026-01-08 19:00:00+00:00,34.0,228.0,185.0,13.0,99.0,164.0,172.0,194.0,-65.0,301.0
2026-01-08 20:00:00+00:00,37.0,137.0,145.0,13.0,172.0,146.0,132.0,100.0,26.0,258.0
2026-01-08 21:00:00+00:00,32.0,101.0,141.0,13.0,172.0,62.0,128.0,69.0,110.0,307.0
2026-01-08 22:00:00+00:00,101.0,42.0,145.0,75.0,363.0,60.0,70.0,-59.0,303.0,314.0
2026-01-08 23:00:00+00:00,32.0,158.0,72.0,63.0,220.0,5.0,9.0,126.0,215.0,350.0
2026-01-09 00:00:00+00:00,29.0,139.0,70.0,68.0,200.0,5.0,2.0,110.0,195.0,307.0
2026-01-09 01:00:00+00:00,28.0,149.0,56.0,55.0,207.0,5.0,1.0,121.0,202.0,324.0
2026-01-09 02:00:00+00:00,46.0,193.0,71.0,63.0,227.0,5.0,8.0,147.0,222.0,377.0
2026-01-09 03:00:00+00:00,43.0,204.0,63.0,43.0,207.0,5.0,20.0,161.0,202.0,383.0
2026-01-09 04:00:00+00:00,42.0,206.0,63.0,43.0,192.0,5.0,20.0,164.0,187.0,371.0
2026-01-09 05:00:00+00:00,34.0,270.0,258.0,43.0,102.0,325.0,215.0,236.0,-223.0,228.0
2026-01-09 06:00:00+00:00,30.0,270.0,293.0,54.0,39.0,244.0,239.0,240.0,-205.0,274.0
2026-01-09 07:00:00+00:00,31.0,270.0,293.0,43.0,52.0,193.0,250.0,239.0,-141.0,348.0
2026-01-09 08:00:00+00:00,31.0,270.0,303.0,43.0,47.0,135.0,260.0,239.0,-88.0,411.0
2026-01-09 09:00:00+00:00,30.0,270.0,303.0,43.0,92.0,203.0,260.0,240.0,-111.0,389.0
2026-01-09 10:00:00+00:00,29.0,270.0,303.0,43.0,92.0,270.0,260.0,241.0,-178.0,323.0
2026-01-09 11:00:00+00:00,29.0,270.0,303.0,43.0,92.0,263.0,260.0,241.0,-171.0,330.0
2026-01-09 12:00:00+00:00,29.0,270.0,303.0,43.0,92.0,314.0,260.0,241.0,-222.0,279.0
2026-01-09 13:00:00+00:00,29.0,270.0,303.0,43.0,92.0,332.0,260.0,241.0,-240.0,261.0
2026-01-09 14:00:00+00:00,31.0,270.0,303.0,43.0,39.0,274.0,260.0,239.0,-235.0,264.0
2026-01-09 15:00:00+00:00,32.0,270.0,313.0,43.0,39.0,324.0,270.0,238.0,-285.0,223.0
2026-01-09 16:00:00+00:00,32.0,270.0,313.0,43.0,39.0,347.0,270.0,238.0,-308.0,200.0
