,RS_MK,MK_RS,BG_MK,MK_BG,GR_MK,MK_GR,MK_BG_net_export,MK_GR_net_export,MK_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,214.0,61.0,50.0,0.0,464.0,0.0,-50.0,-464.0,-153.0,-667.0
2026-01-01 01:00:00+00:00,213.0,61.0,49.0,0.0,457.0,0.0,-49.0,-457.0,-152.0,-658.0
2026-01-01 02:00:00+00:00,203.0,54.0,49.0,0.0,463.0,0.0,-49.0,-463.0,-149.0,-661.0
2026-01-01 03:00:00+00:00,202.0,59.0,49.0,0.0,429.0,0.0,-49.0,-429.0,-143.0,-621.0
2026-01-01 04:00:00+00:00,202.0,72.0,49.0,0.0,393.0,0.0,-49.0,-393.0,-130.0,-572.0
2026-01-01 05:00:00+00:00,213.0,44.0,29.0,0.0,352.0,0.0,-29.0,-352.0,-169.0,-550.0
2026-01-01 06:00:00+00:00,185.0,61.0,24.0,0.0,321.0,0.0,-24.0,-321.0,-124.0,-469.0
2026-01-01 07:00:00+00:00,127.0,85.0,2.0,0.0,326.0,0.0,-2.0,-326.0,-42.0,-370.0
2026-01-01 08:00:00+00:00,123.0,117.0,0.0,0.0,316.0,5.0,0.0,-311.0,-6.0,-317.0
2026-01-01 09:00:00+00:00,123.0,117.0,0.0,0.0,324.0,5.0,0.0,-319.0,-6.0,-325.0
2026-01-01 10:00:00+00:00,123.0,117.0,0.0,0.0,301.0,5.0,0.0,-296.0,-6.0,-302.0
2026-01-01 11:00:00+00:00,128.0,117.0,0.0,0.0,313.0,5.0,0.0,-308.0,-11.0,-319.0
2026-01-01 12:00:00+00:00,123.0,109.0,0.0,0.0,382.0,5.0,0.0,-377.0,-14.0,-391.0
2026-01-01 13:00:00+00:00,134.0,93.0,2.0,0.0,445.0,0.0,-2.0,-445.0,-41.0,-488.0
2026-01-01 14:00:00+00:00,161.0,69.0,22.0,0.0,443.0,0.0,-22.0,-443.0,-92.0,-557.0
2026-01-01 15:00:00+00:00,195.0,65.0,30.0,0.0,402.0,0.0,-30.0,-402.0,-130.0,-562.0
2026-01-01 16:00:00+00:00,190.0,59.0,32.0,0.0,405.0,0.0,-32.0,-405.0,-131.0,-568.0
2026-01-01 17:00:00+00:00,201.0,63.0,35.0,0.0,394.0,0.0,-35.0,-394.0,-138.0,-567.0
2026-01-01 18:00:00+00:00,207.0,60.0,39.0,0.0,384.0,0.0,-39.0,-384.0,-147.0,-570.0
2026-01-01 19:00:00+00:00,192.0,67.0,37.0,0.0,411.0,0.0,-37.0,-411.0,-125.0,-573.0
