,NO_2_NO_1,NO_1_NO_2,SE_3_NO_1,NO_1_SE_3,NO_1_NO_3,NO_3_NO_1,NO_1_NO_5,NO_5_NO_1,NO_1_NO_2_net_export,NO_1_NO_3_net_export,NO_1_NO_5_net_export,NO_1_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,1265.5,0.0,3257.525,0.0,631.275,0.0,-3257.525,-631.275,1265.5,-2623.3
2026-01-01 01:00:00+00:00,457.925,0.0,1229.25,0.0,134.875,1055.075,62.775,121.65,-457.925,-920.2,-58.87500000000001,-1229.25,-2666.25
2026-01-01 02:00:00+00:00,297.825,0.0,0.0,1810.75,0.0,3884.75,0.0,446.5,-297.825,-3884.75,-446.5,1810.75,-2818.325
2026-01-01 03:00:00+00:00,244.475,0.0,874.5,0.0,438.15,1313.95,0.0,900.375,-244.475,-875.8000000000001,-900.375,-874.5,-2895.15
2026-01-01 04:00:00+00:00,297.25,0.0,872.0,1465.0,124.35,3341.625,0.0,89.025,-297.25,-3217.275,-89.025,593.0,-3010.55
2026-01-01 05:00:00+00:00,702.525,0.0,543.75,736.0,208.875,1403.875,0.0,1412.25,-702.525,-1195.0,-1412.25,192.25,-3117.525
2026-01-01 06:00:00+00:00,1368.55,0.0,541.5,0.0,57.775,1426.475,0.0,0.0,-1368.55,-1368.6999999999998,0.0,-541.5,-3278.75
2026-01-01 07:00:00+00:00,1128.85,0.0,0.0,844.5,0.0,2765.5,0.0,340.275,-1128.85,-2765.5,-340.275,844.5,-3390.125
2026-01-01 08:00:00+00:00,1035.225,0.0,1819.75,890.0,325.275,1507.15,0.0,230.275,-1035.225,-1181.875,-230.275,-929.75,-3377.125
2026-01-01 09:00:00+00:00,664.275,0.0,0.0,922.0,0.0,3210.975,0.0,510.7,-664.275,-3210.975,-510.7,922.0,-3463.95
2026-01-01 10:00:00+00:00,403.35,0.0,683.5,981.75,0.0,3421.95,0.0,0.0,-403.35,-3421.95,0.0,298.25,-3527.0499999999997
2026-01-01 11:00:00+00:00,1164.7,0.0,1312.25,0.0,247.3,1072.65,0.0,168.4,-1164.7,-825.3500000000001,-168.4,-1312.25,-3470.7000000000003
2026-01-01 12:00:00+00:00,749.125,0.0,1347.75,0.0,180.625,1297.55,0.0,375.85,-749.125,-1116.925,-375.85,-1347.75,-3589.65
2026-01-01 13:00:00+00:00,727.45,0.0,1335.5,0.0,132.225,1092.675,0.0,608.1,-727.45,-960.4499999999999,-608.1,-1335.5,-3631.5
2026-01-01 14:00:00+00:00,909.575,0.0,636.0,0.0,107.825,1724.325,0.0,435.125,-909.575,-1616.5,-435.125,-636.0,-3597.2
2026-01-01 15:00:00+00:00,956.4,0.0,1270.75,1455.5,200.275,2576.7,0.0,452.3,-956.4,-2376.4249999999997,-452.3,184.75,-3600.375
2026-01-01 16:00:00+00:00,263.475,0.0,1878.75,0.0,273.525,532.8,0.0,1202.875,-263.475,-259.275,-1202.875,-1878.75,-3604.375
2026-01-01 17:00:00+00:00,1322.275,0.0,561.25,0.0,99.375,1494.925,0.0,213.65,-1322.275,-1395.55,-213.65,-561.25,-3492.725
2026-01-01 18:00:00+00:00,1077.45,0.0,1158.5,0.0,230.0,926.275,0.0,476.975,-1077.45,-696.275,-476.975,-1158.5,-3409.2
2026-01-01 19:00:00+00:00,1629.075,0.0,564.0,1527.0,124.4,2827.75,72.85,14.85,-1629.075,-2703.35,57.99999999999999,963.0,-3311.425
2026-01-01 20:00:00+00:00,1260.875,0.0,565.75,0.0,119.8,1313.675,100.825,379.1,-1260.875,-1193.875,-278.27500000000003,-565.75,-3298.775
2026-01-01 21:00:00+00:00,1186.375,0.0,555.75,0.0,0.0,1613.2,153.9,0.0,-1186.375,-1613.2,153.9,-555.75,-3201.4249999999997
2026-01-01 22:00:00+00:00,1231.225,0.0,0.0,0.0,0.0,1862.85,0.0,84.2,-1231.225,-1862.85,-84.2,0.0,-3178.2749999999996
2026-01-01 23:00:00+00:00,835.4,0.0,93.25,0.0,0.0,1740.35,0.0,495.275,-835.4,-1740.35,-495.275,-93.25,-3164.275
2026-01-02 00:00:00+00:00,1087.45,0.0,137.5,0.0,0.0,1622.675,0.0,254.6,-1087.45,-1622.675,-254.6,-137.5,-3102.225
2026-01-02 01:00:00+00:00,1275.775,0.0,227.75,0.0,0.0,1446.55,0.0,147.675,-1275.775,-1446.55,-147.675,-227.75,-3097.75
2026-01-02 02:00:00+00:00,1352.25,0.0,244.0,0.0,0.0,1234.625,0.0,270.0,-1352.25,-1234.625,-270.0,-244.0,-3100.875
2026-01-02 03:00:00+00:00,1387.95,0.0,114.75,0.0,0.0,1409.75,0.0,267.65,-1387.95,-1409.75,-267.65,-114.75,-3180.1
2026-01-02 04:00:00+00:00,1375.65,0.0,31.75,0.0,0.0,1649.825,0.0,295.25,-1375.65,-1649.825,-295.25,-31.75,-3352.4750000000004
2026-01-02 05:00:00+00:00,1439.125,0.0,0.0,0.0,0.0,1690.85,0.0,464.275,-1439.125,-1690.85,-464.275,0.0,-3594.25
2026-01-02 06:00:00+00:00,1989.575,0.0,0.0,0.0,0.0,900.75,0.0,893.5,-1989.575,-900.75,-893.5,0.0,-3783.825
2026-01-02 07:00:00+00:00,2151.775,0.0,0.0,0.0,0.0,804.45,0.0,884.375,-2151.775,-804.45,-884.375,0.0,-3840.6000000000004
2026-01-02 08:00:00+00:00,2260.05,0.0,0.0,0.0,0.0,800.925,0.0,836.7,-2260.05,-800.925,-836.7,0.0,-3897.675
2026-01-02 09:00:00+00:00,2275.125,0.0,0.0,0.0,0.0,1247.775,0.0,478.9,-2275.125,-1247.775,-478.9,0.0,-4001.8
2026-01-02 10:00:00+00:00,2354.25,0.0,0.0,0.0,0.0,1226.275,0.0,486.9,-2354.25,-1226.275,-486.9,0.0,-4067.425
2026-01-02 11:00:00+00:00,2297.325,0.0,0.0,0.0,0.0,1298.4,0.0,578.975,-2297.325,-1298.4,-578.975,0.0,-4174.7
2026-01-02 12:00:00+00:00,2082.75,0.0,0.0,0.0,0.0,1340.325,0.0,756.5,-2082.75,-1340.325,-756.5,0.0,-4179.575
2026-01-02 13:00:00+00:00,1798.525,0.0,0.0,0.0,0.0,1326.725,0.0,982.475,-1798.525,-1326.725,-982.475,0.0,-4107.725
2026-01-02 14:00:00+00:00,474.95,0.0,0.0,0.0,0.0,1630.1,0.0,1952.425,-474.95,-1630.1,-1952.425,0.0,-4057.4749999999995
2026-01-02 15:00:00+00:00,82.5,0.0,0.0,0.0,0.0,1741.25,0.0,2144.15,-82.5,-1741.25,-2144.15,0.0,-3967.9
2026-01-02 16:00:00+00:00,171.125,0.0,0.0,0.0,0.0,1700.025,0.0,2242.525,-171.125,-1700.025,-2242.525,0.0,-4113.675
2026-01-02 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2059.55,0.0,1736.5,0.0,-2059.55,-1736.5,0.0,-3796.05
2026-01-02 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2189.625,0.0,1513.5,0.0,-2189.625,-1513.5,0.0,-3703.125
2026-01-02 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2288.95,0.0,1309.975,0.0,-2288.95,-1309.975,0.0,-3598.9249999999997
2026-01-02 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2260.575,0.0,1286.075,0.0,-2260.575,-1286.075,0.0,-3546.6499999999996
2026-01-02 21:00:00+00:00,0.0,0.0,5.25,0.0,0.0,2352.925,0.0,959.1,0.0,-2352.925,-959.1,-5.25,-3317.275
2026-01-02 22:00:00+00:00,0.0,0.0,83.0,0.0,0.0,2401.475,0.0,727.0,0.0,-2401.475,-727.0,-83.0,-3211.475
2026-01-02 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2548.65,0.0,652.7,0.0,-2548.65,-652.7,0.0,-3201.3500000000004
2026-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2431.85,0.0,744.475,0.0,-2431.85,-744.475,0.0,-3176.325
2026-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2489.65,0.0,665.775,0.0,-2489.65,-665.775,0.0,-3155.425
2026-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2467.8,0.0,655.0,0.0,-2467.8,-655.0,0.0,-3122.8
2026-01-03 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2174.7,0.0,983.15,0.0,-2174.7,-983.15,0.0,-3157.85
2026-01-03 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2372.2,0.0,799.525,0.0,-2372.2,-799.525,0.0,-3171.725
2026-01-03 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2409.75,0.0,881.825,0.0,-2409.75,-881.825,0.0,-3291.575
2026-01-03 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2196.375,0.0,1183.025,0.0,-2196.375,-1183.025,0.0,-3379.4
2026-01-03 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1995.875,0.0,1492.225,0.0,-1995.875,-1492.225,0.0,-3488.1
2026-01-03 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1803.15,0.0,1758.3,0.0,-1803.15,-1758.3,0.0,-3561.45
2026-01-03 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1715.625,0.0,1920.8,0.0,-1715.625,-1920.8,0.0,-3636.425
2026-01-03 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1488.875,0.0,2357.625,0.0,-1488.875,-2357.625,0.0,-3846.5
2026-01-03 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1476.8,0.0,2450.8,0.0,-1476.8,-2450.8,0.0,-3927.6000000000004
2026-01-03 12:00:00+00:00,18.925,0.0,0.0,0.0,0.0,1419.3,0.0,2481.425,-18.925,-1419.3,-2481.425,0.0,-3919.65
2026-01-03 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1438.025,0.0,2389.625,0.0,-1438.025,-2389.625,0.0,-3827.65
2026-01-03 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1417.05,0.0,2356.4,0.0,-1417.05,-2356.4,0.0,-3773.45
2026-01-03 15:00:00+00:00,2.25,0.0,0.0,0.0,0.0,1455.575,0.0,2409.625,-2.25,-1455.575,-2409.625,0.0,-3867.45
2026-01-03 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1574.675,0.0,2282.4,0.0,-1574.675,-2282.4,0.0,-3857.075
2026-01-03 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1563.25,0.0,2255.5,0.0,-1563.25,-2255.5,0.0,-3818.75
2026-01-03 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1692.075,0.0,2063.8,0.0,-1692.075,-2063.8,0.0,-3755.875
2026-01-03 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1789.925,0.0,1838.625,0.0,-1789.925,-1838.625,0.0,-3628.55
2026-01-03 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1649.35,0.0,1923.175,0.0,-1649.35,-1923.175,0.0,-3572.5249999999996
2026-01-03 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1557.875,0.0,1921.0,0.0,-1557.875,-1921.0,0.0,-3478.875
2026-01-03 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1670.75,0.0,1746.275,0.0,-1670.75,-1746.275,0.0,-3417.025
2026-01-03 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1490.9,0.0,1964.125,0.0,-1490.9,-1964.125,0.0,-3455.025
2026-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1578.475,0.0,1728.6,0.0,-1578.475,-1728.6,0.0,-3307.075
2026-01-04 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1525.775,0.0,1752.8,0.0,-1525.775,-1752.8,0.0,-3278.575
2026-01-04 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1568.075,0.0,1705.3,0.0,-1568.075,-1705.3,0.0,-3273.375
2026-01-04 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1547.85,0.0,1719.3,0.0,-1547.85,-1719.3,0.0,-3267.1499999999996
2026-01-04 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1384.175,0.0,1908.575,0.0,-1384.175,-1908.575,0.0,-3292.75
2026-01-04 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1573.05,0.0,1833.725,0.0,-1573.05,-1833.725,0.0,-3406.7749999999996
2026-01-04 06:00:00+00:00,299.775,0.0,0.0,0.0,0.0,974.7,0.0,2267.125,-299.775,-974.7,-2267.125,0.0,-3541.6
2026-01-04 07:00:00+00:00,1338.125,0.0,0.0,103.0,0.0,134.775,0.0,2347.025,-1338.125,-134.775,-2347.025,103.0,-3716.925
2026-01-04 08:00:00+00:00,1710.825,0.0,0.0,715.5,0.0,0.0,0.0,2670.925,-1710.825,0.0,-2670.925,715.5,-3666.25
2026-01-04 09:00:00+00:00,1381.725,0.0,0.0,139.75,0.0,30.175,0.0,2545.425,-1381.725,-30.175,-2545.425,139.75,-3817.575
2026-01-04 10:00:00+00:00,1738.675,0.0,0.0,187.5,0.0,0.0,0.0,2482.425,-1738.675,0.0,-2482.425,187.5,-4033.6000000000004
2026-01-04 11:00:00+00:00,1846.7,0.0,0.0,261.75,0.0,0.0,0.0,2476.025,-1846.7,0.0,-2476.025,261.75,-4060.9750000000004
2026-01-04 12:00:00+00:00,1856.55,0.0,0.0,87.75,0.0,0.0,0.0,2338.85,-1856.55,0.0,-2338.85,87.75,-4107.65
2026-01-04 13:00:00+00:00,2317.35,0.0,0.0,648.0,0.0,0.0,0.0,2384.525,-2317.35,0.0,-2384.525,648.0,-4053.875
2026-01-04 14:00:00+00:00,2798.0,0.0,0.0,1097.25,0.0,0.0,0.0,2405.3,-2798.0,0.0,-2405.3,1097.25,-4106.05
