,NO_1_NO_3,NO_3_NO_1,NO_5_NO_3,NO_3_NO_5,NO_4_NO_3,NO_3_NO_4,SE_2_NO_3,NO_3_SE_2,NO_3_NO_1_net_export,NO_3_NO_4_net_export,NO_3_NO_5_net_export,NO_3_SE_2_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,3257.525,154.9,0.0,1723.65,159.8,1389.0,0.0,3257.525,-1563.8500000000001,-154.9,-1389.0,149.77499999999986
2026-01-01 01:00:00+00:00,134.875,1055.075,211.65,0.0,469.525,497.375,776.25,0.0,920.2,27.850000000000023,-211.65,-776.25,-39.84999999999991
2026-01-01 02:00:00+00:00,0.0,3884.75,228.9,0.0,3457.85,272.3,852.5,0.0,3884.75,-3185.5499999999997,-228.9,-852.5,-382.1999999999997
2026-01-01 03:00:00+00:00,438.15,1313.95,0.0,0.0,0.0,1166.575,2628.25,0.0,875.8000000000001,1166.575,0.0,-2628.25,-585.875
2026-01-01 04:00:00+00:00,124.35,3341.625,1114.65,0.0,0.0,1230.35,4044.75,0.0,3217.275,1230.35,-1114.65,-4044.75,-711.7750000000001
2026-01-01 05:00:00+00:00,208.875,1403.875,0.0,334.5,541.35,280.475,2101.25,0.0,1195.0,-260.875,334.5,-2101.25,-832.625
2026-01-01 06:00:00+00:00,57.775,1426.475,488.175,0.0,543.075,460.5,1545.0,0.0,1368.6999999999998,-82.57500000000005,-488.175,-1545.0,-747.0500000000002
2026-01-01 07:00:00+00:00,0.0,2765.5,312.55,0.0,1717.625,0.0,1418.25,0.0,2765.5,-1717.625,-312.55,-1418.25,-682.925
2026-01-01 08:00:00+00:00,325.275,1507.15,460.2,0.0,0.0,0.0,1500.25,0.0,1181.875,0.0,-460.2,-1500.25,-778.575
2026-01-01 09:00:00+00:00,0.0,3210.975,437.925,0.0,1280.975,87.375,2297.5,0.0,3210.975,-1193.6,-437.925,-2297.5,-718.05
2026-01-01 10:00:00+00:00,0.0,3421.95,1044.5,0.0,1359.775,0.0,1665.75,0.0,3421.95,-1359.775,-1044.5,-1665.75,-648.0750000000003
2026-01-01 11:00:00+00:00,247.3,1072.65,163.5,0.0,1312.55,0.0,0.0,0.0,825.3500000000001,-1312.55,-163.5,0.0,-650.6999999999998
2026-01-01 12:00:00+00:00,180.625,1297.55,359.025,0.0,1350.725,0.0,0.0,0.0,1116.925,-1350.725,-359.025,0.0,-592.8249999999999
2026-01-01 13:00:00+00:00,132.225,1092.675,186.95,0.0,663.5,0.0,638.5,0.0,960.4499999999999,-663.5,-186.95,-638.5,-528.5
2026-01-01 14:00:00+00:00,107.825,1724.325,113.8,0.0,1912.15,0.0,0.0,0.0,1616.5,-1912.15,-113.8,0.0,-409.4500000000001
2026-01-01 15:00:00+00:00,200.275,2576.7,55.7,0.0,637.55,0.0,2091.0,0.0,2376.4249999999997,-637.55,-55.7,-2091.0,-407.8250000000003
2026-01-01 16:00:00+00:00,273.525,532.8,0.0,0.0,0.0,0.0,627.5,0.0,259.275,0.0,0.0,-627.5,-368.225
2026-01-01 17:00:00+00:00,99.375,1494.925,99.975,0.0,1261.2,0.0,416.75,0.0,1395.55,-1261.2,-99.975,-416.75,-382.3750000000001
2026-01-01 18:00:00+00:00,230.0,926.275,0.0,0.0,579.525,0.0,580.5,0.0,696.275,-579.525,0.0,-580.5,-463.75
2026-01-01 19:00:00+00:00,124.4,2827.75,0.0,10.875,363.65,0.0,2861.0,0.0,2703.35,-363.65,10.875,-2861.0,-510.4250000000002
2026-01-01 20:00:00+00:00,119.8,1313.675,0.0,36.225,1690.95,0.0,0.0,0.0,1193.875,-1690.95,36.225,0.0,-460.85
2026-01-01 21:00:00+00:00,0.0,1613.2,373.65,0.0,1238.9,0.0,429.25,0.0,1613.2,-1238.9,-373.65,-429.25,-428.6
2026-01-01 22:00:00+00:00,0.0,1862.85,0.0,0.0,1314.8,0.0,1057.5,0.0,1862.85,-1314.8,0.0,-1057.5,-509.45000000000005
2026-01-01 23:00:00+00:00,0.0,1740.35,0.0,0.0,38.075,0.0,2401.25,0.0,1740.35,-38.075,0.0,-2401.25,-698.9750000000001
2026-01-02 00:00:00+00:00,0.0,1622.675,0.0,0.0,80.1,0.0,2402.5,0.0,1622.675,-80.1,0.0,-2402.5,-859.925
2026-01-02 01:00:00+00:00,0.0,1446.55,0.0,0.0,0.0,0.0,2419.5,0.0,1446.55,0.0,0.0,-2419.5,-972.95
2026-01-02 02:00:00+00:00,0.0,1234.625,0.0,0.0,0.0,0.0,2456.75,0.0,1234.625,0.0,0.0,-2456.75,-1222.125
2026-01-02 03:00:00+00:00,0.0,1409.75,0.0,0.0,91.025,0.0,2446.0,0.0,1409.75,-91.025,0.0,-2446.0,-1127.275
2026-01-02 04:00:00+00:00,0.0,1649.825,0.0,0.0,156.075,0.0,2400.75,0.0,1649.825,-156.075,0.0,-2400.75,-907.0
2026-01-02 05:00:00+00:00,0.0,1690.85,0.0,0.0,534.575,0.0,1825.0,0.0,1690.85,-534.575,0.0,-1825.0,-668.7250000000001
2026-01-02 06:00:00+00:00,0.0,900.75,0.0,0.0,459.175,0.0,1008.25,0.0,900.75,-459.175,0.0,-1008.25,-566.675
2026-01-02 07:00:00+00:00,0.0,804.45,0.0,0.0,563.35,0.0,895.5,0.0,804.45,-563.35,0.0,-895.5,-654.4
2026-01-02 08:00:00+00:00,0.0,800.925,0.0,0.0,722.7,0.0,852.25,0.0,800.925,-722.7,0.0,-852.25,-774.0250000000001
2026-01-02 09:00:00+00:00,0.0,1247.775,0.0,0.0,939.075,0.0,1167.5,0.0,1247.775,-939.075,0.0,-1167.5,-858.8
2026-01-02 10:00:00+00:00,0.0,1226.275,0.0,0.0,936.2,0.0,1203.0,0.0,1226.275,-936.2,0.0,-1203.0,-912.925
2026-01-02 11:00:00+00:00,0.0,1298.4,0.0,0.0,920.625,0.0,1260.75,0.0,1298.4,-920.625,0.0,-1260.75,-882.9749999999999
2026-01-02 12:00:00+00:00,0.0,1340.325,0.0,0.0,933.75,0.0,1365.0,0.0,1340.325,-933.75,0.0,-1365.0,-958.425
2026-01-02 13:00:00+00:00,0.0,1326.725,0.0,0.0,832.525,0.0,1456.0,0.0,1326.725,-832.525,0.0,-1456.0,-961.8000000000001
2026-01-02 14:00:00+00:00,0.0,1630.1,0.0,0.0,1039.525,0.0,1529.0,0.0,1630.1,-1039.525,0.0,-1529.0,-938.4250000000002
2026-01-02 15:00:00+00:00,0.0,1741.25,0.0,0.0,1108.05,0.0,1614.5,0.0,1741.25,-1108.05,0.0,-1614.5,-981.3
2026-01-02 16:00:00+00:00,0.0,1700.025,0.0,0.0,1073.9,0.0,1555.25,0.0,1700.025,-1073.9,0.0,-1555.25,-929.125
2026-01-02 17:00:00+00:00,0.0,2059.55,0.0,0.0,1072.225,0.0,1896.5,0.0,2059.55,-1072.225,0.0,-1896.5,-909.1749999999997
2026-01-02 18:00:00+00:00,0.0,2189.625,0.0,0.0,1009.725,0.0,2077.5,0.0,2189.625,-1009.725,0.0,-2077.5,-897.5999999999999
2026-01-02 19:00:00+00:00,0.0,2288.95,0.0,0.0,1007.325,0.0,2123.0,0.0,2288.95,-1007.325,0.0,-2123.0,-841.3750000000002
2026-01-02 20:00:00+00:00,0.0,2260.575,0.0,0.0,983.75,0.0,2090.25,0.0,2260.575,-983.75,0.0,-2090.25,-813.4250000000002
2026-01-02 21:00:00+00:00,0.0,2352.925,0.0,0.0,584.125,0.0,2452.75,0.0,2352.925,-584.125,0.0,-2452.75,-683.9499999999998
2026-01-02 22:00:00+00:00,0.0,2401.475,0.0,0.0,276.7,0.0,2755.5,0.0,2401.475,-276.7,0.0,-2755.5,-630.7249999999999
2026-01-02 23:00:00+00:00,0.0,2548.65,0.0,0.0,1228.175,0.0,1771.0,0.0,2548.65,-1228.175,0.0,-1771.0,-450.52499999999986
2026-01-03 00:00:00+00:00,0.0,2431.85,0.0,0.0,1213.2,0.0,1672.25,0.0,2431.85,-1213.2,0.0,-1672.25,-453.60000000000014
2026-01-03 01:00:00+00:00,0.0,2489.65,0.0,0.0,1146.9,0.0,1811.25,0.0,2489.65,-1146.9,0.0,-1811.25,-468.5
2026-01-03 02:00:00+00:00,0.0,2467.8,0.0,0.0,1115.4,0.0,1870.75,0.0,2467.8,-1115.4,0.0,-1870.75,-518.3499999999999
2026-01-03 03:00:00+00:00,0.0,2174.7,0.0,0.0,1138.05,0.0,1615.25,0.0,2174.7,-1138.05,0.0,-1615.25,-578.6000000000001
2026-01-03 04:00:00+00:00,0.0,2372.2,0.0,0.0,1292.35,0.0,1700.25,0.0,2372.2,-1292.35,0.0,-1700.25,-620.4000000000001
2026-01-03 05:00:00+00:00,0.0,2409.75,0.0,0.0,1342.275,0.0,1717.75,0.0,2409.75,-1342.275,0.0,-1717.75,-650.2750000000001
2026-01-03 06:00:00+00:00,0.0,2196.375,0.0,0.0,1389.4,0.0,1529.0,0.0,2196.375,-1389.4,0.0,-1529.0,-722.0250000000001
2026-01-03 07:00:00+00:00,0.0,1995.875,0.0,0.0,1376.5,0.0,1413.75,0.0,1995.875,-1376.5,0.0,-1413.75,-794.375
2026-01-03 08:00:00+00:00,0.0,1803.15,0.0,0.0,1344.375,0.0,1347.0,0.0,1803.15,-1344.375,0.0,-1347.0,-888.2249999999999
2026-01-03 09:00:00+00:00,0.0,1715.625,0.0,0.0,1326.3,0.0,1355.25,0.0,1715.625,-1326.3,0.0,-1355.25,-965.925
2026-01-03 10:00:00+00:00,0.0,1488.875,0.0,0.0,1291.275,0.0,1193.5,0.0,1488.875,-1291.275,0.0,-1193.5,-995.9000000000001
2026-01-03 11:00:00+00:00,0.0,1476.8,0.0,0.0,1315.75,0.0,1167.75,0.0,1476.8,-1315.75,0.0,-1167.75,-1006.7
2026-01-03 12:00:00+00:00,0.0,1419.3,0.0,0.0,1320.4,0.0,1103.0,0.0,1419.3,-1320.4,0.0,-1103.0,-1004.1000000000001
2026-01-03 13:00:00+00:00,0.0,1438.025,0.0,0.0,1315.425,0.0,1165.5,0.0,1438.025,-1315.425,0.0,-1165.5,-1042.8999999999999
2026-01-03 14:00:00+00:00,0.0,1417.05,0.0,0.0,1298.725,0.0,1122.5,0.0,1417.05,-1298.725,0.0,-1122.5,-1004.175
2026-01-03 15:00:00+00:00,0.0,1455.575,0.0,0.0,1311.85,0.0,1127.5,0.0,1455.575,-1311.85,0.0,-1127.5,-983.7749999999999
2026-01-03 16:00:00+00:00,0.0,1574.675,0.0,0.0,1306.75,0.0,1190.25,0.0,1574.675,-1306.75,0.0,-1190.25,-922.325
2026-01-03 17:00:00+00:00,0.0,1563.25,0.0,0.0,1300.45,0.0,1119.75,0.0,1563.25,-1300.45,0.0,-1119.75,-856.95
2026-01-03 18:00:00+00:00,0.0,1692.075,0.0,0.0,1334.15,0.0,1149.5,0.0,1692.075,-1334.15,0.0,-1149.5,-791.575
2026-01-03 19:00:00+00:00,0.0,1789.925,0.0,0.0,1369.25,0.0,1134.5,0.0,1789.925,-1369.25,0.0,-1134.5,-713.825
2026-01-03 20:00:00+00:00,0.0,1649.35,0.0,0.0,1318.85,0.0,983.25,0.0,1649.35,-1318.85,0.0,-983.25,-652.75
2026-01-03 21:00:00+00:00,0.0,1557.875,0.0,0.0,1319.825,0.0,831.0,0.0,1557.875,-1319.825,0.0,-831.0,-592.95
2026-01-03 22:00:00+00:00,0.0,1670.75,0.0,0.0,1307.675,0.0,949.0,0.0,1670.75,-1307.675,0.0,-949.0,-585.925
2026-01-03 23:00:00+00:00,0.0,1490.9,0.0,0.0,1103.075,0.0,989.0,0.0,1490.9,-1103.075,0.0,-989.0,-601.175
2026-01-04 00:00:00+00:00,0.0,1578.475,0.0,0.0,1102.725,0.0,991.75,0.0,1578.475,-1102.725,0.0,-991.75,-516.0
2026-01-04 01:00:00+00:00,0.0,1525.775,0.0,0.0,1071.225,0.0,907.75,0.0,1525.775,-1071.225,0.0,-907.75,-453.1999999999998
2026-01-04 02:00:00+00:00,0.0,1568.075,0.0,0.0,1079.65,0.0,908.5,0.0,1568.075,-1079.65,0.0,-908.5,-420.07500000000005
2026-01-04 03:00:00+00:00,0.0,1547.85,0.0,0.0,1053.25,0.0,891.75,0.0,1547.85,-1053.25,0.0,-891.75,-397.1500000000001
2026-01-04 04:00:00+00:00,0.0,1384.175,0.0,0.0,988.725,0.0,766.0,0.0,1384.175,-988.725,0.0,-766.0,-370.55000000000007
2026-01-04 05:00:00+00:00,0.0,1573.05,0.0,0.0,1081.6,0.0,858.75,0.0,1573.05,-1081.6,0.0,-858.75,-367.29999999999995
2026-01-04 06:00:00+00:00,0.0,974.7,0.0,0.0,938.1,0.0,419.75,0.0,974.7,-938.1,0.0,-419.75,-383.15
2026-01-04 07:00:00+00:00,0.0,134.775,0.0,0.0,451.625,0.0,0.0,0.0,134.775,-451.625,0.0,0.0,-316.85
2026-01-04 08:00:00+00:00,0.0,0.0,0.0,0.0,347.1,0.0,0.0,0.0,0.0,-347.1,0.0,0.0,-347.1
2026-01-04 09:00:00+00:00,0.0,30.175,0.0,0.0,421.85,0.0,0.0,0.0,30.175,-421.85,0.0,0.0,-391.675
2026-01-04 10:00:00+00:00,0.0,0.0,0.0,0.0,463.6,0.0,0.0,0.0,0.0,-463.6,0.0,0.0,-463.6
2026-01-04 11:00:00+00:00,0.0,0.0,0.0,0.0,504.8,0.0,0.0,0.0,0.0,-504.8,0.0,0.0,-504.8
2026-01-04 12:00:00+00:00,0.0,0.0,0.0,0.0,535.65,0.0,0.0,0.0,0.0,-535.65,0.0,0.0,-535.65
2026-01-04 13:00:00+00:00,0.0,0.0,0.0,0.0,539.0,0.0,0.0,0.0,0.0,-539.0,0.0,0.0,-539.0
2026-01-04 14:00:00+00:00,0.0,0.0,0.0,0.0,584.05,0.0,0.0,0.0,0.0,-584.05,0.0,0.0,-584.05
2026-01-04 15:00:00+00:00,0.0,0.0,0.0,0.0,590.025,0.0,0.0,0.0,0.0,-590.025,0.0,0.0,-590.025
2026-01-04 16:00:00+00:00,0.0,0.0,0.0,0.0,593.575,0.0,0.0,0.0,0.0,-593.575,0.0,0.0,-593.575
2026-01-04 17:00:00+00:00,0.0,0.0,0.0,0.0,599.925,0.0,0.0,0.0,0.0,-599.925,0.0,0.0,-599.925
2026-01-04 18:00:00+00:00,0.0,0.0,0.0,0.0,594.725,0.0,0.0,0.0,0.0,-594.725,0.0,0.0,-594.725
