,FI_NO_4,NO_4_FI,NO_4_SE_2,SE_2_NO_4,NO_4_NO_3,NO_3_NO_4,NO_4_SE_1,SE_1_NO_4,NO_4_SE_2_net_export,NO_4_FI_net_export,NO_4_NO_3_net_export,NO_4_SE_1_net_export,Net Export
2026-01-01 00:00:00+00:00,1748.5,144.25,0.0,0.0,1723.65,159.8,79.5,0.0,0.0,-1604.25,1563.8500000000001,79.5,39.100000000000136
2026-01-01 01:00:00+00:00,470.0,420.75,0.0,0.0,469.525,497.375,0.0,0.0,0.0,-49.25,-27.850000000000023,0.0,-77.10000000000002
2026-01-01 02:00:00+00:00,1480.0,646.25,0.0,2527.0,3457.85,272.3,0.0,0.0,-2527.0,-833.75,3185.5499999999997,0.0,-175.20000000000027
2026-01-01 03:00:00+00:00,0.0,991.5,0.0,0.0,0.0,1166.575,0.0,0.0,0.0,991.5,-1166.575,0.0,-175.07500000000005
2026-01-01 04:00:00+00:00,0.0,963.5,0.0,0.0,0.0,1230.35,0.0,0.0,0.0,963.5,-1230.35,0.0,-266.8499999999999
2026-01-01 05:00:00+00:00,658.25,437.75,0.0,271.75,541.35,280.475,0.0,0.0,-271.75,-220.5,260.875,0.0,-231.375
2026-01-01 06:00:00+00:00,603.0,345.75,0.0,229.0,543.075,460.5,174.75,0.0,-229.0,-257.25,82.57500000000005,174.75,-228.92499999999995
2026-01-01 07:00:00+00:00,1802.75,0.0,0.0,0.0,1717.625,0.0,0.0,0.0,0.0,-1802.75,1717.625,0.0,-85.125
2026-01-01 08:00:00+00:00,0.0,198.25,0.0,152.25,0.0,0.0,0.0,0.0,-152.25,198.25,0.0,0.0,46.0
2026-01-01 09:00:00+00:00,1122.75,168.5,0.0,74.0,1280.975,87.375,176.0,0.0,-74.0,-954.25,1193.6,176.0,341.3499999999999
2026-01-01 10:00:00+00:00,1072.5,146.25,0.0,6.25,1359.775,0.0,151.5,0.0,-6.25,-926.25,1359.775,151.5,578.7750000000001
2026-01-01 11:00:00+00:00,1005.25,158.0,18.0,0.0,1312.55,0.0,140.25,0.0,18.0,-847.25,1312.55,140.25,623.55
2026-01-01 12:00:00+00:00,1057.0,281.25,0.0,0.0,1350.725,0.0,0.0,0.0,0.0,-775.75,1350.725,0.0,574.9749999999999
2026-01-01 13:00:00+00:00,588.5,151.75,3.0,0.0,663.5,0.0,78.75,0.0,3.0,-436.75,663.5,78.75,308.5
2026-01-01 14:00:00+00:00,1736.0,68.25,0.0,0.0,1912.15,0.0,0.0,0.0,0.0,-1667.75,1912.15,0.0,244.4000000000001
2026-01-01 15:00:00+00:00,597.0,59.5,0.0,0.0,637.55,0.0,0.0,0.0,0.0,-537.5,637.55,0.0,100.04999999999995
2026-01-01 16:00:00+00:00,130.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.75,0.0,0.0,-130.75
