,NO_2_NO_5,NO_5_NO_2,NO_1_NO_5,NO_5_NO_1,NO_5_NO_3,NO_3_NO_5,NO_5_NO_1_net_export,NO_5_NO_2_net_export,NO_5_NO_3_net_export,Net Export
2026-01-01 00:00:00+00:00,945.6,0.0,0.0,631.275,154.9,0.0,631.275,-945.6,154.9,-159.42500000000004
2026-01-01 01:00:00+00:00,511.375,0.0,62.775,121.65,211.65,0.0,58.87500000000001,-511.375,211.65,-240.85
2026-01-01 02:00:00+00:00,759.725,0.0,0.0,446.5,228.9,0.0,446.5,-759.725,228.9,-84.32500000000002
2026-01-01 03:00:00+00:00,735.875,0.0,0.0,900.375,0.0,0.0,900.375,-735.875,0.0,164.5
2026-01-01 04:00:00+00:00,879.65,0.0,0.0,89.025,1114.65,0.0,89.025,-879.65,1114.65,324.0250000000001
2026-01-01 05:00:00+00:00,704.35,0.0,0.0,1412.25,0.0,334.5,1412.25,-704.35,-334.5,373.4
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,488.175,0.0,0.0,0.0,488.175,488.175
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,340.275,312.55,0.0,340.275,0.0,312.55,652.825
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,230.275,460.2,0.0,230.275,0.0,460.2,690.475
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,510.7,437.925,0.0,510.7,0.0,437.925,948.625
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,1044.5,0.0,0.0,0.0,1044.5,1044.5
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,168.4,163.5,0.0,168.4,0.0,163.5,331.9
2026-01-01 12:00:00+00:00,253.1,0.0,0.0,375.85,359.025,0.0,375.85,-253.1,359.025,481.775
2026-01-01 13:00:00+00:00,255.575,0.0,0.0,608.1,186.95,0.0,608.1,-255.575,186.95,539.475
2026-01-01 14:00:00+00:00,314.025,0.0,0.0,435.125,113.8,0.0,435.125,-314.025,113.8,234.90000000000003
2026-01-01 15:00:00+00:00,313.825,0.0,0.0,452.3,55.7,0.0,452.3,-313.825,55.7,194.175
2026-01-01 16:00:00+00:00,771.025,0.0,0.0,1202.875,0.0,0.0,1202.875,-771.025,0.0,431.85
2026-01-01 17:00:00+00:00,0.0,0.0,0.0,213.65,99.975,0.0,213.65,0.0,99.975,313.625
2026-01-01 18:00:00+00:00,314.025,0.0,0.0,476.975,0.0,0.0,476.975,-314.025,0.0,162.95000000000005
2026-01-01 19:00:00+00:00,0.0,0.0,72.85,14.85,0.0,10.875,-57.99999999999999,0.0,-10.875,-68.875
2026-01-01 20:00:00+00:00,424.25,0.0,100.825,379.1,0.0,36.225,278.27500000000003,-424.25,-36.225,-182.19999999999996
2026-01-01 21:00:00+00:00,410.925,0.0,153.9,0.0,373.65,0.0,-153.9,-410.925,373.65,-191.17500000000007
2026-01-01 22:00:00+00:00,0.0,0.0,0.0,84.2,0.0,0.0,84.2,0.0,0.0,84.2
2026-01-01 23:00:00+00:00,0.0,0.0,0.0,495.275,0.0,0.0,495.275,0.0,0.0,495.275
2026-01-02 00:00:00+00:00,0.0,0.0,0.0,254.6,0.0,0.0,254.6,0.0,0.0,254.6
2026-01-02 01:00:00+00:00,0.0,0.0,0.0,147.675,0.0,0.0,147.675,0.0,0.0,147.675
2026-01-02 02:00:00+00:00,0.0,0.0,0.0,270.0,0.0,0.0,270.0,0.0,0.0,270.0
2026-01-02 03:00:00+00:00,0.0,0.0,0.0,267.65,0.0,0.0,267.65,0.0,0.0,267.65
2026-01-02 04:00:00+00:00,0.0,0.0,0.0,295.25,0.0,0.0,295.25,0.0,0.0,295.25
2026-01-02 05:00:00+00:00,0.0,0.0,0.0,464.275,0.0,0.0,464.275,0.0,0.0,464.275
2026-01-02 06:00:00+00:00,0.0,0.0,0.0,893.5,0.0,0.0,893.5,0.0,0.0,893.5
2026-01-02 07:00:00+00:00,0.0,0.0,0.0,884.375,0.0,0.0,884.375,0.0,0.0,884.375
