,CZ_PL,PL_CZ,PL_DE_LU,DE_LU_PL,PL_LT,LT_PL,PL_SE_4,SE_4_PL,PL_SK,SK_PL,PL_CZ_net_export,PL_DE_LU_net_export,PL_LT_net_export,PL_SE_4_net_export,PL_SK_net_export,Net Export
2026-01-01 00:00:00+00:00,1521.675,0.0,0.0,0.0,145.55,0.0,0.0,600.0,1227.2250000000001,101.825,-1521.675,0.0,145.55,-600.0,1125.4,-850.7249999999999
2026-01-01 01:00:00+00:00,1519.175,310.525,0.0,0.0,62.75,0.0,0.0,600.0,1560.175,166.775,-1208.65,0.0,62.75,-600.0,1393.3999999999999,-352.5000000000002
2026-01-01 02:00:00+00:00,1014.6,327.525,0.0,0.0,0.0,73.55,0.0,600.0,1360.625,0.0,-687.075,0.0,-73.55,-600.0,1360.625,0.0
2026-01-01 03:00:00+00:00,1119.9,256.075,235.175,0.0,0.0,124.325,0.0,600.0,1612.625,0.0,-863.825,235.175,-124.325,-600.0,1612.625,259.64999999999986
2026-01-01 04:00:00+00:00,753.3,0.0,1026.75,0.0,0.0,148.8,0.0,600.0,1109.175,0.0,-753.3,1026.75,-148.8,-600.0,1109.175,633.825
2026-01-01 05:00:00+00:00,627.4,1306.625,0.0,0.0,139.675,0.0,0.0,420.0,1068.7,0.0,679.225,0.0,139.675,-420.0,1068.7,1467.6000000000001
2026-01-01 06:00:00+00:00,1407.475,0.0,0.0,0.0,159.0,0.0,0.0,120.0,3191.325,0.0,-1407.475,0.0,159.0,-120.0,3191.325,1822.85
2026-01-01 07:00:00+00:00,0.0,1568.55,0.0,0.0,159.0,0.0,180.0,0.0,149.9,0.0,1568.55,0.0,159.0,180.0,149.9,2057.45
2026-01-01 08:00:00+00:00,0.0,991.275,425.975,0.0,160.0,0.0,480.0,0.0,291.525,0.0,991.275,425.975,160.0,480.0,291.525,2348.775
2026-01-01 09:00:00+00:00,0.0,1978.825,893.425,1207.275,160.0,0.0,600.0,0.0,124.1,0.0,1978.825,-313.85000000000014,160.0,600.0,124.1,2549.075
2026-01-01 10:00:00+00:00,0.0,879.575,0.0,0.0,161.0,0.0,600.0,0.0,1065.325,0.0,879.575,0.0,161.0,600.0,1065.325,2705.9
2026-01-01 11:00:00+00:00,0.0,1761.725,0.0,0.0,161.0,0.0,338.3,0.0,376.45,0.0,1761.725,0.0,161.0,338.3,376.45,2637.475
2026-01-01 12:00:00+00:00,0.0,1986.675,0.0,0.0,121.25,0.0,38.3,0.0,195.25,0.0,1986.675,0.0,121.25,38.3,195.25,2341.4750000000004
