,ES_PT,PT_ES,PT_ES_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,769.475,769.475,769.475
2026-01-01 01:00:00+00:00,0.0,540.375,540.375,540.375
2026-01-01 02:00:00+00:00,43.9,181.75,137.85,137.85
2026-01-01 03:00:00+00:00,240.975,0.0,-240.975,-240.975
2026-01-01 04:00:00+00:00,152.8,0.0,-152.8,-152.8
2026-01-01 05:00:00+00:00,3.575,63.25,59.675,59.675
2026-01-01 06:00:00+00:00,0.0,222.475,222.475,222.475
2026-01-01 07:00:00+00:00,0.0,268.525,268.525,268.525
2026-01-01 08:00:00+00:00,481.9,0.0,-481.9,-481.9
2026-01-01 09:00:00+00:00,1154.625,0.0,-1154.625,-1154.625
2026-01-01 10:00:00+00:00,1705.675,0.0,-1705.675,-1705.675
2026-01-01 11:00:00+00:00,1902.1,0.0,-1902.1,-1902.1
2026-01-01 12:00:00+00:00,1831.05,0.0,-1831.05,-1831.05
2026-01-01 13:00:00+00:00,1486.625,0.0,-1486.625,-1486.625
2026-01-01 14:00:00+00:00,1321.175,0.0,-1321.175,-1321.175
2026-01-01 15:00:00+00:00,309.875,240.75,-69.125,-69.125
2026-01-01 16:00:00+00:00,0.0,1364.225,1364.225,1364.225
2026-01-01 17:00:00+00:00,0.0,1632.175,1632.175,1632.175
2026-01-01 18:00:00+00:00,0.0,1847.95,1847.95,1847.95
2026-01-01 19:00:00+00:00,0.0,1960.8249999999998,1960.8249999999998,1960.8249999999998
2026-01-01 20:00:00+00:00,0.0,1972.2250000000001,1972.2250000000001,1972.2250000000001
2026-01-01 21:00:00+00:00,0.0,2014.775,2014.775,2014.775
2026-01-01 22:00:00+00:00,0.0,1338.0,1338.0,1338.0
2026-01-01 23:00:00+00:00,0.0,628.225,628.225,628.225
2026-01-02 00:00:00+00:00,427.0,0.0,-427.0,-427.0
2026-01-02 01:00:00+00:00,112.45,11.775,-100.675,-100.675
2026-01-02 02:00:00+00:00,0.0,209.225,209.225,209.225
2026-01-02 03:00:00+00:00,0.0,168.125,168.125,168.125
2026-01-02 04:00:00+00:00,0.0,385.475,385.475,385.475
2026-01-02 05:00:00+00:00,0.0,424.6,424.6,424.6
2026-01-02 06:00:00+00:00,0.0,1595.025,1595.025,1595.025
2026-01-02 07:00:00+00:00,0.0,2160.625,2160.625,2160.625
2026-01-02 08:00:00+00:00,0.0,1762.725,1762.725,1762.725
2026-01-02 09:00:00+00:00,11.325,908.875,897.55,897.55
2026-01-02 10:00:00+00:00,60.35,298.125,237.775,237.775
2026-01-02 11:00:00+00:00,399.925,0.0,-399.925,-399.925
2026-01-02 12:00:00+00:00,729.4,0.0,-729.4,-729.4
2026-01-02 13:00:00+00:00,644.0,0.0,-644.0,-644.0
2026-01-02 14:00:00+00:00,238.675,12.625,-226.05,-226.05
2026-01-02 15:00:00+00:00,0.0,516.0,516.0,516.0
2026-01-02 16:00:00+00:00,0.0,1224.85,1224.85,1224.85
2026-01-02 17:00:00+00:00,0.0,1934.475,1934.475,1934.475
2026-01-02 18:00:00+00:00,0.0,1595.725,1595.725,1595.725
2026-01-02 19:00:00+00:00,0.0,1547.85,1547.85,1547.85
2026-01-02 20:00:00+00:00,0.0,1652.0,1652.0,1652.0
2026-01-02 21:00:00+00:00,0.0,938.7,938.7,938.7
2026-01-02 22:00:00+00:00,0.0,379.47499999999997,379.47499999999997,379.47499999999997
2026-01-02 23:00:00+00:00,0.0,287.35,287.35,287.35
2026-01-03 00:00:00+00:00,0.0,647.425,647.425,647.425
2026-01-03 01:00:00+00:00,0.0,914.4,914.4,914.4
2026-01-03 02:00:00+00:00,0.0,1224.825,1224.825,1224.825
2026-01-03 03:00:00+00:00,0.0,1311.8,1311.8,1311.8
2026-01-03 04:00:00+00:00,0.0,1536.1,1536.1,1536.1
2026-01-03 05:00:00+00:00,0.0,1498.4,1498.4,1498.4
2026-01-03 06:00:00+00:00,0.0,1612.875,1612.875,1612.875
2026-01-03 07:00:00+00:00,0.0,2707.45,2707.45,2707.45
2026-01-03 08:00:00+00:00,0.0,2674.975,2674.975,2674.975
2026-01-03 09:00:00+00:00,0.0,2169.0,2169.0,2169.0
2026-01-03 10:00:00+00:00,0.0,1244.475,1244.475,1244.475
2026-01-03 11:00:00+00:00,0.0,822.4,822.4,822.4
2026-01-03 12:00:00+00:00,0.0,385.975,385.975,385.975
2026-01-03 13:00:00+00:00,0.0,428.15,428.15,428.15
2026-01-03 14:00:00+00:00,0.0,632.25,632.25,632.25
2026-01-03 15:00:00+00:00,0.0,1259.35,1259.35,1259.35
2026-01-03 16:00:00+00:00,0.0,2546.0,2546.0,2546.0
2026-01-03 17:00:00+00:00,0.0,2339.875,2339.875,2339.875
2026-01-03 18:00:00+00:00,0.0,1262.35,1262.35,1262.35
2026-01-03 19:00:00+00:00,0.0,465.65,465.65,465.65
2026-01-03 20:00:00+00:00,125.1,95.45,-29.64999999999999,-29.64999999999999
2026-01-03 21:00:00+00:00,96.025,44.275,-51.75000000000001,-51.75000000000001
2026-01-03 22:00:00+00:00,139.05,18.8,-120.25000000000001,-120.25000000000001
2026-01-03 23:00:00+00:00,18.675,359.05,340.375,340.375
2026-01-04 00:00:00+00:00,771.175,0.0,-771.175,-771.175
2026-01-04 01:00:00+00:00,1908.375,0.0,-1908.375,-1908.375
2026-01-04 02:00:00+00:00,1685.4,0.0,-1685.4,-1685.4
2026-01-04 03:00:00+00:00,1595.85,0.0,-1595.85,-1595.85
2026-01-04 04:00:00+00:00,1734.925,0.0,-1734.925,-1734.925
2026-01-04 05:00:00+00:00,1424.075,0.0,-1424.075,-1424.075
2026-01-04 06:00:00+00:00,1456.9,0.0,-1456.9,-1456.9
2026-01-04 07:00:00+00:00,1592.25,0.0,-1592.25,-1592.25
2026-01-04 08:00:00+00:00,1654.15,0.0,-1654.15,-1654.15
2026-01-04 09:00:00+00:00,1817.675,0.0,-1817.675,-1817.675
2026-01-04 10:00:00+00:00,1888.95,0.0,-1888.95,-1888.95
2026-01-04 11:00:00+00:00,2198.85,0.0,-2198.85,-2198.85
2026-01-04 12:00:00+00:00,2316.4,0.0,-2316.4,-2316.4
2026-01-04 13:00:00+00:00,2030.65,0.0,-2030.65,-2030.65
2026-01-04 14:00:00+00:00,2134.0,0.0,-2134.0,-2134.0
2026-01-04 15:00:00+00:00,1879.875,0.0,-1879.875,-1879.875
2026-01-04 16:00:00+00:00,1641.6,0.0,-1641.6,-1641.6
2026-01-04 17:00:00+00:00,794.925,0.0,-794.925,-794.925
2026-01-04 18:00:00+00:00,846.925,0.0,-846.925,-846.925
2026-01-04 19:00:00+00:00,90.025,20.5,-69.525,-69.525
2026-01-04 20:00:00+00:00,0.5,178.65,178.15,178.15
2026-01-04 21:00:00+00:00,275.825,11.55,-264.275,-264.275
2026-01-04 22:00:00+00:00,513.1500000000001,23.775,-489.3750000000001,-489.3750000000001
2026-01-04 23:00:00+00:00,905.3,0.0,-905.3,-905.3
2026-01-05 00:00:00+00:00,1158.6,0.0,-1158.6,-1158.6
2026-01-05 01:00:00+00:00,1328.275,0.0,-1328.275,-1328.275
2026-01-05 02:00:00+00:00,1623.6,0.0,-1623.6,-1623.6
