,HU_RO,RO_HU,RS_RO,RO_RS,RO_BG,BG_RO,RO_BG_net_export,RO_HU_net_export,RO_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,1836.75,0.0,0.0,259.0,1322.175,382.475,939.6999999999999,-1836.75,259.0,-638.0500000000001
2026-01-01 01:00:00+00:00,1988.425,0.0,0.0,156.0,1647.15,403.32500000000005,1243.825,-1988.425,156.0,-588.5999999999999
2026-01-01 02:00:00+00:00,1906.3,0.0,111.0,110.0,1801.425,385.425,1416.0,-1906.3,-1.0,-491.29999999999995
2026-01-01 03:00:00+00:00,1988.05,0.0,126.0,112.0,1950.8,381.575,1569.225,-1988.05,-14.0,-432.82500000000005
2026-01-01 04:00:00+00:00,1862.625,0.0,152.0,70.0,1888.125,380.375,1507.75,-1862.625,-82.0,-436.875
2026-01-01 05:00:00+00:00,1782.25,0.0,244.0,130.0,2036.725,380.325,1656.3999999999999,-1782.25,-114.0,-239.85000000000014
2026-01-01 06:00:00+00:00,928.825,0.0,238.0,90.0,1515.4,370.45,1144.95,-928.825,-148.0,68.125
2026-01-01 07:00:00+00:00,0.0,1659.6750000000002,86.0,70.0,29.525,1046.825,-1017.3000000000001,1659.6750000000002,-16.0,626.3750000000001
2026-01-01 08:00:00+00:00,0.0,2784.1,21.0,105.0,0.0,1800.375,-1800.375,2784.1,84.0,1067.725
2026-01-01 09:00:00+00:00,0.0,3054.4,0.0,181.0,2.0,1781.0,-1779.0,3054.4,181.0,1456.4
2026-01-01 10:00:00+00:00,0.0,2365.7,0.0,165.0,0.175,785.47499975,-785.2999997500001,2365.7,165.0,1745.4000002499997
2026-01-01 11:00:00+00:00,0.0,2161.225,0.0,150.0,3.0,541.45,-538.45,2161.225,150.0,1772.7749999999999
2026-01-01 12:00:00+00:00,0.0,1373.875,0.0,186.0,366.2,405.025,-38.82499999999999,1373.875,186.0,1521.05
2026-01-01 13:00:00+00:00,323.3,283.45000000000005,0.0,45.0,1305.025,355.1,949.9250000000001,-39.849999999999966,45.0,955.075
2026-01-01 14:00:00+00:00,1619.25,0.0,0.0,45.0,2339.2,355.25,1983.9499999999998,-1619.25,45.0,409.6999999999998
2026-01-01 15:00:00+00:00,931.75,0.0,304.0,45.0,1934.1999999999998,355.5,1578.6999999999998,-931.75,-259.0,387.9499999999998
2026-01-01 16:00:00+00:00,855.075,0.0,315.0,51.0,1737.97499975,355.15,1382.8249997500002,-855.075,-264.0,263.74999975000014
2026-01-01 17:00:00+00:00,1015.45,0.0,314.0,95.0,1853.0,405.325,1447.675,-1015.45,-219.0,213.2249999999999
2026-01-01 18:00:00+00:00,1009.075,0.0,334.0,95.0,2215.9,405.3,1810.6000000000001,-1009.075,-239.0,562.5250000000001
2026-01-01 19:00:00+00:00,1135.625,0.0,339.0,101.0,2556.725,405.0,2151.725,-1135.625,-238.0,778.0999999999999
2026-01-01 20:00:00+00:00,1197.425,0.0,320.0,152.0,2606.45,405.0,2201.45,-1197.425,-168.0,836.0249999999999
2026-01-01 21:00:00+00:00,838.925,0.0,300.0,179.0,2422.85,405.0,2017.85,-838.925,-121.0,1057.925
2026-01-01 22:00:00+00:00,870.65,0.0,250.0,243.0,2612.0,405.0,2207.0,-870.65,-7.0,1329.35
