,FI_SE_1,SE_1_FI,NO_4_SE_1,SE_1_NO_4,SE_1_SE_2,SE_2_SE_1,SE_1_FI_net_export,SE_1_NO_4_net_export,SE_1_SE_2_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,3511.75,79.5,0.0,0.0,1822.75,3511.75,-79.5,-1822.75,1609.5
2026-01-01 01:00:00+00:00,0.0,1954.5,0.0,0.0,0.0,612.75,1954.5,0.0,-612.75,1341.75
2026-01-01 02:00:00+00:00,0.0,2735.75,0.0,0.0,0.0,1699.75,2735.75,0.0,-1699.75,1036.0
2026-01-01 03:00:00+00:00,0.0,911.5,0.0,0.0,0.0,0.0,911.5,0.0,0.0,911.5
2026-01-01 04:00:00+00:00,0.0,935.0,0.0,0.0,0.0,0.0,935.0,0.0,0.0,935.0
2026-01-01 05:00:00+00:00,0.0,2121.25,0.0,0.0,0.0,1096.0,2121.25,0.0,-1096.0,1025.25
2026-01-01 06:00:00+00:00,0.0,2158.5,174.75,0.0,0.0,781.0,2158.5,-174.75,-781.0,1202.75
2026-01-01 07:00:00+00:00,0.0,3710.0,0.0,0.0,0.0,2446.0,3710.0,0.0,-2446.0,1264.0
2026-01-01 08:00:00+00:00,0.0,1713.75,0.0,0.0,0.0,442.25,1713.75,0.0,-442.25,1271.5
2026-01-01 09:00:00+00:00,0.0,2878.5,176.0,0.0,0.0,1459.75,2878.5,-176.0,-1459.75,1242.75
2026-01-01 10:00:00+00:00,0.0,2862.5,151.5,0.0,0.0,1380.0,2862.5,-151.5,-1380.0,1331.0
2026-01-01 11:00:00+00:00,0.0,2788.0,140.25,0.0,20.25,1269.0,2788.0,-140.25,-1248.75,1399.0
2026-01-01 12:00:00+00:00,0.0,2718.25,0.0,0.0,64.5,1290.5,2718.25,0.0,-1226.0,1492.25
2026-01-01 13:00:00+00:00,0.0,2374.5,78.75,0.0,0.0,681.75,2374.5,-78.75,-681.75,1614.0
