,SE_3_SE_2,SE_2_SE_3,NO_4_SE_2,SE_2_NO_4,SE_1_SE_2,SE_2_SE_1,SE_2_NO_3,NO_3_SE_2,SE_2_NO_3_net_export,SE_2_NO_4_net_export,SE_2_SE_1_net_export,SE_2_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,4118.0,0.0,0.0,0.0,1822.75,1389.0,0.0,1389.0,0.0,1822.75,4118.0,7329.75
2026-01-01 01:00:00+00:00,0.0,5594.75,0.0,0.0,0.0,612.75,776.25,0.0,776.25,0.0,612.75,5594.75,6983.75
2026-01-01 02:00:00+00:00,0.0,1633.0,0.0,2527.0,0.0,1699.75,852.5,0.0,852.5,2527.0,1699.75,1633.0,6712.25
2026-01-01 03:00:00+00:00,0.0,3797.0,0.0,0.0,0.0,0.0,2628.25,0.0,2628.25,0.0,0.0,3797.0,6425.25
2026-01-01 04:00:00+00:00,0.0,2341.75,0.0,0.0,0.0,0.0,4044.75,0.0,4044.75,0.0,0.0,2341.75,6386.5
2026-01-01 05:00:00+00:00,0.0,2743.75,0.0,271.75,0.0,1096.0,2101.25,0.0,2101.25,271.75,1096.0,2743.75,6212.75
2026-01-01 06:00:00+00:00,0.0,3640.0,0.0,229.0,0.0,781.0,1545.0,0.0,1545.0,229.0,781.0,3640.0,6195.0
2026-01-01 07:00:00+00:00,0.0,2506.75,0.0,0.0,0.0,2446.0,1418.25,0.0,1418.25,0.0,2446.0,2506.75,6371.0
2026-01-01 08:00:00+00:00,0.0,4468.75,0.0,152.25,0.0,442.25,1500.25,0.0,1500.25,152.25,442.25,4468.75,6563.5
2026-01-01 09:00:00+00:00,0.0,2776.0,0.0,74.0,0.0,1459.75,2297.5,0.0,2297.5,74.0,1459.75,2776.0,6607.25
2026-01-01 10:00:00+00:00,0.0,3639.0,0.0,6.25,0.0,1380.0,1665.75,0.0,1665.75,6.25,1380.0,3639.0,6691.0
2026-01-01 11:00:00+00:00,0.0,5768.0,18.0,0.0,20.25,1269.0,0.0,0.0,0.0,-18.0,1248.75,5768.0,6998.75
2026-01-01 12:00:00+00:00,0.0,6058.75,0.0,0.0,64.5,1290.5,0.0,0.0,0.0,0.0,1226.0,6058.75,7284.75
2026-01-01 13:00:00+00:00,0.0,6219.25,3.0,0.0,0.0,681.75,638.5,0.0,638.5,-3.0,681.75,6219.25,7536.5
2026-01-01 14:00:00+00:00,0.0,6108.5,0.0,0.0,42.75,1791.5,0.0,0.0,0.0,0.0,1748.75,6108.5,7857.25
2026-01-01 15:00:00+00:00,0.0,5606.0,0.0,0.0,159.0,576.75,2091.0,0.0,2091.0,0.0,417.75,5606.0,8114.75
2026-01-01 16:00:00+00:00,0.0,7996.75,0.0,0.0,138.0,0.0,627.5,0.0,627.5,0.0,-138.0,7996.75,8486.25
2026-01-01 17:00:00+00:00,0.0,6915.75,0.0,0.0,141.75,829.5,416.75,0.0,416.75,0.0,687.75,6915.75,8020.25
2026-01-01 18:00:00+00:00,0.0,7456.5,185.5,0.0,363.5,396.75,580.5,0.0,580.5,-185.5,33.25,7456.5,7884.75
2026-01-01 19:00:00+00:00,0.0,5097.25,191.25,0.0,195.25,0.0,2861.0,0.0,2861.0,-191.25,-195.25,5097.25,7571.75
2026-01-01 20:00:00+00:00,0.0,6370.0,199.75,731.5,0.0,379.5,0.0,0.0,0.0,531.75,379.5,6370.0,7281.25
2026-01-01 21:00:00+00:00,0.0,5943.25,129.5,865.25,0.0,0.0,429.25,0.0,429.25,735.75,0.0,5943.25,7108.25
2026-01-01 22:00:00+00:00,0.0,4739.5,0.0,0.0,0.0,1118.0,1057.5,0.0,1057.5,0.0,1118.0,4739.5,6915.0
2026-01-01 23:00:00+00:00,0.0,4115.5,0.0,39.0,0.0,0.0,2401.25,0.0,2401.25,39.0,0.0,4115.5,6555.75
2026-01-02 00:00:00+00:00,0.0,3887.75,0.0,54.5,0.0,0.0,2402.5,0.0,2402.5,54.5,0.0,3887.75,6344.75
2026-01-02 01:00:00+00:00,0.0,3638.5,0.0,234.75,0.0,0.0,2419.5,0.0,2419.5,234.75,0.0,3638.5,6292.75
2026-01-02 02:00:00+00:00,0.0,3447.5,0.0,248.5,0.0,0.0,2456.75,0.0,2456.75,248.5,0.0,3447.5,6152.75
2026-01-02 03:00:00+00:00,0.0,3741.25,0.0,4.25,0.0,0.0,2446.0,0.0,2446.0,4.25,0.0,3741.25,6191.5
2026-01-02 04:00:00+00:00,0.0,4074.75,0.0,0.0,0.0,17.0,2400.75,0.0,2400.75,0.0,17.0,4074.75,6492.5
2026-01-02 05:00:00+00:00,0.0,5223.75,0.0,0.0,30.0,0.0,1825.0,0.0,1825.0,0.0,-30.0,5223.75,7018.75
2026-01-02 06:00:00+00:00,0.0,6639.0,0.0,0.0,122.75,0.0,1008.25,0.0,1008.25,0.0,-122.75,6639.0,7524.5
2026-01-02 07:00:00+00:00,0.0,6745.75,0.0,0.0,191.5,0.0,895.5,0.0,895.5,0.0,-191.5,6745.75,7449.75
