,CZ_SK,SK_CZ,HU_SK,SK_HU,PL_SK,SK_PL,SK_CZ_net_export,SK_HU_net_export,SK_PL_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,1964.475,1227.2250000000001,101.825,0.0,1964.475,-1125.4,839.0749999999998
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,2034.6499999999999,1560.175,166.775,0.0,2034.6499999999999,-1393.3999999999999,641.25
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,2064.2,1360.625,0.0,0.0,2064.2,-1360.625,703.5749999999998
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,2195.625,1612.625,0.0,0.0,2195.625,-1612.625,583.0
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,1611.9499999999998,1109.175,0.0,0.0,1611.9499999999998,-1109.175,502.77499999999986
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,1498.925,1068.7,0.0,0.0,1498.925,-1068.7,430.2249999999999
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,3798.975,3191.325,0.0,0.0,3798.975,-3191.325,607.6500000000001
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,497.525,149.9,0.0,0.0,497.525,-149.9,347.625
2026-01-01 08:00:00+00:00,0.0,0.0,50.974999999999994,353.2,291.525,0.0,0.0,302.225,-291.525,10.700000000000045
2026-01-01 09:00:00+00:00,0.0,0.0,67.85,114.975,124.1,0.0,0.0,47.125,-124.1,-76.975
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,780.475,1065.325,0.0,0.0,780.475,-1065.325,-284.85
2026-01-01 11:00:00+00:00,0.0,0.0,92.75,264.6,376.45,0.0,0.0,171.85000000000002,-376.45,-204.59999999999997
2026-01-01 12:00:00+00:00,0.0,0.0,136.2,152.25,195.25,0.0,0.0,16.05000000000001,-195.25,-179.2
2026-01-01 13:00:00+00:00,0.0,0.0,57.1,699.7249999999999,654.225,0.0,0.0,642.6249999999999,-654.225,-11.600000000000136
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,768.8249999999999,484.6,0.0,0.0,768.8249999999999,-484.6,284.2249999999999
2026-01-01 15:00:00+00:00,0.0,0.0,0.0,2203.75,1874.775,0.0,0.0,2203.75,-1874.775,328.9749999999999
2026-01-01 16:00:00+00:00,0.0,0.0,0.0,2916.825,2422.55,0.0,0.0,2916.825,-2422.55,494.27499999999964
2026-01-01 17:00:00+00:00,0.0,0.0,0.0,1083.125,618.0,0.0,0.0,1083.125,-618.0,465.125
2026-01-01 18:00:00+00:00,0.0,0.0,0.0,372.25,0.0,0.0,0.0,372.25,0.0,372.25
2026-01-01 19:00:00+00:00,0.0,0.0,0.0,2295.575,1962.5,0.0,0.0,2295.575,-1962.5,333.0749999999998
2026-01-01 20:00:00+00:00,0.0,0.0,0.0,8544.0,8221.45,0.0,0.0,8544.0,-8221.45,322.5499999999993
2026-01-01 21:00:00+00:00,0.0,0.0,0.0,1033.3,607.9,0.0,0.0,1033.3,-607.9,425.4
2026-01-01 22:00:00+00:00,0.0,0.0,0.0,1076.5,637.925,0.0,0.0,1076.5,-637.925,438.57500000000005
2026-01-01 23:00:00+00:00,609.275,0.0,0.0,2436.475,1512.625,0.0,-609.275,2436.475,-1512.625,314.5749999999998
2026-01-02 00:00:00+00:00,568.775,0.0,0.0,2317.7,1508.0,0.0,-568.775,2317.7,-1508.0,240.92499999999973
2026-01-02 01:00:00+00:00,599.725,0.0,0.0,2208.65,1511.75,0.0,-599.725,2208.65,-1511.75,97.17500000000018
2026-01-02 02:00:00+00:00,493.77500000000003,0.0,0.0,2141.55,1433.95,0.0,-493.77500000000003,2141.55,-1433.95,213.82500000000005
2026-01-02 03:00:00+00:00,500.4,0.0,0.0,2144.45,1453.55,0.0,-500.4,2144.45,-1453.55,190.49999999999977
2026-01-02 04:00:00+00:00,542.75,0.0,0.0,2148.75,1412.625,0.0,-542.75,2148.75,-1412.625,193.375
2026-01-02 05:00:00+00:00,522.425,0.0,0.0,2202.0,1466.225,0.0,-522.425,2202.0,-1466.225,213.35000000000014
