,RS_BA,BA_RS,ME_BA,BA_ME,BA_HR,HR_BA,BA_HR_net_export,BA_ME_net_export,BA_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,301.0,264.0,5.0,246.0,0.0,500.0,-500.0,241.0,-37.0,-296.0
2026-01-01 01:00:00+00:00,264.0,266.0,12.0,246.0,0.0,500.0,-500.0,234.0,2.0,-264.0
2026-01-01 02:00:00+00:00,250.0,259.0,1.0,251.0,0.0,500.0,-500.0,250.0,9.0,-241.0
2026-01-01 03:00:00+00:00,245.0,268.0,1.0,251.0,0.0,500.0,-500.0,250.0,23.0,-227.0
2026-01-01 04:00:00+00:00,244.0,266.0,1.0,247.0,0.0,500.0,-500.0,246.0,22.0,-232.0
2026-01-01 05:00:00+00:00,362.0,363.0,1.0,241.0,0.0,500.0,-500.0,240.0,1.0,-259.0
2026-01-01 06:00:00+00:00,335.0,264.0,26.0,181.0,0.0,420.0,-420.0,155.0,-71.0,-336.0
2026-01-01 07:00:00+00:00,336.0,320.0,12.0,166.0,0.0,413.0,-413.0,154.0,-16.0,-275.0
2026-01-01 08:00:00+00:00,338.0,347.0,2.0,218.0,0.0,500.0,-500.0,216.0,9.0,-275.0
2026-01-01 09:00:00+00:00,422.0,434.0,1.0,260.0,0.0,500.0,-500.0,259.0,12.0,-229.0
2026-01-01 10:00:00+00:00,423.0,467.0,1.0,287.0,0.0,500.0,-500.0,286.0,44.0,-170.0
2026-01-01 11:00:00+00:00,425.0,480.0,1.0,287.0,0.0,470.0,-470.0,286.0,55.0,-129.0
2026-01-01 12:00:00+00:00,428.0,464.0,1.0,287.0,0.0,500.0,-500.0,286.0,36.0,-178.0
2026-01-01 13:00:00+00:00,450.0,408.0,1.0,275.0,0.0,500.0,-500.0,274.0,-42.0,-268.0
2026-01-01 14:00:00+00:00,431.0,348.0,1.0,292.0,0.0,444.0,-444.0,291.0,-83.0,-236.0
2026-01-01 15:00:00+00:00,349.0,310.0,1.0,166.0,0.0,350.0,-350.0,165.0,-39.0,-224.0
2026-01-01 16:00:00+00:00,317.0,310.0,1.0,157.0,0.0,350.0,-350.0,156.0,-7.0,-201.0
