,BE_NL,NL_BE,BE_FR,FR_BE,BE_GB,GB_BE,BE_DE_LU,DE_LU_BE,BE_NL_net_export,BE_FR_net_export,BE_GB_net_export,BE_DE_LU_net_export,Net Export
2026-01-01 00:00:00+00:00,116.3,1277.675,957.275,750.5,499.0,252.0,0.0,300.25,-1161.375,206.77499999999998,247.0,-300.25,-1007.85
2026-01-01 01:00:00+00:00,1.175,2053.725,1539.5,631.625,593.0,242.0,130.05,0.55,-2052.5499999999997,907.875,351.0,129.5,-664.1749999999997
2026-01-01 02:00:00+00:00,31.15,1760.75,1495.175,452.675,283.0,142.0,167.475,0.475,-1729.6,1042.5,141.0,167.0,-379.0999999999999
2026-01-01 03:00:00+00:00,0.7,1025.925,1239.125,248.14999999999998,312.0,231.0,48.375,427.625,-1025.225,990.975,81.0,-379.25,-332.4999999999999
2026-01-01 04:00:00+00:00,32.95,1463.0,2192.725,340.8,495.0,322.0,0.0,1000.0,-1430.05,1851.925,173.0,-1000.0,-405.125
2026-01-01 05:00:00+00:00,0.5,294.77500000000003,1109.475,0.45,159.0,570.0,0.0,1000.0,-294.27500000000003,1109.0249999999999,-411.0,-1000.0,-596.2500000000002
2026-01-01 06:00:00+00:00,0.375,94.1,882.775,0.39999999999999997,371.0,399.0,0.0,921.0,-93.725,882.375,-28.0,-921.0,-160.35000000000002
2026-01-01 07:00:00+00:00,0.825,168.95,118.325,835.5999999999999,1015.0,329.0,73.95,250.45,-168.125,-717.2749999999999,686.0,-176.5,-375.89999999999986
2026-01-01 08:00:00+00:00,0.5,154.15,78.9,830.675,1075.0,224.0,122.525,7.275,-153.65,-751.775,851.0,115.25,60.825000000000045
2026-01-01 09:00:00+00:00,1.0,632.875,289.825,1341.8,905.0,172.0,303.075,49.575,-631.875,-1051.975,733.0,253.5,-697.3499999999999
2026-01-01 10:00:00+00:00,1.0,255.9,61.475,998.55,923.0,172.0,27.65,596.25,-254.9,-937.0749999999999,751.0,-568.6,-1009.5749999999999
2026-01-01 11:00:00+00:00,1.6,54.400000000000006,311.725,1396.1,1032.0,2.0,0.0,1000.0,-52.800000000000004,-1084.375,1030.0,-1000.0,-1107.175
2026-01-01 12:00:00+00:00,0.35,338.85,430.5,1849.9750000000001,1032.0,0.0,71.2,764.25,-338.5,-1419.4750000000001,1032.0,-693.05,-1419.025
2026-01-01 13:00:00+00:00,0.0,696.875,481.55,2403.875,1032.0,0.0,170.625,52.4,-696.875,-1922.325,1032.0,118.225,-1468.975
2026-01-01 14:00:00+00:00,0.525,990.375,1081.225,2237.0,995.0,0.0,0.0,877.25,-989.85,-1155.775,995.0,-877.25,-2027.875
2026-01-01 15:00:00+00:00,0.175,1996.5,1732.575,2525.55,1012.0,0.0,58.2,0.725,-1996.325,-792.9750000000001,1012.0,57.475,-1719.8250000000003
2026-01-01 16:00:00+00:00,0.625,3274.25,3156.575,1788.9499999999998,1012.0,12.0,53.2,89.075,-3273.625,1367.625,1000.0,-35.875,-941.875
2026-01-01 17:00:00+00:00,0.075,1186.325,826.275,1875.025,1012.0,0.0,154.275,0.7250000000000001,-1186.25,-1048.75,1012.0,153.55,-1069.45
2026-01-01 18:00:00+00:00,0.0,1156.2749999999999,853.45,1390.925,1012.0,0.0,28.05,189.05,-1156.2749999999999,-537.4749999999999,1012.0,-161.0,-842.7499999999998
2026-01-01 19:00:00+00:00,0.0,2399.725,2088.825,1407.25,1003.0,0.0,211.45,0.2,-2399.725,681.5749999999998,1003.0,211.25,-503.9000000000001
2026-01-01 20:00:00+00:00,0.025,1367.5,1086.4,1990.475,1012.0,0.0,557.5,0.5,-1367.475,-904.0749999999998,1012.0,557.0,-702.5499999999997
2026-01-01 21:00:00+00:00,0.85,2217.725,1659.375,1316.275,804.0,119.0,730.3,0.3,-2216.875,343.0999999999999,685.0,730.0,-458.7750000000001
2026-01-01 22:00:00+00:00,0.125,2230.9249999999997,1410.675,538.875,442.0,367.0,810.6,0.6,-2230.7999999999997,871.8,75.0,810.0,-473.9999999999998
2026-01-01 23:00:00+00:00,22.725,2729.075,3147.7,267.575,282.0,59.0,159.8,1070.375,-2706.35,2880.125,223.0,-910.575,-513.8
2026-01-02 00:00:00+00:00,1.025,2853.075,3072.5249999999996,114.875,409.0,226.0,561.2,1007.0,-2852.0499999999997,2957.6499999999996,183.0,-445.79999999999995,-157.20000000000005
2026-01-02 01:00:00+00:00,1.25,3138.7999999999997,2842.075,44.2,342.0,191.0,524.55,1002.925,-3137.5499999999997,2797.875,151.0,-478.375,-667.0499999999997
2026-01-02 02:00:00+00:00,0.0,3185.375,2854.05,102.6,304.0,178.0,630.55,1002.15,-3185.375,2751.4500000000003,126.0,-371.6,-679.5249999999997
2026-01-02 03:00:00+00:00,0.1,3214.3,2752.725,150.025,313.0,194.0,615.85,1000.0,-3214.2000000000003,2602.7,119.0,-384.15,-876.6500000000004
2026-01-02 04:00:00+00:00,0.6000000000000001,3311.9750000000004,2570.9249999999997,349.825,325.0,336.0,1194.8,1180.075,-3311.3750000000005,2221.1,-11.0,14.724999999999909,-1086.5500000000006
2026-01-02 05:00:00+00:00,340.0,3242.95,2704.3,188.75,328.0,605.0,869.875,1125.95,-2902.95,2515.55,-277.0,-256.07500000000005,-920.4749999999997
2026-01-02 06:00:00+00:00,222.9,3224.95,2739.2,7.75,213.0,708.0,860.0,1079.425,-3002.0499999999997,2731.45,-495.0,-219.42499999999995,-985.0249999999999
2026-01-02 07:00:00+00:00,58.975,2936.3,2904.7749999999996,141.075,188.0,481.0,557.725,1008.025,-2877.3250000000003,2763.7,-293.0,-450.29999999999995,-856.9250000000004
2026-01-02 08:00:00+00:00,408.25,2964.4,2338.75,18.925,523.0,210.0,150.525,1044.8,-2556.15,2319.825,313.0,-894.275,-817.6000000000003
2026-01-02 09:00:00+00:00,7.675,1754.925,2026.075,455.95,1124.0,277.0,42.1,1000.0,-1747.25,1570.125,847.0,-957.9,-288.025
2026-01-02 10:00:00+00:00,37.45,1747.675,1651.05,23.225,1056.0,199.0,107.05,1000.0,-1710.225,1627.825,857.0,-892.95,-118.34999999999991
2026-01-02 11:00:00+00:00,44.875,1717.0,1708.175,57.0,1111.0,119.0,134.25,1000.0,-1672.125,1651.175,992.0,-865.75,105.29999999999995
2026-01-02 12:00:00+00:00,51.925,2188.3,2351.15,88.925,1032.0,17.0,4.85,1000.275,-2136.375,2262.225,1015.0,-995.425,145.42499999999995
2026-01-02 13:00:00+00:00,813.5,2217.75,1839.975,603.55,870.0,69.0,316.4,1313.9,-1404.25,1236.425,801.0,-997.5000000000001,-364.32500000000016
2026-01-02 14:00:00+00:00,1449.75,2700.75,1711.925,1858.125,912.0,40.0,324.55,1198.55,-1251.0,-146.20000000000005,872.0,-874.0,-1399.2
2026-01-02 15:00:00+00:00,244.025,2633.15,767.175,184.225,851.0,114.0,250.5,1098.95,-2389.125,582.9499999999999,737.0,-848.45,-1917.6250000000002
2026-01-02 16:00:00+00:00,323.925,2239.75,683.15,226.45,800.0,159.0,74.475,1017.1,-1915.825,456.7,641.0,-942.625,-1760.75
2026-01-02 17:00:00+00:00,137.85,2858.125,1365.525,128.825,822.0,0.0,25.9,1021.95,-2720.275,1236.7,822.0,-996.0500000000001,-1657.625
2026-01-02 18:00:00+00:00,3.35,2954.45,1957.65,26.049999999999997,711.0,0.0,75.075,1019.45,-2951.1,1931.6000000000001,711.0,-944.375,-1252.8749999999998
2026-01-02 19:00:00+00:00,5.8,3288.8,1575.925,38.475,766.0,0.0,136.15,1135.4,-3283.0,1537.45,766.0,-999.2500000000001,-1978.8000000000002
2026-01-02 20:00:00+00:00,43.2,3309.95,1881.725,191.775,626.0,416.0,3.825,1003.825,-3266.75,1689.9499999999998,210.0,-1000.0,-2366.8
