,RS_BG,BG_RS,RO_BG,BG_RO,BG_GR,GR_BG,BG_MK,MK_BG,BG_GR_net_export,BG_MK_net_export,BG_RO_net_export,BG_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,375.0,1425.375,479.54999999999995,0.0,413.85,50.0,0.0,-413.85,50.0,-945.825,375.0,-934.6750000000002
2026-01-01 01:00:00+00:00,0.0,342.0,1668.625,441.1,118.60000000000001,177.8,49.0,0.0,-59.2,49.0,-1227.525,342.0,-895.7250000000001
2026-01-01 02:00:00+00:00,0.0,277.0,1801.425,579.125,253.95,72.95,49.0,0.0,181.0,49.0,-1222.3,277.0,-715.3
2026-01-01 03:00:00+00:00,50.0,245.0,1950.8,581.125,512.6,58.4,49.0,0.0,454.20000000000005,49.0,-1369.675,195.0,-671.4749999999999
2026-01-01 04:00:00+00:00,0.0,221.0,1914.6,428.225,524.8,43.275,49.0,0.0,481.525,49.0,-1486.375,221.0,-734.85
2026-01-01 05:00:00+00:00,166.0,167.0,2036.725,475.15,830.95,23.775,29.0,0.0,807.1750000000001,29.0,-1561.5749999999998,1.0,-724.3999999999997
2026-01-01 06:00:00+00:00,26.0,192.0,1660.725,390.525,683.675,23.275,24.0,0.0,660.4,24.0,-1270.1999999999998,166.0,-419.79999999999984
2026-01-01 07:00:00+00:00,20.0,208.0,358.725,1055.675,98.125,368.325,2.0,0.0,-270.2,2.0,696.9499999999999,188.0,616.75
2026-01-01 08:00:00+00:00,25.0,260.0,305.65,1806.475,7.875,678.15,0.0,0.0,-670.275,0.0,1500.8249999999998,235.0,1065.5499999999997
2026-01-01 09:00:00+00:00,34.0,289.0,377.075,1781.3,35.625,808.3,0.0,0.0,-772.675,0.0,1404.225,255.0,886.55
2026-01-01 10:00:00+00:00,23.0,257.0,59.14999975,785.47499975,13.575,885.525,0.0,0.0,-871.9499999999999,0.0,726.325,234.0,88.37500000000011
2026-01-01 11:00:00+00:00,5.0,295.0,63.4,634.25,44.85,796.925,0.0,0.0,-752.0749999999999,0.0,570.85,290.0,108.77500000000009
2026-01-01 12:00:00+00:00,5.0,235.0,471.475,514.35,89.475,343.8,0.0,0.0,-254.32500000000002,0.0,42.875,230.0,18.549999999999983
2026-01-01 13:00:00+00:00,0.0,259.0,1850.95,450.6,621.8249999999999,152.9,2.0,0.0,468.92499999999995,2.0,-1400.35,259.0,-670.425
2026-01-01 14:00:00+00:00,0.0,156.0,2677.47499975,400.675,1355.05,104.55,22.0,0.0,1250.5,22.0,-2276.7999997499996,156.0,-848.2999997499996
2026-01-01 15:00:00+00:00,200.0,158.0,2368.19999975,431.79999975,1415.825,87.8,30.0,0.0,1328.025,30.0,-1936.4,-42.0,-620.375
2026-01-01 16:00:00+00:00,250.0,190.0,2212.5749997499997,395.025,1424.1,43.55,32.0,0.0,1380.55,32.0,-1817.5499997499996,-60.0,-464.9999997499997
2026-01-01 17:00:00+00:00,350.0,181.0,2253.075,434.425,1419.15,52.35,35.0,0.0,1366.8000000000002,35.0,-1818.6499999999999,-169.0,-585.8499999999997
2026-01-01 18:00:00+00:00,100.0,160.0,2614.47499975,444.375,1415.7,180.9,39.0,0.0,1234.8,39.0,-2170.09999975,60.0,-836.2999997499999
2026-01-01 19:00:00+00:00,382.0,162.0,2577.9,405.525,1415.775,96.575,37.0,0.0,1319.2,37.0,-2172.375,-220.0,-1036.175
2026-01-01 20:00:00+00:00,100.0,176.0,2803.2249997500003,407.5,1413.025,51.7,36.0,0.0,1361.325,36.0,-2395.7249997500003,76.0,-922.3999997500002
2026-01-01 21:00:00+00:00,117.0,222.0,2545.325,405.0,1259.55,29.1,36.0,0.0,1230.45,36.0,-2140.325,105.0,-768.8749999999998
2026-01-01 22:00:00+00:00,26.0,239.0,2809.525,409.525,1411.0,68.575,36.0,0.0,1342.425,36.0,-2400.0,213.0,-808.575
2026-01-01 23:00:00+00:00,190.0,132.0,2624.975,494.0,1248.2,21.35,99.0,0.0,1226.8500000000001,99.0,-2130.975,-58.0,-863.1249999999998
