,AT_CZ,CZ_AT,CZ_DE_LU,DE_LU_CZ,CZ_PL,PL_CZ,CZ_SK,SK_CZ,CZ_AT_net_export,CZ_DE_LU_net_export,CZ_PL_net_export,CZ_SK_net_export,Net Export
2026-01-01 00:00:00+00:00,0.35,1894.1000000000001,0.0,2919.7250000000004,1527.95,0.0,36.575,14.075,1893.7500000000002,-2919.7250000000004,1527.95,22.500000000000004,524.4749999999999
2026-01-01 01:00:00+00:00,0.125,457.125,492.55,1483.675,1413.625,337.275,17.05,12.45,457.0,-991.125,1076.35,4.600000000000001,546.8249999999999
2026-01-01 02:00:00+00:00,0.325,4402.825,0.0,4442.025,1014.5,327.75,0.0,0.0,4402.5,-4442.025,686.75,0.0,647.2250000000004
2026-01-01 03:00:00+00:00,0.32499999999999996,2929.8250000000003,0.0,3152.625,1119.75,256.25,0.0,0.0,2929.5000000000005,-3152.625,863.5,0.0,640.3750000000005
2026-01-01 04:00:00+00:00,0.325,4452.325,0.0,4704.075,753.25,0.0,19.7,0.0,4452.0,-4704.075,753.25,19.7,520.8750000000002
2026-01-01 05:00:00+00:00,0.325,5319.825,7.65,3973.75,591.0,1409.725,55.2,0.0,5319.5,-3966.1,-818.7249999999999,55.2,589.8750000000002
2026-01-01 06:00:00+00:00,3.2750000000000004,2832.4,0.0,3798.4750000000004,1238.0,0.0,26.775,0.0,2829.125,-3798.4750000000004,1238.0,26.775,295.4249999999996
2026-01-01 07:00:00+00:00,4.2250000000000005,3336.45,0.0,2398.5,0.0,1680.5,201.4,0.0,3332.225,-2398.5,-1680.5,201.4,-545.3750000000001
2026-01-01 08:00:00+00:00,1.7,2630.95,0.0,2891.575,0.0,1131.5,248.05,0.0,2629.25,-2891.575,-1131.5,248.05,-1145.7749999999999
2026-01-01 09:00:00+00:00,2.325,3970.075,0.0,3411.825,0.0,2123.25,208.875,0.0,3967.75,-3411.825,-2123.25,208.875,-1358.4499999999998
2026-01-01 10:00:00+00:00,32.575,4068.8999999999996,0.0,4659.724999999999,0.0,1040.5,161.5,0.0,4036.325,-4659.724999999999,-1040.5,161.5,-1502.3999999999996
2026-01-01 11:00:00+00:00,2.05,2755.55,253.5,2486.55,0.0,1935.75,13.825,208.175,2753.5,-2233.05,-1935.75,-194.35000000000002,-1609.65
2026-01-01 12:00:00+00:00,5.325,2823.65,51.575,2304.575,0.0,2092.05,89.5,14.575,2818.3250000000003,-2253.0,-2092.05,74.925,-1451.8
2026-01-01 13:00:00+00:00,40.2,1337.9,5.2,400.8,100.75,1671.5,77.225,28.549999999999997,1297.7,-395.6,-1570.75,48.675,-619.975
2026-01-01 14:00:00+00:00,20.625,707.475,67.4,125.525,0.0,668.75,6.0,74.325,686.85,-58.125,-668.75,-68.325,-108.34999999999998
2026-01-01 15:00:00+00:00,0.5,3113.2,0.0,2623.625,1306.0,1729.5,0.0,60.5,3112.7,-2623.625,-423.5,-60.5,5.074999999999818
2026-01-01 16:00:00+00:00,0.175,1209.675,0.0,1390.7,167.25,5.5,66.025,3.9499999999999997,1209.5,-1390.7,161.75,62.075,42.62499999999996
2026-01-01 17:00:00+00:00,11.125,4088.2,0.0,2281.25,0.0,1878.35,6.4,56.8,4077.075,-2281.25,-1878.35,-50.4,-132.9250000000001
2026-01-01 18:00:00+00:00,37.75,3039.5,0.0,1204.925,0.0,1835.75,0.0,37.825,3001.75,-1204.925,-1835.75,-37.825,-76.74999999999996
2026-01-01 19:00:00+00:00,26.45,3993.7,0.0,3863.375,1376.5,1177.25,19.225,5.375,3967.25,-3863.375,199.25,13.850000000000001,316.975
2026-01-01 20:00:00+00:00,68.025,0.0,1.375,5269.5,5566.25,0.0,90.675,1.475,-68.025,-5268.125,5566.25,89.2,319.30000000000035
2026-01-01 21:00:00+00:00,15.100000000000001,6075.0,0.0,4008.525,0.0,1900.5,53.025000000000006,0.45,6059.9,-4008.525,-1900.5,52.575,203.44999999999953
2026-01-01 22:00:00+00:00,8.799999999999999,4776.575,0.0,2634.375,0.0,1966.25,62.75,0.0,4767.775,-2634.375,-1966.25,62.75,229.89999999999964
2026-01-01 23:00:00+00:00,107.125,2136.925,4.575,1248.35,0.0,977.5,659.425,40.974999999999994,2029.8000000000002,-1243.7749999999999,-977.5,618.4499999999999,426.97500000000025
2026-01-02 00:00:00+00:00,135.25,2127.1,6.975,1253.8,0.0,982.75,607.4,22.475,1991.85,-1246.825,-982.75,584.925,347.1999999999998
2026-01-02 01:00:00+00:00,119.275,2107.375,14.975000000000001,1247.2,0.0,946.0,638.7,10.1,1988.1,-1232.2250000000001,-946.0,628.6,438.4749999999998
2026-01-02 02:00:00+00:00,100.1,1997.575,26.625,1225.725,0.0,991.0,570.575,0.275,1897.4750000000001,-1199.1,-991.0,570.3000000000001,277.6750000000003
2026-01-02 03:00:00+00:00,108.775,2010.225,9.225,1213.4,0.0,990.5,543.425,10.299999999999999,1901.4499999999998,-1204.1750000000002,-990.5,533.125,239.89999999999964
2026-01-02 04:00:00+00:00,59.25,1983.875,8.45,1240.15,0.0,988.0,617.2,92.55,1924.625,-1231.7,-988.0,524.6500000000001,229.57500000000005
2026-01-02 05:00:00+00:00,9.8,1985.875,2.25,1168.675,0.0,1039.25,592.05,5.475,1976.075,-1166.425,-1039.25,586.5749999999999,356.975
2026-01-02 06:00:00+00:00,75.65,1910.725,73.375,1194.975,0.0,783.025,654.475,63.725,1835.0749999999998,-1121.6,-783.025,590.75,521.1999999999999
2026-01-02 07:00:00+00:00,75.625,1711.6,172.425,1250.475,0.0,716.6,540.2249999999999,41.675,1635.975,-1078.05,-716.6,498.5499999999999,339.87499999999983
2026-01-02 08:00:00+00:00,122.025,1506.875,132.5,1375.45,0.0,712.0,486.25,35.45,1384.85,-1242.95,-712.0,450.8,-119.30000000000013
2026-01-02 09:00:00+00:00,128.75,1735.5,19.974999999999998,1575.75,0.0,858.575,474.3,128.4,1606.75,-1555.775,-858.575,345.9,-461.70000000000016
2026-01-02 10:00:00+00:00,111.975,1609.25,0.025,1605.95,0.0,854.925,471.5,92.325,1497.275,-1605.925,-854.925,379.175,-584.3999999999999
2026-01-02 11:00:00+00:00,96.475,1565.125,9.9,1612.675,0.0,801.225,488.45,56.2,1468.65,-1602.7749999999999,-801.225,432.25,-503.0999999999998
2026-01-02 12:00:00+00:00,118.85,1263.175,0.0,1468.725,0.0,578.1,454.85,72.65,1144.325,-1468.725,-578.1,382.20000000000005,-520.2999999999998
2026-01-02 13:00:00+00:00,57.275,1452.025,18.049999999999997,1503.475,0.0,532.725,635.925,65.675,1394.75,-1485.425,-532.725,570.25,-53.14999999999998
2026-01-02 14:00:00+00:00,62.65,1424.05,61.975,1401.95,0.0,498.25,669.1,2.325,1361.3999999999999,-1339.9750000000001,-498.25,666.775,189.9499999999997
2026-01-02 15:00:00+00:00,191.225,1540.725,2.125,1365.875,0.0,212.0,778.325,1.525,1349.5,-1363.75,-212.0,776.8000000000001,550.5500000000001
2026-01-02 16:00:00+00:00,174.67499999999998,1529.0,5.65,1430.375,0.0,239.15,706.775,17.4,1354.325,-1424.725,-239.15,689.375,379.82500000000016
2026-01-02 17:00:00+00:00,259.07500000000005,1640.05,0.0,1299.75,0.0,207.725,854.8,17.1,1380.975,-1299.75,-207.725,837.6999999999999,711.1999999999998
2026-01-02 18:00:00+00:00,109.65,1722.4,4.5,1248.675,0.0,256.325,662.2,34.325,1612.75,-1244.175,-256.325,627.875,740.125
2026-01-02 19:00:00+00:00,74.725,1707.525,62.599999999999994,1289.825,0.0,488.125,846.275,28.3,1632.8000000000002,-1227.2250000000001,-488.125,817.975,735.4250000000001
2026-01-02 20:00:00+00:00,59.45,1808.325,2.475,1348.55,0.0,521.25,672.375,80.45,1748.875,-1346.075,-521.25,591.925,473.4749999999999
2026-01-02 21:00:00+00:00,30.875,1855.575,0.0,1301.85,0.0,842.25,632.375,2.925,1824.7,-1301.85,-842.25,629.45,310.0500000000002
2026-01-02 22:00:00+00:00,13.45,2123.25,0.0,1336.725,0.0,896.975,693.4749999999999,7.4,2109.8,-1336.725,-896.975,686.0749999999999,562.1750000000002
2026-01-02 23:00:00+00:00,0.3,2130.75,0.55,987.825,0.0,1148.25,346.325,0.225,2130.45,-987.2750000000001,-1148.25,346.09999999999997,341.0249999999997
2026-01-03 00:00:00+00:00,2.6750000000000003,1953.275,0.0,1013.1,0.0,1204.125,132.15,27.725,1950.6000000000001,-1013.1,-1204.125,104.42500000000001,-162.19999999999987
2026-01-03 01:00:00+00:00,57.1,1873.6,78.225,858.525,0.0,1207.0,143.1,48.975,1816.5,-780.3,-1207.0,94.125,-76.67499999999995
2026-01-03 02:00:00+00:00,67.475,1838.9,152.575,831.375,0.0,1236.325,154.3,69.65,1771.4250000000002,-678.8,-1236.325,84.65,-59.04999999999981
2026-01-03 03:00:00+00:00,82.0,1717.0,167.77499999999998,1065.55,0.0,1274.75,123.0,70.0,1635.0,-897.775,-1274.75,53.0,-484.525
