,BE_DE_LU,DE_LU_BE,NL_DE_LU,DE_LU_NL,FR_DE_LU,DE_LU_FR,CH_DE_LU,DE_LU_CH,AT_DE_LU,DE_LU_AT,CZ_DE_LU,DE_LU_CZ,NO_2_DE_LU,DE_LU_NO_2,PL_DE_LU,DE_LU_PL,DK_1_DE_LU,DE_LU_DK_1,SE_4_DE_LU,DE_LU_SE_4,DK_2_DE_LU,DE_LU_DK_2,DE_LU_AT_net_export,DE_LU_BE_net_export,DE_LU_CH_net_export,DE_LU_CZ_net_export,DE_LU_DK_1_net_export,DE_LU_DK_2_net_export,DE_LU_FR_net_export,DE_LU_NO_2_net_export,DE_LU_NL_net_export,DE_LU_PL_net_export,DE_LU_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,300.25,232.25,1576.575,0.0,5743.25,0.0,799.0,0.0,2924.1000000000004,0.0,2919.7250000000004,3.75,1353.25,0.0,0.0,587.25,1143.0,158.75,0.0,813.55,139.375,2924.1000000000004,300.25,799.0,2919.7250000000004,555.75,-674.175,5743.25,1349.5,1344.325,0.0,-158.75,15102.975000000002
2026-01-01 01:00:00+00:00,130.05,0.55,0.0,3738.3,0.0,3744.75,0.0,799.5,0.0,4886.55,492.55,1483.675,0.0,1290.25,0.0,0.0,362.25,1355.25,151.25,0.0,590.05,263.2,4886.55,-129.5,799.5,991.125,993.0,-326.84999999999997,3744.75,1290.25,3738.3,0.0,-151.25,15835.875
2026-01-01 02:00:00+00:00,167.475,0.475,0.0,5547.425,0.0,1853.0,0.0,800.0,0.0,1463.9,0.0,4442.025,0.0,1115.75,37.85,0.0,372.75,1939.25,0.0,51.0,231.275,404.4,1463.9,-167.0,800.0,4442.025,1566.5,173.12499999999997,1853.0,1115.75,5547.425,-37.85,51.0,16807.875
2026-01-01 03:00:00+00:00,48.375,427.625,0.0,4999.525,0.0,1884.25,0.0,800.0,0.0,2853.325,0.0,3152.625,0.0,1045.75,284.0,0.0,613.75,2380.0,0.0,102.0,324.75,867.525,2853.325,379.25,800.0,3152.625,1766.25,542.775,1884.25,1045.75,4999.525,-284.0,102.0,17241.75
2026-01-01 04:00:00+00:00,0.0,1000.0,0.0,4913.075,0.0,1641.25,0.0,800.0,0.0,1734.625,0.0,4704.075,0.0,1181.75,1036.25,0.0,773.5,2470.0,0.0,204.0,515.975,1084.7,1734.625,1000.0,800.0,4704.075,1696.5,568.725,1641.25,1181.75,4913.075,-1036.25,204.0,17407.75
2026-01-01 05:00:00+00:00,0.0,1000.0,0.0,1924.875,0.0,5772.75,0.0,799.25,0.0,1291.775,7.65,3973.75,0.0,1400.0,131.325,2.825,633.25,2500.0,0.0,204.0,391.05,1100.95,1291.775,1000.0,799.25,3966.1,1866.75,709.9000000000001,5772.75,1400.0,1924.875,-128.5,204.0,18806.9
2026-01-01 06:00:00+00:00,0.0,921.0,0.0,3993.15,0.0,3875.75,0.0,800.0,0.0,1268.45,0.0,3798.4750000000004,0.0,1400.0,321.275,0.0,248.75,2500.0,0.0,204.0,215.625,953.45,1268.45,921.0,800.0,3798.4750000000004,2251.25,737.825,3875.75,1400.0,3993.15,-321.275,204.0,18928.625
2026-01-01 07:00:00+00:00,73.95,250.45,0.0,1959.2,0.0,6651.25,0.0,800.0,0.0,2358.3999999999996,0.0,2398.5,0.0,1400.0,371.775,0.0,423.0,2500.0,0.0,204.0,274.025,1010.625,2358.3999999999996,176.5,800.0,2398.5,2077.0,736.6,6651.25,1400.0,1959.2,-371.775,204.0,18389.675
2026-01-01 08:00:00+00:00,122.525,7.275,0.0,2155.225,0.0,6317.25,0.0,800.0,0.0,2339.625,0.0,2891.575,0.0,1131.75,788.75,0.0,278.75,2500.0,0.0,204.0,182.775,875.05,2339.625,-115.25,800.0,2891.575,2221.25,692.275,6317.25,1131.75,2155.225,-788.75,204.0,17848.95
2026-01-01 09:00:00+00:00,303.075,49.575,0.75,4143.125,0.0,4303.0,0.0,797.5,0.0,1182.025,0.0,3411.825,0.0,982.5,1286.75,1077.25,157.75,2500.0,0.0,204.0,51.775,812.2,1182.025,-253.5,797.5,3411.825,2342.25,760.4250000000001,4303.0,982.5,4142.375,-209.5,204.0,17662.9
2026-01-01 10:00:00+00:00,27.65,596.25,0.0,1967.7,0.0,5888.25,0.0,800.0,0.0,0.0,0.0,4659.724999999999,0.0,817.5,422.75,0.0,171.25,2500.0,0.0,204.0,68.0,829.575,0.0,568.6,800.0,4659.724999999999,2328.75,761.575,5888.25,817.5,1967.7,-422.75,204.0,17573.35
