,LV_EE,EE_LV,EE_FI,FI_EE,EE_FI_net_export,EE_LV_net_export,Net Export
2026-01-01 00:00:00+00:00,140.975,0.0,0.0,648.45,-648.45,-140.975,-789.4250000000001
2026-01-01 01:00:00+00:00,233.35,0.0,0.0,540.325,-540.325,-233.35,-773.6750000000001
2026-01-01 02:00:00+00:00,308.65,0.0,0.0,438.05,-438.05,-308.65,-746.7
2026-01-01 03:00:00+00:00,431.4,0.0,0.0,265.25,-265.25,-431.4,-696.65
2026-01-01 04:00:00+00:00,507.725,0.0,0.0,184.15,-184.15,-507.725,-691.875
2026-01-01 05:00:00+00:00,533.975,0.0,0.0,159.025,-159.025,-533.975,-693.0
2026-01-01 06:00:00+00:00,516.225,0.0,0.0,193.0,-193.0,-516.225,-709.225
2026-01-01 07:00:00+00:00,397.575,0.0,0.0,332.175,-332.175,-397.575,-729.75
2026-01-01 08:00:00+00:00,381.75,0.0,0.0,338.775,-338.775,-381.75,-720.525
2026-01-01 09:00:00+00:00,443.925,0.0,0.0,238.425,-238.425,-443.925,-682.35
2026-01-01 10:00:00+00:00,470.175,0.0,0.0,246.4,-246.4,-470.175,-716.575
2026-01-01 11:00:00+00:00,419.075,0.0,0.0,318.225,-318.225,-419.075,-737.3
2026-01-01 12:00:00+00:00,287.25,0.0,0.0,421.3,-421.3,-287.25,-708.55
2026-01-01 13:00:00+00:00,360.4,0.0,0.0,360.3,-360.3,-360.4,-720.7
2026-01-01 14:00:00+00:00,310.85,0.0,0.0,349.075,-349.075,-310.85,-659.925
2026-01-01 15:00:00+00:00,286.675,0.0,0.0,340.525,-340.525,-286.675,-627.2
2026-01-01 16:00:00+00:00,290.6,0.0,0.0,335.975,-335.975,-290.6,-626.575
2026-01-01 17:00:00+00:00,223.425,0.0,0.0,405.475,-405.475,-223.425,-628.9000000000001
2026-01-01 18:00:00+00:00,133.65,0.0,0.0,482.625,-482.625,-133.65,-616.275
2026-01-01 19:00:00+00:00,164.07500000000002,0.0,0.0,438.25,-438.25,-164.07500000000002,-602.325
2026-01-01 20:00:00+00:00,239.675,0.0,0.0,311.325,-311.325,-239.675,-551.0
2026-01-01 21:00:00+00:00,240.4,0.0,0.0,304.675,-304.675,-240.4,-545.075
2026-01-01 22:00:00+00:00,230.025,0.0,0.0,289.75,-289.75,-230.025,-519.775
2026-01-01 23:00:00+00:00,120.025,0.0,0.0,411.45,-411.45,-120.025,-531.475
2026-01-02 00:00:00+00:00,333.45,0.0,0.0,203.875,-203.875,-333.45,-537.325
2026-01-02 01:00:00+00:00,245.225,0.0,0.0,288.45,-288.45,-245.225,-533.675
2026-01-02 02:00:00+00:00,272.525,0.0,0.0,291.975,-291.975,-272.525,-564.5
2026-01-02 03:00:00+00:00,387.275,0.0,0.0,230.75,-230.75,-387.275,-618.025
