,FR_ES,ES_FR,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export
2026-01-01 00:00:00+00:00,1900.0,0.0,21.025,68.5,-1900.0,-47.475,-1947.475
2026-01-01 01:00:00+00:00,1900.15,6.25,0.0,205.75,-1893.9,-205.75,-2099.65
2026-01-01 02:00:00+00:00,1900.0,4.775,351.6,0.0,-1895.225,351.6,-1543.625
2026-01-01 03:00:00+00:00,1900.0,0.2,703.275,0.0,-1899.8,703.275,-1196.525
2026-01-01 04:00:00+00:00,1900.0,0.30000000000000004,944.6,0.0,-1899.7,944.6,-955.1
2026-01-01 05:00:00+00:00,1900.0,0.0,736.8,0.0,-1900.0,736.8,-1163.2
2026-01-01 06:00:00+00:00,1900.0,0.0,178.925,0.0,-1900.0,178.925,-1721.075
2026-01-01 07:00:00+00:00,1901.1,103.0,530.775,0.0,-1798.1,530.775,-1267.3249999999998
2026-01-01 08:00:00+00:00,1900.0,93.775,888.9,0.0,-1806.225,888.9,-917.3249999999999
2026-01-01 09:00:00+00:00,1900.0,0.0,1347.775,0.0,-1900.0,1347.775,-552.2249999999999
2026-01-01 10:00:00+00:00,1900.0,0.0,1704.7,0.0,-1900.0,1704.7,-195.29999999999995
2026-01-01 11:00:00+00:00,1900.0,0.0,1905.85,0.0,-1900.0,1905.85,5.849999999999909
2026-01-01 12:00:00+00:00,1900.0,0.0,1881.9,0.0,-1900.0,1881.9,-18.09999999999991
2026-01-01 13:00:00+00:00,1900.0,0.0,1508.05,0.0,-1900.0,1508.05,-391.95000000000005
2026-01-01 14:00:00+00:00,1900.0,0.0,1556.175,0.0,-1900.0,1556.175,-343.82500000000005
2026-01-01 15:00:00+00:00,1871.075,8.725,453.05,151.7,-1862.3500000000001,301.35,-1561.0
2026-01-01 16:00:00+00:00,1900.0,0.0,0.0,1099.2,-1900.0,-1099.2,-2999.2
2026-01-01 17:00:00+00:00,1900.0,0.0,0.0,2134.7,-1900.0,-2134.7,-4034.7
2026-01-01 18:00:00+00:00,1900.0,0.0,0.0,2319.575,-1900.0,-2319.575,-4219.575
2026-01-01 19:00:00+00:00,1900.0,0.0,0.0,2477.5,-1900.0,-2477.5,-4377.5
2026-01-01 20:00:00+00:00,1900.0,0.0,0.0,2394.825,-1900.0,-2394.825,-4294.825
2026-01-01 21:00:00+00:00,1900.0,0.0,0.0,2311.0499999999997,-1900.0,-2311.0499999999997,-4211.049999999999
2026-01-01 22:00:00+00:00,1900.0,185.35,0.0,1575.875,-1714.65,-1575.875,-3290.525
2026-01-01 23:00:00+00:00,1900.0,0.0,262.70000000000005,110.95,-1900.0,151.75000000000006,-1748.25
2026-01-02 00:00:00+00:00,1900.0,104.175,944.675,0.0,-1795.825,944.675,-851.1500000000001
2026-01-02 01:00:00+00:00,1900.0,120.275,710.225,0.0,-1779.725,710.225,-1069.5
2026-01-02 02:00:00+00:00,1900.0,29.450000000000003,361.975,0.0,-1870.55,361.975,-1508.5749999999998
2026-01-02 03:00:00+00:00,1900.0,379.95000000000005,300.175,0.0,-1520.05,300.175,-1219.875
2026-01-02 04:00:00+00:00,1900.0,309.2,207.175,0.0,-1590.8,207.175,-1383.625
2026-01-02 05:00:00+00:00,1900.0,0.0,79.825,27.85,-1900.0,51.975,-1848.025
2026-01-02 06:00:00+00:00,1900.0,481.275,0.0,1328.2,-1418.725,-1328.2,-2746.925
2026-01-02 07:00:00+00:00,1745.65,168.825,0.0,2114.45,-1576.825,-2114.45,-3691.2749999999996
2026-01-02 08:00:00+00:00,978.875,341.425,0.0,2013.9250000000002,-637.45,-2013.9250000000002,-2651.375
2026-01-02 09:00:00+00:00,528.225,633.3,0.0,1327.45,105.07499999999993,-1327.45,-1222.375
2026-01-02 10:00:00+00:00,711.325,651.675,0.0,473.47499999999997,-59.65000000000009,-473.47499999999997,-533.125
2026-01-02 11:00:00+00:00,477.15,962.5500000000001,23.775000000000002,197.925,485.4000000000001,-174.15,311.2500000000001
2026-01-02 12:00:00+00:00,1978.6,395.15,191.6,0.0,-1583.4499999999998,191.6,-1391.85
2026-01-02 13:00:00+00:00,1980.075,80.95,313.875,0.0,-1899.125,313.875,-1585.25
2026-01-02 14:00:00+00:00,2040.125,163.65,44.15,148.95,-1876.475,-104.79999999999998,-1981.2749999999999
2026-01-02 15:00:00+00:00,2220.875,184.075,0.0,1138.275,-2036.8,-1138.275,-3175.075
2026-01-02 16:00:00+00:00,1706.8,776.85,0.0,2126.775,-929.9499999999999,-2126.775,-3056.725
2026-01-02 17:00:00+00:00,2165.5,133.625,0.0,2500.0,-2031.875,-2500.0,-4531.875
2026-01-02 18:00:00+00:00,3278.2,22.95,0.0,1998.775,-3255.25,-1998.775,-5254.025
2026-01-02 19:00:00+00:00,3756.675,89.80000000000001,0.0,1518.8999999999999,-3666.875,-1518.8999999999999,-5185.775
2026-01-02 20:00:00+00:00,3586.925,56.475,0.0,1667.225,-3530.4500000000003,-1667.225,-5197.675
2026-01-02 21:00:00+00:00,3497.875,419.775,0.0,1406.1,-3078.1,-1406.1,-4484.2
2026-01-02 22:00:00+00:00,3674.65,1182.75,0.0,943.575,-2491.9,-943.575,-3435.4750000000004
2026-01-02 23:00:00+00:00,1433.15,414.575,0.0,774.275,-1018.575,-774.275,-1792.85
2026-01-03 00:00:00+00:00,717.975,1046.35,0.0,1012.4749999999999,328.3749999999999,-1012.4749999999999,-684.1
2026-01-03 01:00:00+00:00,908.6500000000001,1875.075,0.0,1054.075,966.425,-1054.075,-87.65000000000009
2026-01-03 02:00:00+00:00,1276.975,1927.05,0.0,1104.75,650.075,-1104.75,-454.67499999999995
2026-01-03 03:00:00+00:00,1276.45,2036.8999999999999,0.0,1276.05,760.4499999999998,-1276.05,-515.6000000000001
2026-01-03 04:00:00+00:00,1247.3,2148.1,0.0,1518.425,900.8,-1518.425,-617.625
2026-01-03 05:00:00+00:00,1562.625,1739.6750000000002,0.0,1434.5,177.05000000000018,-1434.5,-1257.4499999999998
2026-01-03 06:00:00+00:00,1185.475,1287.1,0.0,1609.25,101.625,-1609.25,-1507.625
2026-01-03 07:00:00+00:00,1451.225,288.525,0.0,1962.025,-1162.6999999999998,-1962.025,-3124.725
2026-01-03 08:00:00+00:00,925.575,41.575,0.0,2440.375,-884.0,-2440.375,-3324.375
2026-01-03 09:00:00+00:00,1581.55,252.3,0.0,2013.425,-1329.25,-2013.425,-3342.675
2026-01-03 10:00:00+00:00,2502.55,334.77500000000003,0.0,1132.0,-2167.775,-1132.0,-3299.775
