,SE_3_FI,FI_SE_3,EE_FI,FI_EE,FI_SE_1,SE_1_FI,FI_EE_net_export,FI_SE_1_net_export,FI_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,1200.0,0.0,0.0,648.45,0.0,3511.75,648.45,-3511.75,-1200.0,-4063.3
2026-01-01 01:00:00+00:00,1200.0,0.0,0.0,540.325,0.0,1954.45,540.325,-1954.45,-1200.0,-2614.125
2026-01-01 02:00:00+00:00,1200.0,0.0,0.0,438.05,0.0,2735.975,438.05,-2735.975,-1200.0,-3497.9249999999997
2026-01-01 03:00:00+00:00,1187.575,0.0,0.0,265.25,0.0,911.4,265.25,-911.4,-1187.575,-1833.725
2026-01-01 04:00:00+00:00,1122.625,0.0,0.0,184.15,0.0,934.95,184.15,-934.95,-1122.625,-1873.4250000000002
2026-01-01 05:00:00+00:00,1114.875,0.0,0.0,159.025,0.0,2121.0,159.025,-2121.0,-1114.875,-3076.85
2026-01-01 06:00:00+00:00,1166.6,0.0,0.0,193.0,0.0,2158.325,193.0,-2158.325,-1166.6,-3131.9249999999997
2026-01-01 07:00:00+00:00,1185.975,0.0,0.0,332.175,0.0,3709.85,332.175,-3709.85,-1185.975,-4563.65
2026-01-01 08:00:00+00:00,1200.0,0.0,0.0,338.775,0.0,1713.4,338.775,-1713.4,-1200.0,-2574.625
2026-01-01 09:00:00+00:00,1193.675,0.0,0.0,238.425,0.0,2878.175,238.425,-2878.175,-1193.675,-3833.425
2026-01-01 10:00:00+00:00,1196.6,0.0,0.0,246.4,0.0,2862.525,246.4,-2862.525,-1196.6,-3812.725
2026-01-01 11:00:00+00:00,1200.0,0.0,0.0,318.225,0.0,2788.0,318.225,-2788.0,-1200.0,-3669.775
2026-01-01 12:00:00+00:00,1200.0,0.0,0.0,421.3,0.0,2718.35,421.3,-2718.35,-1200.0,-3497.0499999999997
2026-01-01 13:00:00+00:00,1200.0,0.0,0.0,360.3,0.0,2374.45,360.3,-2374.45,-1200.0,-3214.1499999999996
2026-01-01 14:00:00+00:00,1200.0,0.0,0.0,349.075,0.0,3604.975,349.075,-3604.975,-1200.0,-4455.9
2026-01-01 15:00:00+00:00,1200.0,0.0,0.0,340.525,0.0,2470.375,340.525,-2470.375,-1200.0,-3329.85
2026-01-01 16:00:00+00:00,1200.0,0.0,0.0,335.975,0.0,2055.8,335.975,-2055.8,-1200.0,-2919.8250000000003
2026-01-01 17:00:00+00:00,1200.0,0.0,0.0,405.475,0.0,2871.95,405.475,-2871.95,-1200.0,-3666.475
2026-01-01 18:00:00+00:00,1200.0,0.0,0.0,482.625,0.0,2219.975,482.625,-2219.975,-1200.0,-2937.35
2026-01-01 19:00:00+00:00,1190.45,0.0,0.0,438.25,0.0,1814.15,438.25,-1814.15,-1190.45,-2566.3500000000004
2026-01-01 20:00:00+00:00,1200.0,0.0,0.0,311.325,0.0,1952.3,311.325,-1952.3,-1200.0,-2840.975
2026-01-01 21:00:00+00:00,1200.0,0.0,0.0,304.675,0.0,2004.8,304.675,-2004.8,-1200.0,-2900.125
2026-01-01 22:00:00+00:00,1200.0,0.0,0.0,289.75,0.0,2640.575,289.75,-2640.575,-1200.0,-3550.825
2026-01-01 23:00:00+00:00,991.475,0.0,0.0,411.45,0.0,1922.0,411.45,-1922.0,-991.475,-2502.025
2026-01-02 00:00:00+00:00,584.475,0.0,0.0,203.875,0.0,1872.725,203.875,-1872.725,-584.475,-2253.325
2026-01-02 01:00:00+00:00,519.875,0.0,0.0,288.45,0.0,1914.175,288.45,-1914.175,-519.875,-2145.6
2026-01-02 02:00:00+00:00,338.025,0.0,0.0,291.975,0.0,1919.325,291.975,-1919.325,-338.025,-1965.375
