,BG_GR,GR_BG,MK_GR,GR_MK,GR_IT_SUD,IT_SUD_GR,GR_BG_net_export,GR_MK_net_export,GR_IT_SUD_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,413.85,0.0,464.0,500.0,0.0,413.85,464.0,500.0,1377.85
2026-01-01 01:00:00+00:00,118.60000000000001,177.8,0.0,457.0,500.0,0.0,59.2,457.0,500.0,1016.2
2026-01-01 02:00:00+00:00,253.95,72.95,0.0,463.0,500.0,0.0,-181.0,463.0,500.0,782.0
2026-01-01 03:00:00+00:00,512.6,58.4,0.0,429.0,500.0,0.0,-454.20000000000005,429.0,500.0,474.79999999999995
2026-01-01 04:00:00+00:00,524.8,43.275,0.0,393.0,500.0,0.0,-481.525,393.0,500.0,411.475
2026-01-01 05:00:00+00:00,830.95,23.775,0.0,352.0,500.0,0.0,-807.1750000000001,352.0,500.0,44.82499999999993
2026-01-01 06:00:00+00:00,683.675,23.275,0.0,321.0,500.0,0.0,-660.4,321.0,500.0,160.60000000000002
2026-01-01 07:00:00+00:00,98.125,368.325,0.0,326.0,500.0,0.0,270.2,326.0,500.0,1096.2
2026-01-01 08:00:00+00:00,7.875,678.15,5.0,316.0,500.0,0.0,670.275,311.0,500.0,1481.275
2026-01-01 09:00:00+00:00,35.625,808.3,5.0,324.0,500.0,0.0,772.675,319.0,500.0,1591.675
2026-01-01 10:00:00+00:00,13.575,885.525,5.0,301.0,500.0,42.0,871.9499999999999,296.0,458.0,1625.9499999999998
2026-01-01 11:00:00+00:00,44.85,796.925,5.0,313.0,500.0,0.0,752.0749999999999,308.0,500.0,1560.0749999999998
2026-01-01 12:00:00+00:00,89.475,343.8,5.0,382.0,500.0,0.0,254.32500000000002,377.0,500.0,1131.325
2026-01-01 13:00:00+00:00,621.8249999999999,152.9,0.0,445.0,500.0,0.0,-468.92499999999995,445.0,500.0,476.07500000000005
2026-01-01 14:00:00+00:00,1355.05,104.55,0.0,443.0,501.0,1.0,-1250.5,443.0,500.0,-307.5
2026-01-01 15:00:00+00:00,1415.825,87.8,0.0,402.0,298.0,350.0,-1328.025,402.0,-52.0,-978.0250000000001
2026-01-01 16:00:00+00:00,1424.1,43.55,0.0,405.0,250.0,350.0,-1380.55,405.0,-100.0,-1075.55
2026-01-01 17:00:00+00:00,1419.15,52.35,0.0,394.0,272.0,236.0,-1366.8000000000002,394.0,36.0,-936.8000000000002
2026-01-01 18:00:00+00:00,1415.7,180.9,0.0,384.0,174.0,374.0,-1234.8,384.0,-200.0,-1050.8
2026-01-01 19:00:00+00:00,1415.775,96.575,0.0,411.0,258.0,500.0,-1319.2,411.0,-242.0,-1150.2
2026-01-01 20:00:00+00:00,1413.025,51.7,0.0,441.0,252.0,275.0,-1361.325,441.0,-23.0,-943.325
2026-01-01 21:00:00+00:00,1259.55,29.1,0.0,470.0,322.0,48.0,-1230.45,470.0,274.0,-486.45000000000005
2026-01-01 22:00:00+00:00,1411.0,68.575,0.0,448.0,512.0,53.0,-1342.425,448.0,459.0,-435.42499999999995
2026-01-01 23:00:00+00:00,1248.2,21.35,80.0,300.0,500.0,10.0,-1226.8500000000001,220.0,490.0,-516.8500000000001
2026-01-02 00:00:00+00:00,1332.15,0.0,90.0,281.0,500.0,0.0,-1332.15,191.0,500.0,-641.1500000000001
2026-01-02 01:00:00+00:00,1228.075,0.0,90.0,202.0,500.0,0.0,-1228.075,112.0,500.0,-616.075
2026-01-02 02:00:00+00:00,1100.55,0.0,90.0,170.0,500.0,0.0,-1100.55,80.0,500.0,-520.55
2026-01-02 03:00:00+00:00,999.7,0.0,90.0,146.0,500.0,0.0,-999.7,56.0,500.0,-443.70000000000005
2026-01-02 04:00:00+00:00,1081.075,5.025,90.0,137.0,500.0,0.0,-1076.05,47.0,500.0,-529.05
2026-01-02 05:00:00+00:00,1169.125,0.0,0.0,120.0,500.0,0.0,-1169.125,120.0,500.0,-549.125
2026-01-02 06:00:00+00:00,761.225,149.8,0.0,130.0,500.0,57.0,-611.425,130.0,443.0,-38.424999999999955
2026-01-02 07:00:00+00:00,346.32500000000005,129.55,0.0,354.0,500.0,11.0,-216.77500000000003,354.0,489.0,626.2249999999999
2026-01-02 08:00:00+00:00,0.0,133.7,0.0,397.0,500.0,0.0,133.7,397.0,500.0,1030.7
2026-01-02 09:00:00+00:00,3.625,517.775,0.0,439.0,500.0,28.0,514.15,439.0,472.0,1425.15
2026-01-02 10:00:00+00:00,1.25,1034.3,0.0,433.0,316.0,317.0,1033.05,433.0,-1.0,1465.05
2026-01-02 11:00:00+00:00,7.8500000000000005,1044.525,0.0,425.0,228.0,471.0,1036.6750000000002,425.0,-243.0,1218.6750000000002
2026-01-02 12:00:00+00:00,0.0,1050.0,0.0,418.0,168.0,629.0,1050.0,418.0,-461.0,1007.0
2026-01-02 13:00:00+00:00,19.95,951.0,0.0,419.0,117.0,385.0,931.05,419.0,-268.0,1082.05
2026-01-02 14:00:00+00:00,257.65,278.925,0.0,407.0,373.0,158.0,21.275000000000034,407.0,215.0,643.2750000000001
2026-01-02 15:00:00+00:00,409.6,230.25,0.0,359.0,83.0,190.0,-179.35000000000002,359.0,-107.0,72.64999999999998
2026-01-02 16:00:00+00:00,775.65,278.57500000000005,0.0,347.0,503.0,129.0,-497.07499999999993,347.0,374.0,223.92500000000007
2026-01-02 17:00:00+00:00,624.775,312.8,0.0,333.0,541.0,73.0,-311.97499999999997,333.0,468.0,489.02500000000003
2026-01-02 18:00:00+00:00,875.45,394.1,0.0,343.0,671.0,171.0,-481.35,343.0,500.0,361.65
2026-01-02 19:00:00+00:00,693.2,362.15,0.0,333.0,674.0,174.0,-331.05000000000007,333.0,500.0,501.94999999999993
2026-01-02 20:00:00+00:00,252.59999999999997,401.9,0.0,348.0,500.0,0.0,149.3,348.0,500.0,997.3
2026-01-02 21:00:00+00:00,68.95,532.8,0.0,351.0,500.0,11.0,463.84999999999997,351.0,489.0,1303.85
2026-01-02 22:00:00+00:00,45.575,473.725,0.0,374.0,500.0,0.0,428.15000000000003,374.0,500.0,1302.15
2026-01-02 23:00:00+00:00,0.475,910.725,0.0,478.0,500.0,0.0,910.25,478.0,500.0,1888.25
2026-01-03 00:00:00+00:00,9.75,747.425,1.0,333.0,500.0,0.0,737.675,332.0,500.0,1569.675
2026-01-03 01:00:00+00:00,18.9,739.85,1.0,244.0,500.0,0.0,720.95,243.0,500.0,1463.95
2026-01-03 02:00:00+00:00,35.9,806.225,0.0,241.0,500.0,0.0,770.325,241.0,500.0,1511.325
2026-01-03 03:00:00+00:00,66.125,883.425,0.0,225.0,500.0,0.0,817.3,225.0,500.0,1542.3
2026-01-03 04:00:00+00:00,49.35,650.3,0.0,215.0,500.0,0.0,600.9499999999999,215.0,500.0,1315.9499999999998
2026-01-03 05:00:00+00:00,111.22500000000001,372.0,0.0,300.0,500.0,0.0,260.775,300.0,500.0,1060.775
2026-01-03 06:00:00+00:00,77.975,428.65,0.0,279.0,500.0,0.0,350.67499999999995,279.0,500.0,1129.675
2026-01-03 07:00:00+00:00,22.225,826.55,0.0,318.0,500.0,0.0,804.3249999999999,318.0,500.0,1622.3249999999998
2026-01-03 08:00:00+00:00,97.375,1076.65,0.0,370.0,500.0,0.0,979.2750000000001,370.0,500.0,1849.275
2026-01-03 09:00:00+00:00,27.599999999999998,1050.0,0.0,449.0,500.0,0.0,1022.4,449.0,500.0,1971.4
2026-01-03 10:00:00+00:00,1.125,1118.0,0.0,454.0,500.0,0.0,1116.875,454.0,500.0,2070.875
2026-01-03 11:00:00+00:00,1.375,1109.6,0.0,448.0,500.0,0.0,1108.225,448.0,500.0,2056.225
2026-01-03 12:00:00+00:00,171.9,1204.75,0.0,423.0,500.0,0.0,1032.85,423.0,500.0,1955.85
2026-01-03 13:00:00+00:00,18.15,1277.225,0.0,422.0,500.0,0.0,1259.0749999999998,422.0,500.0,2181.075
2026-01-03 14:00:00+00:00,80.35,1237.15,0.0,400.0,500.0,0.0,1156.8000000000002,400.0,500.0,2056.8
2026-01-03 15:00:00+00:00,38.325,1157.175,0.0,302.0,500.0,0.0,1118.85,302.0,500.0,1920.85
2026-01-03 16:00:00+00:00,1.1,1213.275,0.0,355.0,500.0,0.0,1212.1750000000002,355.0,500.0,2067.175
2026-01-03 17:00:00+00:00,69.4,1256.725,0.0,317.0,500.0,0.0,1187.3249999999998,317.0,500.0,2004.3249999999998
2026-01-03 18:00:00+00:00,65.94999999999999,1296.3,0.0,306.0,500.0,0.0,1230.35,306.0,500.0,2036.35
2026-01-03 19:00:00+00:00,32.75,1324.85,0.0,312.0,500.0,0.0,1292.1,312.0,500.0,2104.1
2026-01-03 20:00:00+00:00,0.0,1397.875,0.0,319.0,500.0,0.0,1397.875,319.0,500.0,2216.875
2026-01-03 21:00:00+00:00,2.825,1381.025,0.0,397.0,500.0,0.0,1378.2,397.0,500.0,2275.2
2026-01-03 22:00:00+00:00,27.325,1359.6,0.0,410.0,500.0,0.0,1332.2749999999999,410.0,500.0,2242.2749999999996
2026-01-03 23:00:00+00:00,0.0,1099.075,0.0,500.0,500.0,0.0,1099.075,500.0,500.0,2099.075
2026-01-04 00:00:00+00:00,29.25,940.525,0.0,466.0,500.0,0.0,911.275,466.0,500.0,1877.275
2026-01-04 01:00:00+00:00,0.0,1178.175,0.0,490.0,500.0,0.0,1178.175,490.0,500.0,2168.175
2026-01-04 02:00:00+00:00,0.0,1252.55,0.0,470.0,500.0,0.0,1252.55,470.0,500.0,2222.55
2026-01-04 03:00:00+00:00,0.0,1269.2,0.0,466.0,500.0,0.0,1269.2,466.0,500.0,2235.2
2026-01-04 04:00:00+00:00,0.0,702.475,0.0,449.0,500.0,0.0,702.475,449.0,500.0,1651.475
2026-01-04 05:00:00+00:00,77.475,485.05,0.0,458.0,500.0,0.0,407.57500000000005,458.0,500.0,1365.575
2026-01-04 06:00:00+00:00,79.0,486.675,0.0,500.0,500.0,0.0,407.675,500.0,500.0,1407.675
2026-01-04 07:00:00+00:00,0.0,1005.0250000000001,0.0,468.0,500.0,0.0,1005.0250000000001,468.0,500.0,1973.025
2026-01-04 08:00:00+00:00,0.175,1170.925,0.0,500.0,500.0,0.0,1170.75,500.0,500.0,2170.75
2026-01-04 09:00:00+00:00,0.0,1153.75,0.0,500.0,500.0,0.0,1153.75,500.0,500.0,2153.75
2026-01-04 10:00:00+00:00,0.0,1175.75,0.0,500.0,500.0,0.0,1175.75,500.0,500.0,2175.75
2026-01-04 11:00:00+00:00,0.0,1189.75,0.0,500.0,500.0,0.0,1189.75,500.0,500.0,2189.75
2026-01-04 12:00:00+00:00,33.575,1270.325,0.0,500.0,500.0,0.0,1236.75,500.0,500.0,2236.75
2026-01-04 13:00:00+00:00,0.0,1278.45,0.0,490.0,500.0,0.0,1278.45,490.0,500.0,2268.45
2026-01-04 14:00:00+00:00,0.0,1326.45,0.0,479.0,500.0,19.0,1326.45,479.0,481.0,2286.45
2026-01-04 15:00:00+00:00,151.1,1468.0,0.0,486.0,762.0,501.0,1316.9,486.0,261.0,2063.9
