,HU_HR,HR_HU,SI_HR,HR_SI,RS_HR,HR_RS,BA_HR,HR_BA,HR_BA_net_export,HR_HU_net_export,HR_RS_net_export,HR_SI_net_export,Net Export
2026-01-01 00:00:00+00:00,1017.575,865.75,1584.5749999999998,63.55,0.0,461.0,0.0,500.0,500.0,-151.82500000000005,461.0,-1521.0249999999999,-711.8499999999999
2026-01-01 01:00:00+00:00,668.2750000000001,1848.25,2808.55,58.325,0.0,461.0,0.0,500.0,500.0,1179.975,461.0,-2750.2250000000004,-609.2500000000005
2026-01-01 02:00:00+00:00,1256.5,25.325000000000003,391.125,49.675,0.0,461.0,0.0,500.0,500.0,-1231.175,461.0,-341.45,-611.625
2026-01-01 03:00:00+00:00,525.9,1427.925,2333.025,47.0,0.0,300.0,0.0,500.0,500.0,902.025,300.0,-2286.025,-584.0
2026-01-01 04:00:00+00:00,712.5,990.4749999999999,1602.2749999999999,49.275,0.0,321.0,0.0,500.0,500.0,277.9749999999999,321.0,-1552.9999999999998,-454.02499999999986
2026-01-01 05:00:00+00:00,671.725,831.4,1572.3249999999998,53.1,0.0,401.0,0.0,500.0,500.0,159.67499999999995,401.0,-1519.225,-458.54999999999995
2026-01-01 06:00:00+00:00,725.625,176.02499999999998,814.525,52.175,0.0,401.0,0.0,420.0,420.0,-549.6,401.0,-762.35,-490.95000000000005
2026-01-01 07:00:00+00:00,609.975,284.35,1062.375,51.45,0.0,375.0,0.0,413.0,413.0,-325.625,375.0,-1010.925,-548.55
2026-01-01 08:00:00+00:00,1150.5,0.0,429.5,79.325,0.0,346.0,0.0,500.0,500.0,-1150.5,346.0,-350.175,-654.675
2026-01-01 09:00:00+00:00,1172.325,3.0500000000000003,378.225,126.72500000000001,0.0,329.0,0.0,500.0,500.0,-1169.275,329.0,-251.5,-591.7750000000001
2026-01-01 10:00:00+00:00,1139.35,20.925,352.65,43.4,0.0,364.0,0.0,500.0,500.0,-1118.425,364.0,-309.25,-563.675
2026-01-01 11:00:00+00:00,1049.225,3.6,376.4,42.725,17.0,361.0,0.0,470.0,470.0,-1045.625,344.0,-333.67499999999995,-565.3
2026-01-01 12:00:00+00:00,838.925,29.825,450.025,52.95,0.0,306.0,0.0,500.0,500.0,-809.0999999999999,306.0,-397.075,-400.1749999999999
2026-01-01 13:00:00+00:00,614.775,695.6999999999999,1261.7749999999999,44.675,0.0,286.0,0.0,500.0,500.0,80.92499999999995,286.0,-1217.1,-350.17499999999995
2026-01-01 14:00:00+00:00,154.7,976.9,1375.925,47.15,0.0,196.0,0.0,444.0,444.0,822.2,196.0,-1328.7749999999999,133.42500000000018
2026-01-01 15:00:00+00:00,231.15,79.05,434.1,49.3,0.0,345.0,0.0,350.0,350.0,-152.10000000000002,345.0,-384.8,158.09999999999997
2026-01-01 16:00:00+00:00,342.225,196.625,510.075,52.075,0.0,314.0,0.0,350.0,350.0,-145.60000000000002,314.0,-458.0,60.39999999999998
2026-01-01 17:00:00+00:00,261.525,103.025,441.675,56.475,0.0,315.0,0.0,339.0,339.0,-158.49999999999997,315.0,-385.2,110.30000000000001
2026-01-01 18:00:00+00:00,205.75,41.175,385.475,52.425,0.0,318.0,0.0,339.0,339.0,-164.575,318.0,-333.05,159.375
2026-01-01 19:00:00+00:00,98.9,73.25,703.425,50.75,0.0,401.0,0.0,440.0,440.0,-25.650000000000006,401.0,-652.675,162.67500000000007
2026-01-01 20:00:00+00:00,0.0,77.65,937.975,48.45,0.0,401.0,0.0,499.0,499.0,77.65,401.0,-889.525,88.125
2026-01-01 21:00:00+00:00,0.0,24.725,771.775,49.25,0.0,286.0,0.0,499.0,499.0,24.725,286.0,-722.525,87.20000000000005
2026-01-01 22:00:00+00:00,0.0,44.525,858.825,50.4,0.0,361.0,0.0,499.0,499.0,44.525,361.0,-808.4250000000001,96.09999999999991
2026-01-01 23:00:00+00:00,107.775,12.35,758.175,48.825,0.0,395.0,0.0,500.0,500.0,-95.42500000000001,395.0,-709.3499999999999,90.22500000000014
2026-01-02 00:00:00+00:00,11.7,108.175,649.0,48.2,0.0,276.0,0.0,479.0,479.0,96.475,276.0,-600.8,250.67500000000007
2026-01-02 01:00:00+00:00,0.0,318.275,532.275,53.5,0.0,148.0,0.0,407.0,407.0,318.275,148.0,-478.775,394.5
2026-01-02 02:00:00+00:00,0.0,352.3,507.475,48.175,0.0,134.0,0.0,414.0,414.0,352.3,134.0,-459.3,440.99999999999994
2026-01-02 03:00:00+00:00,0.0,305.325,512.875,49.05,0.0,107.0,0.0,444.0,444.0,305.325,107.0,-463.825,392.50000000000006
2026-01-02 04:00:00+00:00,0.0,263.825,590.975,50.125,0.0,146.0,0.0,405.0,405.0,263.825,146.0,-540.85,273.975
2026-01-02 05:00:00+00:00,16.05,230.575,598.75,62.675,0.0,51.0,0.0,394.0,394.0,214.52499999999998,51.0,-536.075,123.44999999999993
2026-01-02 06:00:00+00:00,0.0,112.425,704.375,83.85,0.0,79.0,0.0,344.0,344.0,112.425,79.0,-620.525,-85.10000000000002
2026-01-02 07:00:00+00:00,35.349999999999994,33.625,621.45,93.125,42.0,21.0,5.0,271.0,266.0,-1.7249999999999943,-21.0,-528.325,-285.05000000000007
2026-01-02 08:00:00+00:00,281.875,0.0,634.8,128.2,102.0,183.0,0.0,258.0,258.0,-281.875,81.0,-506.59999999999997,-449.47499999999997
2026-01-02 09:00:00+00:00,641.75,0.0,556.55,264.15,81.0,203.0,0.0,278.0,278.0,-641.75,122.0,-292.4,-534.15
2026-01-02 10:00:00+00:00,609.2,0.0,559.275,189.4,97.0,206.0,3.0,266.0,263.0,-609.2,109.0,-369.875,-607.075
2026-01-02 11:00:00+00:00,519.375,0.0,672.05,278.54999999999995,91.0,233.0,0.0,280.0,280.0,-519.375,142.0,-393.5,-490.875
2026-01-02 12:00:00+00:00,436.1,0.0,740.275,439.65,63.0,208.0,0.0,283.0,283.0,-436.1,145.0,-300.625,-308.725
2026-01-02 13:00:00+00:00,26.175,299.3,736.15,96.35,40.0,107.0,0.0,320.0,320.0,273.125,67.0,-639.8,20.325000000000045
2026-01-02 14:00:00+00:00,0.0,484.17499999999995,788.8,92.25,25.0,91.0,0.0,174.0,174.0,484.17499999999995,66.0,-696.55,27.625
2026-01-02 15:00:00+00:00,0.0,343.825,980.175,197.0,0.0,121.0,0.0,266.0,266.0,343.825,121.0,-783.175,-52.34999999999991
