,AT_HU,HU_AT,HU_HR,HR_HU,HU_RO,RO_HU,HU_RS,RS_HU,HU_SI,SI_HU,HU_SK,SK_HU,HU_AT_net_export,HU_HR_net_export,HU_RO_net_export,HU_RS_net_export,HU_SI_net_export,HU_SK_net_export,Net Export
2026-01-01 00:00:00+00:00,1363.05,11.375,1017.575,865.75,2058.425,99.55,706.0,45.0,36.05,1258.6750000000002,21.375,2022.6,-1351.675,151.82500000000005,1958.8750000000002,661.0,-1222.6250000000002,-2001.225,-1803.8249999999998
2026-01-01 01:00:00+00:00,1102.95,12.35,668.2750000000001,1848.25,2119.65,38.4,604.0,45.0,21.025,26.125,45.2,2092.35,-1090.6000000000001,-1179.975,2081.25,559.0,-5.100000000000001,-2047.1499999999999,-1682.5749999999998
2026-01-01 02:00:00+00:00,1164.25,0.25,1256.5,25.325000000000003,1906.3,74.325,563.0,45.0,92.45,2229.2999999999997,44.475,2064.2,-1164.0,1231.175,1831.975,518.0,-2136.85,-2019.725,-1739.4250000000002
2026-01-01 03:00:00+00:00,0.0,0.0,525.9,1427.925,1988.05,27.725,593.0,45.0,30.65,1222.425,41.425,2195.625,0.0,-902.025,1960.325,548.0,-1191.7749999999999,-2154.2,-1739.6749999999995
2026-01-01 04:00:00+00:00,0.0,0.0,712.5,990.4749999999999,2109.1499999999996,31.2,428.0,45.0,0.0,2245.625,15.05,1619.225,0.0,-277.9749999999999,2077.95,383.0,-2245.625,-1604.175,-1666.825
2026-01-01 05:00:00+00:00,100.7,15.875,671.725,831.4,1930.35,7.7,520.0,45.0,0.15,2176.0,0.25,1613.5,-84.825,-159.67499999999995,1922.6499999999999,475.0,-2175.85,-1613.25,-1635.9500000000003
2026-01-01 06:00:00+00:00,9.725000000000001,6.625,725.625,176.02499999999998,1265.625,20.525,447.0,71.0,28.0,33.175,9.15,3944.7,-3.1000000000000014,549.6,1245.1,376.0,-5.174999999999997,-3935.5499999999997,-1773.125
2026-01-01 07:00:00+00:00,150.875,48.2,609.975,284.35,484.8,1669.1,375.0,45.0,0.075,517.6,6.8,855.45,-102.675,325.625,-1184.3,330.0,-517.525,-848.6500000000001,-1997.525
2026-01-01 08:00:00+00:00,103.2,73.125,1150.5,0.0,366.65,2790.85,414.0,80.0,0.0,177.22500000000002,56.7,809.025,-30.075000000000003,1150.5,-2424.2,334.0,-177.22500000000002,-752.3249999999999,-1899.3249999999998
2026-01-01 09:00:00+00:00,57.65,5.4,1172.325,3.0500000000000003,574.55,3054.7,535.0,105.0,7.55,180.85,75.875,616.775,-52.25,1169.275,-2480.1499999999996,430.0,-173.29999999999998,-540.9,-1647.3249999999994
2026-01-01 10:00:00+00:00,90.525,8.475,1139.35,20.925,463.1,2366.025,603.0,80.0,316.625,73.225,6.425,1167.225,-82.05000000000001,1118.425,-1902.9250000000002,523.0,243.4,-1160.8,-1260.95
2026-01-01 11:00:00+00:00,201.325,9.9,1049.225,3.6,371.225,2219.225,617.0,80.0,0.4,310.25,194.575,325.6,-191.42499999999998,1045.625,-1848.0,537.0,-309.85,-131.02500000000003,-897.675
2026-01-01 12:00:00+00:00,448.675,7.775,838.925,29.825,296.975,1427.5,589.0,80.0,25.45,458.375,350.35,152.925,-440.90000000000003,809.0999999999999,-1130.525,509.0,-432.925,197.425,-488.8250000000002
2026-01-01 13:00:00+00:00,1554.475,20.924999999999997,614.775,695.6999999999999,901.45,375.29999999999995,613.0,48.0,145.475,0.225,77.85000000000001,868.25,-1533.55,-80.92499999999995,526.1500000000001,565.0,145.25,-790.4,-1168.475
2026-01-01 14:00:00+00:00,2628.25,6.0249999999999995,154.7,976.9,1996.6,42.75,478.0,45.0,5.15,56.125,18.725,937.2750000000001,-2622.225,-822.2,1953.85,433.0,-50.975,-918.5500000000001,-2027.1000000000004
2026-01-01 15:00:00+00:00,1770.125,7.65,231.15,79.05,1510.275,76.8,593.0,45.0,874.9250000000001,1535.5,3.625,2311.625,-1762.475,152.10000000000002,1433.4750000000001,548.0,-660.5749999999999,-2308.0,-2597.475
2026-01-01 16:00:00+00:00,496.525,31.525,342.225,196.625,1504.825,40.025,551.0,45.0,4.0,1195.975,3.25,2995.425,-465.0,145.60000000000002,1464.8,506.0,-1191.975,-2992.175,-2532.75
2026-01-01 17:00:00+00:00,1007.7750000000001,0.0,261.525,103.025,1562.425,26.925,661.0,95.0,2.075,2522.825,1.4,1220.9,-1007.7750000000001,158.49999999999997,1535.5,566.0,-2520.75,-1219.5,-2488.025
2026-01-01 18:00:00+00:00,2470.025,13.575000000000001,205.75,41.175,1558.275,39.375,411.0,95.0,10.15,1617.3,1.45,491.625,-2456.4500000000003,164.575,1518.9,316.0,-1607.1499999999999,-490.175,-2554.3
2026-01-01 19:00:00+00:00,973.15,24.925,98.9,73.25,1255.175,0.175,738.0,95.0,1019.2249999999999,2101.6000000000004,1.025,2381.55,-948.225,25.650000000000006,1255.0,643.0,-1082.3750000000005,-2380.525,-2487.4750000000004
2026-01-01 20:00:00+00:00,45.525,25.75,0.0,77.65,1483.925,2.5,547.0,95.0,4446.15,84.575,2.8499999999999996,8644.175,-19.775,-77.65,1481.425,452.0,4361.575,-8641.324999999999,-2443.749999999999
2026-01-01 21:00:00+00:00,387.125,5.85,0.0,24.725,1095.325,0.0,795.0,95.0,34.25,2666.325,0.3,1125.75,-381.275,-24.725,1095.325,700.0,-2632.075,-1125.45,-2368.2
2026-01-01 22:00:00+00:00,1429.125,0.475,0.0,44.525,1184.975,4.525,767.0,95.0,327.92499999999995,1735.775,1.4,1155.6,-1428.65,-44.525,1180.4499999999998,672.0,-1407.8500000000001,-1154.1999999999998,-2182.7750000000005
2026-01-01 23:00:00+00:00,929.2,53.3,107.775,12.35,1334.775,113.425,619.0,114.0,0.0,419.875,42.025,2527.075,-875.9000000000001,95.42500000000001,1221.3500000000001,505.0,-419.875,-2485.0499999999997,-1959.0499999999997
2026-01-02 00:00:00+00:00,846.2,48.25,11.7,108.175,1295.225,129.925,732.0,114.0,0.0,471.75,30.075,2381.375,-797.95,-96.475,1165.3,618.0,-471.75,-2351.3,-1934.1750000000002
2026-01-02 01:00:00+00:00,773.3,34.325,0.0,318.275,1431.5,52.05,531.0,114.0,2.45,448.95,14.825000000000001,2269.275,-738.9749999999999,-318.275,1379.45,417.0,-446.5,-2254.4500000000003,-1961.7500000000002
2026-01-02 02:00:00+00:00,735.4,51.15,0.0,352.3,1441.625,82.44999999999999,512.0,114.0,0.0,467.25,0.175,2256.45,-684.25,-352.3,1359.175,398.0,-467.25,-2256.2749999999996,-2002.8999999999996
2026-01-02 03:00:00+00:00,762.425,60.15,0.0,305.325,1381.1,50.775000000000006,451.0,114.0,0.0,451.85,6.075,2226.8,-702.275,-305.325,1330.3249999999998,337.0,-451.85,-2220.7250000000004,-2012.8500000000004
2026-01-02 04:00:00+00:00,851.425,137.775,0.0,263.825,1412.95,5.025,219.0,45.0,10.4,499.2,75.475,2283.0,-713.65,-263.825,1407.925,174.0,-488.8,-2207.525,-2091.875
