,IT_SUD_IT_CALA,IT_CALA_IT_SUD,IT_SICI_IT_CALA,IT_CALA_IT_SICI,IT_CALA_IT_SICI_net_export,IT_CALA_IT_SUD_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,466.5,0.0,1009.25,1009.25,466.5,1475.75
2026-01-01 01:00:00+00:00,0.0,523.0,0.0,1009.0,1009.0,523.0,1532.0
2026-01-01 02:00:00+00:00,0.0,618.5,0.0,893.0,893.0,618.5,1511.5
2026-01-01 03:00:00+00:00,0.0,801.5,0.0,711.5,711.5,801.5,1513.0
2026-01-01 04:00:00+00:00,0.0,660.75,0.0,828.5,828.5,660.75,1489.25
2026-01-01 05:00:00+00:00,0.0,460.0,0.0,980.5,980.5,460.0,1440.5
2026-01-01 06:00:00+00:00,0.0,560.25,0.0,893.75,893.75,560.25,1454.0
2026-01-01 07:00:00+00:00,0.0,665.0,0.0,906.5,906.5,665.0,1571.5
2026-01-01 08:00:00+00:00,123.75,71.5,0.0,840.0,840.0,-52.25,787.75
2026-01-01 09:00:00+00:00,74.25,55.75,0.0,588.0,588.0,-18.5,569.5
2026-01-01 10:00:00+00:00,40.75,67.75,0.0,499.25,499.25,27.0,526.25
2026-01-01 11:00:00+00:00,168.0,0.0,0.0,735.5,735.5,-168.0,567.5
2026-01-01 12:00:00+00:00,0.0,113.25,0.0,458.25,458.25,113.25,571.5
2026-01-01 13:00:00+00:00,0.0,114.75,0.0,421.25,421.25,114.75,536.0
2026-01-01 14:00:00+00:00,0.0,465.25,0.0,465.75,465.75,465.25,931.0
2026-01-01 15:00:00+00:00,0.0,1089.0,0.0,381.0,381.0,1089.0,1470.0
2026-01-01 16:00:00+00:00,0.0,1029.75,0.0,386.75,386.75,1029.75,1416.5
2026-01-01 17:00:00+00:00,0.0,992.25,0.0,459.75,459.75,992.25,1452.0
2026-01-01 18:00:00+00:00,0.0,1196.75,0.0,440.75,440.75,1196.75,1637.5
2026-01-01 19:00:00+00:00,0.0,1097.25,0.0,389.75,389.75,1097.25,1487.0
2026-01-01 20:00:00+00:00,0.0,940.75,0.0,317.0,317.0,940.75,1257.75
2026-01-01 21:00:00+00:00,0.0,788.25,0.0,424.0,424.0,788.25,1212.25
2026-01-01 22:00:00+00:00,0.0,268.0,0.0,610.0,610.0,268.0,878.0
2026-01-01 23:00:00+00:00,121.25,31.0,0.0,736.25,736.25,-90.25,646.0
2026-01-02 00:00:00+00:00,22.5,107.25,0.0,565.25,565.25,84.75,650.0
2026-01-02 01:00:00+00:00,0.0,160.75,0.0,530.75,530.75,160.75,691.5
2026-01-02 02:00:00+00:00,0.0,310.25,0.0,415.75,415.75,310.25,726.0
2026-01-02 03:00:00+00:00,0.0,554.75,0.0,212.0,212.0,554.75,766.75
2026-01-02 04:00:00+00:00,0.0,512.5,0.0,272.5,272.5,512.5,785.0
2026-01-02 05:00:00+00:00,0.0,468.5,0.0,274.75,274.75,468.5,743.25
2026-01-02 06:00:00+00:00,0.0,495.25,0.0,314.75,314.75,495.25,810.0
2026-01-02 07:00:00+00:00,0.0,481.5,6.75,92.0,85.25,481.5,566.75
2026-01-02 08:00:00+00:00,101.0,124.0,169.0,51.0,-118.0,23.0,-95.0
2026-01-02 09:00:00+00:00,0.0,517.25,571.25,0.0,-571.25,517.25,-54.0
2026-01-02 10:00:00+00:00,0.0,635.25,658.75,0.0,-658.75,635.25,-23.5
2026-01-02 11:00:00+00:00,0.0,742.0,690.5,0.0,-690.5,742.0,51.5
2026-01-02 12:00:00+00:00,0.0,935.0,790.75,0.0,-790.75,935.0,144.25
2026-01-02 13:00:00+00:00,0.0,1004.25,909.25,0.0,-909.25,1004.25,95.0
2026-01-02 14:00:00+00:00,0.0,1135.75,650.75,0.0,-650.75,1135.75,485.0
2026-01-02 15:00:00+00:00,0.0,1548.75,376.25,0.0,-376.25,1548.75,1172.5
2026-01-02 16:00:00+00:00,0.0,1473.0,300.75,0.0,-300.75,1473.0,1172.25
2026-01-02 17:00:00+00:00,0.0,1167.0,45.5,19.0,-26.5,1167.0,1140.5
2026-01-02 18:00:00+00:00,0.0,1164.0,0.0,198.25,198.25,1164.0,1362.25
2026-01-02 19:00:00+00:00,0.0,1040.0,0.0,177.5,177.5,1040.0,1217.5
2026-01-02 20:00:00+00:00,0.0,886.0,18.25,409.5,391.25,886.0,1277.25
2026-01-02 21:00:00+00:00,0.0,502.0,0.0,526.75,526.75,502.0,1028.75
2026-01-02 22:00:00+00:00,0.0,512.25,0.0,195.5,195.5,512.25,707.75
2026-01-02 23:00:00+00:00,9.0,123.25,91.0,16.0,-75.0,114.25,39.25
2026-01-03 00:00:00+00:00,0.0,297.75,202.75,0.0,-202.75,297.75,95.0
2026-01-03 01:00:00+00:00,0.0,358.0,231.5,0.0,-231.5,358.0,126.5
2026-01-03 02:00:00+00:00,0.0,361.0,225.0,0.0,-225.0,361.0,136.0
2026-01-03 03:00:00+00:00,0.0,281.75,160.75,0.0,-160.75,281.75,121.0
2026-01-03 04:00:00+00:00,50.5,123.5,75.25,89.0,13.75,73.0,86.75
2026-01-03 05:00:00+00:00,0.0,39.5,2.0,4.75,2.75,39.5,42.25
2026-01-03 06:00:00+00:00,118.5,0.0,0.0,147.0,147.0,-118.5,28.5
2026-01-03 07:00:00+00:00,171.0,0.0,0.0,150.0,150.0,-171.0,-21.0
2026-01-03 08:00:00+00:00,51.75,10.5,31.25,22.5,-8.75,-41.25,-50.0
2026-01-03 09:00:00+00:00,0.0,202.25,214.25,0.0,-214.25,202.25,-12.0
2026-01-03 10:00:00+00:00,0.0,601.75,523.75,0.0,-523.75,601.75,78.0
2026-01-03 11:00:00+00:00,0.0,598.0,603.25,0.0,-603.25,598.0,-5.25
2026-01-03 12:00:00+00:00,0.0,714.0,603.75,0.0,-603.75,714.0,110.25
2026-01-03 13:00:00+00:00,0.0,775.75,463.5,0.0,-463.5,775.75,312.25
2026-01-03 14:00:00+00:00,0.0,1465.75,354.75,0.0,-354.75,1465.75,1111.0
2026-01-03 15:00:00+00:00,0.0,1641.0,227.0,0.0,-227.0,1641.0,1414.0
2026-01-03 16:00:00+00:00,0.0,1600.0,100.5,0.0,-100.5,1600.0,1499.5
2026-01-03 17:00:00+00:00,0.0,1631.0,104.75,0.0,-104.75,1631.0,1526.25
2026-01-03 18:00:00+00:00,0.0,1645.5,39.0,32.0,-7.0,1645.5,1638.5
2026-01-03 19:00:00+00:00,0.0,1817.0,155.0,0.0,-155.0,1817.0,1662.0
2026-01-03 20:00:00+00:00,0.0,1792.0,249.75,14.5,-235.25,1792.0,1556.75
2026-01-03 21:00:00+00:00,0.0,1577.5,263.75,12.75,-251.0,1577.5,1326.5
2026-01-03 22:00:00+00:00,0.0,1045.75,70.75,22.25,-48.5,1045.75,997.25
2026-01-03 23:00:00+00:00,0.0,434.5,208.5,0.0,-208.5,434.5,226.0
2026-01-04 00:00:00+00:00,0.0,475.5,214.0,0.0,-214.0,475.5,261.5
2026-01-04 01:00:00+00:00,0.0,642.75,323.5,0.0,-323.5,642.75,319.25
2026-01-04 02:00:00+00:00,0.0,717.5,406.5,0.0,-406.5,717.5,311.0
2026-01-04 03:00:00+00:00,0.0,925.5,559.0,0.0,-559.0,925.5,366.5
2026-01-04 04:00:00+00:00,0.0,729.0,378.75,0.0,-378.75,729.0,350.25
2026-01-04 05:00:00+00:00,0.0,707.0,305.25,0.0,-305.25,707.0,401.75
2026-01-04 06:00:00+00:00,0.0,584.0,119.25,0.0,-119.25,584.0,464.75
2026-01-04 07:00:00+00:00,0.0,725.5,72.75,0.0,-72.75,725.5,652.75
2026-01-04 08:00:00+00:00,0.0,1674.5,216.0,0.0,-216.0,1674.5,1458.5
2026-01-04 09:00:00+00:00,0.0,1837.25,335.75,0.0,-335.75,1837.25,1501.5
2026-01-04 10:00:00+00:00,0.0,1801.75,276.75,0.0,-276.75,1801.75,1525.0
2026-01-04 11:00:00+00:00,0.0,1655.25,145.0,0.0,-145.0,1655.25,1510.25
2026-01-04 12:00:00+00:00,0.0,1812.0,265.5,0.0,-265.5,1812.0,1546.5
2026-01-04 13:00:00+00:00,0.0,1538.25,56.75,0.0,-56.75,1538.25,1481.5
2026-01-04 14:00:00+00:00,0.0,1590.5,121.0,0.0,-121.0,1590.5,1469.5
2026-01-04 15:00:00+00:00,0.0,1815.25,224.75,22.25,-202.5,1815.25,1612.75
2026-01-04 16:00:00+00:00,0.0,1903.0,252.0,0.0,-252.0,1903.0,1651.0
2026-01-04 17:00:00+00:00,0.0,1933.0,273.5,0.0,-273.5,1933.0,1659.5
2026-01-04 18:00:00+00:00,0.0,1928.0,176.75,9.0,-167.75,1928.0,1760.25
2026-01-04 19:00:00+00:00,0.0,1981.5,191.25,18.25,-173.0,1981.5,1808.5
2026-01-04 20:00:00+00:00,0.0,2046.75,358.5,0.0,-358.5,2046.75,1688.25
2026-01-04 21:00:00+00:00,0.0,1843.5,202.0,119.5,-82.5,1843.5,1761.0
2026-01-04 22:00:00+00:00,0.0,1267.0,0.0,244.0,244.0,1267.0,1511.0
2026-01-04 23:00:00+00:00,0.0,629.0,43.75,129.75,86.0,629.0,715.0
