,FR_IT_NORD,IT_NORD_FR,CH_IT_NORD,IT_NORD_CH,AT_IT_NORD,IT_NORD_AT,IT_NORD_SI,SI_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_NORD_CH_net_export,IT_NORD_FR_net_export,IT_NORD_SI_net_export,IT_NORD_AT_net_export,IT_NORD_IT_CNOR_net_export,Net Export
2026-01-01 00:00:00+00:00,2829.1,0.1,967.0,366.0,0.0,165.0,680.0,0.0,2465.5,0.0,-601.0,-2829.0,680.0,165.0,2465.5,-119.5
2026-01-01 01:00:00+00:00,2845.425,21.725,927.0,345.0,0.0,165.0,680.0,5.300000000000001,2377.5,0.0,-582.0,-2823.7000000000003,674.7,165.0,2377.5,-188.5
2026-01-01 02:00:00+00:00,2829.0,7.8,1089.0,315.0,0.0,165.0,680.0,7.8,2042.25,0.0,-774.0,-2821.2,672.2,165.0,2042.25,-715.75
2026-01-01 03:00:00+00:00,2829.35,0.35,1005.0,344.75,0.0,165.0,680.35,0.35,1600.5,0.0,-660.25,-2829.0,680.0,165.0,1600.5,-1043.75
2026-01-01 04:00:00+00:00,2829.0,0.0,1213.0,455.5,0.0,165.0,680.0,0.0,1511.0,0.0,-757.5,-2829.0,680.0,165.0,1511.0,-1230.5
2026-01-01 05:00:00+00:00,2829.8,0.8,1204.0,344.75,0.0,165.0,680.0,0.0,1809.75,0.0,-859.25,-2829.0,680.0,165.0,1809.75,-1033.5
2026-01-01 06:00:00+00:00,2829.1,0.1,1396.0,280.0,0.0,165.0,680.0,0.0,2203.5,0.0,-1116.0,-2829.0,680.0,165.0,2203.5,-896.5
2026-01-01 07:00:00+00:00,2829.125,0.625,1391.0,512.25,0.5,165.0,680.0,0.0,1264.5,0.0,-878.75,-2828.5,680.0,164.5,1264.5,-1598.25
2026-01-01 08:00:00+00:00,2833.05,1.5499999999999998,1354.0,310.0,0.0,112.5,681.15,1.15,836.75,0.0,-1044.0,-2831.5,680.0,112.5,836.75,-2246.25
2026-01-01 09:00:00+00:00,2272.6,0.1,1156.0,450.5,364.0,0.0,597.45,0.1,265.25,0.0,-705.5,-2272.5,597.35,-364.0,265.25,-2479.4
2026-01-01 10:00:00+00:00,2764.475,0.975,1208.0,220.0,39.5,84.0,680.975,0.975,545.75,0.0,-988.0,-2763.5,680.0,44.5,545.75,-2481.25
2026-01-01 11:00:00+00:00,2364.7,0.65,1264.0,390.0,365.0,0.0,634.875,0.825,287.75,0.0,-874.0,-2364.0499999999997,634.05,-365.0,287.75,-2681.25
2026-01-01 12:00:00+00:00,2835.75,0.0,1124.0,432.0,63.0,123.75,680.0,0.0,0.0,423.5,-692.0,-2835.75,680.0,60.75,-423.5,-3210.5
2026-01-01 13:00:00+00:00,2996.0,0.0,1166.0,454.5,0.0,165.0,680.0,0.0,0.0,265.75,-711.5,-2996.0,680.0,165.0,-265.75,-3128.25
2026-01-01 14:00:00+00:00,3051.0,0.0,1274.0,481.5,9.25,165.0,705.0,15.95,164.5,8.0,-792.5,-3051.0,689.05,155.75,156.5,-2842.2
2026-01-01 15:00:00+00:00,3051.0,0.0,1519.0,480.75,9.0,165.0,689.0,0.0,1245.5,0.0,-1038.25,-3051.0,689.0,156.0,1245.5,-1998.75
2026-01-01 16:00:00+00:00,3051.0,0.0,1594.0,440.0,19.5,165.0,703.45,3.925,1792.75,0.0,-1154.0,-3051.0,699.5250000000001,145.5,1792.75,-1567.225
2026-01-01 17:00:00+00:00,3076.85,0.1,1638.0,440.0,24.25,134.75,718.2,5.324999999999999,2058.75,0.0,-1198.0,-3076.75,712.875,110.5,2058.75,-1392.625
2026-01-01 18:00:00+00:00,3107.0,5.0,1638.0,440.0,13.0,165.0,710.75,4.8500000000000005,1864.0,0.0,-1198.0,-3102.0,705.9,152.0,1864.0,-1578.1
2026-01-01 19:00:00+00:00,3107.0,0.0,1628.0,450.5,23.0,165.0,718.525,1.425,1765.75,0.0,-1177.5,-3107.0,717.1,142.0,1765.75,-1659.65
2026-01-01 20:00:00+00:00,3051.0,0.0,1542.0,464.5,11.75,165.0,692.65,0.0,1734.5,0.0,-1077.5,-3051.0,692.65,153.25,1734.5,-1548.1
2026-01-01 21:00:00+00:00,2968.25,0.475,1204.0,591.5,21.0,116.75,668.425,0.475,1098.5,0.0,-612.5,-2967.775,667.9499999999999,95.75,1098.5,-1718.0750000000003
2026-01-01 22:00:00+00:00,2898.875,5.175,1090.0,796.0,32.5,136.25,532.875,4.725,214.5,0.0,-294.0,-2893.7,528.15,103.75,214.5,-2341.2999999999997
2026-01-01 23:00:00+00:00,3035.0,0.0,1105.0,192.5,0.0,165.0,735.0,0.0,734.5,0.0,-912.5,-3035.0,735.0,165.0,734.5,-2313.0
2026-01-02 00:00:00+00:00,3035.0,0.0,716.0,401.0,0.0,165.0,735.0,0.0,63.25,256.0,-315.0,-3035.0,735.0,165.0,-192.75,-2642.75
2026-01-02 01:00:00+00:00,3035.0,0.0,675.0,676.0,0.0,165.0,735.0,0.0,0.0,560.25,1.0,-3035.0,735.0,165.0,-560.25,-2694.25
2026-01-02 02:00:00+00:00,3001.0,0.0,739.0,783.25,32.75,123.75,782.0,0.0,0.0,786.5,44.25,-3001.0,782.0,91.0,-786.5,-2870.25
2026-01-02 03:00:00+00:00,3075.0,0.0,705.0,758.5,0.0,165.0,782.0,0.0,0.0,923.5,53.5,-3075.0,782.0,165.0,-923.5,-2998.0
2026-01-02 04:00:00+00:00,3075.0,0.0,755.0,428.25,0.0,165.0,782.0,0.0,0.0,992.25,-326.75,-3075.0,782.0,165.0,-992.25,-3447.0
2026-01-02 05:00:00+00:00,3075.0,0.0,1418.0,228.5,0.0,165.0,782.0,0.0,36.75,184.25,-1189.5,-3075.0,782.0,165.0,-147.5,-3465.0
2026-01-02 06:00:00+00:00,2867.0,0.0,1785.0,122.0,0.0,120.0,692.0,0.0,244.5,1.75,-1663.0,-2867.0,692.0,120.0,242.75,-3475.25
2026-01-02 07:00:00+00:00,2867.0,0.0,1860.0,165.0,0.0,120.0,692.0,0.0,412.5,0.0,-1695.0,-2867.0,692.0,120.0,412.5,-3337.5
2026-01-02 08:00:00+00:00,2623.2,86.7,1771.0,165.0,196.75,166.75,605.75,18.725,506.25,0.0,-1606.0,-2536.5,587.025,-30.0,506.25,-3079.225
2026-01-02 09:00:00+00:00,1767.7,197.875,1156.0,90.0,204.25,96.25,153.775,306.9,0.0,440.25,-1066.0,-1569.825,-153.12499999999997,-108.0,-440.25,-3337.2
2026-01-02 10:00:00+00:00,2012.2,167.75,1203.0,290.0,207.5,59.25,259.7,243.75,0.0,1311.25,-913.0,-1844.45,15.949999999999989,-148.25,-1311.25,-4201.0
2026-01-02 11:00:00+00:00,2615.175,26.700000000000003,826.0,290.0,212.75,96.25,357.625,274.725,0.0,934.25,-536.0,-2588.4750000000004,82.89999999999998,-116.5,-934.25,-4092.3250000000003
2026-01-02 12:00:00+00:00,2976.7,45.7,811.0,441.0,130.25,221.75,606.0,160.85,0.0,1375.25,-370.0,-2931.0,445.15,91.5,-1375.25,-4139.6
2026-01-02 13:00:00+00:00,2982.0,0.0,959.0,147.0,119.75,116.75,608.55,217.2,0.0,583.75,-812.0,-2982.0,391.34999999999997,-3.0,-583.75,-3989.4
2026-01-02 14:00:00+00:00,3238.225,23.0,1193.0,82.25,147.0,120.0,791.4,66.35,26.5,90.0,-1110.75,-3215.225,725.05,-27.0,-63.5,-3691.425
2026-01-02 15:00:00+00:00,3320.825,138.525,1691.0,21.0,48.25,128.25,785.55,23.525,745.25,0.0,-1670.0,-3182.2999999999997,762.025,80.0,745.25,-3265.024999999999
2026-01-02 16:00:00+00:00,3395.775,86.9,2286.0,104.0,24.75,132.5,854.0,1.5,1164.25,0.0,-2182.0,-3308.875,852.5,107.75,1164.25,-3366.375
2026-01-02 17:00:00+00:00,3602.275,258.075,2218.0,197.0,114.75,139.5,848.925,127.475,857.25,0.0,-2021.0,-3344.2000000000003,721.4499999999999,24.75,857.25,-3761.750000000001
2026-01-02 18:00:00+00:00,3682.75,284.95,2406.0,312.0,172.5,141.5,850.6,120.925,1348.0,0.0,-2094.0,-3397.8,729.6750000000001,-31.0,1348.0,-3445.125
2026-01-02 19:00:00+00:00,3554.35,509.84999999999997,2069.0,320.0,175.25,125.25,862.35,258.2,865.75,0.0,-1749.0,-3044.5,604.1500000000001,-50.0,865.75,-3373.6000000000004
2026-01-02 20:00:00+00:00,3316.875,336.0,1816.0,231.5,129.25,120.0,726.55,35.675,482.5,0.0,-1584.5,-2980.875,690.875,-9.25,482.5,-3401.25
2026-01-02 21:00:00+00:00,3090.075,290.225,1302.0,415.5,137.25,138.5,523.45,213.75,90.5,75.75,-886.5,-2799.85,309.70000000000005,1.25,14.75,-3360.6499999999996
2026-01-02 22:00:00+00:00,2558.775,603.3,949.0,258.5,291.75,15.25,15.7,197.625,0.0,874.25,-690.5,-1955.4750000000001,-181.925,-276.5,-874.25,-3978.6500000000005
2026-01-02 23:00:00+00:00,3193.75,762.8,1072.25,677.0,313.5,5.5,430.2,677.2,0.0,1014.75,-395.25,-2430.95,-247.00000000000006,-308.0,-1014.75,-4395.95
2026-01-03 00:00:00+00:00,2619.2749999999996,68.275,788.0,931.0,251.0,4.0,1.75,200.75,0.0,1365.0,143.0,-2550.9999999999995,-199.0,-247.0,-1365.0,-4219.0
2026-01-03 01:00:00+00:00,1971.0,0.0,656.0,686.0,182.0,0.0,0.0,147.0,0.0,1590.0,30.0,-1971.0,-147.0,-182.0,-1590.0,-3860.0
2026-01-03 02:00:00+00:00,1202.0,0.0,647.0,627.0,162.0,0.0,0.0,186.0,0.0,2142.75,-20.0,-1202.0,-186.0,-162.0,-2142.75,-3712.75
2026-01-03 03:00:00+00:00,1202.0,0.0,865.0,602.0,162.0,0.0,0.0,186.0,0.0,1857.25,-263.0,-1202.0,-186.0,-162.0,-1857.25,-3670.25
2026-01-03 04:00:00+00:00,1202.0,0.0,879.0,652.0,162.0,0.0,0.0,186.0,0.0,1704.5,-227.0,-1202.0,-186.0,-162.0,-1704.5,-3481.5
2026-01-03 05:00:00+00:00,1202.0,0.0,1097.0,20.75,162.0,0.0,0.0,186.0,0.0,1051.5,-1076.25,-1202.0,-186.0,-162.0,-1051.5,-3677.75
2026-01-03 06:00:00+00:00,1901.0,0.0,1524.0,10.5,103.0,0.0,0.0,189.0,19.5,113.25,-1513.5,-1901.0,-189.0,-103.0,-93.75,-3800.25
2026-01-03 07:00:00+00:00,2574.0,0.0,1641.0,45.0,141.0,0.0,0.0,260.0,479.75,0.0,-1596.0,-2574.0,-260.0,-141.0,479.75,-4091.25
