,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_SARD_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,372.5,0.0,-372.5,-372.5
2026-01-01 01:00:00+00:00,464.0,0.0,-464.0,-464.0
2026-01-01 02:00:00+00:00,518.5,0.0,-518.5,-518.5
2026-01-01 03:00:00+00:00,305.25,0.0,-305.25,-305.25
2026-01-01 04:00:00+00:00,111.25,0.0,-111.25,-111.25
2026-01-01 05:00:00+00:00,29.75,242.0,212.25,212.25
2026-01-01 06:00:00+00:00,193.5,0.0,-193.5,-193.5
2026-01-01 07:00:00+00:00,50.75,77.75,27.0,27.0
2026-01-01 08:00:00+00:00,0.0,261.5,261.5,261.5
2026-01-01 09:00:00+00:00,0.0,204.5,204.5,204.5
2026-01-01 10:00:00+00:00,189.5,34.0,-155.5,-155.5
2026-01-01 11:00:00+00:00,332.0,0.0,-332.0,-332.0
2026-01-01 12:00:00+00:00,0.0,139.25,139.25,139.25
2026-01-01 13:00:00+00:00,0.0,156.0,156.0,156.0
2026-01-01 14:00:00+00:00,5.5,45.25,39.75,39.75
2026-01-01 15:00:00+00:00,189.25,0.0,-189.25,-189.25
2026-01-01 16:00:00+00:00,151.5,0.0,-151.5,-151.5
2026-01-01 17:00:00+00:00,400.75,0.0,-400.75,-400.75
2026-01-01 18:00:00+00:00,417.25,0.0,-417.25,-417.25
2026-01-01 19:00:00+00:00,338.75,0.0,-338.75,-338.75
2026-01-01 20:00:00+00:00,235.75,0.0,-235.75,-235.75
2026-01-01 21:00:00+00:00,166.75,0.0,-166.75,-166.75
2026-01-01 22:00:00+00:00,52.25,0.0,-52.25,-52.25
2026-01-01 23:00:00+00:00,0.0,124.75,124.75,124.75
2026-01-02 00:00:00+00:00,0.0,195.5,195.5,195.5
2026-01-02 01:00:00+00:00,0.0,250.5,250.5,250.5
2026-01-02 02:00:00+00:00,99.25,36.25,-63.0,-63.0
2026-01-02 03:00:00+00:00,297.75,0.0,-297.75,-297.75
2026-01-02 04:00:00+00:00,101.5,104.25,2.75,2.75
2026-01-02 05:00:00+00:00,37.0,60.0,23.0,23.0
2026-01-02 06:00:00+00:00,31.75,296.25,264.5,264.5
2026-01-02 07:00:00+00:00,0.0,491.75,491.75,491.75
2026-01-02 08:00:00+00:00,0.0,403.0,403.0,403.0
2026-01-02 09:00:00+00:00,0.0,222.0,222.0,222.0
2026-01-02 10:00:00+00:00,0.0,342.75,342.75,342.75
2026-01-02 11:00:00+00:00,11.75,103.5,91.75,91.75
2026-01-02 12:00:00+00:00,0.0,411.5,411.5,411.5
2026-01-02 13:00:00+00:00,0.0,215.5,215.5,215.5
2026-01-02 14:00:00+00:00,0.0,148.5,148.5,148.5
