,GR_IT_SUD,IT_SUD_GR,IT_SUD_IT_CSUD,IT_CSUD_IT_SUD,IT_SUD_IT_CALA,IT_CALA_IT_SUD,IT_SUD_IT_CSUD_net_export,IT_SUD_IT_CALA_net_export,IT_SUD_GR_net_export,Net Export
2026-01-01 00:00:00+00:00,500.0,0.0,1473.5,0.0,0.0,466.5,1473.5,-466.5,-500.0,507.0
2026-01-01 01:00:00+00:00,500.0,0.0,1566.75,0.0,0.0,523.0,1566.75,-523.0,-500.0,543.75
2026-01-01 02:00:00+00:00,500.0,0.0,1730.75,0.0,0.0,618.5,1730.75,-618.5,-500.0,612.25
2026-01-01 03:00:00+00:00,500.0,0.0,1716.25,0.0,0.0,801.5,1716.25,-801.5,-500.0,414.75
2026-01-01 04:00:00+00:00,500.0,0.0,1507.25,0.0,0.0,660.75,1507.25,-660.75,-500.0,346.5
2026-01-01 05:00:00+00:00,500.0,0.0,1318.75,0.0,0.0,460.0,1318.75,-460.0,-500.0,358.75
2026-01-01 06:00:00+00:00,500.0,0.0,1651.0,0.0,0.0,560.25,1651.0,-560.25,-500.0,590.75
2026-01-01 07:00:00+00:00,500.0,0.0,1985.0,0.0,0.0,665.0,1985.0,-665.0,-500.0,820.0
2026-01-01 08:00:00+00:00,500.0,0.0,1741.5,0.0,123.75,71.5,1741.5,52.25,-500.0,1293.75
2026-01-01 09:00:00+00:00,500.0,0.0,2336.25,0.0,74.25,55.75,2336.25,18.5,-500.0,1854.75
2026-01-01 10:00:00+00:00,500.0,42.0,2685.5,0.0,40.75,67.75,2685.5,-27.0,-458.0,2200.5
2026-01-01 11:00:00+00:00,500.0,0.0,2856.5,0.0,168.0,0.0,2856.5,168.0,-500.0,2524.5
2026-01-01 12:00:00+00:00,500.0,0.0,2867.25,0.0,0.0,113.25,2867.25,-113.25,-500.0,2254.0
2026-01-01 13:00:00+00:00,500.0,0.0,2814.25,0.0,0.0,114.75,2814.25,-114.75,-500.0,2199.5
2026-01-01 14:00:00+00:00,501.0,1.0,2759.5,0.0,0.0,465.25,2759.5,-465.25,-500.0,1794.25
