,PL_LT,LT_PL,LT_LV,LV_LT,LT_SE_4,SE_4_LT,LT_LV_net_export,LT_PL_net_export,LT_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,116.875,0.0,646.8,0.0,0.0,700.0,646.8,-116.875,-700.0,-170.07500000000005
2026-01-01 01:00:00+00:00,21.125,3.1,727.275,0.0,0.0,700.0,727.275,-18.025,-700.0,9.25
2026-01-01 02:00:00+00:00,0.0,80.875,786.0,0.0,0.0,699.775,786.0,80.875,-699.775,167.10000000000002
2026-01-01 03:00:00+00:00,0.0,67.675,742.0,0.0,0.0,626.525,742.0,67.675,-626.525,183.14999999999998
2026-01-01 04:00:00+00:00,0.0,49.475,724.05,0.0,0.0,602.575,724.05,49.475,-602.575,170.94999999999993
2026-01-01 05:00:00+00:00,122.625,0.0,735.25,0.0,0.0,630.475,735.25,-122.625,-630.475,-17.850000000000023
2026-01-01 06:00:00+00:00,159.0,0.0,770.125,0.0,0.0,688.475,770.125,-159.0,-688.475,-77.35000000000002
2026-01-01 07:00:00+00:00,158.95,0.0,746.225,0.0,0.0,699.075,746.225,-158.95,-699.075,-111.79999999999995
2026-01-01 08:00:00+00:00,160.0,0.0,755.0500000000001,0.0,0.0,700.0,755.0500000000001,-160.0,-700.0,-104.94999999999993
2026-01-01 09:00:00+00:00,160.0,0.0,775.15,0.0,0.0,670.8,775.15,-160.0,-670.8,-55.64999999999998
2026-01-01 10:00:00+00:00,161.0,0.0,812.725,0.0,0.0,676.275,812.725,-161.0,-676.275,-24.549999999999955
2026-01-01 11:00:00+00:00,161.0,0.0,802.925,0.0,0.0,694.925,802.925,-161.0,-694.925,-53.0
2026-01-01 12:00:00+00:00,133.625,0.0,686.0,0.0,0.0,694.9,686.0,-133.625,-694.9,-142.52499999999998
2026-01-01 13:00:00+00:00,105.65,0.0,790.0,0.0,0.0,560.6,790.0,-105.65,-560.6,123.75
2026-01-01 14:00:00+00:00,3.75,77.675,807.0,0.0,0.0,676.5,807.0,73.925,-676.5,204.42499999999995
2026-01-01 15:00:00+00:00,0.0,172.05,801.0,0.0,0.0,698.35,801.0,172.05,-698.35,274.69999999999993
2026-01-01 16:00:00+00:00,0.0,103.15,800.0,0.0,0.0,662.05,800.0,103.15,-662.05,241.10000000000002
2026-01-01 17:00:00+00:00,0.0,142.95,816.6,0.0,0.0,700.0,816.6,142.95,-700.0,259.54999999999995
2026-01-01 18:00:00+00:00,0.0,141.775,821.0,0.0,0.0,699.675,821.0,141.775,-699.675,263.1
2026-01-01 19:00:00+00:00,6.45,63.025,835.125,0.0,0.0,628.55,835.125,56.574999999999996,-628.55,263.1500000000001
2026-01-01 20:00:00+00:00,79.5,15.225,855.0,0.0,0.0,628.45,855.0,-64.275,-628.45,162.27499999999998
2026-01-01 21:00:00+00:00,154.05,0.0,828.025,0.0,0.0,688.325,828.025,-154.05,-688.325,-14.350000000000136
2026-01-01 22:00:00+00:00,156.0,0.0,821.275,0.0,0.0,695.425,821.275,-156.0,-695.425,-30.149999999999977
2026-01-01 23:00:00+00:00,155.0,0.0,525.8,0.0,0.0,496.7,525.8,-155.0,-496.7,-125.90000000000003
2026-01-02 00:00:00+00:00,154.0,0.0,656.525,0.0,0.0,555.625,656.525,-154.0,-555.625,-53.10000000000002
2026-01-02 01:00:00+00:00,154.0,0.0,502.75,0.0,0.0,629.2,502.75,-154.0,-629.2,-280.45000000000005
2026-01-02 02:00:00+00:00,154.0,0.0,550.85,0.0,0.0,601.375,550.85,-154.0,-601.375,-204.52499999999998
2026-01-02 03:00:00+00:00,151.025,0.0,688.575,0.0,0.0,580.9,688.575,-151.025,-580.9,-43.34999999999991
2026-01-02 04:00:00+00:00,153.45,0.0,502.45,0.0,2.075,355.7,502.45,-153.45,-353.625,-4.625
2026-01-02 05:00:00+00:00,47.125,98.0,101.975,0.0,0.0,160.925,101.975,50.875,-160.925,-8.075000000000017
2026-01-02 06:00:00+00:00,0.0,195.0,167.025,0.0,0.0,437.4,167.025,195.0,-437.4,-75.375
2026-01-02 07:00:00+00:00,0.0,197.0,225.3,0.0,0.0,546.0,225.3,197.0,-546.0,-123.69999999999999
2026-01-02 08:00:00+00:00,0.0,199.0,245.225,0.0,0.0,391.575,245.225,199.0,-391.575,52.650000000000034
2026-01-02 09:00:00+00:00,0.0,200.0,248.85,0.0,0.0,530.775,248.85,200.0,-530.775,-81.92499999999995
2026-01-02 10:00:00+00:00,106.325,43.475,636.4,0.0,0.0,671.525,636.4,-62.85,-671.525,-97.97500000000002
2026-01-02 11:00:00+00:00,161.0,0.0,925.1,0.0,0.0,700.0,925.1,-161.0,-700.0,64.10000000000002
2026-01-02 12:00:00+00:00,149.95,0.0,969.175,0.0,0.0,678.325,969.175,-149.95,-678.325,140.89999999999986
2026-01-02 13:00:00+00:00,161.0,0.0,978.675,0.0,0.0,699.9,978.675,-161.0,-699.9,117.77499999999998
2026-01-02 14:00:00+00:00,161.0,0.0,764.3,0.0,0.0,700.0,764.3,-161.0,-700.0,-96.70000000000005
2026-01-02 15:00:00+00:00,124.425,0.0,804.45,0.0,0.0,699.9,804.45,-124.425,-699.9,-19.874999999999886
2026-01-02 16:00:00+00:00,161.6,0.0,1027.0,0.0,0.0,700.0,1027.0,-161.6,-700.0,165.39999999999998
2026-01-02 17:00:00+00:00,130.025,0.0,924.375,0.0,0.0,687.75,924.375,-130.025,-687.75,106.60000000000002
