,NO_1_NO_3,NO_3_NO_1,NO_5_NO_3,NO_3_NO_5,NO_4_NO_3,NO_3_NO_4,SE_2_NO_3,NO_3_SE_2,NO_3_NO_1_net_export,NO_3_NO_4_net_export,NO_3_NO_5_net_export,NO_3_SE_2_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,3225.75,155.2,0.025,1726.0,154.1,1389.125,0.0,3225.75,-1571.9,-155.17499999999998,-1389.125,109.54999999999995
2026-01-01 01:00:00+00:00,134.875,1055.075,211.65,0.0,469.55,497.35,776.275,0.0,920.2,27.80000000000001,-211.65,-776.275,-39.924999999999955
2026-01-01 02:00:00+00:00,0.0,3884.75,228.9,0.0,3457.9,272.275,852.425,0.0,3884.75,-3185.625,-228.9,-852.425,-382.19999999999993
2026-01-01 03:00:00+00:00,438.15,1313.95,0.0,0.0,0.0,1166.575,2628.25,0.0,875.8000000000001,1166.575,0.0,-2628.25,-585.875
2026-01-01 04:00:00+00:00,124.35,3341.625,1114.65,0.0,0.0,1230.35,4044.725,0.0,3217.275,1230.35,-1114.65,-4044.725,-711.75
2026-01-01 05:00:00+00:00,208.875,1403.875,0.0,334.525,548.625,278.05,2101.25,0.0,1195.0,-270.575,334.525,-2101.25,-842.3000000000002
2026-01-01 06:00:00+00:00,57.775,1426.475,488.175,0.0,547.85,455.725,1544.85,0.0,1368.6999999999998,-92.125,-488.175,-1544.85,-756.45
2026-01-01 07:00:00+00:00,0.0,2765.5,312.55,0.0,1725.45,0.0,1418.2,0.0,2765.5,-1725.45,-312.55,-1418.2,-690.7
2026-01-01 08:00:00+00:00,325.275,1507.15,460.2,0.0,0.0,0.0,1500.3,0.0,1181.875,0.0,-460.2,-1500.3,-778.625
2026-01-01 09:00:00+00:00,0.0,3210.975,437.925,0.0,1280.975,87.375,2297.425,0.0,3210.975,-1193.6,-437.925,-2297.425,-717.9750000000001
2026-01-01 10:00:00+00:00,0.0,3421.95,1044.5,0.0,1359.775,0.0,1665.65,0.0,3421.95,-1359.775,-1044.5,-1665.65,-647.9750000000004
2026-01-01 11:00:00+00:00,247.3,1072.65,163.5,0.0,1312.475,0.075,0.0,0.0,825.3500000000001,-1312.3999999999999,-163.5,0.0,-650.5499999999997
2026-01-01 12:00:00+00:00,180.625,1297.55,359.025,0.0,1350.675,0.0,0.0,0.0,1116.925,-1350.675,-359.025,0.0,-592.775
2026-01-01 13:00:00+00:00,132.225,1092.675,186.95,0.0,663.5,0.0,638.475,0.0,960.4499999999999,-663.5,-186.95,-638.475,-528.4750000000001
2026-01-01 14:00:00+00:00,107.825,1724.325,113.8,0.0,1912.175,0.0,0.0,0.0,1616.5,-1912.175,-113.8,0.0,-409.47499999999997
2026-01-01 15:00:00+00:00,200.275,2576.7,55.7,0.0,637.6,0.0,2090.925,0.0,2376.4249999999997,-637.6,-55.7,-2090.925,-407.8000000000004
2026-01-01 16:00:00+00:00,273.525,532.8,0.0,0.0,0.05,0.0,627.45,0.0,259.275,-0.05,0.0,-627.45,-368.2250000000001
2026-01-01 17:00:00+00:00,99.375,1494.925,99.975,0.0,1261.225,0.0,416.725,0.0,1395.55,-1261.225,-99.975,-416.725,-382.375
2026-01-01 18:00:00+00:00,230.0,926.275,0.0,0.0,579.575,0.0,580.45,0.0,696.275,-579.575,0.0,-580.45,-463.7500000000001
2026-01-01 19:00:00+00:00,124.4,2826.45,0.35,10.35,363.7,0.0,2861.05,0.0,2702.0499999999997,-363.7,10.0,-2861.05,-512.7000000000003
2026-01-01 20:00:00+00:00,120.55,1308.575,5.35,36.225,1690.975,0.0,0.0,0.0,1188.025,-1690.975,30.875,0.0,-472.0749999999998
2026-01-01 21:00:00+00:00,0.0,1608.975,373.65,0.0,1238.925,0.0,429.225,0.0,1608.975,-1238.925,-373.65,-429.225,-432.82500000000005
2026-01-01 22:00:00+00:00,0.0,1862.85,0.0,0.0,1314.8,0.0,1057.325,0.0,1862.85,-1314.8,0.0,-1057.325,-509.2750000000001
2026-01-01 23:00:00+00:00,0.0,1740.35,0.0,0.0,38.15,0.0,2401.25,0.0,1740.35,-38.15,0.0,-2401.25,-699.0500000000002
2026-01-02 00:00:00+00:00,0.0,1622.675,0.0,0.0,79.85,0.0,2386.3,0.0,1622.675,-79.85,0.0,-2386.3,-843.4750000000001
2026-01-02 01:00:00+00:00,0.0,1446.55,0.0,0.0,0.025,0.0,2408.725,0.0,1446.55,-0.025,0.0,-2408.725,-962.2
2026-01-02 02:00:00+00:00,0.0,1234.6,0.0,0.0,0.025,0.0,2456.725,0.0,1234.6,-0.025,0.0,-2456.725,-1222.15
2026-01-02 03:00:00+00:00,0.0,1409.75,0.0,0.0,91.05,0.0,2419.25,0.0,1409.75,-91.05,0.0,-2419.25,-1100.55
2026-01-02 04:00:00+00:00,0.0,1649.825,0.0,0.0,156.075,0.0,2376.6,0.0,1649.825,-156.075,0.0,-2376.6,-882.8499999999999
2026-01-02 05:00:00+00:00,0.0,1685.175,0.0,0.0,534.6,0.0,1824.975,0.0,1685.175,-534.6,0.0,-1824.975,-674.4000000000001
2026-01-02 06:00:00+00:00,0.0,898.2,4.15,0.0,461.85,0.0,1008.25,0.0,898.2,-461.85,-4.15,-1008.25,-576.05
2026-01-02 07:00:00+00:00,0.0,804.45,0.0,0.0,563.35,0.0,895.25,0.0,804.45,-563.35,0.0,-895.25,-654.15
2026-01-02 08:00:00+00:00,0.0,800.925,0.0,0.0,722.7,0.0,852.275,0.0,800.925,-722.7,0.0,-852.275,-774.0500000000001
2026-01-02 09:00:00+00:00,0.0,1247.775,0.0,0.0,939.075,0.0,1167.55,0.0,1247.775,-939.075,0.0,-1167.55,-858.8499999999999
2026-01-02 10:00:00+00:00,0.0,1226.275,0.0,0.0,936.2,0.0,1203.125,0.0,1226.275,-936.2,0.0,-1203.125,-913.05
2026-01-02 11:00:00+00:00,0.0,1298.4,0.05,0.0,920.625,0.0,1260.75,0.0,1298.4,-920.625,-0.05,-1260.75,-883.0249999999999
2026-01-02 12:00:00+00:00,0.0,1340.325,0.0,0.0,933.775,0.0,1365.075,0.0,1340.325,-933.775,0.0,-1365.075,-958.525
2026-01-02 13:00:00+00:00,0.0,1326.725,0.0,0.0,832.525,0.0,1456.075,0.0,1326.725,-832.525,0.0,-1456.075,-961.8750000000001
2026-01-02 14:00:00+00:00,0.0,1630.1,0.0,0.0,1039.525,0.0,1528.925,0.0,1630.1,-1039.525,0.0,-1528.925,-938.3500000000001
2026-01-02 15:00:00+00:00,0.0,1741.25,0.0,0.0,1108.05,0.0,1614.475,0.0,1741.25,-1108.05,0.0,-1614.475,-981.2749999999999
2026-01-02 16:00:00+00:00,0.0,1700.025,0.0,0.0,1073.9,0.0,1555.125,0.0,1700.025,-1073.9,0.0,-1555.125,-929.0
2026-01-02 17:00:00+00:00,0.0,2059.55,0.0,0.0,1072.225,0.0,1896.45,0.0,2059.55,-1072.225,0.0,-1896.45,-909.1249999999998
2026-01-02 18:00:00+00:00,0.0,2189.625,0.0,0.0,1009.725,0.0,2077.55,0.0,2189.625,-1009.725,0.0,-2077.55,-897.6500000000001
2026-01-02 19:00:00+00:00,0.0,2288.95,0.0,0.0,1007.325,0.0,2122.9,0.0,2288.95,-1007.325,0.0,-2122.9,-841.2750000000003
2026-01-02 20:00:00+00:00,0.0,2260.575,0.0,0.0,983.75,0.0,2090.275,0.0,2260.575,-983.75,0.0,-2090.275,-813.4500000000003
2026-01-02 21:00:00+00:00,0.0,2352.375,0.3,0.0,584.15,0.0,2452.825,0.0,2352.375,-584.15,-0.3,-2452.825,-684.8999999999999
2026-01-02 22:00:00+00:00,0.0,2401.3,0.0,0.0,282.425,0.0,2755.4,0.0,2401.3,-282.425,0.0,-2755.4,-636.5250000000001
2026-01-02 23:00:00+00:00,0.0,2523.325,0.35,8.525,1235.95,0.0,1770.95,0.0,2523.325,-1235.95,8.175,-1770.95,-475.4000000000003
2026-01-03 00:00:00+00:00,0.0,2395.2,0.0,17.65,1221.275,0.0,1672.325,0.0,2395.2,-1221.275,17.65,-1672.325,-480.7500000000002
2026-01-03 01:00:00+00:00,0.0,2447.15,0.0,2.775,1155.125,0.0,1811.15,0.0,2447.15,-1155.125,2.775,-1811.15,-516.3499999999999
2026-01-03 02:00:00+00:00,0.0,2428.175,6.85,0.0,1118.475,0.0,1870.875,0.0,2428.175,-1118.475,-6.85,-1870.875,-568.0249999999996
2026-01-03 03:00:00+00:00,0.0,2154.65,21.825,0.0,1138.05,0.0,1615.175,0.0,2154.65,-1138.05,-21.825,-1615.175,-620.3999999999999
2026-01-03 04:00:00+00:00,0.0,2357.65,22.95,0.0,1292.35,0.0,1700.35,0.0,2357.65,-1292.35,-22.95,-1700.35,-657.9999999999998
2026-01-03 05:00:00+00:00,0.0,2373.55,29.35,0.0,1336.1,0.0,1717.7,0.0,2373.55,-1336.1,-29.35,-1717.7,-709.5999999999998
