,NO_4_SE_2,SE_2_NO_4,NO_4_NO_3,NO_3_NO_4,NO_4_SE_1,SE_1_NO_4,NO_4_SE_2_net_export,NO_4_NO_3_net_export,NO_4_SE_1_net_export,Net Export
2026-01-01 00:00:00+00:00,2.35,0.0,1726.0,154.1,84.25,0.0,2.35,1571.9,84.25,1658.5
2026-01-01 01:00:00+00:00,20.9,0.0,469.55,497.35,5.8,0.0,20.9,-27.80000000000001,5.8,-1.100000000000013
2026-01-01 02:00:00+00:00,0.0,2526.925,3457.9,272.275,0.0,0.0,-2526.925,3185.625,0.0,658.6999999999998
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,1166.575,1.25,0.0,0.0,-1166.575,1.25,-1165.325
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,1230.35,0.275,0.0,0.0,-1230.35,0.275,-1230.0749999999998
2026-01-01 05:00:00+00:00,0.0,271.75,548.625,278.05,0.0,0.0,-271.75,270.575,0.0,-1.1750000000000114
2026-01-01 06:00:00+00:00,0.0,228.975,547.85,455.725,174.825,0.0,-228.975,92.125,174.825,37.974999999999994
2026-01-01 07:00:00+00:00,0.0,0.0,1725.45,0.0,0.0,0.0,0.0,1725.45,0.0,1725.45
2026-01-01 08:00:00+00:00,0.875,152.325,0.0,0.0,0.0,0.0,-151.45,0.0,0.0,-151.45
2026-01-01 09:00:00+00:00,0.0,74.0,1280.975,87.375,175.875,0.0,-74.0,1193.6,175.875,1295.475
2026-01-01 10:00:00+00:00,0.075,6.075,1359.775,0.0,151.6,0.0,-6.0,1359.775,151.6,1505.375
2026-01-01 11:00:00+00:00,18.0,0.0,1312.475,0.075,140.325,0.0,18.0,1312.3999999999999,140.325,1470.725
2026-01-01 12:00:00+00:00,0.0,0.0,1350.675,0.0,0.0,0.0,0.0,1350.675,0.0,1350.675
2026-01-01 13:00:00+00:00,3.0,0.0,663.5,0.0,80.175,0.0,3.0,663.5,80.175,746.675
2026-01-01 14:00:00+00:00,0.0,0.0,1912.175,0.0,2.425,0.0,0.0,1912.175,2.425,1914.6
2026-01-01 15:00:00+00:00,7.325,0.0,637.6,0.0,7.275,0.0,7.325,637.6,7.275,652.2
2026-01-01 16:00:00+00:00,30.7,0.0,0.05,0.0,13.075,0.0,30.7,0.05,13.075,43.825
2026-01-01 17:00:00+00:00,0.0,0.0,1261.225,0.0,4.525,0.0,0.0,1261.225,4.525,1265.75
2026-01-01 18:00:00+00:00,186.775,0.0,579.575,0.0,2.75,0.0,186.775,579.575,2.75,769.1
2026-01-01 19:00:00+00:00,191.15,0.0,363.7,0.0,0.0,196.675,191.15,363.7,-196.675,358.175
2026-01-01 20:00:00+00:00,202.575,728.5,1690.975,0.0,0.0,678.7,-525.925,1690.975,-678.7,486.3499999999999
2026-01-01 21:00:00+00:00,132.8,863.1,1238.925,0.0,1.5,176.35,-730.3,1238.925,-174.85,333.775
2026-01-01 22:00:00+00:00,3.375,0.0,1314.8,0.0,3.0,561.375,3.375,1314.8,-558.375,759.8
