,NO_2_NO_5,NO_5_NO_2,NO_1_NO_5,NO_5_NO_1,NO_5_NO_3,NO_3_NO_5,NO_5_NO_1_net_export,NO_5_NO_2_net_export,NO_5_NO_3_net_export,Net Export
2026-01-01 00:00:00+00:00,945.9,0.0,0.0,626.45,155.2,0.025,626.45,-945.9,155.17499999999998,-164.27499999999995
2026-01-01 01:00:00+00:00,519.75,0.0,72.625,116.55,211.65,0.0,43.925,-519.75,211.65,-264.17499999999995
2026-01-01 02:00:00+00:00,768.4,0.0,7.625,436.225,228.9,0.0,428.6,-768.4,228.9,-110.89999999999995
2026-01-01 03:00:00+00:00,753.725,0.0,0.0,879.675,0.0,0.0,879.675,-753.725,0.0,125.94999999999993
2026-01-01 04:00:00+00:00,897.15,0.0,15.5,83.85,1114.65,0.0,68.35,-897.15,1114.65,285.85000000000014
2026-01-01 05:00:00+00:00,704.35,0.0,0.0,1412.25,0.0,334.525,1412.25,-704.35,-334.525,373.375
2026-01-01 06:00:00+00:00,0.025,0.1,0.0,0.0,488.175,0.0,0.0,0.07500000000000001,488.175,488.25
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,340.275,312.55,0.0,340.275,0.0,312.55,652.825
2026-01-01 08:00:00+00:00,16.625,0.0,14.725,225.375,460.2,0.0,210.65,-16.625,460.2,654.225
2026-01-01 09:00:00+00:00,16.625,0.0,9.75,500.95,437.925,0.0,491.2,-16.625,437.925,912.5
2026-01-01 10:00:00+00:00,17.325,0.0,20.225,0.0,1044.5,0.0,-20.225,-17.325,1044.5,1006.95
2026-01-01 11:00:00+00:00,20.275,0.0,12.925,155.425,163.5,0.0,142.5,-20.275,163.5,285.725
2026-01-01 12:00:00+00:00,274.225,0.0,19.575,369.325,359.025,0.0,349.75,-274.225,359.025,434.54999999999995
2026-01-01 13:00:00+00:00,276.825,0.0,6.625,587.825,186.95,0.0,581.2,-276.825,186.95,491.32500000000005
2026-01-01 14:00:00+00:00,336.825,0.0,6.775,419.4,113.8,0.0,412.625,-336.825,113.8,189.60000000000002
2026-01-01 15:00:00+00:00,329.875,0.0,4.575,442.125,55.7,0.0,437.55,-329.875,55.7,163.375
2026-01-01 16:00:00+00:00,788.275,0.0,0.0,1186.075,0.0,0.0,1186.075,-788.275,0.0,397.80000000000007
2026-01-01 17:00:00+00:00,0.25,0.0,0.0,213.65,99.975,0.0,213.65,-0.25,99.975,313.375
2026-01-01 18:00:00+00:00,324.825,0.0,0.0,476.95,0.0,0.0,476.95,-324.825,0.0,152.125
2026-01-01 19:00:00+00:00,5.675,0.0,74.55,14.85,0.35,10.35,-59.699999999999996,-5.675,-10.0,-75.375
2026-01-01 20:00:00+00:00,432.575,0.0,105.425,378.6,5.35,36.225,273.175,-432.575,-30.875,-190.27499999999998
2026-01-01 21:00:00+00:00,418.425,0.0,158.825,0.0,373.65,0.0,-158.825,-418.425,373.65,-203.60000000000002
2026-01-01 22:00:00+00:00,18.45,0.0,0.0,64.375,0.0,0.0,64.375,-18.45,0.0,45.925
2026-01-01 23:00:00+00:00,11.9,0.0,0.0,474.175,0.0,0.0,474.175,-11.9,0.0,462.27500000000003
2026-01-02 00:00:00+00:00,16.525,0.0,0.0,229.95,0.0,0.0,229.95,-16.525,0.0,213.42499999999998
2026-01-02 01:00:00+00:00,5.625,0.0,0.0,123.9,0.0,0.0,123.9,-5.625,0.0,118.275
2026-01-02 02:00:00+00:00,12.075,0.0,0.0,245.875,0.0,0.0,245.875,-12.075,0.0,233.8
2026-01-02 03:00:00+00:00,11.5,0.0,0.0,242.6,0.0,0.0,242.6,-11.5,0.0,231.1
2026-01-02 04:00:00+00:00,13.1,0.0,0.0,274.7,0.0,0.0,274.7,-13.1,0.0,261.59999999999997
2026-01-02 05:00:00+00:00,5.5,0.0,0.0,443.325,0.0,0.0,443.325,-5.5,0.0,437.825
2026-01-02 06:00:00+00:00,0.0,0.75,0.0,886.975,4.15,0.0,886.975,0.75,4.15,891.875
2026-01-02 07:00:00+00:00,11.55,0.0,0.0,884.375,0.0,0.0,884.375,-11.55,0.0,872.825
2026-01-02 08:00:00+00:00,0.0,0.05,0.0,836.7,0.0,0.0,836.7,0.05,0.0,836.75
2026-01-02 09:00:00+00:00,0.0,0.0,0.0,478.9,0.0,0.0,478.9,0.0,0.0,478.9
2026-01-02 10:00:00+00:00,0.0,0.0,0.0,486.9,0.0,0.0,486.9,0.0,0.0,486.9
2026-01-02 11:00:00+00:00,0.0,0.0,0.0,578.975,0.05,0.0,578.975,0.0,0.05,579.025
2026-01-02 12:00:00+00:00,0.0,0.0,0.0,746.9,0.0,0.0,746.9,0.0,0.0,746.9
2026-01-02 13:00:00+00:00,2.65,0.0,0.0,982.475,0.0,0.0,982.475,-2.65,0.0,979.825
2026-01-02 14:00:00+00:00,12.025,0.0,0.0,1952.425,0.0,0.0,1952.425,-12.025,0.0,1940.3999999999999
2026-01-02 15:00:00+00:00,1.475,60.7,0.0,2144.15,0.0,0.0,2144.15,59.225,0.0,2203.375
2026-01-02 16:00:00+00:00,0.0,19.6,0.0,2242.525,0.0,0.0,2242.525,19.6,0.0,2262.125
2026-01-02 17:00:00+00:00,0.0,821.25,0.0,1734.425,0.0,0.0,1734.425,821.25,0.0,2555.675
2026-01-02 18:00:00+00:00,0.0,978.6,0.0,1513.5,0.0,0.0,1513.5,978.6,0.0,2492.1
2026-01-02 19:00:00+00:00,0.0,1100.725,0.0,1304.4,0.0,0.0,1304.4,1100.725,0.0,2405.125
2026-01-02 20:00:00+00:00,0.0,1097.45,0.0,1286.075,0.0,0.0,1286.075,1097.45,0.0,2383.525
2026-01-02 21:00:00+00:00,0.0,1533.85,0.0,665.6,0.3,0.0,665.6,1533.85,0.3,2199.75
2026-01-02 22:00:00+00:00,0.0,1832.15,0.0,585.625,0.0,0.0,585.625,1832.15,0.0,2417.775
2026-01-02 23:00:00+00:00,0.0,1548.025,0.0,605.05,0.35,8.525,605.05,1548.025,-8.175,2144.8999999999996
2026-01-03 00:00:00+00:00,0.0,1475.5,0.0,644.225,0.0,17.65,644.225,1475.5,-17.65,2102.075
2026-01-03 01:00:00+00:00,0.0,1562.975,0.0,428.925,0.0,2.775,428.925,1562.975,-2.775,1989.1249999999998
2026-01-03 02:00:00+00:00,0.0,1472.175,0.0,466.175,6.85,0.0,466.175,1472.175,6.85,1945.1999999999998
2026-01-03 03:00:00+00:00,0.0,732.45,0.0,983.15,21.825,0.0,983.15,732.45,21.825,1737.425
