,CZ_PL,PL_CZ,PL_DE_LU,DE_LU_PL,PL_LT,LT_PL,PL_SE_4,SE_4_PL,PL_SK,SK_PL,PL_CZ_net_export,PL_DE_LU_net_export,PL_LT_net_export,PL_SE_4_net_export,PL_SK_net_export,Net Export
2026-01-01 00:00:00+00:00,1527.95,0.0,0.0,0.0,116.875,0.0,0.0,600.0,1265.125,78.55,-1527.95,0.0,116.875,-600.0,1186.575,-824.5
2026-01-01 01:00:00+00:00,1413.625,337.275,0.0,0.0,21.125,3.1,0.0,600.0,1620.3500000000001,173.05,-1076.35,0.0,18.025,-600.0,1447.3000000000002,-211.02499999999964
2026-01-01 02:00:00+00:00,1014.5,327.75,37.85,0.0,0.0,80.875,0.0,600.0,1361.0,2.725,-686.75,37.85,-80.875,-600.0,1358.275,28.5
2026-01-01 03:00:00+00:00,1119.75,256.25,284.0,0.0,0.0,67.675,0.0,440.475,1612.75,1.025,-863.5,284.0,-67.675,-440.475,1611.725,524.0749999999998
2026-01-01 04:00:00+00:00,753.25,0.0,1036.25,0.0,0.0,49.475,0.0,131.8,1109.25,0.0,-753.25,1036.25,-49.475,-131.8,1109.25,1210.975
2026-01-01 05:00:00+00:00,591.0,1409.725,131.325,2.825,122.625,0.0,0.0,13.375,1145.15,0.0,818.7249999999999,128.5,122.625,-13.375,1145.15,2201.625
2026-01-01 06:00:00+00:00,1238.0,0.0,321.275,0.0,159.0,0.0,0.0,0.0,3332.75,0.0,-1238.0,321.275,159.0,0.0,3332.75,2575.025
2026-01-01 07:00:00+00:00,0.0,1680.5,371.775,0.0,158.95,0.0,524.725,0.0,314.25,0.0,1680.5,371.775,158.95,524.725,314.25,3050.2
2026-01-01 08:00:00+00:00,0.0,1131.5,788.75,0.0,160.0,0.0,600.0,0.0,489.75,0.0,1131.5,788.75,160.0,600.0,489.75,3170.0
2026-01-01 09:00:00+00:00,0.0,2123.25,1286.75,1077.25,160.0,0.0,600.0,0.0,366.25,0.0,2123.25,209.5,160.0,600.0,366.25,3459.0
2026-01-01 10:00:00+00:00,0.0,1040.5,422.75,0.0,161.0,0.0,600.0,0.0,1267.5,0.0,1040.5,422.75,161.0,600.0,1267.5,3491.75
2026-01-01 11:00:00+00:00,0.0,1935.75,385.5,0.0,161.0,0.0,600.0,0.0,559.375,0.0,1935.75,385.5,161.0,600.0,559.375,3641.625
2026-01-01 12:00:00+00:00,0.0,2092.05,55.7,34.775,133.625,0.0,361.525,0.0,114.525,215.4,2092.05,20.925000000000004,133.625,361.525,-100.875,2507.2500000000005
2026-01-01 13:00:00+00:00,100.75,1671.5,0.0,276.275,105.65,0.0,0.0,0.0,724.25,12.0,1570.75,-276.275,105.65,0.0,712.25,2112.375
2026-01-01 14:00:00+00:00,0.0,668.75,818.9000000000001,148.5,3.75,77.675,0.0,55.825,665.75,0.0,668.75,670.4000000000001,-73.925,-55.825,665.75,1875.15
2026-01-01 15:00:00+00:00,1306.0,1729.5,0.0,163.125,0.0,172.05,0.0,95.275,2010.75,0.0,423.5,-163.125,-172.05,-95.275,2010.75,2003.8
2026-01-01 16:00:00+00:00,167.25,5.5,39.150000000000006,0.0,0.0,103.15,0.0,59.375,2422.75,0.0,-161.75,39.150000000000006,-103.15,-59.375,2422.75,2137.625
2026-01-01 17:00:00+00:00,0.0,1878.35,5.675,0.0,0.0,142.95,0.0,100.0,798.75,0.0,1878.35,5.675,-142.95,-100.0,798.75,2439.825
2026-01-01 18:00:00+00:00,0.0,1835.75,565.5,80.15,0.0,141.775,0.0,100.0,142.75,0.0,1835.75,485.35,-141.775,-100.0,142.75,2222.075
2026-01-01 19:00:00+00:00,1376.5,1177.25,673.3000000000001,0.0,6.45,63.025,0.0,79.1,2031.0,0.0,-199.25,673.3000000000001,-56.574999999999996,-79.1,2031.0,2369.375
2026-01-01 20:00:00+00:00,5566.25,0.0,42.625,0.0,79.5,15.225,0.0,6.175,8250.75,0.0,-5566.25,42.625,64.275,-6.175,8250.75,2785.2249999999995
2026-01-01 21:00:00+00:00,0.0,1900.5,136.0,0.0,154.05,0.0,499.35,0.0,653.25,0.0,1900.5,136.0,154.05,499.35,653.25,3343.15
2026-01-01 22:00:00+00:00,0.0,1966.25,50.25,0.0,156.0,0.0,600.0,0.0,661.75,0.0,1966.25,50.25,156.0,600.0,661.75,3434.25
2026-01-01 23:00:00+00:00,0.0,977.5,0.0,229.0,155.0,0.0,600.0,0.0,1559.25,0.0,977.5,-229.0,155.0,600.0,1559.25,3062.75
2026-01-02 00:00:00+00:00,0.0,982.75,0.0,241.0,154.0,0.0,600.0,0.0,1534.75,0.0,982.75,-241.0,154.0,600.0,1534.75,3030.5
2026-01-02 01:00:00+00:00,0.0,946.0,0.0,263.5,154.0,0.0,600.0,0.0,1532.75,0.0,946.0,-263.5,154.0,600.0,1532.75,2969.25
2026-01-02 02:00:00+00:00,0.0,991.0,0.0,190.75,154.0,0.0,600.0,0.0,1467.75,0.0,991.0,-190.75,154.0,600.0,1467.75,3022.0
2026-01-02 03:00:00+00:00,0.0,990.5,0.0,194.25,151.025,0.0,599.85,0.0,1477.0,0.0,990.5,-194.25,151.025,599.85,1477.0,3024.125
2026-01-02 04:00:00+00:00,0.0,988.0,0.0,183.625,153.45,0.0,398.725,0.0,1488.0,0.0,988.0,-183.625,153.45,398.725,1488.0,2844.55
2026-01-02 05:00:00+00:00,0.0,1039.25,19.625,156.9,47.125,98.0,40.225,0.0,1478.475,0.0,1039.25,-137.275,-50.875,40.225,1478.475,2369.8
