,HU_RO,RO_HU,RS_RO,RO_RS,RO_BG,BG_RO,RO_BG_net_export,RO_HU_net_export,RO_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,2058.425,99.55,0.0,259.0,1425.375,479.54999999999995,945.825,-1958.8750000000002,259.0,-754.0500000000002
2026-01-01 01:00:00+00:00,2119.65,38.4,0.0,156.0,1668.625,441.1,1227.525,-2081.25,156.0,-697.7249999999999
2026-01-01 02:00:00+00:00,1906.3,74.325,111.0,110.0,1801.425,579.125,1222.3,-1831.975,-1.0,-610.675
2026-01-01 03:00:00+00:00,1988.05,27.725,126.0,112.0,1950.8,581.125,1369.675,-1960.325,-14.0,-604.6500000000001
2026-01-01 04:00:00+00:00,2109.1499999999996,31.2,152.0,70.0,1914.6,428.225,1486.375,-2077.95,-82.0,-673.5749999999998
2026-01-01 05:00:00+00:00,1930.35,7.7,244.0,130.0,2036.725,475.15,1561.5749999999998,-1922.6499999999999,-114.0,-475.07500000000005
2026-01-01 06:00:00+00:00,1265.625,20.525,238.0,90.0,1660.725,390.525,1270.1999999999998,-1245.1,-148.0,-122.90000000000009
2026-01-01 07:00:00+00:00,484.8,1669.1,86.0,70.0,358.725,1055.675,-696.9499999999999,1184.3,-16.0,471.35
2026-01-01 08:00:00+00:00,366.65,2790.85,21.0,105.0,305.65,1806.475,-1500.8249999999998,2424.2,84.0,1007.375
2026-01-01 09:00:00+00:00,574.55,3054.7,0.0,181.0,377.075,1781.3,-1404.225,2480.1499999999996,181.0,1256.9249999999997
2026-01-01 10:00:00+00:00,463.1,2366.025,0.0,165.0,59.14999975,785.47499975,-726.325,1902.9250000000002,165.0,1341.6000000000001
2026-01-01 11:00:00+00:00,371.225,2219.225,0.0,150.0,63.4,634.25,-570.85,1848.0,150.0,1427.15
2026-01-01 12:00:00+00:00,296.975,1427.5,0.0,186.0,471.475,514.35,-42.875,1130.525,186.0,1273.65
2026-01-01 13:00:00+00:00,901.45,375.29999999999995,0.0,45.0,1850.95,450.6,1400.35,-526.1500000000001,45.0,919.1999999999998
2026-01-01 14:00:00+00:00,1996.6,42.75,0.0,45.0,2677.47499975,400.675,2276.7999997499996,-1953.85,45.0,367.94999974999973
2026-01-01 15:00:00+00:00,1510.275,76.8,304.0,45.0,2368.19999975,431.79999975,1936.4,-1433.4750000000001,-259.0,243.92499999999995
2026-01-01 16:00:00+00:00,1504.825,40.025,315.0,51.0,2212.5749997499997,395.025,1817.5499997499996,-1464.8,-264.0,88.74999974999969
2026-01-01 17:00:00+00:00,1562.425,26.925,314.0,95.0,2253.075,434.425,1818.6499999999999,-1535.5,-219.0,64.14999999999986
2026-01-01 18:00:00+00:00,1558.275,39.375,334.0,95.0,2614.47499975,444.375,2170.09999975,-1518.9,-239.0,412.19999974999973
2026-01-01 19:00:00+00:00,1255.175,0.175,339.0,101.0,2577.9,405.525,2172.375,-1255.0,-238.0,679.375
2026-01-01 20:00:00+00:00,1483.925,2.5,320.0,152.0,2803.2249997500003,407.5,2395.7249997500003,-1481.425,-168.0,746.2999997500003
2026-01-01 21:00:00+00:00,1095.325,0.0,300.0,179.0,2545.325,405.0,2140.325,-1095.325,-121.0,923.9999999999998
2026-01-01 22:00:00+00:00,1184.975,4.525,250.0,243.0,2809.525,409.525,2400.0,-1180.4499999999998,-7.0,1212.5500000000002
2026-01-01 23:00:00+00:00,1334.775,113.425,0.0,235.0,2624.975,494.0,2130.975,-1221.3500000000001,235.0,1144.6249999999998
2026-01-02 00:00:00+00:00,1295.225,129.925,0.0,198.0,2681.625,455.0,2226.625,-1165.3,198.0,1259.325
2026-01-02 01:00:00+00:00,1431.5,52.05,0.0,134.0,2810.0,416.425,2393.575,-1379.45,134.0,1148.1249999999998
2026-01-02 02:00:00+00:00,1441.625,82.44999999999999,0.0,168.0,2769.0,445.2,2323.8,-1359.175,168.0,1132.6250000000002
2026-01-02 03:00:00+00:00,1381.1,50.775000000000006,0.0,133.0,2638.0,453.15,2184.85,-1330.3249999999998,133.0,987.5250000000001
2026-01-02 04:00:00+00:00,1412.95,5.025,0.0,128.0,2551.875,433.425,2118.45,-1407.925,128.0,838.5249999999999
2026-01-02 05:00:00+00:00,1324.775,24.9,16.0,105.0,2457.2,399.25,2057.95,-1299.875,89.0,847.0749999999998
2026-01-02 06:00:00+00:00,1401.1000000000001,134.075,0.0,130.0,2224.275,569.3,1654.9750000000001,-1267.025,130.0,517.95
2026-01-02 07:00:00+00:00,72.325,498.15,0.0,170.0,532.1,692.025,-159.92499999999995,425.825,170.0,435.90000000000003
2026-01-02 08:00:00+00:00,40.724999999999994,1652.75,0.0,200.0,0.0,1226.0500000000002,-1226.0500000000002,1612.025,200.0,585.9749999999999
2026-01-02 09:00:00+00:00,225.05,2309.0,0.0,208.0,28.4,1649.84999975,-1621.44999975,2083.95,208.0,670.5000002499999
2026-01-02 10:00:00+00:00,326.75,2611.6,0.0,176.0,106.05,1864.0,-1757.95,2284.85,176.0,702.8999999999999
2026-01-02 11:00:00+00:00,499.05,2232.35,0.0,198.0,204.65,1738.15,-1533.5,1733.3,198.0,397.79999999999995
2026-01-02 12:00:00+00:00,515.075,1688.15,0.0,180.0,206.75,1439.95,-1233.2,1173.075,180.0,119.875
2026-01-02 13:00:00+00:00,171.475,282.90000000000003,0.0,105.0,272.3,615.65,-343.34999999999997,111.42500000000004,105.0,-126.92499999999993
2026-01-02 14:00:00+00:00,1542.275,151.875,0.0,45.0,1514.775,506.875,1007.9000000000001,-1390.4,45.0,-337.5
2026-01-02 15:00:00+00:00,1146.55,9.65,0.0,45.0,1142.8999999999999,459.975,682.9249999999998,-1136.8999999999999,45.0,-408.975
2026-01-02 16:00:00+00:00,984.3,93.05,0.0,51.0,1262.5,555.27499975,707.22500025,-891.25,51.0,-133.02499975
2026-01-02 17:00:00+00:00,911.55,261.325,0.0,45.0,1262.225,702.54999975,559.6750002499999,-650.2249999999999,45.0,-45.549999749999984
2026-01-02 18:00:00+00:00,1040.15,288.725,0.0,45.0,1486.4499999999998,682.975,803.4749999999998,-751.4250000000001,45.0,97.04999999999973
2026-01-02 19:00:00+00:00,1296.525,330.84999999999997,0.0,86.0,1880.32499975,753.0999995,1127.22500025,-965.6750000000002,86.0,247.5500002499998
2026-01-02 20:00:00+00:00,834.475,109.075,0.0,89.0,1445.0,616.05,828.95,-725.4,89.0,192.55000000000007
2026-01-02 21:00:00+00:00,387.2,224.325,0.0,169.0,1248.52499975,784.375,464.14999975,-162.875,169.0,470.27499975
2026-01-02 22:00:00+00:00,81.0,192.225,0.0,231.0,1011.0,761.075,249.92499999999995,111.225,231.0,592.15
2026-01-02 23:00:00+00:00,0.475,1154.9750000000001,45.0,220.0,556.45,890.875,-334.42499999999995,1154.5000000000002,175.0,995.0750000000003
2026-01-03 00:00:00+00:00,9.75,1116.925,45.0,240.0,625.3499999999999,746.275,-120.92500000000007,1107.175,195.0,1181.25
2026-01-03 01:00:00+00:00,18.15,944.925,39.0,226.0,975.79999975,710.625,265.17499975,926.775,187.0,1378.94999975
2026-01-03 02:00:00+00:00,22.2,945.025,45.0,179.0,1027.74999975,698.1,329.6499997499999,922.8249999999999,134.0,1386.4749997499998
2026-01-03 03:00:00+00:00,27.025,1043.825,45.0,124.0,1023.025,736.95,286.07499999999993,1016.8000000000001,79.0,1381.875
2026-01-03 04:00:00+00:00,7.0,904.275,30.0,65.0,990.35,742.975,247.375,897.275,35.0,1179.65
2026-01-03 05:00:00+00:00,5.1499999999999995,607.075,164.0,55.0,1226.65,745.95,480.70000000000005,601.9250000000001,-109.0,973.625
2026-01-03 06:00:00+00:00,112.35,419.975,179.0,55.0,931.85,671.575,260.275,307.625,-124.0,443.9
2026-01-03 07:00:00+00:00,0.0,1388.475,186.0,198.0,0.0,1187.2,-1187.2,1388.475,12.0,213.27499999999986
2026-01-03 08:00:00+00:00,0.0,1903.0,0.0,220.0,12.325,1797.0,-1784.675,1903.0,220.0,338.32500000000005
2026-01-03 09:00:00+00:00,73.0,1872.275,0.0,207.0,0.0,1897.45,-1897.45,1799.275,207.0,108.82500000000005
2026-01-03 10:00:00+00:00,1.125,1655.725,0.0,199.0,1.125,1726.475,-1725.35,1654.6,199.0,128.25
2026-01-03 11:00:00+00:00,11.425,1106.675,0.0,238.0,11.425,1179.85,-1168.425,1095.25,238.0,164.82500000000005
2026-01-03 12:00:00+00:00,414.85,799.4,0.0,227.0,254.27499975,906.025,-651.75000025,384.54999999999995,227.0,-40.200000250000016
2026-01-03 13:00:00+00:00,398.4,216.025,48.0,166.0,277.225,672.225,-395.0,-182.37499999999997,118.0,-459.375
2026-01-03 14:00:00+00:00,818.3,185.5,285.0,140.0,242.70000000000002,571.675,-328.9749999999999,-632.8,-145.0,-1106.7749999999999
2026-01-03 15:00:00+00:00,669.75,140.7,310.0,55.0,270.4,966.4000000000001,-696.0000000000001,-529.05,-255.0,-1480.0500000000002
2026-01-03 16:00:00+00:00,282.9,133.875,330.0,55.0,0.0,1235.25,-1235.25,-149.02499999999998,-275.0,-1659.275
2026-01-03 17:00:00+00:00,113.275,117.05,330.0,55.0,2.225,1480.49999975,-1478.27499975,3.7749999999999915,-275.0,-1749.49999975
2026-01-03 18:00:00+00:00,344.6,70.975,320.0,55.0,1.14999975,1237.99999975,-1236.85,-273.625,-265.0,-1775.475
2026-01-03 19:00:00+00:00,1042.4,77.85,324.0,91.0,80.125,589.625,-509.5,-964.5500000000001,-233.0,-1707.0500000000002
2026-01-03 20:00:00+00:00,1201.35,104.075,201.0,128.0,226.72499975,469.075,-242.35000025,-1097.2749999999999,-73.0,-1412.6250002499999
