,SE_3_SE_2,SE_2_SE_3,NO_4_SE_2,SE_2_NO_4,SE_1_SE_2,SE_2_SE_1,SE_2_NO_3,NO_3_SE_2,SE_2_NO_3_net_export,SE_2_NO_4_net_export,SE_2_SE_1_net_export,SE_2_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,4131.925,2.35,0.0,2.975,1842.725,1389.125,0.0,1389.125,-2.35,1839.75,4131.925,7358.450000000001
2026-01-01 01:00:00+00:00,0.0,5667.375,20.9,0.0,0.0,627.5,776.275,0.0,776.275,-20.9,627.5,5667.375,7050.25
2026-01-01 02:00:00+00:00,0.0,1708.4,0.0,2526.925,40.075,1690.875,852.425,0.0,852.425,2526.925,1650.8,1708.4,6738.550000000001
2026-01-01 03:00:00+00:00,0.0,3872.85,0.0,0.0,39.025,0.0,2628.25,0.0,2628.25,0.0,-39.025,3872.85,6462.075
2026-01-01 04:00:00+00:00,0.0,2418.45,0.0,0.0,19.025,0.0,4044.725,0.0,4044.725,0.0,-19.025,2418.45,6444.15
2026-01-01 05:00:00+00:00,0.0,2743.575,0.0,271.75,8.525,1094.275,2101.25,0.0,2101.25,271.75,1085.75,2743.575,6202.325
2026-01-01 06:00:00+00:00,0.0,3639.925,0.0,228.975,3.825,781.3,1544.85,0.0,1544.85,228.975,777.4749999999999,3639.925,6191.225
2026-01-01 07:00:00+00:00,0.0,2506.7,0.0,0.0,0.0,2449.625,1418.2,0.0,1418.2,0.0,2449.625,2506.7,6374.525
2026-01-01 08:00:00+00:00,0.0,4546.075,0.875,152.325,17.825,369.975,1500.3,0.0,1500.3,151.45,352.15000000000003,4546.075,6549.975
2026-01-01 09:00:00+00:00,0.0,2856.25,0.0,74.0,42.9,1416.325,2297.425,0.0,2297.425,74.0,1373.425,2856.25,6601.1
2026-01-01 10:00:00+00:00,0.0,3722.075,0.075,6.075,16.85,1343.675,1665.65,0.0,1665.65,6.0,1326.825,3722.075,6720.55
2026-01-01 11:00:00+00:00,0.0,5854.25,18.0,0.0,59.875,1238.675,0.0,0.0,0.0,-18.0,1178.8,5854.25,7015.05
2026-01-01 12:00:00+00:00,0.0,6139.275,0.0,0.0,98.65,1256.4,0.0,0.0,0.0,0.0,1157.75,6139.275,7297.025
2026-01-01 13:00:00+00:00,0.0,6284.175,3.0,0.0,13.6,659.825,638.475,0.0,638.475,-3.0,646.225,6284.175,7565.875
2026-01-01 14:00:00+00:00,0.0,6161.375,0.0,0.0,56.05,1753.0,0.0,0.0,0.0,0.0,1696.95,6161.375,7858.325
2026-01-01 15:00:00+00:00,0.0,5657.175,7.325,0.0,184.225,564.275,2090.925,0.0,2090.925,-7.325,380.04999999999995,5657.175,8120.825000000001
2026-01-01 16:00:00+00:00,0.0,8010.325,30.7,0.0,161.825,0.0,627.45,0.0,627.45,-30.7,-161.825,8010.325,8445.25
2026-01-01 17:00:00+00:00,0.0,6933.1,0.0,0.0,145.55,834.325,416.725,0.0,416.725,0.0,688.7750000000001,6933.1,8038.6
2026-01-01 18:00:00+00:00,0.0,7488.05,186.775,0.0,373.8,393.2,580.45,0.0,580.45,-186.775,19.399999999999977,7488.05,7901.125
2026-01-01 19:00:00+00:00,0.0,5150.1,191.15,0.0,250.8,0.0,2861.05,0.0,2861.05,-191.15,-250.8,5150.1,7569.200000000001
2026-01-01 20:00:00+00:00,0.0,6389.3,202.575,728.5,26.875,378.95,0.0,0.0,0.0,525.925,352.075,6389.3,7267.3
2026-01-01 21:00:00+00:00,0.0,5943.225,132.8,863.1,8.0,0.0,429.225,0.0,429.225,730.3,-8.0,5943.225,7094.75
2026-01-01 22:00:00+00:00,0.0,4739.375,3.375,0.0,1.25,1115.475,1057.325,0.0,1057.325,-3.375,1114.225,4739.375,6907.55
2026-01-01 23:00:00+00:00,0.0,4178.4,0.0,38.8,22.55,39.575,2401.25,0.0,2401.25,38.8,17.025000000000002,4178.4,6635.475
2026-01-02 00:00:00+00:00,0.0,3965.45,0.95,52.65,7.625,98.95,2386.3,0.0,2386.3,51.699999999999996,91.325,3965.45,6494.775
2026-01-02 01:00:00+00:00,0.0,3717.175,0.0,234.1,0.0,106.025,2408.725,0.0,2408.725,234.1,106.025,3717.175,6466.025
2026-01-02 02:00:00+00:00,0.0,3526.4,0.0,244.275,0.0,99.875,2456.725,0.0,2456.725,244.275,99.875,3526.4,6327.275
2026-01-02 03:00:00+00:00,0.0,3814.775,0.45,4.175,0.0,179.375,2419.25,0.0,2419.25,3.7249999999999996,179.375,3814.775,6417.125
2026-01-02 04:00:00+00:00,0.0,4150.75,0.7,0.0,10.875,95.225,2376.6,0.0,2376.6,-0.7,84.35,4150.75,6611.0
2026-01-02 05:00:00+00:00,0.0,5283.675,11.375,0.0,19.65,74.275,1824.975,0.0,1824.975,-11.375,54.62500000000001,5283.675,7151.9
2026-01-02 06:00:00+00:00,0.0,6636.0,14.85,0.0,109.65,0.0,1008.25,0.0,1008.25,-14.85,-109.65,6636.0,7519.75
2026-01-02 07:00:00+00:00,0.0,6745.65,2.45,0.0,217.3,0.0,895.25,0.0,895.25,-2.45,-217.3,6745.65,7421.15
2026-01-02 08:00:00+00:00,0.0,6742.15,0.0,0.0,340.4,0.0,852.275,0.0,852.275,0.0,-340.4,6742.15,7254.025
2026-01-02 09:00:00+00:00,0.0,6402.875,0.0,0.0,316.775,0.0,1167.55,0.0,1167.55,0.0,-316.775,6402.875,7253.65
2026-01-02 10:00:00+00:00,0.0,6392.025,0.0,0.0,319.225,0.0,1203.125,0.0,1203.125,0.0,-319.225,6392.025,7275.924999999999
2026-01-02 11:00:00+00:00,0.0,6363.175,9.3,0.0,201.675,0.0,1260.75,0.0,1260.75,-9.3,-201.675,6363.175,7412.950000000001
2026-01-02 12:00:00+00:00,0.0,6288.6,8.9,0.0,110.35,0.0,1365.075,0.0,1365.075,-8.9,-110.35,6288.6,7534.425
2026-01-02 13:00:00+00:00,0.0,6284.725,0.3,0.0,80.35,0.0,1456.075,0.0,1456.075,-0.3,-80.35,6284.725,7660.150000000001
2026-01-02 14:00:00+00:00,0.0,6315.225,2.75,0.0,133.975,0.0,1528.925,0.0,1528.925,-2.75,-133.975,6315.225,7707.425
2026-01-02 15:00:00+00:00,0.0,6164.8,1.625,0.0,128.2,0.0,1614.475,0.0,1614.475,-1.625,-128.2,6164.8,7649.45
2026-01-02 16:00:00+00:00,0.0,6223.825,1.825,0.0,123.075,0.0,1555.125,0.0,1555.125,-1.825,-123.075,6223.825,7654.049999999999
2026-01-02 17:00:00+00:00,0.0,5924.225,1.125,0.0,89.425,0.0,1896.45,0.0,1896.45,-1.125,-89.425,5924.225,7730.125
2026-01-02 18:00:00+00:00,0.0,5818.85,4.45,0.0,105.975,0.0,2077.55,0.0,2077.55,-4.45,-105.975,5818.85,7785.975
2026-01-02 19:00:00+00:00,0.0,5754.15,5.525,0.0,79.9,0.0,2122.9,0.0,2122.9,-5.525,-79.9,5754.15,7791.625
2026-01-02 20:00:00+00:00,0.0,5815.075,3.175,0.0,86.8,0.0,2090.275,0.0,2090.275,-3.175,-86.8,5815.075,7815.375
2026-01-02 21:00:00+00:00,0.0,5400.35,4.575,0.0,102.425,0.0,2452.825,0.0,2452.825,-4.575,-102.425,5400.35,7746.175
2026-01-02 22:00:00+00:00,0.0,5075.35,27.0,0.0,0.0,0.0,2755.4,0.0,2755.4,-27.0,0.0,5075.35,7803.75
2026-01-02 23:00:00+00:00,0.0,5684.125,21.4,0.0,215.525,0.0,1770.95,0.0,1770.95,-21.4,-215.525,5684.125,7218.15
2026-01-03 00:00:00+00:00,0.0,5501.25,2.725,0.0,192.1,0.0,1672.325,0.0,1672.325,-2.725,-192.1,5501.25,6978.75
2026-01-03 01:00:00+00:00,0.0,5156.875,0.0,0.0,96.875,0.0,1811.15,0.0,1811.15,0.0,-96.875,5156.875,6871.15
2026-01-03 02:00:00+00:00,0.0,5053.025,0.1,0.0,120.15,0.0,1870.875,0.0,1870.875,-0.1,-120.15,5053.025,6803.65
2026-01-03 03:00:00+00:00,0.0,5226.8,1.2,0.0,176.0,0.0,1615.175,0.0,1615.175,-1.2,-176.0,5226.8,6664.775
2026-01-03 04:00:00+00:00,0.0,5262.025,1.15,0.0,237.075,0.0,1700.35,0.0,1700.35,-1.15,-237.075,5262.025,6724.15
2026-01-03 05:00:00+00:00,0.0,5280.55,10.55,0.0,246.5,0.0,1717.7,0.0,1717.7,-10.55,-246.5,5280.55,6741.200000000001
2026-01-03 06:00:00+00:00,0.0,5670.75,20.075,0.0,301.975,0.0,1528.8,0.0,1528.8,-20.075,-301.975,5670.75,6877.5
2026-01-03 07:00:00+00:00,0.0,5905.35,0.0,0.225,364.525,0.0,1413.775,0.0,1413.775,0.225,-364.525,5905.35,6954.825000000001
2026-01-03 08:00:00+00:00,0.0,6186.9,0.0,0.0,496.0,0.0,1346.7,0.0,1346.7,0.0,-496.0,6186.9,7037.599999999999
2026-01-03 09:00:00+00:00,0.0,6227.65,0.0,0.025,468.475,0.0,1355.175,0.0,1355.175,0.025,-468.475,6227.65,7114.375
2026-01-03 10:00:00+00:00,0.0,6400.125,0.0,0.075,541.575,0.0,1193.225,0.0,1193.225,0.075,-541.575,6400.125,7051.85
2026-01-03 11:00:00+00:00,0.0,6383.15,0.875,0.0,611.3,0.0,1167.95,0.0,1167.95,-0.875,-611.3,6383.15,6938.924999999999
2026-01-03 12:00:00+00:00,0.0,6462.275,0.0,0.05,677.4,0.0,1103.125,0.0,1103.125,0.05,-677.4,6462.275,6888.049999999999
2026-01-03 13:00:00+00:00,0.0,6414.5,1.25,0.0,595.725,0.0,1165.425,0.0,1165.425,-1.25,-595.725,6414.5,6982.95
2026-01-03 14:00:00+00:00,0.0,6457.2,5.55,0.0,605.375,0.0,1122.0,0.0,1122.0,-5.55,-605.375,6457.2,6968.275
2026-01-03 15:00:00+00:00,0.0,6424.875,9.75,0.0,628.725,0.0,1127.525,0.0,1127.525,-9.75,-628.725,6424.875,6913.925
2026-01-03 16:00:00+00:00,0.0,6344.375,2.875,0.0,572.625,0.0,1190.4,0.0,1190.4,-2.875,-572.625,6344.375,6959.275
2026-01-03 17:00:00+00:00,0.0,6379.1,9.75,0.0,577.4,0.0,1119.45,0.0,1119.45,-9.75,-577.4,6379.1,6911.400000000001
2026-01-03 18:00:00+00:00,0.0,6289.35,7.5,0.0,610.275,0.0,1149.5,0.0,1149.5,-7.5,-610.275,6289.35,6821.075000000001
2026-01-03 19:00:00+00:00,0.0,6226.525,0.0,0.0,728.325,0.0,1134.1,0.0,1134.1,0.0,-728.325,6226.525,6632.299999999999
2026-01-03 20:00:00+00:00,0.0,6343.275,5.025,0.1,760.95,0.0,983.25,0.0,983.25,-4.925000000000001,-760.95,6343.275,6560.65
2026-01-03 21:00:00+00:00,0.0,6425.925,4.125,0.0,902.425,0.0,830.7,0.0,830.7,-4.125,-902.425,6425.925,6350.075000000001
2026-01-03 22:00:00+00:00,0.0,6026.8,0.0,0.25,745.175,0.0,943.35,0.0,943.35,0.25,-745.175,6026.8,6225.225
2026-01-03 23:00:00+00:00,0.0,5506.775,0.075,0.05,229.5,0.0,907.675,0.0,907.675,-0.024999999999999994,-229.5,5506.775,6184.924999999999
2026-01-04 00:00:00+00:00,0.0,5181.325,0.0,4.2,239.1,0.0,915.225,0.0,915.225,4.2,-239.1,5181.325,5861.65
2026-01-04 01:00:00+00:00,0.0,5057.125,0.0,4.825,268.575,0.0,873.25,0.0,873.25,4.825,-268.575,5057.125,5666.625
2026-01-04 02:00:00+00:00,0.0,4945.55,0.0,1.2,371.25,0.0,908.1,0.0,908.1,1.2,-371.25,4945.55,5483.6
2026-01-04 03:00:00+00:00,0.0,4827.9,0.0,4.725,366.55,0.0,891.8,0.0,891.8,4.725,-366.55,4827.9,5357.875
2026-01-04 04:00:00+00:00,0.0,4859.75,0.0,3.3,376.675,0.0,790.0,0.0,790.0,3.3,-376.675,4859.75,5276.375
