,DK_1_SE_3,SE_3_DK_1,SE_3_FI,FI_SE_3,SE_3_NO_1,NO_1_SE_3,SE_3_SE_2,SE_2_SE_3,SE_3_SE_4,SE_4_SE_3,SE_3_DK_1_net_export,SE_3_FI_net_export,SE_3_NO_1_net_export,SE_3_SE_2_net_export,SE_3_SE_4_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,527.175,1200.0,0.0,0.0,1265.4,0.0,4131.925,2840.65,0.0,527.175,1200.0,-1265.4,-4131.925,2840.65,-829.5000000000005
2026-01-01 01:00:00+00:00,0.0,438.325,1200.0,0.0,1229.075,0.0,0.0,5667.375,2216.5,0.0,438.325,1200.0,1229.075,-5667.375,2216.5,-583.4749999999999
2026-01-01 02:00:00+00:00,0.0,473.8,1200.0,0.0,0.0,1810.725,0.0,1708.4,2615.8,0.0,473.8,1200.0,-1810.725,-1708.4,2615.8,770.4750000000001
2026-01-01 03:00:00+00:00,0.0,733.275,1187.575,0.0,874.575,0.0,0.0,3872.85,1905.875,0.0,733.275,1187.575,874.575,-3872.85,1905.875,828.4500000000003
2026-01-01 04:00:00+00:00,0.0,733.15,1122.625,0.0,871.875,1465.075,0.0,2418.45,1942.675,0.0,733.15,1122.625,-593.2,-2418.45,1942.675,786.8000000000002
2026-01-01 05:00:00+00:00,0.0,729.55,1114.875,0.0,543.8,735.9,0.0,2743.575,1777.05,0.0,729.55,1114.875,-192.10000000000002,-2743.575,1777.05,685.8
2026-01-01 06:00:00+00:00,0.0,716.925,1166.6,0.0,541.55,0.0,0.0,3639.925,1598.9,0.0,716.925,1166.6,541.55,-3639.925,1598.9,384.0499999999997
2026-01-01 07:00:00+00:00,0.0,692.175,1185.975,0.0,0.0,844.6,0.0,2506.7,1364.8,0.0,692.175,1185.975,-844.6,-2506.7,1364.8,-108.35000000000014
2026-01-01 08:00:00+00:00,0.0,732.95,1200.0,0.0,1819.65,890.1,0.0,4546.075,1177.125,0.0,732.95,1200.0,929.5500000000001,-4546.075,1177.125,-506.4499999999998
2026-01-01 09:00:00+00:00,0.0,733.25,1193.675,0.0,0.0,922.025,0.0,2856.25,928.8,0.0,733.25,1193.675,-922.025,-2856.25,928.8,-922.55
2026-01-01 10:00:00+00:00,0.0,732.85,1196.6,0.0,683.375,981.85,0.0,3722.075,657.025,0.0,732.85,1196.6,-298.475,-3722.075,657.025,-1434.0749999999998
2026-01-01 11:00:00+00:00,0.0,732.875,1200.0,0.0,1312.1,0.0,0.0,5854.25,942.425,0.0,732.875,1200.0,1312.1,-5854.25,942.425,-1666.8500000000001
2026-01-01 12:00:00+00:00,0.0,732.925,1200.0,0.0,1347.625,0.0,0.0,6139.275,1131.925,0.0,732.925,1200.0,1347.625,-6139.275,1131.925,-1726.7999999999995
2026-01-01 13:00:00+00:00,0.0,638.625,1200.0,0.0,1335.5,0.0,0.0,6284.175,1172.0,0.0,638.625,1200.0,1335.5,-6284.175,1172.0,-1938.0500000000002
2026-01-01 14:00:00+00:00,0.0,103.65,1200.0,0.0,636.05,0.0,0.0,6161.375,1121.4,0.0,103.65,1200.0,636.05,-6161.375,1121.4,-3100.275
2026-01-01 15:00:00+00:00,72.975,23.375,1200.0,0.0,1270.65,1455.45,0.0,5657.175,989.975,0.0,-49.599999999999994,1200.0,-184.79999999999995,-5657.175,989.975,-3701.6
2026-01-01 16:00:00+00:00,0.0,58.275,1200.0,0.0,1878.85,0.0,0.0,8010.325,1237.325,0.0,58.275,1200.0,1878.85,-8010.325,1237.325,-3635.875
2026-01-01 17:00:00+00:00,0.0,167.8,1200.0,0.0,561.325,0.0,0.0,6933.1,1467.75,0.0,167.8,1200.0,561.325,-6933.1,1467.75,-3536.2250000000004
2026-01-01 18:00:00+00:00,0.0,315.775,1200.0,0.0,1158.55,0.0,0.0,7488.05,1359.325,0.0,315.775,1200.0,1158.55,-7488.05,1359.325,-3454.4000000000005
2026-01-01 19:00:00+00:00,0.0,566.475,1190.45,0.0,564.075,1526.875,0.0,5150.1,1140.425,0.0,566.475,1190.45,-962.8,-5150.1,1140.425,-3215.55
2026-01-01 20:00:00+00:00,0.0,720.025,1200.0,0.0,565.7,0.0,0.0,6389.3,1399.05,0.0,720.025,1200.0,565.7,-6389.3,1399.05,-2504.5249999999996
2026-01-01 21:00:00+00:00,0.0,732.9749999999999,1200.0,0.0,555.625,0.0,0.0,5943.225,1793.925,0.0,732.9749999999999,1200.0,555.625,-5943.225,1793.925,-1660.7000000000005
2026-01-01 22:00:00+00:00,0.0,733.2249999999999,1200.0,0.0,0.0,0.0,0.0,4739.375,1685.4,0.0,733.2249999999999,1200.0,0.0,-4739.375,1685.4,-1120.75
2026-01-01 23:00:00+00:00,0.0,712.0,991.475,0.0,71.85,7.425,0.0,4178.4,848.45,0.0,712.0,991.475,64.425,-4178.4,848.45,-1562.05
2026-01-02 00:00:00+00:00,0.0,732.425,584.475,0.0,92.875,10.325,0.0,3965.45,2114.9,0.0,732.425,584.475,82.55,-3965.45,2114.9,-451.0999999999999
2026-01-02 01:00:00+00:00,0.0,732.825,519.875,0.0,147.925,0.0,0.0,3717.175,2000.15,0.0,732.825,519.875,147.925,-3717.175,2000.15,-316.4000000000001
2026-01-02 02:00:00+00:00,0.0,660.125,338.025,0.0,157.85,0.0,0.0,3526.4,2263.9,0.0,660.125,338.025,157.85,-3526.4,2263.9,-106.5
2026-01-02 03:00:00+00:00,0.0,660.5,368.575,0.0,20.7,13.75,0.0,3814.775,2686.075,0.0,660.5,368.575,6.949999999999999,-3814.775,2686.075,-92.67500000000018
2026-01-02 04:00:00+00:00,0.0,659.5,839.75,0.0,0.0,147.6,0.0,4150.75,2390.1,0.0,659.5,839.75,-147.6,-4150.75,2390.1,-409.0
2026-01-02 05:00:00+00:00,0.0,653.1,1170.5,0.0,0.0,23.775,0.0,5283.675,1927.85,0.0,653.1,1170.5,-23.775,-5283.675,1927.85,-1556.0000000000005
2026-01-02 06:00:00+00:00,0.0,658.125,970.625,0.0,9.025,13.95,0.0,6636.0,3038.025,0.0,658.125,970.625,-4.924999999999999,-6636.0,3038.025,-1974.15
2026-01-02 07:00:00+00:00,0.0,660.5,542.5,0.0,19.15,0.0,0.0,6745.65,3461.375,0.0,660.5,542.5,19.15,-6745.65,3461.375,-2062.125
2026-01-02 08:00:00+00:00,0.0,659.825,513.175,0.0,19.25,0.0,0.0,6742.15,3378.725,0.0,659.825,513.175,19.25,-6742.15,3378.725,-2171.1749999999997
2026-01-02 09:00:00+00:00,0.0,569.925,383.15,0.0,0.0,0.0,0.0,6402.875,3265.8,0.0,569.925,383.15,0.0,-6402.875,3265.8,-2184.0
2026-01-02 10:00:00+00:00,0.0,487.8,468.35,0.0,0.0,0.05,0.0,6392.025,3294.75,0.0,487.8,468.35,-0.05,-6392.025,3294.75,-2141.1749999999993
2026-01-02 11:00:00+00:00,0.0,89.8,497.25,0.0,0.0,0.0,0.0,6363.175,3432.875,0.0,89.8,497.25,0.0,-6363.175,3432.875,-2343.25
2026-01-02 12:00:00+00:00,0.0,392.325,361.9,0.0,0.0,0.0,0.0,6288.6,3327.275,0.0,392.325,361.9,0.0,-6288.6,3327.275,-2207.1
2026-01-02 13:00:00+00:00,0.0,190.275,290.75,0.0,0.075,0.0,0.0,6284.725,3488.525,0.0,190.275,290.75,0.075,-6284.725,3488.525,-2315.1
2026-01-02 14:00:00+00:00,0.0,0.0,196.475,0.0,0.0,0.0,0.0,6315.225,4259.75,0.0,0.0,196.475,0.0,-6315.225,4259.75,-1859.0
2026-01-02 15:00:00+00:00,0.0,0.0,108.175,0.0,0.0,0.0,0.0,6164.8,4327.825,0.0,0.0,108.175,0.0,-6164.8,4327.825,-1728.8000000000002
