,PL_SE_4,SE_4_PL,LT_SE_4,SE_4_LT,SE_3_SE_4,SE_4_SE_3,SE_4_DE_LU,DE_LU_SE_4,SE_4_DK_2,DK_2_SE_4,SE_4_DE_LU_net_export,SE_4_DK_2_net_export,SE_4_LT_net_export,SE_4_PL_net_export,SE_4_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,600.0,0.0,700.0,2840.65,0.0,158.75,0.0,1275.3,0.0,158.75,1275.3,700.0,600.0,-2840.65,-106.59999999999991
2026-01-01 01:00:00+00:00,0.0,600.0,0.0,700.0,2216.5,0.0,151.25,0.0,903.2,0.0,151.25,903.2,700.0,600.0,-2216.5,137.94999999999982
2026-01-01 02:00:00+00:00,0.0,600.0,0.0,699.775,2615.8,0.0,0.0,51.0,489.625,0.0,-51.0,489.625,699.775,600.0,-2615.8,-877.4000000000001
2026-01-01 03:00:00+00:00,0.0,440.475,0.0,626.525,1905.875,0.0,0.0,102.0,112.0,0.0,-102.0,112.0,626.525,440.475,-1905.875,-828.875
2026-01-01 04:00:00+00:00,0.0,131.8,0.0,602.575,1942.675,0.0,0.0,204.0,554.125,0.0,-204.0,554.125,602.575,131.8,-1942.675,-858.175
2026-01-01 05:00:00+00:00,0.0,13.375,0.0,630.475,1777.05,0.0,0.0,204.0,496.475,0.0,-204.0,496.475,630.475,13.375,-1777.05,-840.7249999999999
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,688.475,1598.9,0.0,0.0,204.0,263.225,0.0,-204.0,263.225,688.475,0.0,-1598.9,-851.2
2026-01-01 07:00:00+00:00,524.725,0.0,0.0,699.075,1364.8,0.0,0.0,204.0,554.15,0.0,-204.0,554.15,699.075,-524.725,-1364.8,-840.3000000000001
2026-01-01 08:00:00+00:00,600.0,0.0,0.0,700.0,1177.125,0.0,0.0,204.0,466.95,0.0,-204.0,466.95,700.0,-600.0,-1177.125,-814.175
2026-01-01 09:00:00+00:00,600.0,0.0,0.0,670.8,928.8,0.0,0.0,204.0,163.225,0.0,-204.0,163.225,670.8,-600.0,-928.8,-898.775
2026-01-01 10:00:00+00:00,600.0,0.0,0.0,676.275,657.025,0.0,0.0,204.0,0.0,201.475,-204.0,-201.475,676.275,-600.0,-657.025,-986.225
2026-01-01 11:00:00+00:00,600.0,0.0,0.0,694.925,942.425,0.0,0.0,204.0,18.4,20.3,-204.0,-1.9000000000000021,694.925,-600.0,-942.425,-1053.4
2026-01-01 12:00:00+00:00,361.525,0.0,0.0,694.9,1131.925,0.0,0.0,204.0,0.0,308.85,-204.0,-308.85,694.9,-361.525,-1131.925,-1311.4
2026-01-01 13:00:00+00:00,0.0,0.0,0.0,560.6,1172.0,0.0,0.0,204.0,0.0,471.8,-204.0,-471.8,560.6,0.0,-1172.0,-1287.1999999999998
2026-01-01 14:00:00+00:00,0.0,55.825,0.0,676.5,1121.4,0.0,0.0,204.0,93.475,31.8,-204.0,61.675,676.5,55.825,-1121.4,-531.4000000000001
2026-01-01 15:00:00+00:00,0.0,95.275,0.0,698.35,989.975,0.0,0.0,204.0,82.6,39.2,-204.0,43.39999999999999,698.35,95.275,-989.975,-356.95000000000005
2026-01-01 16:00:00+00:00,0.0,59.375,0.0,662.05,1237.325,0.0,0.0,153.0,237.875,0.0,-153.0,237.875,662.05,59.375,-1237.325,-431.0250000000001
