,CZ_SK,SK_CZ,HU_SK,SK_HU,PL_SK,SK_PL,SK_CZ_net_export,SK_HU_net_export,SK_PL_net_export,Net Export
2026-01-01 00:00:00+00:00,36.575,14.075,21.375,2022.6,1265.125,78.55,-22.500000000000004,2001.225,-1186.575,792.1499999999999
2026-01-01 01:00:00+00:00,17.05,12.45,45.2,2092.35,1620.3500000000001,173.05,-4.600000000000001,2047.1499999999999,-1447.3000000000002,595.2499999999998
2026-01-01 02:00:00+00:00,0.0,0.0,44.475,2064.2,1361.0,2.725,0.0,2019.725,-1358.275,661.4499999999998
2026-01-01 03:00:00+00:00,0.0,0.0,41.425,2195.625,1612.75,1.025,0.0,2154.2,-1611.725,542.4749999999999
2026-01-01 04:00:00+00:00,19.7,0.0,15.05,1619.225,1109.25,0.0,-19.7,1604.175,-1109.25,475.2249999999999
2026-01-01 05:00:00+00:00,55.2,0.0,0.25,1613.5,1145.15,0.0,-55.2,1613.25,-1145.15,412.89999999999986
2026-01-01 06:00:00+00:00,26.775,0.0,9.15,3944.7,3332.75,0.0,-26.775,3935.5499999999997,-3332.75,576.0249999999996
2026-01-01 07:00:00+00:00,201.4,0.0,6.8,855.45,314.25,0.0,-201.4,848.6500000000001,-314.25,333.0000000000001
2026-01-01 08:00:00+00:00,248.05,0.0,56.7,809.025,489.75,0.0,-248.05,752.3249999999999,-489.75,14.52499999999992
2026-01-01 09:00:00+00:00,208.875,0.0,75.875,616.775,366.25,0.0,-208.875,540.9,-366.25,-34.22500000000002
2026-01-01 10:00:00+00:00,161.5,0.0,6.425,1167.225,1267.5,0.0,-161.5,1160.8,-1267.5,-268.20000000000005
2026-01-01 11:00:00+00:00,13.825,208.175,194.575,325.6,559.375,0.0,194.35000000000002,131.02500000000003,-559.375,-233.99999999999994
2026-01-01 12:00:00+00:00,89.5,14.575,350.35,152.925,114.525,215.4,-74.925,-197.425,100.875,-171.47500000000002
2026-01-01 13:00:00+00:00,77.225,28.549999999999997,77.85000000000001,868.25,724.25,12.0,-48.675,790.4,-712.25,29.475000000000023
2026-01-01 14:00:00+00:00,6.0,74.325,18.725,937.2750000000001,665.75,0.0,68.325,918.5500000000001,-665.75,321.1250000000001
2026-01-01 15:00:00+00:00,0.0,60.5,3.625,2311.625,2010.75,0.0,60.5,2308.0,-2010.75,357.75
2026-01-01 16:00:00+00:00,66.025,3.9499999999999997,3.25,2995.425,2422.75,0.0,-62.075,2992.175,-2422.75,507.35000000000036
2026-01-01 17:00:00+00:00,6.4,56.8,1.4,1220.9,798.75,0.0,50.4,1219.5,-798.75,471.1500000000001
2026-01-01 18:00:00+00:00,0.0,37.825,1.45,491.625,142.75,0.0,37.825,490.175,-142.75,385.25
2026-01-01 19:00:00+00:00,19.225,5.375,1.025,2381.55,2031.0,0.0,-13.850000000000001,2380.525,-2031.0,335.6750000000002
2026-01-01 20:00:00+00:00,90.675,1.475,2.8499999999999996,8644.175,8250.75,0.0,-89.2,8641.324999999999,-8250.75,301.3749999999982
2026-01-01 21:00:00+00:00,53.025000000000006,0.45,0.3,1125.75,653.25,0.0,-52.575,1125.45,-653.25,419.625
2026-01-01 22:00:00+00:00,62.75,0.0,1.4,1155.6,661.75,0.0,-62.75,1154.1999999999998,-661.75,429.6999999999998
2026-01-01 23:00:00+00:00,659.425,40.974999999999994,42.025,2527.075,1559.25,0.0,-618.4499999999999,2485.0499999999997,-1559.25,307.3499999999999
2026-01-02 00:00:00+00:00,607.4,22.475,30.075,2381.375,1534.75,0.0,-584.925,2351.3,-1534.75,231.62500000000023
2026-01-02 01:00:00+00:00,638.7,10.1,14.825000000000001,2269.275,1532.75,0.0,-628.6,2254.4500000000003,-1532.75,93.10000000000036
2026-01-02 02:00:00+00:00,570.575,0.275,0.175,2256.45,1467.75,0.0,-570.3000000000001,2256.2749999999996,-1467.75,218.22499999999945
2026-01-02 03:00:00+00:00,543.425,10.299999999999999,6.075,2226.8,1477.0,0.0,-533.125,2220.7250000000004,-1477.0,210.60000000000036
2026-01-02 04:00:00+00:00,617.2,92.55,75.475,2283.0,1488.0,0.0,-524.6500000000001,2207.525,-1488.0,194.875
2026-01-02 05:00:00+00:00,592.05,5.475,76.325,2320.275,1478.475,0.0,-586.5749999999999,2243.9500000000003,-1478.475,178.90000000000055
2026-01-02 06:00:00+00:00,654.475,63.725,98.25,2239.0,1429.65,0.0,-590.75,2140.75,-1429.65,120.34999999999991
2026-01-02 07:00:00+00:00,540.2249999999999,41.675,12.525,1756.525,1301.675,0.0,-498.5499999999999,1744.0,-1301.675,-56.22499999999991
2026-01-02 08:00:00+00:00,486.25,35.45,0.0,1446.975,1239.0,0.0,-450.8,1446.975,-1239.0,-242.82500000000005
2026-01-02 09:00:00+00:00,474.3,128.4,0.0,1577.6,1498.95,0.0,-345.9,1577.6,-1498.95,-267.2500000000002
2026-01-02 10:00:00+00:00,471.5,92.325,54.7,1268.9,1367.875,0.0,-379.175,1214.2,-1367.875,-532.8499999999999
2026-01-02 11:00:00+00:00,488.45,56.2,28.650000000000002,1285.725,1308.1,0.0,-432.25,1257.0749999999998,-1308.1,-483.2750000000001
2026-01-02 12:00:00+00:00,454.85,72.65,60.95,1195.825,1089.25,0.0,-382.20000000000005,1134.875,-1089.25,-336.57500000000005
2026-01-02 13:00:00+00:00,635.925,65.675,454.05,1797.525,838.525,0.0,-570.25,1343.4750000000001,-838.525,-65.29999999999984
2026-01-02 14:00:00+00:00,669.1,2.325,261.225,1999.6,763.325,0.0,-666.775,1738.375,-763.325,308.27499999999986
2026-01-02 15:00:00+00:00,778.325,1.525,60.925,2203.85,884.75,0.0,-776.8000000000001,2142.9249999999997,-884.75,481.37499999999955
2026-01-02 16:00:00+00:00,706.775,17.4,177.025,2176.975,776.1,0.0,-689.375,1999.9499999999998,-776.1,534.4749999999998
2026-01-02 17:00:00+00:00,854.8,17.1,98.69999999999999,2347.95,918.725,0.0,-837.6999999999999,2249.25,-918.725,492.82500000000016
2026-01-02 18:00:00+00:00,662.2,34.325,293.125,2244.825,776.5,0.0,-627.875,1951.6999999999998,-776.5,547.3249999999998
2026-01-02 19:00:00+00:00,846.275,28.3,137.22500000000002,2385.7,1052.25,0.0,-817.975,2248.475,-1052.25,378.25
2026-01-02 20:00:00+00:00,672.375,80.45,17.85,2324.875,1273.5,0.0,-591.925,2307.025,-1273.5,441.60000000000014
2026-01-02 21:00:00+00:00,632.375,2.925,1.3,2444.55,1414.825,0.0,-629.45,2443.25,-1414.825,398.9749999999999
2026-01-02 22:00:00+00:00,693.4749999999999,7.4,3.95,2576.85,1511.375,0.0,-686.0749999999999,2572.9,-1511.375,375.4500000000003
2026-01-02 23:00:00+00:00,346.325,0.225,1.1,2270.425,1431.175,0.0,-346.09999999999997,2269.3250000000003,-1431.175,492.0500000000004
2026-01-03 00:00:00+00:00,132.15,27.725,88.925,2055.825,1273.925,0.0,-104.42500000000001,1966.8999999999999,-1273.925,588.55
2026-01-03 01:00:00+00:00,143.1,48.975,58.224999999999994,1842.1,1328.175,0.0,-94.125,1783.875,-1328.175,361.57500000000005
2026-01-03 02:00:00+00:00,154.3,69.65,36.55,1732.25,1394.825,0.0,-84.65,1695.7,-1394.825,216.2249999999999
