,Hydro Run-of-river and poundage,Solar,Wind Onshore,Hydro Water Reservoir,Other renewable,Fossil Brown coal/Lignite,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,57.04,0.0,0.0,354.9,0.0,749.59,1161.53,0.44,0.0,1037.72,1161.97,1037.72,124.25
2026-01-01 01:00:00+00:00,24.17,0.0,0.0,333.6,0.0,750.72,1108.49,0.44,0.0,955.17,1108.93,955.17,153.7600000000001
2026-01-01 02:00:00+00:00,24.01,0.0,0.0,316.94,0.0,756.72,1097.67,0.44,0.0,930.8,1098.1100000000001,930.8,167.31000000000017
2026-01-01 03:00:00+00:00,24.0,0.0,0.0,313.77,0.0,760.18,1097.9499999999998,0.44,0.0,917.47,1098.3899999999999,917.47,180.91999999999985
2026-01-01 04:00:00+00:00,23.57,0.0,0.0,327.0,0.0,756.33,1106.9,0.44,0.0,974.23,1107.3400000000001,974.23,133.11000000000013
2026-01-01 05:00:00+00:00,25.16,0.0,0.0,336.77,0.0,752.83,1114.76,0.44,0.0,1014.22,1115.2,1014.22,100.98000000000002
2026-01-01 06:00:00+00:00,26.1,1.98,0.0,316.41,0.0,754.7,1099.19,0.44,0.0,1138.11,1099.63,1138.11,-38.47999999999979
2026-01-01 07:00:00+00:00,55.02,22.46,0.0,310.29,0.0,749.89,1137.66,0.44,0.0,1326.0,1138.1000000000001,1326.0,-187.89999999999986
2026-01-01 08:00:00+00:00,63.13,44.13,0.0,253.56,0.0,747.95,1108.77,0.44,0.0,1351.15,1109.21,1351.15,-241.94000000000005
2026-01-01 09:00:00+00:00,80.9,49.2,0.0,210.73,0.0,753.94,1094.77,0.44,0.0,1223.41,1095.21,1223.41,-128.20000000000005
2026-01-01 10:00:00+00:00,69.65,44.31,4.98,222.15,0.0,754.62,1095.71,0.44,0.0,1115.81,1096.15,1115.81,-19.659999999999854
2026-01-01 11:00:00+00:00,79.12,48.62,6.23,239.11,0.0,760.55,1133.63,0.44,0.0,1109.48,1134.0700000000002,1109.48,24.590000000000146
2026-01-01 12:00:00+00:00,54.87,39.13,0.0,251.39,0.0,757.09,1102.48,0.44,0.0,1087.88,1102.92,1087.88,15.039999999999964
2026-01-01 13:00:00+00:00,70.71,24.6,0.0,315.68,0.0,747.11,1158.1,0.44,0.0,1114.21,1158.54,1114.21,44.32999999999993
2026-01-01 14:00:00+00:00,69.52,7.34,0.0,500.26,0.0,752.32,1329.44,0.44,0.0,1206.65,1329.88,1206.65,123.23000000000002
2026-01-01 15:00:00+00:00,68.49,0.12,14.62,615.22,0.0,754.96,1453.41,0.44,0.0,1370.85,1453.8500000000001,1370.85,83.00000000000023
2026-01-01 16:00:00+00:00,70.99,0.0,13.76,680.74,0.0,747.74,1513.23,0.44,0.0,1433.67,1513.67,1433.67,80.0
2026-01-01 17:00:00+00:00,71.12,0.0,22.43,671.23,0.0,749.05,1513.83,0.44,0.0,1420.87,1514.27,1420.87,93.40000000000009
2026-01-01 18:00:00+00:00,69.82,0.0,24.15,630.45,0.0,769.45,1493.8700000000001,0.44,0.0,1394.04,1494.3100000000002,1394.04,100.27000000000021
2026-01-01 19:00:00+00:00,82.94,0.0,30.74,579.6,0.0,769.66,1462.94,0.44,0.0,1314.11,1463.38,1314.11,149.2700000000002
2026-01-01 20:00:00+00:00,76.88,0.0,53.98,509.58,0.0,758.23,1398.67,0.44,0.0,1237.5,1399.1100000000001,1237.5,161.61000000000013
2026-01-01 21:00:00+00:00,68.08,0.0,59.89,430.4,0.0,751.44,1309.81,0.44,0.0,1212.78,1310.25,1212.78,97.47000000000003
2026-01-01 22:00:00+00:00,52.69,0.0,62.54,316.42,0.0,722.0,1153.65,0.44,0.0,1012.42,1154.0900000000001,1012.42,141.6700000000002
2026-01-01 23:00:00+00:00,58.19,0.0,64.96,276.33,0.0,697.18,1096.6599999999999,0.44,0.0,847.34,1097.1,847.34,249.75999999999988
2026-01-02 00:00:00+00:00,44.32,0.0,47.55,153.77,0.0,735.37,981.01,0.44,0.0,765.75,981.45,765.75,215.70000000000005
2026-01-02 01:00:00+00:00,23.97,0.0,62.76,124.92,0.0,742.96,954.61,0.44,0.0,745.41,955.0500000000001,745.41,209.6400000000001
2026-01-02 02:00:00+00:00,23.97,0.0,68.23,106.69,0.0,730.62,929.51,0.44,0.0,723.99,929.95,723.99,205.96000000000004
2026-01-02 03:00:00+00:00,23.99,0.0,72.76,107.0,0.0,732.67,936.42,0.44,0.0,754.72,936.86,754.72,182.14
2026-01-02 04:00:00+00:00,26.5,0.0,83.08,202.73,0.0,736.94,1049.25,0.44,0.0,833.55,1049.69,833.55,216.1400000000001
2026-01-02 05:00:00+00:00,25.02,0.0,86.56,289.88,0.0,738.26,1139.72,0.44,0.0,985.98,1140.16,985.98,154.18000000000006
2026-01-02 06:00:00+00:00,33.69,0.0,91.93,378.63,0.0,738.94,1243.19,0.44,0.0,1152.17,1243.63,1152.17,91.46000000000004
2026-01-02 07:00:00+00:00,33.55,0.61,93.19,541.8,0.0,735.28,1404.4299999999998,0.44,0.0,1426.29,1404.87,1426.29,-21.420000000000073
2026-01-02 08:00:00+00:00,52.9,2.08,92.44,609.71,0.0,741.43,1498.56,0.44,0.0,1571.62,1499.0,1571.62,-72.61999999999989
2026-01-02 09:00:00+00:00,58.49,5.58,93.21,623.49,0.0,742.96,1523.73,0.44,0.0,1624.07,1524.17,1624.07,-99.89999999999986
2026-01-02 10:00:00+00:00,59.69,16.22,83.7,585.05,0.0,745.78,1490.44,0.44,0.0,1584.1,1490.88,1584.1,-93.2199999999998
2026-01-02 11:00:00+00:00,64.02,13.72,77.74,542.23,0.0,747.95,1445.66,0.44,0.0,1503.24,1446.1000000000001,1503.24,-57.13999999999987
2026-01-02 12:00:00+00:00,92.54,6.38,82.81,517.73,0.0,755.38,1454.8400000000001,0.44,0.0,1498.57,1455.2800000000002,1498.57,-43.289999999999736
2026-01-02 13:00:00+00:00,96.57,3.46,94.27,528.75,0.0,756.58,1479.63,0.44,0.0,1473.96,1480.0700000000002,1473.96,6.110000000000127
2026-01-02 14:00:00+00:00,96.12,1.83,72.45,533.31,0.0,758.38,1462.09,0.44,0.0,1400.41,1462.53,1400.41,62.11999999999989
2026-01-02 15:00:00+00:00,97.72,0.0,61.87,616.47,0.0,753.76,1529.8200000000002,0.44,0.0,1476.53,1530.2600000000002,1476.53,53.730000000000246
2026-01-02 16:00:00+00:00,81.08,0.0,57.96,671.48,0.0,757.56,1568.08,0.44,0.0,1525.77,1568.52,1525.77,42.75
2026-01-02 17:00:00+00:00,74.02,0.0,66.77,638.61,0.0,708.46,1487.8600000000001,0.44,0.0,1450.98,1488.3000000000002,1450.98,37.320000000000164
