,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Fossil Brown coal/Lignite,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,11.710656,306.81477,66.362363,1764.5832,4.858266,3.107,311.353257,49.6576,8.63888,990.26102,3517.347012,0.0,0.0,4992.17595,3517.347012,4992.17595,-1474.8289379999997
2026-01-01 01:00:00+00:00,10.901616,307.713995,66.413793,1764.4464,6.828713,3.119,289.370683,49.666,8.62895,957.54399,3464.6331400000004,0.0,0.0,4903.68863,3464.6331400000004,4903.68863,-1439.0554899999993
2026-01-01 02:00:00+00:00,10.91752,308.08449,67.608713,1764.9936,4.487858,3.501,295.221821,49.7361,8.67447,1009.70547,3522.931042,0.0,0.0,4795.4469,3522.931042,4795.4469,-1272.5158579999998
2026-01-01 03:00:00+00:00,11.322384,306.529335,67.554323,1764.4464,13.938071,3.419,290.542923,49.8433,8.62595,988.48054,3504.702226,0.0,0.0,4739.55801,3504.702226,4739.55801,-1234.8557839999999
2026-01-01 04:00:00+00:00,11.313792,307.234675,75.574164,1764.9936,15.742762,3.466,266.662816,49.6836,48.99814,941.90645,3485.5759989999997,0.0,0.0,4764.59884,3485.5759989999997,4764.59884,-1279.022841
2026-01-01 05:00:00+00:00,11.451728,308.01671,105.07265,1766.088,32.650884,3.465,242.595718,49.7153,122.22143,921.72194,3562.9993600000003,0.0,0.0,4832.02866,3562.9993600000003,4832.02866,-1269.0292999999997
2026-01-01 06:00:00+00:00,11.555856,307.63412,146.440037,1765.6776,423.421571,3.431,268.361428,49.4505,216.77827,923.11071,4115.861092,0.0,0.0,5026.14126,4115.861092,5026.14126,-910.2801680000002
2026-01-01 07:00:00+00:00,11.293728,306.65328,127.657777,1764.72,1527.974811,3.445,195.739028,49.6766,559.13908,920.40892,5466.708224,0.0,0.0,5169.26153,5466.708224,5169.26153,297.4466940000002
2026-01-01 08:00:00+00:00,11.780256,305.46256,91.676445,1764.8568,2283.951216,3.447,112.614905,49.5881,561.08642,939.28235,6123.746052,0.0,0.0,5195.45062,6123.746052,5195.45062,928.2954320000008
2026-01-01 09:00:00+00:00,11.99024,304.16812,73.378394,1765.2672,2452.335052,4.199,123.311024,49.7262,403.09427,981.19951,6168.669009999999,0.0,0.0,5411.09486,6168.669009999999,5411.09486,757.5741499999986
2026-01-01 10:00:00+00:00,11.892384,302.899445,66.557917,1764.72,2328.662542,4.409,239.441677,49.555,9.18606,922.19679,5699.520815,0.0,0.0,5409.63496,5699.520815,5409.63496,289.88585499999954
2026-01-01 11:00:00+00:00,12.078384,303.12534,67.311812,1764.72,2219.931818,4.313,224.229485,49.6788,8.61771,920.24309,5574.249439,0.0,0.0,5355.45143,5574.249439,5355.45143,218.7980090000001
2026-01-01 12:00:00+00:00,12.413504,303.725175,69.624551,1764.72,1841.893471,3.574,192.191076,49.6,8.68029,924.06451,5170.486577000001,0.0,0.0,5068.24887,5170.486577000001,5068.24887,102.23770700000023
