,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Other renewable,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,297.245,311.70500000000004,1.49,76.99,3530.8375,15.2475,0.0,28.51,152.5825,114.3325,10.89,254.20499999999998,1676.9524999999999,0.0,6470.987500000001,0.0,0.0,5976.9425,6470.987500000001,5976.9425,494.045000000001
2026-01-01 01:00:00+00:00,294.695,311.52750000000003,1.49,75.875,3530.94,15.2375,0.0,28.645,137.985,112.83,10.855,254.1275,1655.2275,0.0,6429.4349999999995,0.0,0.0,5900.6125,6429.4349999999995,5900.6125,528.8224999999993
2026-01-01 02:00:00+00:00,295.02750000000003,306.935,1.49,76.5325,3530.255,15.24,0.0,28.625,128.96,108.2625,9.6475,253.87,1676.085,0.0,6430.929999999999,0.0,0.0,5748.952499999999,6430.929999999999,5748.952499999999,681.9775
2026-01-01 03:00:00+00:00,293.855,312.4175,1.49,78.31,3528.5975,14.559999999999999,0.0,28.715,137.2625,110.42,10.2125,254.865,1674.9425,0.0,6445.6475,0.0,0.0,5749.85,6445.6475,5749.85,695.7974999999997
2026-01-01 04:00:00+00:00,295.08500000000004,323.5825,1.495,79.8125,3530.09,13.915000000000001,0.0,28.7225,151.1925,109.925,10.155,255.2425,1583.105,0.0,6382.3225,0.0,0.0,5781.85,6382.3225,5781.85,600.4724999999999
2026-01-01 05:00:00+00:00,294.765,335.01,1.5,81.0175,3530.5825,12.255,0.0,28.785,157.81,106.61,9.4725,257.7075,1624.2375,0.0,6439.7525,0.0,0.0,5814.08,6439.7525,5814.08,625.6724999999997
2026-01-01 06:00:00+00:00,290.47749999999996,339.125,1.505,75.19,3531.1525,11.615,19.6825,28.759999999999998,167.41750000000002,108.2375,20.805,258.9225,1554.09,0.0,6406.98,0.0,93.735,5935.205,6406.98,6028.94,378.03999999999996
2026-01-01 07:00:00+00:00,291.3125,340.4275,1.51,78.69749999999999,3532.085,10.1225,42.1275,28.939999999999998,175.8175,108.5275,17.4875,261.43,1378.7150000000001,0.0,6267.200000000001,0.0,642.5225,6073.2825,6267.200000000001,6715.805,-448.60499999999956
2026-01-01 08:00:00+00:00,291.79999999999995,330.315,1.5075,79.03999999999999,3533.02,10.370000000000001,163.8525,28.825,173.26,106.505,18.305,260.6325,1387.0725,0.0,6384.505,0.0,1006.0975,6503.535,6384.505,7509.6325,-1125.1274999999996
2026-01-01 09:00:00+00:00,293.3575,332.5325,1.51,78.59,3533.98,10.0,369.04,25.9975,172.485,104.48,14.6525,261.5325,1425.6100000000001,0.0,6623.7675,0.0,1083.5925,6984.9625,6623.7675,8068.554999999999,-1444.7874999999995
2026-01-01 10:00:00+00:00,298.63,332.4325,1.51,78.2425,3533.94,10.057500000000001,551.88,29.255,164.0425,102.61250000000001,11.75,261.9075,1443.1399999999999,0.0,6819.4,0.0,1103.9325,7275.6925,6819.4,8379.625,-1560.2250000000004
2026-01-01 11:00:00+00:00,299.125,331.23249999999996,1.51,59.64,3533.54,9.8125,651.2525,29.46,184.9375,99.52000000000001,13.3875,261.865,1365.8525,0.0,6841.134999999999,0.0,1095.0625,7308.355,6841.134999999999,8403.4175,-1562.2825000000003
2026-01-01 12:00:00+00:00,296.845,323.48,1.5,53.635,3529.9325,12.315,517.17,28.2925,206.43,104.60249999999999,16.4075,258.445,1412.56,0.0,6761.615,0.0,995.12,7271.6725,6761.615,8266.7925,-1505.1774999999998
2026-01-01 13:00:00+00:00,299.2325,347.4425,1.51,52.47,3528.72,10.14,306.0025,28.79,226.59,110.14500000000001,16.5425,262.3575,1551.835,0.0,6741.7775,0.0,309.53249999999997,7070.93,6741.7775,7380.462500000001,-638.6850000000004
2026-01-01 14:00:00+00:00,301.1125,356.13,1.52,52.885,3530.0875,9.1425,92.8725,28.855,236.0825,110.27250000000001,16.697499999999998,264.04,1774.62,0.0,6774.317500000001,0.0,0.0,6970.1825,6774.317500000001,6970.1825,-195.86499999999887
2026-01-01 15:00:00+00:00,301.6,384.03499999999997,1.53,51.845,3530.86,7.6425,21.72,29.1625,242.45749999999998,109.5525,22.97,267.275,2036.8999999999999,0.0,7007.55,71.775,0.0,7107.8625,7079.325,7107.8625,-28.537500000000364
2026-01-01 16:00:00+00:00,301.1575,387.0025,1.53,49.894999999999996,3530.8075,7.5875,0.0,29.105,268.7425,107.4875,25.895,266.885,2073.06,0.0,7049.155000000001,246.315,0.0,7188.245,7295.47,7188.245,107.22500000000036
2026-01-01 17:00:00+00:00,302.4575,386.42499999999995,1.53,47.9925,3531.325,7.275,0.0,29.189999999999998,272.5025,111.8275,22.395,268.125,2039.1999999999998,0.0,7020.244999999999,70.145,0.0,7168.53,7090.389999999999,7168.53,-78.14000000000033
2026-01-01 18:00:00+00:00,304.31,379.33,1.53,46.8875,3532.1549999999997,8.502500000000001,0.0,28.7875,271.05,108.0825,21.72,266.5025,2029.0149999999999,0.0,6997.8724999999995,6.6325,0.0,7059.455,7004.504999999999,7059.455,-54.95000000000073
2026-01-01 19:00:00+00:00,304.135,373.34,1.525,51.042500000000004,3533.3,9.18,0.0,28.997500000000002,248.19,107.885,16.975,264.9075,2074.29,0.0,7013.767500000001,246.8175,0.0,6950.0175,7260.585000000001,6950.0175,310.567500000001
2026-01-01 20:00:00+00:00,303.845,362.95,1.5175,51.375,3532.25,10.49,0.0,28.7075,255.8425,110.64999999999999,14.7075,262.07,2014.52,0.0,6948.924999999999,9.1575,0.0,6626.63,6958.0824999999995,6626.63,331.4524999999994
2026-01-01 21:00:00+00:00,299.97749999999996,317.4525,1.5,50.425,3532.165,13.690000000000001,0.0,28.5125,254.2825,105.975,14.89,256.175,1767.1425,0.0,6642.1875,0.0,0.0,6453.2925,6642.1875,6453.2925,188.89500000000044
2026-01-01 22:00:00+00:00,298.14,307.7825,1.49,48.8875,3533.9725,14.255,0.0,28.1425,266.85249999999996,102.1725,17.445,254.5775,1563.57,0.0,6437.287499999999,0.0,0.0,6190.4,6437.287499999999,6190.4,246.88749999999982
2026-01-01 23:00:00+00:00,297.98,314.2875,1.49,66.18,3535.315,15.219999999999999,0.0,28.134999999999998,265.4275,101.435,55.894999999999996,253.06,1569.62,0.0,6504.045000000002,0.0,0.0,5949.7875,6504.045000000002,5949.7875,554.2575000000015
2026-01-02 00:00:00+00:00,299.935,314.8425,1.4875,77.5775,3532.9975,15.112499999999999,0.0,28.575,260.7475,101.0625,12.515,252.5225,1517.7,0.0,6415.075000000001,0.0,0.0,6017.2125,6415.075000000001,6017.2125,397.8625000000011
2026-01-02 01:00:00+00:00,299.7325,314.2425,1.4849999999999999,78.695,3531.3475,15.315000000000001,0.0,28.4225,269.5175,101.44500000000001,13.245000000000001,252.26749999999998,1533.945,0.0,6439.659999999998,0.0,84.58,5907.1375,6439.659999999998,5991.7175,447.9424999999983
2026-01-02 02:00:00+00:00,300.06,314.02750000000003,1.4875,78.83,3530.2525,15.15,0.0,28.4125,272.6325,102.755,12.120000000000001,252.52,1529.69,0.0,6437.9375,0.0,325.1725,5787.41,6437.9375,6112.5824999999995,325.3550000000005
2026-01-02 03:00:00+00:00,301.0425,323.03499999999997,1.49,76.5825,3529.6125,14.6325,0.0,28.23,267.9325,106.305,12.8975,253.285,1561.5275,0.0,6476.572499999999,0.0,341.5725,5874.675,6476.572499999999,6216.2475,260.3249999999989
2026-01-02 04:00:00+00:00,302.065,337.46500000000003,1.4975,75.32499999999999,3529.39,13.807500000000001,0.0,28.5575,266.82,108.61749999999999,13.3,255.04500000000002,1616.4375,0.0,6548.3275,0.0,70.935,6187.255,6548.3275,6258.1900000000005,290.1374999999998
2026-01-02 05:00:00+00:00,306.0425,376.52,1.52,76.22,3529.5699999999997,9.325,0.0,28.8275,268.485,105.575,13.2025,264.0475,2012.885,0.0,6992.219999999999,63.92,0.0,6571.0925,7056.139999999999,6571.0925,485.0474999999997
2026-01-02 06:00:00+00:00,308.4325,392.0825,1.53,83.5,3530.1,7.035,22.6625,28.835,264.8525,105.7225,22.1025,267.145,2240.5675,0.0,7274.5675,344.79,0.0,7026.265,7619.3575,7026.265,593.0924999999997
2026-01-02 07:00:00+00:00,308.745,395.69,1.54,68.02250000000001,3528.0775,6.4525,41.1625,28.12,262.95,110.735,36.045,268.4675,2330.2825000000003,0.0,7386.29,276.81,0.0,7395.57,7663.1,7395.57,267.53000000000065
2026-01-02 08:00:00+00:00,309.22749999999996,397.715,1.54,69.29249999999999,3528.975,5.8025,140.87,28.197499999999998,270.1525,111.9125,22.9425,269.9475,2392.395,0.0,7548.970000000001,110.6325,0.0,7835.8425,7659.602500000001,7835.8425,-176.23999999999887
2026-01-02 09:00:00+00:00,309.72,395.9225,1.54,73.44,3529.77,6.1075,291.3475,27.9925,257.005,114.2475,17.8775,269.36,2427.17,0.0,7721.5,102.5675,0.0,8223.96,7824.0675,8223.96,-399.892499999999
2026-01-02 10:00:00+00:00,308.025,386.6675,1.53,73.2375,3529.1125,7.295,401.7425,28.11,258.155,111.68,17.5675,267.96,2449.9075000000003,0.0,7840.990000000001,0.0,0.0,8404.585,7840.990000000001,8404.585,-563.5949999999984
2026-01-02 11:00:00+00:00,304.27750000000003,382.4075,1.53,76.41499999999999,3528.3075,7.845,426.2625,28.16,259.3075,112.38749999999999,19.6025,266.71,2492.355,0.0,7905.567499999999,0.0,0.0,8428.1475,7905.567499999999,8428.1475,-522.5799999999999
2026-01-02 12:00:00+00:00,305.1825,377.1325,1.53,76.86500000000001,3525.975,8.695,415.0725,28.055,276.5525,113.3375,19.585,266.0,2623.945,0.0,8037.9275,0.0,0.0,8469.4775,8037.9275,8469.4775,-431.5500000000011
2026-01-02 13:00:00+00:00,297.355,386.2825,1.54,77.6425,3524.3424999999997,7.45,305.1025,28.2125,281.0525,114.855,20.8325,267.895,2733.8225,0.0,8046.384999999998,236.01999999999998,0.0,8272.355,8282.404999999999,8272.355,10.049999999999272
2026-01-02 14:00:00+00:00,298.585,397.9425,1.54,75.425,3525.2875,7.3025,122.06,27.995,284.08,117.3125,77.1525,267.5475,2773.2125,0.0,7975.442499999999,336.78999999999996,0.0,8159.4400000000005,8312.232499999998,8159.4400000000005,152.79249999999774
2026-01-02 15:00:00+00:00,299.4975,412.8825,1.5425,71.3375,3528.3125,5.4125,22.4675,28.09,276.99,117.01249999999999,162.9325,270.1075,2869.9275,0.0,8066.5125,575.3824999999999,0.0,8184.845,8641.895,8184.845,457.0500000000002
2026-01-02 16:00:00+00:00,308.825,411.48,1.54,72.3275,3529.6525,5.645,0.0,28.1475,268.735,116.8375,109.9525,269.5425,2940.9,0.0,8063.584999999999,428.2925,0.0,8218.0375,8491.877499999999,8218.0375,273.8399999999983
2026-01-02 17:00:00+00:00,309.3,412.62,1.54,74.395,3529.51,5.54,0.0,27.975,257.34749999999997,117.6875,25.2225,270.6,2975.245,0.0,8006.9825,683.815,0.0,8121.2125,8690.7975,8121.2125,569.585000000001
2026-01-02 18:00:00+00:00,308.34000000000003,413.09749999999997,1.54,76.565,3529.08,6.515000000000001,0.0,27.945,248.175,117.2675,20.3375,268.975,2952.465,0.0,7970.3025,716.5825,0.0,7977.15,8686.885,7977.15,709.7350000000006
2026-01-02 19:00:00+00:00,308.71000000000004,397.2275,1.54,77.25,3528.5725,7.842499999999999,0.0,27.9,227.70749999999998,116.72749999999999,16.052500000000002,267.3925,2896.44,0.0,7873.362499999999,543.74,0.0,7691.295,8417.102499999999,7691.295,725.807499999999
2026-01-02 20:00:00+00:00,307.78,381.9225,1.53,79.475,3528.9875,8.8,0.0,27.865000000000002,245.4475,115.94,12.004999999999999,265.2825,2685.8599999999997,0.0,7660.8949999999995,270.2075,0.0,7441.165,7931.102499999999,7441.165,489.9374999999991
