,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Other renewable,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,58.9,5.0,0.8,0.0,2.15,16.625,77.875,0.0,57.0,0.0,0.0,218.35000000000002,0.0,0.0,1065.85,218.35000000000002,1065.85,-847.4999999999999
2026-01-01 01:00:00+00:00,59.05,5.0,0.8,0.0,0.775,16.45,83.5,0.0,56.2,0.0,0.0,221.77499999999998,0.0,0.0,1100.225,221.77499999999998,1100.225,-878.4499999999999
2026-01-01 02:00:00+00:00,60.925,5.0,0.8,0.0,0.725,16.225,107.75,0.0,55.6,0.0,0.0,247.02499999999998,0.0,0.0,1075.65,247.02499999999998,1075.65,-828.6250000000001
2026-01-01 03:00:00+00:00,59.025,5.05,0.8,0.0,0.375,16.025,146.95,0.0,52.95,0.0,0.0,281.175,0.0,0.0,1077.9499999999998,281.175,1077.9499999999998,-796.7749999999999
2026-01-01 04:00:00+00:00,59.125,5.675,0.8,0.0,0.5,16.15,213.2,0.0,50.9,0.0,0.0,346.34999999999997,0.0,0.0,1079.5,346.34999999999997,1079.5,-733.1500000000001
2026-01-01 05:00:00+00:00,59.125,5.625,0.8,0.0,6.875,15.975,244.02499999999998,0.0,49.175,0.0,0.0,381.59999999999997,0.0,0.0,1036.8,381.59999999999997,1036.8,-655.2
2026-01-01 06:00:00+00:00,59.025,5.4,0.8,0.0,3.35,15.875,294.7,0.0,49.4,0.0,0.0,428.54999999999995,0.0,0.0,1067.475,428.54999999999995,1067.475,-638.925
2026-01-01 07:00:00+00:00,59.025,5.325,0.7,0.0,2.05,16.275,352.825,0.0,50.7,0.0,0.0,486.9,0.0,0.0,1141.975,486.9,1141.975,-655.0749999999999
2026-01-01 08:00:00+00:00,58.175,5.1,0.7,0.0,12.775,16.325,259.02500000000003,0.0,50.775,0.0,0.0,402.875,0.0,0.0,1170.6999999999998,402.875,1170.6999999999998,-767.8249999999998
2026-01-01 09:00:00+00:00,57.8,5.1,0.7,0.0,24.075,16.5,214.025,0.0,52.5,0.0,0.0,370.7,0.0,0.0,1134.025,370.7,1134.025,-763.325
2026-01-01 10:00:00+00:00,57.75,4.575,0.725,0.0,24.575,16.45,185.325,0.0,55.8,0.0,0.0,345.2,0.0,0.0,1139.0,345.2,1139.0,-793.8
2026-01-01 11:00:00+00:00,57.7,3.9,0.8,0.0,20.375,16.2,195.575,0.0,56.05,0.0,0.0,350.6,0.0,0.0,1152.2,350.6,1152.2,-801.6
2026-01-01 12:00:00+00:00,57.35,4.65,0.8,0.0,7.5,16.4,237.25,0.0,55.7,0.0,0.0,379.65,0.0,0.0,1180.75,379.65,1180.75,-801.1
2026-01-01 13:00:00+00:00,57.275,5.275,0.8,0.0,0.9,15.575,249.825,0.0,53.75,0.0,0.0,383.4,0.0,0.0,1215.225,383.4,1215.225,-831.8249999999999
2026-01-01 14:00:00+00:00,54.7,5.4,0.8,0.0,4.95,15.65,256.45,0.0,53.85,0.0,0.0,391.8,0.0,0.0,1212.275,391.8,1212.275,-820.4750000000001
2026-01-01 15:00:00+00:00,53.175,5.35,0.8,0.0,9.675,16.125,283.25,0.0,54.724999999999994,0.0,0.0,423.1,0.0,0.0,1205.95,423.1,1205.95,-782.85
2026-01-01 16:00:00+00:00,52.675000000000004,5.275,0.8,0.0,5.6,16.075,315.8,0.0,55.475,0.0,0.0,451.70000000000005,0.0,0.0,1235.425,451.70000000000005,1235.425,-783.7249999999999
2026-01-01 17:00:00+00:00,46.25,5.3,0.8,0.0,4.65,15.75,328.4,0.0,55.325,0.0,0.0,456.47499999999997,0.0,0.0,1224.85,456.47499999999997,1224.85,-768.375
2026-01-01 18:00:00+00:00,44.725,5.3,0.8,0.0,0.85,16.475,381.55,0.0,56.425,0.0,0.0,506.12500000000006,0.0,0.0,1217.525,506.12500000000006,1217.525,-711.4000000000001
2026-01-01 19:00:00+00:00,46.675,5.3,0.8,0.0,0.325,16.475,408.8,0.0,57.125,0.0,0.0,535.5,0.0,0.0,1249.4250000000002,535.5,1249.4250000000002,-713.9250000000002
2026-01-01 20:00:00+00:00,43.725,5.3,0.8,0.0,2.775,16.35,414.8,0.0,58.175,0.0,0.0,541.925,0.0,0.0,1136.7,541.925,1136.7,-594.7750000000001
2026-01-01 21:00:00+00:00,45.2,5.2,0.8,0.0,5.075,16.0,431.0,0.0,59.0,0.0,0.0,562.275,0.0,0.0,1060.475,562.275,1060.475,-498.19999999999993
2026-01-01 22:00:00+00:00,43.825,5.025,0.8,0.0,0.55,15.325,410.825,0.0,59.825,0.0,0.0,536.175,0.0,0.0,1083.075,536.175,1083.075,-546.9000000000001
2026-01-01 23:00:00+00:00,43.625,5.0,0.8,0.0,0.9,16.375,404.3,0.0,59.05,0.0,0.0,530.05,0.0,0.0,1107.225,530.05,1107.225,-577.175
2026-01-02 00:00:00+00:00,42.3,5.0,0.8,0.0,2.625,16.8,381.075,0.0,58.0,0.0,0.0,506.59999999999997,0.0,0.0,1081.425,506.59999999999997,1081.425,-574.825
2026-01-02 01:00:00+00:00,44.025,5.0,0.8,0.0,0.275,16.9,339.7,0.0,56.974999999999994,0.0,0.0,463.67499999999995,0.0,0.0,1072.45,463.67499999999995,1072.45,-608.7750000000001
2026-01-02 02:00:00+00:00,45.85,5.0,0.8,0.0,1.4,16.8,317.25,0.0,56.725,0.0,0.0,443.82500000000005,0.0,0.0,1077.9,443.82500000000005,1077.9,-634.075
2026-01-02 03:00:00+00:00,45.875,4.975,0.8,0.0,0.325,16.45,308.275,0.0,57.075,0.0,0.0,433.775,0.0,0.0,1151.125,433.775,1151.125,-717.35
2026-01-02 04:00:00+00:00,42.625,4.75,0.8,0.0,3.675,16.5,352.5,0.0,56.775,0.0,0.0,477.625,0.0,0.0,1094.525,477.625,1094.525,-616.9000000000001
2026-01-02 05:00:00+00:00,50.95,4.7,0.8,0.0,1.6500000000000001,15.825,356.8,0.0,54.55,0.0,0.0,485.27500000000003,0.0,0.0,1154.675,485.27500000000003,1154.675,-669.3999999999999
2026-01-02 06:00:00+00:00,55.175,4.7,0.75,0.0,0.375,15.5,357.675,0.0,56.95,0.0,0.0,491.125,0.0,0.0,1267.975,491.125,1267.975,-776.8499999999999
2026-01-02 07:00:00+00:00,57.349999999999994,4.7,0.7,0.0,2.55,16.15,347.125,0.0,55.6,0.0,0.0,484.175,0.0,0.0,1289.2,484.175,1289.2,-805.0250000000001
2026-01-02 08:00:00+00:00,57.875,4.7,0.7,0.0,12.175,16.299999999999997,301.125,0.0,55.475,0.0,0.0,448.35,0.0,0.0,1289.275,448.35,1289.275,-840.9250000000001
2026-01-02 09:00:00+00:00,57.9,4.7,0.7,0.0,18.675,15.775,269.275,0.0,56.225,0.0,0.0,423.25,0.0,0.0,1276.225,423.25,1276.225,-852.9749999999999
2026-01-02 10:00:00+00:00,57.9,4.775,0.7,0.0,20.625,14.75,233.725,0.0,56.85,0.0,0.0,389.32500000000005,0.0,0.0,1261.925,389.32500000000005,1261.925,-872.5999999999999
2026-01-02 11:00:00+00:00,57.625,4.9,0.7,0.0,20.65,14.4,216.55,0.0,57.625,0.0,0.0,372.45000000000005,0.0,0.0,1246.8,372.45000000000005,1246.8,-874.3499999999999
2026-01-02 12:00:00+00:00,57.175,4.9,0.7,0.0,9.775,15.65,187.525,0.0,57.85,0.0,0.0,333.57500000000005,0.0,0.0,1225.475,333.57500000000005,1225.475,-891.8999999999999
