,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Onshore,Fossil Hard coal,Other renewable,Fossil Peat,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,1228.275,342.6775,1.9,1670.65,4186.0,424.405,1.3,26.2575,1487.225,73.6425,52.9,427.02,9922.2525,19.619275000000002,0.0,12217.5,9941.871775,12217.5,-2275.6282250000004
2026-01-01 01:00:00+00:00,1185.725,317.3525,1.9,1577.35,4185.15,431.7025,1.3,23.7,1677.875,57.31425,52.9,424.12,9936.38925,2.64725,0.0,12308.25,9939.0365,12308.25,-2369.2135
2026-01-01 02:00:00+00:00,1177.5,281.6025,1.036455,1336.7,4186.275,434.585,1.2544,23.42725,1895.0,34.0955,52.30925,419.82,9843.605354999998,0.0,22.5515,12381.0,9843.605354999998,12403.5515,-2559.9461450000017
2026-01-01 03:00:00+00:00,1145.675,265.3825,0.0,1117.575,4188.175,423.0475,1.2,23.1,2105.425,6.03265,51.6,416.865,9744.07765,0.0,29.126675000000002,12457.25,9744.07765,12486.376675,-2742.2990250000003
2026-01-01 04:00:00+00:00,1161.35,208.32,0.0,1119.775,4188.15,429.05,1.2,23.1,2172.475,6.68735,51.6,408.485,9770.192350000001,38.931225,0.0,12435.0,9809.123575000001,12435.0,-2625.8764249999986
2026-01-01 05:00:00+00:00,1155.8,190.5375,0.0,1175.675,4188.5,426.52,1.2,23.1,2330.175,6.842625,51.6,410.395,9960.345125,15.799975,0.0,12524.75,9976.1451,12524.75,-2548.6049000000003
2026-01-01 06:00:00+00:00,1166.4,191.1525,0.0,1183.5,4187.525,430.8625,1.2,23.1,2317.875,5.1901,51.6,411.775,9970.1801,0.0,11.070249999999998,12773.25,9970.1801,12784.32025,-2814.140150000001
2026-01-01 07:00:00+00:00,1160.375,190.75,0.0,1278.95,4188.174999999999,424.81,7.02685,23.1,2536.625,4.7,51.6,418.305,10284.416850000001,0.0,16.25425,12939.0,10284.416850000001,12955.25425,-2670.8373999999985
2026-01-01 08:00:00+00:00,1177.875,190.075,0.0,1351.75,4188.675,394.96250000000003,31.3695,24.7605,2501.675,4.7,51.6,424.46500000000003,10341.907500000001,13.785375,0.0,13073.0,10355.692875,13073.0,-2717.3071249999994
2026-01-01 09:00:00+00:00,1193.35,190.7225,0.0,1464.0,4189.2,389.3575,54.32775,28.9505,2619.275,4.7,51.6,432.78,10618.263250000002,0.2937499999999993,0.0,13225.5,10618.557000000003,13225.5,-2606.9429999999975
