,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-02 01:00:00+00:00,190.7,1063.22,45.21,2228.68,41284.28,0.0,248.48,521.05,0.0,0.0,281.49,45863.11,0.0,2531.7,62347.9,45863.11,64879.6,-19016.489999999998
2026-01-02 02:00:00+00:00,276.2375,1592.6825,70.26,2493.0425,49917.45,0.0,371.625,598.61,0.0,0.0,275.91,55595.817500000005,0.0,3395.3925,61573.262500000004,55595.817500000005,64968.655000000006,-9372.837500000001
2026-01-02 03:00:00+00:00,276.1875,1607.07,70.6175,2462.4825,49824.0525,0.0,372.865,617.6,0.0,0.0,202.24,55433.11499999999,0.0,3484.3,61174.57,55433.11499999999,64658.87,-9225.755000000012
2026-01-02 04:00:00+00:00,274.3375,1613.5875,70.06,2504.825,50755.47,0.0,374.60249999999996,707.6575,0.0,0.0,383.0825,56683.6225,0.0,3257.565,62596.95,56683.6225,65854.515,-9170.892500000002
2026-01-02 05:00:00+00:00,273.34,1630.2350000000001,70.1575,2614.63,52089.5325,0.0,373.2275,637.3975,0.0,0.0,1058.545,58747.065,0.0,3102.9399999999996,65620.42,58747.065,68723.36,-9976.294999999998
2026-01-02 06:00:00+00:00,274.3625,1874.6175,70.02250000000001,2922.8575,53791.58,0.0,373.2375,648.2875,0.0,0.0,1521.955,61476.920000000006,0.0,2849.3775,67697.5,61476.920000000006,70546.8775,-9069.957499999997
2026-01-02 07:00:00+00:00,275.7125,2271.6724999999997,70.2975,3196.25,54749.8425,137.89,368.325,720.685,1399.935,0.0,2405.6025,65596.2125,0.0,987.26,69946.94,65596.2125,70934.2,-5337.987500000003
2026-01-02 08:00:00+00:00,278.29,2522.73,70.1875,3709.85,54888.83,1780.69,370.41499999999996,738.835,6543.655,0.0,3072.1725,73975.65500000001,13.409999999999973,0.0,72345.83,73989.06500000002,72345.83,1643.2350000000151
2026-01-02 09:00:00+00:00,279.5025,2555.9225,70.2125,3810.13,54891.167499999996,4628.3175,371.1,807.4975,5563.6,0.0,3092.7875000000004,76070.23750000002,342.8125,0.0,73870.825,76413.05000000002,73870.825,2542.2250000000204
2026-01-02 10:00:00+00:00,273.5675,2199.6025,70.1525,3515.52,54908.72,6546.69,368.345,661.055,5405.97,0.0,2900.41,76850.0325,442.13,0.0,74089.17,77292.1625,74089.17,3202.9925000000076
2026-01-02 11:00:00+00:00,268.39,2106.265,70.36500000000001,3317.5875,54914.1275,7335.6175,381.46500000000003,716.3924999999999,5688.145,0.0,2668.095,77466.45000000001,396.375,0.0,74772.5125,77862.82500000001,74772.5125,3090.3125000000146
2026-01-02 12:00:00+00:00,267.71750000000003,2235.9849999999997,70.47,3064.12,54865.7325,7025.639999999999,382.17,886.1975,6109.005,0.0,2282.03,77189.06749999999,288.40749999999997,0.0,72654.0825,77477.47499999999,72654.0825,4823.392499999987
2026-01-02 13:00:00+00:00,265.84000000000003,2592.605,70.7175,2926.86,54888.1375,5704.172500000001,383.0,816.655,6243.6449999999995,0.0,2589.6275,76481.26,120.2425,0.0,70726.8275,76601.50249999999,70726.8275,5874.674999999988
2026-01-02 14:00:00+00:00,266.14750000000004,3044.9125,70.5475,3284.1099999999997,54983.354999999996,3455.87,382.9125,924.8375,5412.1675,147.98250000000002,2818.0299999999997,74790.87249999998,260.29249999999996,0.0,69077.7,75051.16499999998,69077.7,5973.464999999982
2026-01-02 15:00:00+00:00,261.29499999999996,4613.8125,70.26,3537.4875,55011.479999999996,1083.865,383.93,849.185,4918.3425,334.73,3374.0825000000004,74438.46999999999,993.1675,0.0,68767.545,75431.63749999998,68767.545,6664.092499999984
2026-01-02 16:00:00+00:00,245.6625,5745.58,70.02,4142.0125,55030.38,261.355,381.275,957.5975000000001,4827.105,513.49,3899.045,76073.5225,2021.4,0.0,71500.4975,78094.9225,71500.4975,6594.425000000003
