,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore,Fossil Hard coal,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,1723.5,6698.0,0.0,375.0,4097.5,429.0,0.0,11026.2215,6198.6900000000005,0.0,30547.911500000002,2.0,0.0,29668.5,30549.911500000002,29668.5,881.411500000002
2026-01-01 01:00:00+00:00,1826.0,6869.0,0.0,359.5,4134.0,744.5,0.0,11274.83,6356.637500000001,0.0,31564.467500000002,2.0,0.0,28650.0,31566.467500000002,28650.0,2916.4675000000025
2026-01-01 02:00:00+00:00,1721.5,6046.0,0.0,290.5,4198.5,357.5,0.0,11577.260999999999,6447.6335,0.0,30638.8945,2.0,0.0,27963.5,30640.8945,27963.5,2677.3944999999985
2026-01-01 03:00:00+00:00,1413.0,5422.5,0.0,244.0,4210.0,290.0,0.0,11993.996500000001,6672.6085,0.0,30246.105000000003,2.0,0.0,25965.0,30248.105000000003,25965.0,4283.105000000003
2026-01-01 04:00:00+00:00,1427.5,4836.0,0.0,225.0,4207.5,163.5,0.0,12398.151,6522.885,0.0,29780.536,2.0,0.0,24366.0,29782.536,24366.0,5416.536
2026-01-01 05:00:00+00:00,1276.0,4412.5,0.0,224.0,4207.5,464.5,0.0,12420.1195,6524.898999999999,0.0,29529.5185,2.0,0.0,23560.0,29531.5185,23560.0,5971.518499999998
2026-01-01 06:00:00+00:00,1141.5,4060.5,0.0,231.0,4207.5,699.0,0.0,12472.344000000001,6521.998,0.0,29333.842,2.0,0.0,24673.0,29335.842,24673.0,4662.842000000001
2026-01-01 07:00:00+00:00,1125.5,4013.5,0.0,261.5,4210.5,424.0,0.0,12168.8065,6728.304,0.0,28932.1105,2.0,0.0,26998.5,28934.1105,26998.5,1935.6104999999989
2026-01-01 08:00:00+00:00,1134.5,4388.5,0.0,288.0,4209.0,292.5,118.0,12139.3555,6899.9115,0.0,29469.767,2.0,0.0,30202.0,29471.767,30202.0,-730.2330000000002
2026-01-01 09:00:00+00:00,1144.5,4621.5,0.0,335.5,4213.0,299.0,1192.0,12136.325499999999,6705.446,0.0,30647.2715,2.0,0.0,33581.5,30649.2715,33581.5,-2932.228500000001
2026-01-01 10:00:00+00:00,1142.5,4578.5,0.0,306.5,4215.5,489.0,2440.0,12271.037499999999,6917.589,0.0,32360.6265,2.0,0.0,36824.5,32362.6265,36824.5,-4461.8735000000015
2026-01-01 11:00:00+00:00,1140.5,4240.0,0.0,306.0,4225.0,426.5,3059.5,12351.99,7327.361,0.0,33076.850999999995,2.0,0.0,38036.5,33078.850999999995,38036.5,-4957.649000000005
2026-01-01 12:00:00+00:00,1142.0,4085.0,0.0,298.5,4275.0,524.0,2840.0,12290.003499999999,7475.765,0.0,32930.2685,2.0,0.0,40999.0,32932.2685,40999.0,-8066.731500000002
2026-01-01 13:00:00+00:00,1137.0,4440.5,0.0,305.5,4308.0,503.5,2108.5,12231.014,7515.036,0.0,32549.05,2.0,0.0,41415.5,32551.05,41415.5,-8864.45
2026-01-01 14:00:00+00:00,1139.5,4803.0,0.0,309.5,4307.0,543.0,1237.0,11988.6555,7588.728999999999,0.0,31916.3845,2.0,0.0,40671.5,31918.3845,40671.5,-8753.1155
2026-01-01 15:00:00+00:00,1143.0,4843.0,0.0,345.5,4304.0,538.0,318.5,11495.468,7399.477,0.0,30386.945,540.5,0.0,42134.5,30927.445,42134.5,-11207.055
2026-01-01 16:00:00+00:00,1134.0,5223.0,0.0,372.5,4314.0,907.0,0.0,11391.6525,7558.693499999999,0.0,30900.845999999998,1031.0,0.0,44181.0,31931.845999999998,44181.0,-12249.154000000002
2026-01-01 17:00:00+00:00,1136.5,5325.5,0.0,390.5,4274.5,1885.5,0.0,11320.3575,7464.143,0.0,31797.0005,1230.5,0.0,45646.0,33027.500499999995,45646.0,-12618.499500000005
2026-01-01 18:00:00+00:00,1127.5,5390.0,0.0,385.0,4242.5,1168.5,0.0,11316.165,7629.123,0.0,31258.788,1050.0,0.0,44779.5,32308.788,44779.5,-12470.712
2026-01-01 19:00:00+00:00,1133.5,4873.5,0.0,392.5,4241.0,598.5,0.0,11339.4705,7719.5595,0.0,30298.03,893.0,0.0,43071.0,31191.03,43071.0,-11879.970000000001
