,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Solar,Waste,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Geothermal,Other renewable,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,76.4,423.2,11.6,45.0,0.0,4.8,187.8,200.60000000000002,387.4,0.0,35.6,1372.3999999999999,0.0,6.3,2109.25,1372.3999999999999,2115.55,-743.1500000000003
2026-01-01 01:00:00+00:00,76.4,423.2,12.5,44.599999999999994,0.0,4.8,167.0,199.6,378.8,0.0,35.6,1342.5,0.0,6.4,1994.25,1342.5,2000.65,-658.1500000000001
2026-01-01 02:00:00+00:00,76.0,423.0,13.8,44.699999999999996,0.0,3.2,153.6,199.6,345.0,0.0,35.6,1294.5,0.0,6.4,1909.0,1294.5,1915.4,-620.9000000000001
2026-01-01 03:00:00+00:00,76.4,422.0,14.0,44.5,0.0,3.2,138.2,198.6,348.5,0.0,35.6,1281.0,0.0,6.5,1868.25,1281.0,1874.75,-593.75
2026-01-01 04:00:00+00:00,76.4,438.5,14.4,44.599999999999994,0.0,3.2,99.2,198.5,470.7,0.0,35.6,1381.1,0.0,6.5,1873.5,1381.1,1880.0,-498.9000000000001
2026-01-01 05:00:00+00:00,76.4,442.2,13.8,65.4,0.0,3.2,99.19999999999999,199.8,469.4,0.0,35.6,1405.0,0.0,6.6,1931.75,1405.0,1938.35,-533.3499999999999
2026-01-01 06:00:00+00:00,76.0,442.4,12.3,84.69999999999999,4.5,3.2,120.7,200.7,470.0,0.0,35.6,1450.1,0.0,6.4,1959.25,1450.1,1965.65,-515.5500000000002
2026-01-01 07:00:00+00:00,73.6,444.20000000000005,11.0,83.7,45.7,3.2,144.7,202.6,463.6,0.0,35.2,1507.5000000000002,0.0,6.6,2043.5,1507.5000000000002,2050.1,-542.5999999999997
2026-01-01 08:00:00+00:00,74.8,445.7,11.5,83.6,110.3,3.2,170.2,203.1,366.6,0.0,35.2,1504.2,0.0,6.4,2121.0,1504.2,2127.4,-623.2
2026-01-01 09:00:00+00:00,74.8,446.6,12.100000000000001,83.4,135.7,3.2,180.6,203.0,374.0,0.0,35.2,1548.6000000000001,0.0,6.4,2166.75,1548.6000000000001,2173.15,-624.55
2026-01-01 10:00:00+00:00,74.8,446.7,10.4,83.0,162.3,3.2,218.0,200.8,361.0,0.0,35.2,1595.4,0.0,6.4,2184.75,1595.4,2191.15,-595.75
2026-01-01 11:00:00+00:00,74.4,446.3,10.9,83.0,142.0,3.2,241.8,197.0,364.4,0.0,35.2,1598.2,0.0,6.4,2185.5,1598.2,2191.9,-593.7
2026-01-01 12:00:00+00:00,74.4,445.8,11.1,83.1,140.1,3.2,289.1,195.5,410.1,0.0,35.2,1687.6000000000001,0.0,6.4,2146.75,1687.6000000000001,2153.15,-465.54999999999995
2026-01-01 13:00:00+00:00,74.8,445.0,10.3,83.7,80.0,3.2,408.5,194.0,446.0,0.0,35.2,1780.7,0.0,6.4,2151.0,1780.7,2157.4,-376.70000000000005
2026-01-01 14:00:00+00:00,76.0,443.8,10.0,118.1,32.4,3.2,521.5,193.2,698.5,0.0,35.2,2131.8999999999996,221.8,0.0,2219.75,2353.7,2219.75,133.94999999999982
2026-01-01 15:00:00+00:00,76.4,443.3,12.0,139.9,2.5,3.2,532.8,197.7,739.2,0.0,35.2,2182.2,257.3,0.0,2345.75,2439.5,2345.75,93.75
2026-01-01 16:00:00+00:00,76.4,443.7,12.8,140.7,0.0,4.8,589.7,198.1,727.2,0.0,35.2,2228.5999999999995,257.1,0.0,2493.0,2485.6999999999994,2493.0,-7.300000000000637
2026-01-01 17:00:00+00:00,76.4,443.7,12.9,141.2,0.4,4.8,696.7,196.6,744.9,0.0,35.2,2352.7999999999997,257.2,0.0,2502.25,2609.9999999999995,2502.25,107.74999999999955
2026-01-01 18:00:00+00:00,76.4,443.5,12.9,136.8,0.0,4.8,716.1,196.8,744.2,0.0,34.8,2366.3,257.2,0.0,2518.25,2623.5,2518.25,105.25
2026-01-01 19:00:00+00:00,76.4,443.9,9.899999999999999,113.6,0.0,4.8,793.5,198.0,703.3,0.0,34.8,2378.2,257.1,0.0,2490.5,2635.2999999999997,2490.5,144.79999999999973
2026-01-01 20:00:00+00:00,76.4,443.0,10.4,93.5,0.0,4.8,720.0,199.8,683.7,0.0,34.8,2266.4,254.3,0.0,2465.25,2520.7000000000003,2465.25,55.45000000000027
2026-01-01 21:00:00+00:00,76.4,427.8,10.4,66.5,0.0,4.8,739.4,200.0,653.9000000000001,0.0,34.8,2214.0,125.69999999999999,0.0,2331.25,2339.7,2331.25,8.449999999999818
2026-01-01 22:00:00+00:00,76.4,423.3,10.4,66.2,0.0,3.2,834.3,200.7,559.7,0.0,35.2,2209.4,0.0,6.4,2129.0,2209.4,2135.4,74.0
2026-01-01 23:00:00+00:00,76.4,424.4,10.5,64.10000000000001,0.0,3.2,899.1,202.0,342.3,0.0,34.4,2056.4,0.0,6.300000000000001,1911.75,2056.4,1918.05,138.35000000000014
2026-01-02 00:00:00+00:00,76.4,424.6,10.8,46.1,0.0,3.2,894.5,202.4,343.4,0.0,34.0,2035.4,0.0,6.300000000000001,1765.0,2035.4,1771.3,264.10000000000014
2026-01-02 01:00:00+00:00,76.4,424.7,11.4,46.0,0.0,3.2,861.4,202.4,351.3,0.0,34.4,2011.2,0.0,6.2,1685.5,2011.2,1691.7,319.5
2026-01-02 02:00:00+00:00,75.2,424.9,12.4,45.8,0.0,3.2,904.9,201.3,353.1,0.0,34.0,2054.8,0.0,6.4,1650.75,2054.8,1657.15,397.6500000000001
2026-01-02 03:00:00+00:00,75.2,424.3,12.8,45.7,0.0,3.2,944.4,203.10000000000002,344.0,0.0,34.4,2087.1,0.0,6.300000000000001,1669.5,2087.1,1675.8,411.29999999999995
2026-01-02 04:00:00+00:00,76.0,439.70000000000005,12.700000000000001,45.400000000000006,0.0,3.2,837.8000000000001,202.0,374.7,0.0,34.0,2025.5000000000002,0.0,6.300000000000001,1771.75,2025.5000000000002,1778.05,247.45000000000027
2026-01-02 05:00:00+00:00,76.4,440.8,12.0,68.8,0.0,2.8,805.0,200.7,471.6,0.0,33.2,2111.2999999999997,0.0,6.4,2010.5,2111.2999999999997,2016.9,94.39999999999964
2026-01-02 06:00:00+00:00,75.2,440.5,10.8,72.1,1.2,4.4,756.0,200.9,494.9,0.0,33.2,2089.2,0.0,6.2,2215.25,2089.2,2221.45,-132.25
2026-01-02 07:00:00+00:00,74.4,441.4,10.7,72.7,20.200000000000003,4.8,735.0,201.2,481.6,0.0,32.8,2074.8,0.0,6.2,2379.25,2074.8,2385.45,-310.64999999999964
