,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Geothermal,Other renewable,Fossil Brown coal/Lignite,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,169.41125,1103.9702499999999,0.0,11.5875,1849.22325,48.152,0.02123,15.0985,124.4515025,31.75375,9.507249999999999,0.486,13.709,99.35375,3476.7252325,0.0,0.0,4737.709,3476.7252325,4737.709,-1260.9837674999999
2026-01-01 01:00:00+00:00,168.68349999999998,995.7615000000001,0.0,11.60925,1848.84825,47.077,0.0109625,15.902000000000001,115.7591125,31.31925,9.5075,0.486,13.72975,98.801,3357.4950750000003,0.0,0.0,4574.24925,3357.4950750000003,4574.24925,-1216.7541749999996
2026-01-01 02:00:00+00:00,168.06225,772.5885,0.0,11.66575,1848.6465,47.294,0.0169725,15.34075,111.21161,32.202,9.51275,0.486,13.8015,99.08925,3129.9178325,0.0,0.0,4382.259749999999,3129.9178325,4382.259749999999,-1252.3419174999995
2026-01-01 03:00:00+00:00,168.5395,730.492,0.0,11.6735,1763.60825,46.41125,0.046155,14.75325,80.43893750000001,32.126,9.51225,0.486,13.766,98.68525,2970.538342500001,0.0,0.0,4342.6815,2970.538342500001,4342.6815,-1372.1431574999988
2026-01-01 04:00:00+00:00,168.79075,788.6585,0.0,11.623750000000001,1698.30025,46.71225,0.023865,16.05275,80.4581925,32.47275,9.502500000000001,0.486,14.14475,99.146,2966.3723075000003,0.0,0.0,4305.094,2966.3723075000003,4305.094,-1338.7216924999998
2026-01-01 05:00:00+00:00,168.70499999999998,786.8715,0.0,11.618,1699.81,47.716,0.01114,15.75525,77.19745499999999,30.12575,9.5175,0.486,14.56375,106.265,2968.6423449999998,0.0,0.0,4379.19525,2968.6423449999998,4379.19525,-1410.552905
2026-01-01 06:00:00+00:00,169.21525,759.9717499999999,0.0,11.559000000000001,1699.29775,48.1185,12.876725,15.157,70.993365,30.41525,9.50625,0.486,15.446750000000002,124.44775,2967.4913399999996,0.0,0.0,4477.163500000001,2967.4913399999996,4477.163500000001,-1509.672160000001
2026-01-01 07:00:00+00:00,163.953,702.8565000000001,0.0,11.52875,1699.3087500000001,52.388,151.676575,15.74825,36.124405,30.5185,9.504,0.486,14.93675,123.37975,3012.4092299999998,0.0,0.0,4581.11575,3012.4092299999998,4581.11575,-1568.7065200000002
2026-01-01 08:00:00+00:00,159.94325,776.44925,0.0,11.592,1699.749,60.832499999999996,435.933355,15.67975,18.7186775,30.78125,9.52125,0.486,13.80075,102.99325,3336.4802824999997,0.0,0.0,4753.09275,3336.4802824999997,4753.09275,-1416.6124675
2026-01-01 09:00:00+00:00,159.192,694.13525,0.0,11.40175,1700.62775,64.9215,882.0608925,14.234,15.797662500000001,30.455000000000002,9.5145,0.486,13.91175,98.48775,3695.225805,0.0,0.0,4773.687,3695.225805,4773.687,-1078.4611949999999
